station,station,node,geometry
01425000,01425000,reservoir_cannonsville,"POLYGON ((-75.38455915 42.053572268, -75.390817322 42.055135018, -75.397308852 42.060050108, -75.398645614 42.065604664, -75.397914089 42.073695348, -75.401610467 42.080226028, -75.389722621 42.087084511, -75.383392757 42.094921657, -75.377961865 42.09425045, -75.361313733 42.10184268, -75.354870566 42.100532254, -75.3462972 42.102536975, -75.347961109 42.11002577, -75.345970445 42.112272767, -75.343762329 42.120567319, -75.340707509 42.122949725, -75.339545804 42.126403136, -75.345080116 42.133969332, -75.339543041 42.136108207, -75.337371336 42.142664266, -75.337366597 42.144253753, -75.342011315 42.146657187, -75.340855149 42.149391646, -75.343725503 42.152834649, -75.341340231 42.155300164, -75.342189272 42.158542137, -75.335534267 42.160715715, -75.337905061 42.163526307, -75.336678159 42.166455421, -75.331943786 42.16964858, -75.329433183 42.17889728, -75.326841534 42.179634909, -75.330655055 42.182571216, -75.332067471 42.18769147, -75.330709637 42.189965282, -75.334018519 42.193297141, -75.334146718 42.208840772, -75.326226953 42.21218352, -75.324851603 42.215406514, -75.320988372 42.217697097, -75.320041414 42.221361972, -75.315663619 42.223144072, -75.312162297 42.232810464, -75.303150835 42.232112828, -75.302537057 42.238685678, -75.306230465 42.243987855, -75.302096769 42.246778593, -75.296808601 42.246350972, -75.292922916 42.248376779, -75.286532111 42.255533099, -75.287432903 42.258503242, -75.273606084 42.259189382, -75.272814077 42.261808547, -75.269270981 42.2597324, -75.259129752 42.258689752, -75.254864578 42.254220131, -75.247800274 42.257586111, -75.239859344 42.256725818, -75.239026784 42.260712386, -75.229760115 42.256879117, -75.218583367 42.256295767, -75.207404609 42.252203905, -75.200223363 42.255926451, -75.198048552 42.261142515, -75.189600511 42.265114479, -75.181935063 42.261028632, -75.177620376 42.265992099, -75.156002621 42.26861325, -75.154725843 42.275276198, -75.14888522 42.27844493, -75.139033725 42.272049206, -75.128399179 42.274271084, -75.122116884 42.280115391, -75.119702143 42.277941036, -75.11430587 42.277395046, -75.111240581 42.273625723, -75.106402688 42.273536924, -75.100733279 42.275885682, -75.089883697 42.272637975, -75.082958325 42.277658145, -75.078041567 42.277019533, -75.074926651 42.278542658, -75.072261598 42.28162472, -75.07903113 42.298350319, -75.072272921 42.300816311, -75.069383175 42.298394325, -75.06148839 42.296079055, -75.047200998 42.303026175, -75.047860514 42.309458127, -75.043478974 42.31170093, -75.037088262 42.31153866, -75.037223385 42.313281448, -75.033977307 42.315204631, -75.029866123 42.314876208, -75.026512156 42.312612027, -75.021385808 42.313165855, -75.01997776 42.320556092, -75.02205238 42.322764873, -75.018255953 42.325217141, -75.010024326 42.320491209, -75.002301926 42.318469238, -74.994997977 42.320247183, -74.997339159 42.327207272, -74.994390617 42.332016678, -74.990094568 42.332611646, -74.98405926 42.327537419, -74.976354233 42.32933555, -74.973540646 42.327759267, -74.970521133 42.329718616, -74.969743183 42.332804547, -74.95973356 42.332359435, -74.950354475 42.335340251, -74.941633788 42.340507929, -74.940861881 42.344294339, -74.945582947 42.350259729, -74.943907702 42.354502083, -74.939236278 42.354764127, -74.933244379 42.357922718, -74.930472914 42.361794086, -74.926051824 42.363261681, -74.924657263 42.366301979, -74.91511014 42.370796521, -74.910895902 42.377189832, -74.911433863 42.38270245, -74.902369024 42.388078921, -74.905833293 42.39522467, -74.903246889 42.399838014, -74.90516366 42.403394101, -74.899685951 42.407988921, -74.89351682 42.409263042, -74.888451242 42.407209788, -74.888148036 42.40541356, -74.890803993 42.40311019, -74.886050336 42.400219667, -74.88704759 42.397636893, -74.882250489 42.396125141, -74.878044373 42.392586514, -74.867514111 42.395180804, -74.861658242 42.394928693, -74.857644978 42.388223143, -74.850294861 42.384142478, -74.842401738 42.3838131, -74.840790683 42.389228873, -74.82880679 42.391312831, -74.82787121 42.397256553, -74.830420383 42.402459209, -74.823857592 42.401109271, -74.809292205 42.402108338, -74.804635891 42.408332482, -74.789977923 42.406212473, -74.783753172 42.408374217, -74.781266773 42.404777657, -74.773331183 42.401640644, -74.761203952 42.4060202, -74.753712378 42.411742885, -74.749088113 42.413268646, -74.747861705 42.418460699, -74.742858945 42.424641282, -74.738577411 42.424060021, -74.732128392 42.415972565, -74.7230711 42.416249918, -74.717268596 42.422291272, -74.711384198 42.42306208, -74.705248873 42.428863929, -74.695402567 42.42719451, -74.689027665 42.428064317, -74.681144228 42.423439939, -74.662314728 42.423236797, -74.640024051 42.419599714, -74.636598155 42.423410427, -74.633907903 42.431938618, -74.628857791 42.438099179, -74.628387783 42.441406545, -74.630287565 42.44452856, -74.626118632 42.448207629, -74.624770762 42.455033873, -74.619796683 42.458330958, -74.608169601 42.459985459, -74.603709628 42.462463818, -74.598644927 42.459679068, -74.596760072 42.453996273, -74.59851269 42.451257313, -74.59820156 42.447405998, -74.594624103 42.44126869, -74.597588382 42.432859369, -74.590429027 42.419329959, -74.59323174 42.414213449, -74.592478218 42.411419305, -74.586710055 42.405338096, -74.589712482 42.402229548, -74.589794797 42.399076589, -74.58170686 42.396068543, -74.579050539 42.390268937, -74.563616299 42.381485551, -74.564806329 42.374784956, -74.558514156 42.366849244, -74.565800084 42.355718776, -74.565417538 42.353227575, -74.567802613 42.349010874, -74.572128024 42.346700701, -74.571825204 42.342998237, -74.575347746 42.339573668, -74.590510962 42.341670458, -74.596847454 42.337096214, -74.601197122 42.337875232, -74.609707653 42.333050171, -74.60561247 42.319702517, -74.607247146 42.316784571, -74.618312055 42.311535401, -74.630128417 42.313311298, -74.637747476 42.309894855, -74.634650786 42.30196802, -74.639593183 42.295123364, -74.645249067 42.297219727, -74.653293525 42.294952304, -74.659743857 42.295555575, -74.661732797 42.293073026, -74.661259933 42.289657222, -74.663306173 42.285333227, -74.669099792 42.285498424, -74.680794242 42.280641279, -74.683989114 42.269249566, -74.683528961 42.260833797, -74.686318421 42.257261962, -74.691669982 42.257708388, -74.704166276 42.251778457, -74.713720462 42.253345196, -74.716692525 42.251330782, -74.716056119 42.244376141, -74.717987572 42.241255143, -74.71666498 42.23911372, -74.722648812 42.235386131, -74.723479558 42.232541385, -74.721909062 42.229121646, -74.725966436 42.223305643, -74.735521771 42.220908068, -74.737349085 42.226486416, -74.745455833 42.23242432, -74.746961708 42.235678056, -74.758773077 42.239091329, -74.7627515 42.235052758, -74.764402011 42.230484459, -74.773087799 42.228259488, -74.775357539 42.225776965, -74.792131819 42.229516057, -74.791866998 42.231091329, -74.794339007 42.232764144, -74.809582607 42.238046786, -74.817727734 42.23652305, -74.82080522 42.228160342, -74.82874166 42.228938408, -74.832638376 42.234767625, -74.831517442 42.240464102, -74.843779833 42.240849366, -74.844582123 42.228663271, -74.849753661 42.226928988, -74.85032571 42.221296362, -74.844460764 42.221367281, -74.841893079 42.219699034, -74.841005729 42.20693188, -74.842276844 42.203193519, -74.853512984 42.204604269, -74.861342416 42.201805837, -74.872925181 42.202908188, -74.87853552 42.206604538, -74.887388727 42.201600221, -74.894789202 42.203308474, -74.899669663 42.207056861, -74.907654221 42.202756189, -74.919579396 42.204001126, -74.927093417 42.202749644, -74.931988931 42.195282791, -74.943354939 42.192507355, -74.944956561 42.188435877, -74.943546669 42.184769001, -74.956638408 42.183632379, -74.958199556 42.179765846, -74.967482485 42.178824073, -74.966265845 42.172423949, -74.970901278 42.169240084, -74.97097143 42.165631205, -74.974363862 42.162795242, -74.987319152 42.164226316, -74.989143097 42.152155342, -75.002464018 42.15278635, -75.008490093 42.156045547, -75.013707508 42.155807765, -75.018822351 42.153206493, -75.021145335 42.146566133, -75.029468143 42.141468056, -75.031887397 42.140655131, -75.040379787 42.143828035, -75.04102562 42.139261184, -75.045410399 42.138985184, -75.049457671 42.1361538, -75.052778605 42.130199608, -75.058749103 42.133563131, -75.061874652 42.133673341, -75.067880371 42.128559815, -75.083961642 42.132301579, -75.084492945 42.128599875, -75.081665498 42.124518265, -75.087374984 42.120676176, -75.089856077 42.116140618, -75.095717138 42.112929872, -75.100443311 42.111370669, -75.112426756 42.114076857, -75.117486006 42.112074662, -75.125794544 42.114155267, -75.129369023 42.107320998, -75.129454949 42.102113491, -75.133302272 42.098072261, -75.136757372 42.090394173, -75.150664755 42.089370883, -75.15145813 42.082308793, -75.156010811 42.079401585, -75.156494891 42.074666599, -75.163814826 42.075985421, -75.17106714 42.073480091, -75.176669941 42.081061433, -75.181119631 42.082269103, -75.186759813 42.077194713, -75.191839933 42.078346255, -75.197040857 42.076629028, -75.217427334 42.07624795, -75.226659279 42.072674267, -75.232544662 42.077192407, -75.236172864 42.077445169, -75.238558718 42.074403292, -75.242774463 42.072555967, -75.251406401 42.07502472, -75.255497515 42.078581557, -75.259240032 42.078842618, -75.259133455 42.075866559, -75.262414166 42.072933743, -75.276308146 42.073376544, -75.280298335 42.075508057, -75.287045969 42.076245619, -75.289139063 42.071317365, -75.299184731 42.070898695, -75.301014814 42.069128547, -75.310240541 42.06952966, -75.313688927 42.06362417, -75.316474496 42.062985623, -75.318146635 42.060651048, -75.325287802 42.058890609, -75.332774562 42.059339365, -75.345075589 42.065573126, -75.348495873 42.061052107, -75.35740374 42.063302793, -75.373129109 42.058037282, -75.382338798 42.05665315, -75.38455915 42.053572268))"
01417000,01417000,reservoir_pepacton,"POLYGON ((-74.978521451 42.059679511, -74.984682667 42.063996316, -74.984059559 42.066529646, -74.993107991 42.078229647, -74.991515245 42.08074147, -74.985988739 42.084031958, -74.975061415 42.086873606, -74.972364092 42.091939149, -74.966333752 42.092362296, -74.959502498 42.096123715, -74.957393936 42.102812664, -74.951399997 42.107271918, -74.947218617 42.107706976, -74.935558719 42.125459297, -74.92732159 42.129017436, -74.92509404 42.132116885, -74.927074497 42.135386569, -74.925739064 42.137829247, -74.934475414 42.145363752, -74.93841387 42.151009583, -74.945461052 42.151411196, -74.948928812 42.155199045, -74.9490213 42.160105532, -74.953693631 42.163900005, -74.958199556 42.179765846, -74.956638408 42.183632379, -74.943546669 42.184769001, -74.944956561 42.188435877, -74.943354939 42.192507355, -74.931988931 42.195282791, -74.927093417 42.202749644, -74.919579396 42.204001126, -74.907654221 42.202756189, -74.899669663 42.207056861, -74.894789202 42.203308474, -74.887388727 42.201600221, -74.87853552 42.206604538, -74.872925181 42.202908188, -74.861342416 42.201805837, -74.853512984 42.204604269, -74.842276844 42.203193519, -74.841005729 42.20693188, -74.841893079 42.219699034, -74.844460764 42.221367281, -74.85032571 42.221296362, -74.849753661 42.226928988, -74.844582123 42.228663271, -74.843779833 42.240849366, -74.831517442 42.240464102, -74.832638376 42.234767625, -74.82874166 42.228938408, -74.82080522 42.228160342, -74.817727734 42.23652305, -74.809582607 42.238046786, -74.794339007 42.232764144, -74.791866998 42.231091329, -74.792131819 42.229516057, -74.775357539 42.225776965, -74.773087799 42.228259488, -74.764402011 42.230484459, -74.7627515 42.235052758, -74.758773077 42.239091329, -74.746961708 42.235678056, -74.745455833 42.23242432, -74.737349085 42.226486416, -74.735521771 42.220908068, -74.726180775 42.22320064, -74.721909062 42.229121646, -74.723479558 42.232541385, -74.722648812 42.235386131, -74.71666498 42.23911372, -74.717987572 42.241255143, -74.716056119 42.244376141, -74.716692525 42.251330782, -74.713720462 42.253345196, -74.704166276 42.251778457, -74.691669982 42.257708388, -74.686318421 42.257261962, -74.683528961 42.260833797, -74.683989114 42.269249566, -74.680794242 42.280641279, -74.669099792 42.285498424, -74.663306173 42.285333227, -74.661259933 42.289657222, -74.661732797 42.293073026, -74.659743857 42.295555575, -74.653293525 42.294952304, -74.645249067 42.297219727, -74.639593183 42.295123364, -74.634650786 42.30196802, -74.635493326 42.306790988, -74.63813717 42.308985049, -74.633369761 42.312313702, -74.627162254 42.313258353, -74.618312055 42.311535401, -74.607247146 42.316784571, -74.60561247 42.319702517, -74.608890932 42.328318042, -74.608878257 42.333692759, -74.601197122 42.337875232, -74.596847454 42.337096214, -74.590510962 42.341670458, -74.57722312 42.339531574, -74.573133011 42.340680241, -74.572128024 42.346700701, -74.567802613 42.349010874, -74.565417538 42.353227575, -74.565800084 42.355718776, -74.558514156 42.366849244, -74.538879925 42.357671218, -74.535977056 42.35851325, -74.528464921 42.354121197, -74.509263689 42.362562761, -74.508832118 42.350679504, -74.514123022 42.345548158, -74.52271996 42.343899486, -74.525867787 42.335165993, -74.521075764 42.333514021, -74.515493733 42.326429251, -74.516135547 42.320645322, -74.512864764 42.315986387, -74.504340083 42.314236952, -74.500685312 42.310317243, -74.501446249 42.303410263, -74.498835877 42.297066216, -74.490406853 42.293992703, -74.489784108 42.284654214, -74.486244183 42.280395117, -74.486706447 42.276888828, -74.481561458 42.269278679, -74.474838013 42.266729193, -74.467912704 42.260997408, -74.461533799 42.25888596, -74.460906299 42.254015722, -74.44920653 42.245840726, -74.439961018 42.244899226, -74.438090028 42.238877203, -74.439509132 42.234873595, -74.438131085 42.228964069, -74.432423484 42.225178984, -74.431793837 42.221254461, -74.429502305 42.219664014, -74.427880412 42.215184231, -74.430621177 42.209219379, -74.419379781 42.20122332, -74.417077621 42.197621751, -74.424893511 42.193828331, -74.428503323 42.18992532, -74.43220603 42.189395487, -74.433607153 42.186378638, -74.437230541 42.184087739, -74.438295517 42.180293462, -74.444979115 42.17766583, -74.450364872 42.170475976, -74.459209978 42.16781057, -74.461671043 42.164250544, -74.471109804 42.159055955, -74.476387198 42.161100169, -74.48638984 42.157538768, -74.488516697 42.153991965, -74.488509878 42.14887813, -74.508253567 42.140755931, -74.511844106 42.134234109, -74.519111433 42.129548067, -74.506762654 42.117981957, -74.497933546 42.115786704, -74.498977483 42.104852654, -74.492697414 42.101069622, -74.488298652 42.090896589, -74.508248233 42.078327339, -74.503493739 42.065177353, -74.507003774 42.061724338, -74.503558207 42.05617061, -74.494565646 42.051832702, -74.497041413 42.048673763, -74.494793871 42.043931917, -74.499287305 42.038364467, -74.496670851 42.034932019, -74.500768288 42.029020324, -74.513536131 42.026892943, -74.517083641 42.024976259, -74.525427798 42.024384161, -74.527792908 42.027388502, -74.535158405 42.028449154, -74.536868585 42.033232365, -74.539825773 42.03352112, -74.544128657 42.037889562, -74.547883308 42.037423772, -74.552908285 42.043059557, -74.556951659 42.044516818, -74.561460083 42.045140858, -74.570175763 42.042518634, -74.579369976 42.046047322, -74.59475209 42.045773203, -74.596243641 42.048494284, -74.605800959 42.047783832, -74.609064827 42.045174371, -74.616023917 42.045704751, -74.619690647 42.050609798, -74.632466103 42.052056026, -74.640002672 42.05592119, -74.645895671 42.054126628, -74.655073136 42.056403953, -74.670396447 42.065429842, -74.68091662 42.062390574, -74.688025954 42.065907775, -74.695707471 42.066847868, -74.702611459 42.06244996, -74.707431628 42.065391231, -74.712949514 42.064649521, -74.716655822 42.069864559, -74.721032815 42.071860639, -74.727363002 42.062872032, -74.73329558 42.057635625, -74.738613932 42.056816625, -74.742535607 42.051270643, -74.749433072 42.053793511, -74.752552519 42.052594685, -74.761349527 42.053344544, -74.762017348 42.055685446, -74.765628551 42.057699204, -74.777539742 42.057191904, -74.781282006 42.054713701, -74.782477725 42.050540683, -74.785775357 42.047720757, -74.785438396 42.04521509, -74.795188568 42.04024111, -74.807998845 42.041771106, -74.810593556 42.0385146, -74.819490688 42.033016829, -74.824329575 42.034574849, -74.833606588 42.043811923, -74.839185231 42.041396533, -74.840460052 42.038833036, -74.848933224 42.037873277, -74.854058087 42.03909306, -74.85719514 42.035452514, -74.862942804 42.032823878, -74.86548445 42.036911227, -74.887405614 42.039201802, -74.889392734 42.042682972, -74.893674636 42.04480289, -74.89648771 42.044169948, -74.898156411 42.040697443, -74.900353037 42.040339134, -74.902338959 42.037621677, -74.911094422 42.037410457, -74.915623978 42.030572925, -74.921010483 42.031263056, -74.923794299 42.042991369, -74.929611932 42.044432239, -74.933702321 42.047808688, -74.931174732 42.051247608, -74.936378005 42.051873182, -74.943395917 42.056837997, -74.949087337 42.057168988, -74.953096887 42.06207335, -74.966057234 42.060334923, -74.968926199 42.055832992, -74.978521451 42.059679511))"
01429000,01429000,reservoir_prompton,"POLYGON ((-75.375056656 41.626984299, -75.376730485 41.629116463, -75.375914307 41.631287903, -75.380309004 41.635526484, -75.384423255 41.632455328, -75.389865183 41.632852574, -75.392141046 41.641786475, -75.397267859 41.642249942, -75.412559068 41.639224032, -75.418113322 41.641915668, -75.419850893 41.64565181, -75.419130094 41.650684608, -75.421316382 41.651257634, -75.422188925 41.654098269, -75.421346432 41.659345084, -75.41906229 41.661322094, -75.420139742 41.666438159, -75.433471897 41.668738018, -75.436753909 41.670840685, -75.437950906 41.672106175, -75.434413694 41.677883756, -75.438798409 41.684439259, -75.433987067 41.685325535, -75.440297091 41.69027313, -75.441473822 41.694242655, -75.446999056 41.695409333, -75.446779107 41.69931087, -75.454938197 41.697482939, -75.463323086 41.705052454, -75.463684886 41.708739405, -75.461670926 41.71314786, -75.458465525 41.714997917, -75.458203923 41.723397134, -75.465495999 41.732522836, -75.456318407 41.742898026, -75.465302612 41.765139095, -75.460918614 41.768030876, -75.462593971 41.775178698, -75.457340488 41.790559286, -75.454448519 41.792516507, -75.454628195 41.79665903, -75.451906592 41.802417395, -75.444411883 41.808455681, -75.440275914 41.805135726, -75.428080732 41.808279603, -75.422960609 41.804828338, -75.416878409 41.808384519, -75.41694965 41.804909611, -75.41278983 41.803116108, -75.410247313 41.803798455, -75.407465794 41.80179302, -75.401361059 41.794629943, -75.401565327 41.791666686, -75.395489378 41.788988575, -75.392454204 41.790269346, -75.390903853 41.783464663, -75.3840741 41.781093423, -75.384344886 41.779136196, -75.388281381 41.776336641, -75.384863506 41.764748625, -75.38217761 41.763286632, -75.382607956 41.761087281, -75.379305651 41.756629309, -75.373750192 41.75515933, -75.368966234 41.750039487, -75.374597947 41.74738136, -75.371944881 41.73641699, -75.36719141 41.736470137, -75.362183892 41.733775874, -75.347278975 41.731368252, -75.345769853 41.725668578, -75.347124298 41.722850918, -75.34090749 41.719677475, -75.342306767 41.708513441, -75.347839249 41.705869758, -75.346827264 41.703560892, -75.347928091 41.701628638, -75.35964149 41.703067853, -75.363707883 41.694865534, -75.357242834 41.691615788, -75.352859286 41.685135841, -75.350192014 41.68424521, -75.349754771 41.679392935, -75.345005793 41.675344287, -75.333428196 41.672864458, -75.332011731 41.670901219, -75.334166193 41.662048885, -75.326110949 41.659119755, -75.324235913 41.654110714, -75.32133484 41.652084994, -75.3229202 41.649775346, -75.319538445 41.646873112, -75.322439325 41.643931152, -75.320784092 41.64164342, -75.32112521 41.636040776, -75.325720495 41.634050264, -75.327214272 41.631113368, -75.327022343 41.627834643, -75.32347821 41.623654357, -75.323195289 41.620855151, -75.324601813 41.619897768, -75.321494944 41.616779762, -75.321205399 41.611461372, -75.316847762 41.608568814, -75.321413427 41.604479476, -75.320440066 41.594734985, -75.31787055 41.593335774, -75.318544684 41.587958384, -75.323488666 41.582055516, -75.326759375 41.582776756, -75.336303612 41.590400674, -75.338867408 41.595683766, -75.344659404 41.601504588, -75.344337322 41.606467511, -75.349035941 41.619061721, -75.354539802 41.620823024, -75.354438611 41.623338386, -75.358689709 41.62706125, -75.35919232 41.633872341, -75.364147258 41.637982071, -75.365932861 41.637289801, -75.366121225 41.632400532, -75.375056656 41.626984299))"
