Elevation (ft),Acre-Ft,BG
1247,0,0
1248,0,0
1249,0.01,0
1250,0.04,0
1251,0.1,0
1252,0.19,0
1253,0.32,0
1254,0.66,0
1255,1.5,0
1256,3.03,0
1257,5.3,0
1258,8.38,0
1259,12.2,0
1260,16.61,0.01
1261,21.64,0.01
1262,27.45,0.01
1263,34.18,0.01
1264,42.11,0.01
1265,51.95,0.02
1266,64.3,0.02
1267,79.37,0.03
1268,97.05,0.03
1269,117.38,0.04
1270,140.37,0.05
1271,165.69,0.05
1272,193.16,0.06
1273,222.6,0.07
1274,254.01,0.08
1275,287.42,0.09
1276,322.94,0.11
1277,361.11,0.12
1278,402.37,0.13
1279,447.26,0.15
1280,495.99,0.16
1281,548.41,0.18
1282,603.59,0.2
1283,661.11,0.22
1284,720.83,0.23
1285,782.56,0.25
1286,846.11,0.28
1287,911.6,0.3
1288,979.39,0.32
1289,1049.76,0.34
1290,1122.84,0.37
1291,1198.27,0.39
1292,1275.95,0.42
1293,1356.02,0.44
1294,1438.89,0.47
1295,1524.41,0.5
1296,1612.64,0.53
1297,1703.59,0.56
1298,1797.2,0.59
1299,1893.48,0.62
1300,1992.61,0.65
1301,2094.46,0.68
1302,2199.25,0.72
1303,2306.99,0.75
1304,2417.99,0.79
1305,2532.08,0.83
1306,2648.94,0.86
1307,2768.72,0.9
1308,2891.83,0.94
1309,3018.58,0.98
1310,3148.43,1.03
1311,3281.12,1.07
1312,3416.77,1.11
1313,3555.6,1.16
1314,3697.62,1.2
1315,3842.68,1.25
1316,3991.02,1.3
1317,4143.28,1.35
1318,4299.25,1.4
1319,4458.43,1.45
1320,4620.88,1.51
1321,4786.79,1.56
1322,4956.54,1.62
1323,5130.32,1.67
1324,5308.4,1.73
1325,5491.28,1.79
1326,5679.85,1.85
1327,5873.63,1.91
1328,6072.04,1.98
1329,6274.91,2.04
1330,6482.73,2.11
1331,6695.66,2.18
1332,6914.26,2.25
1333,7138.83,2.33
1334,7369.79,2.4
1335,7607.65,2.48
1336,7852.13,2.56
1337,8103.51,2.64
1338,8361.75,2.72
1339,8626.48,2.81
1340,8898.44,2.9
1341,9178,2.99
1342,9464.82,3.08
1343,9759.05,3.18
1344,10060.78,3.28
1345,10370.02,3.38
1346,10687.63,3.48
1347,11013.69,3.59
1348,11347.91,3.7
1349,11689.92,3.81
1350,12039.87,3.92
1351,12397.75,4.04
1352,12763.12,4.16
1353,13135.13,4.28
1354,13514.05,4.4
1355,13899.81,4.53
1356,14292.87,4.66
1357,14694.24,4.79
1358,15104.32,4.92
1359,15522.66,5.06
1360,15949.3,5.2
1361,16384.6,5.34
1362,16828.66,5.48
1363,17281.93,5.63
1364,17744.14,5.78
1365,18214.74,5.94
1366,18693.69,6.09
1367,19180.97,6.25
1368,19676.85,6.41
1369,20181.8,6.58
1370,20696.47,6.74
1371,21221.3,6.91
1372,21761.87,7.09
1373,22339.82,7.28
1374,22948,7.48
1375,23575.93,7.68
1376,24218.86,7.89
1377,24875.11,8.11
1378,25544.46,8.32
1379,26226.48,8.55
1380,26921.1,8.77
1381,27628.56,9
1382,28348.13,9.24
1383,29079.64,9.48
1384,29822.44,9.72
1385,30577.62,9.96
1386,31345.1,10.21
1387,32123.65,10.47
1388,32913.48,10.72
1389,33715.53,10.99
1390,34529.86,11.25
1391,35356.01,11.52
1392,36194.09,11.79
1393,37044.1,12.07
1394,37907.01,12.35
1395,38783.08,12.64
1396,39671.38,12.93
1397,40571.66,13.22
1398,41483.74,13.52
1399,42407.4,13.82
1400,43342.31,14.12
1401,44288.47,14.43
1402,45246.15,14.74
1403,46215.54,15.06
1404,47196.63,15.38
1405,48189.21,15.7
1406,49193.5,16.03
1407,50209.47,16.36
1408,51237.28,16.7
1409,52278.62,17.04
1410,53334.09,17.38
1411,54403.33,17.73
1412,55486.81,18.08
1413,56584.62,18.44
1414,57696.87,18.8
1415,58823.72,19.17
1416,59965.41,19.54
1417,61122.02,19.92
1418,62294.14,20.3
1419,63482.01,20.69
1420,64686.35,21.08
1421,65908.44,21.48
1422,67149.47,21.88
1423,68410.02,22.29
1424,69688.46,22.71
1425,70984.15,23.13
1426,72296.7,23.56
1427,73626.37,23.99
1428,74973.79,24.43
1429,76339.66,24.88
1430,77725.04,25.33
1431,79130.4,25.78
1432,80554.8,26.25
1433,81998.51,26.72
1434,83464.87,27.2
1435,84953.31,27.68
1436,86468.39,28.18
1437,88010.95,28.68
1438,89574.11,29.19
1439,91156.45,29.7
1440,92757.8,30.23
1441,94378.69,30.75
1442,96019.42,31.29
1443,97680.38,31.83
1444,99362.19,32.38
1445,101065.15,32.93
1446,102788.42,33.49
1447,104531.48,34.06
1448,106294.34,34.64
1449,108076.58,35.22
1450,109878.27,35.8
1451,111699.82,36.4
1452,113541.21,37
1453,115402.45,37.6
1454,117283.46,38.22
1455,119184.11,38.84
1456,121104.23,39.46
1457,123044.03,40.09
1458,125004.69,40.73
1459,126988.81,41.38
1460,128996.57,42.03
1461,131027.72,42.7
1462,133081.77,43.36
1463,135158.57,44.04
1464,137258.72,44.73
1465,139382.91,45.42
1466,141532.53,46.12
1467,143707.78,46.83
1468,145908.94,47.54
1469,148138.56,48.27
1470,150399.17,49.01
1471,152693.01,49.76
1472,155022.79,50.51
1473,157392.55,51.29
1474,159814.09,52.08
