Reservoir Storage Volume and Zones
"Scenario: GridMet, Reservoir: Beltzville Reservoir"
Cubic Meter
Variable,"Storage Volume","Top of Buffer","Top of Conservation","Top of Inactive"
6/1/1999,51003780,5000000,84000000,5000000
6/2/1999,51052909,5000000,84000000,5000000
6/3/1999,51101416,5000000,84000000,5000000
6/4/1999,51090982,5000000,84000000,5000000
6/5/1999,51062301,5000000,84000000,5000000
6/6/1999,51029173,5000000,84000000,5000000
6/7/1999,51112521,5000000,84000000,5000000
6/8/1999,51061516,5000000,84000000,5000000
6/9/1999,50959997,5000000,84000000,5000000
6/10/1999,50857716,5000000,84000000,5000000
6/11/1999,50800806,5000000,84000000,5000000
6/12/1999,50761314,5000000,84000000,5000000
6/13/1999,50760531,5000000,84000000,5000000
6/14/1999,50897659,5000000,84000000,5000000
6/15/1999,50968814,5000000,84000000,5000000
6/16/1999,50904467,5000000,84000000,5000000
6/17/1999,51026967,5000000,84000000,5000000
6/18/1999,51150067,5000000,84000000,5000000
6/19/1999,51108918,5000000,84000000,5000000
6/20/1999,50990399,5000000,84000000,5000000
6/21/1999,50905922,5000000,84000000,5000000
6/22/1999,50835688,5000000,84000000,5000000
6/23/1999,50756736,5000000,84000000,5000000
6/24/1999,50682189,5000000,84000000,5000000
6/25/1999,50619782,5000000,84000000,5000000
6/26/1999,50569592,5000000,84000000,5000000
6/27/1999,50512056,5000000,84000000,5000000
6/28/1999,50485936,5000000,84000000,5000000
6/29/1999,50492868,5000000,84000000,5000000
6/30/1999,50465127,5000000,84000000,5000000
7/1/1999,50415528,5000000,84000000,5000000
7/2/1999,50361729,5000000,84000000,5000000
7/3/1999,50302264,5000000,84000000,5000000
7/4/1999,50237983,5000000,84000000,5000000
7/5/1999,50169511,5000000,84000000,5000000
7/6/1999,50097680,5000000,84000000,5000000
7/7/1999,50024731,5000000,84000000,5000000
7/8/1999,49951643,5000000,84000000,5000000
7/9/1999,49889004,5000000,84000000,5000000
7/10/1999,49843659,5000000,84000000,5000000
7/11/1999,49781156,5000000,84000000,5000000
7/12/1999,49728419,5000000,84000000,5000000
7/13/1999,49664699,5000000,84000000,5000000
7/14/1999,49594808,5000000,84000000,5000000
7/15/1999,49523434,5000000,84000000,5000000
7/16/1999,49452028,5000000,84000000,5000000
7/17/1999,49376998,5000000,84000000,5000000
7/18/1999,49298923,5000000,84000000,5000000
7/19/1999,49225883,5000000,84000000,5000000
7/20/1999,49155565,5000000,84000000,5000000
7/21/1999,49199196,5000000,84000000,5000000
7/22/1999,49301932,5000000,84000000,5000000
7/23/1999,49234730,5000000,84000000,5000000
7/24/1999,49143851,5000000,84000000,5000000
7/25/1999,49084966,5000000,84000000,5000000
7/26/1999,49033959,5000000,84000000,5000000
7/27/1999,48974402,5000000,84000000,5000000
7/28/1999,48956897,5000000,84000000,5000000
7/29/1999,48948946,5000000,84000000,5000000
7/30/1999,48901091,5000000,84000000,5000000
7/31/1999,48836088,5000000,84000000,5000000
