Streamflow Gauge Comparison
"Scenario: GridMet, Streamflow Gauge: Delaware River at Montague_01438500"
Cubic Meter
Statistic,Modeled,Observed
6/1/1999,0,6846336
6/2/1999,551236,7015680
6/3/1999,1157450,6531840
6/4/1999,1852744,6072192
6/5/1999,12435795,5225472
6/6/1999,4382509,4475520
6/7/1999,4460873,4281984
6/8/1999,4674555,5539968
6/9/1999,6205971,5660928
6/10/1999,5824501,4693248
6/11/1999,4694908,4233600
6/12/1999,4374835,4306176
6/13/1999,4205518,4088448
6/14/1999,3683819,4064256
6/15/1999,3675226,4209408
6/16/1999,4009972,4040064
6/17/1999,4112836,3991680
6/18/1999,4054425,4427136
6/19/1999,4777227,4378752
6/20/1999,5427298,4306176
6/21/1999,5602341,4161024
6/22/1999,5120025,4838400
6/23/1999,4235273,4572288
6/24/1999,4477156,3943296
6/25/1999,4300118,3894912
6/26/1999,4282924,4257792
6/27/1999,4263352,4209408
6/28/1999,4145603,4209408
6/29/1999,4547684,4499712
6/30/1999,5963710,4475520
7/1/1999,9504401,4693248
7/2/1999,11416805,4402944
7/3/1999,11667581,3822336
7/4/1999,10103572,4306176
7/5/1999,11936372,4185216
7/6/1999,12788560,5806080
7/7/1999,11289511,6556032
7/8/1999,10973395,4910976
7/9/1999,11957808,5128704
7/10/1999,18507314,4717440
7/11/1999,15222303,3411072
7/12/1999,12422999,3846528
7/13/1999,13075442,3894912
7/14/1999,11315243,4233600
7/15/1999,9477127,4620672
7/16/1999,7996488,5007744
7/17/1999,6623454,5273856
7/18/1999,5371566,4499712
7/19/1999,5274570,4790016
7/20/1999,5679985,4596480
7/21/1999,5203658,4596480
7/22/1999,5450887,4765824
7/23/1999,4864097,5322240
7/24/1999,5115103,4838400
7/25/1999,4187496,4790016
7/26/1999,4791818,4548096
7/27/1999,4973671,4669056
7/28/1999,4212381,5249664
7/29/1999,4637253,4910976
7/30/1999,4538792,4693248
7/31/1999,4343563,5031936
8/1/1999,4946628,5273856
8/2/1999,4723818,5104512
8/3/1999,5277149,4886784
8/4/1999,5535592,4814208
8/5/1999,4607634,4572288
8/6/1999,4973784,4354560
8/7/1999,3958547,4402944
8/8/1999,4979995,4257792
8/9/1999,5077737,4233600
8/10/1999,4829959,4378752
8/11/1999,5645872,4306176
8/12/1999,4456360,4765824
8/13/1999,5033909,5152896
8/14/1999,6288524,6289920
8/15/1999,7608689,6168960
8/16/1999,9239274,5709312
8/17/1999,8667309,5491584
8/18/1999,8542267,4427136
8/19/1999,6936239,4161024
8/20/1999,6550564,4548096
8/21/1999,8987177,4814208
8/22/1999,10072231,5007744
8/23/1999,13946025,4523904
8/24/1999,11878926,4790016
8/25/1999,9328334,4354560
8/26/1999,8970350,4548096
8/27/1999,14359766,4548096
8/28/1999,15154556,5007744
8/29/1999,11705128,4717440
8/30/1999,10265971,4257792
8/31/1999,8340998,4354560
9/1/1999,9041283,4306176
9/2/1999,8375996,4523904
9/3/1999,7498555,4378752
9/4/1999,7624962,4548096
9/5/1999,5393662,4451328
9/6/1999,9087754,4548096
9/7/1999,9783768,3894912
9/8/1999,10375158,3798144
9/9/1999,9966105,3652992
9/10/1999,13518540,3919104
9/11/1999,14887620,4451328
9/12/1999,12620045,4209408
9/13/1999,9611380,4112640
9/14/1999,9721472,3991680
9/15/1999,8080308,4330368
9/16/1999,11300401,11708928
9/17/1999,67282957,56125440
9/18/1999,168624874,37255680
9/19/1999,155529790,17103744
9/20/1999,105990298,11225088
9/21/1999,76295025,10063872
9/22/1999,75772358,9265536
9/23/1999,96961207,12604032
9/24/1999,62867809,11926656
9/25/1999,51096242,9289728
9/26/1999,48442062,6846336
9/27/1999,36560350,5951232
9/28/1999,23286306,6676992
9/29/1999,15064089,6410880
9/30/1999,12832129,6749568
10/1/1999,14761813,8007552
10/2/1999,13554854,9072000
10/3/1999,11983568,6386688
10/4/1999,11986504,6265728
10/5/1999,16929087,9362304
10/6/1999,18557468,10523520
10/7/1999,17402303,8684928
10/8/1999,15380201,7717248
10/9/1999,15292363,7257600
10/10/1999,16752250,6967296
10/11/1999,21146436,8854272
10/12/1999,20218354,11007360
10/13/1999,17289152,9604224
10/14/1999,17483103,8975232
10/15/1999,18677727,9846144
10/16/1999,17476733,9749376
10/17/1999,15057005,7717248
10/18/1999,12399116,6894720
10/19/1999,12691810,7330176
10/20/1999,11073158,7185024
10/21/1999,11675256,7499520
10/22/1999,11733264,7668864
10/23/1999,12877469,8273664
10/24/1999,12419775,7112448
10/25/1999,12387354,7693056
10/26/1999,11552388,7910784
10/27/1999,10201090,7402752
10/28/1999,10194114,7499520
10/29/1999,8928243,6797952
10/30/1999,8233566,6507648
10/31/1999,7749190,4959360
11/1/1999,6789527,4959360
11/2/1999,6226325,6676992
11/3/1999,6881768,9386496
11/4/1999,13565082,12507264
11/5/1999,15187894,11273472
11/6/1999,11038401,9483264
11/7/1999,10602174,7644672
11/8/1999,11451766,7064064
11/9/1999,11490432,6628608
11/10/1999,9383382,6193152
11/11/1999,9003747,5951232
11/12/1999,7924873,5757696
11/13/1999,7655969,5709312
11/14/1999,6729495,5273856
11/15/1999,6140269,5394816
11/16/1999,5630643,5031936
11/17/1999,5230704,4693248
11/18/1999,4997445,4548096
11/19/1999,4747843,4354560
11/20/1999,4247760,4233600
11/21/1999,4341085,4354560
11/22/1999,4202238,4281984
11/23/1999,3996837,4233600
11/24/1999,4046129,4233600
11/25/1999,3998005,4281984
11/26/1999,5042430,4693248
11/27/1999,10689154,17248896
11/28/1999,25178610,31207680
11/29/1999,24007817,21555072
11/30/1999,20876630,16402176
12/1/1999,28355499,13668480
12/2/1999,21859797,11684736
12/3/1999,18355358,10426752
12/4/1999,15390452,9676800
12/5/1999,14499915,9555840
12/6/1999,13481724,9168768
12/7/1999,14105223,9652608
12/8/1999,13280893,9313920
12/9/1999,11343074,8201088
12/10/1999,9598539,7644672
12/11/1999,9312374,7354368
12/12/1999,9229346,7112448
12/13/1999,7970214,6797952
12/14/1999,7844740,6797952
12/15/1999,8525387,10281600
12/16/1999,11026515,13789440
12/17/1999,12044672,14636160
12/18/1999,11692909,12289536
12/19/1999,10847738,10813824
12/20/1999,9262115,9700992
12/21/1999,8585340,12071808
12/22/1999,9211931,13281408
12/23/1999,8919271,12362112
12/24/1999,8173972,10886400
12/25/1999,7628600,8757504
12/26/1999,7129204,9459072
12/27/1999,7173445,8975232
12/28/1999,6532532,9023616
12/29/1999,6282723,8539776
12/30/1999,6057045,8031744
12/31/1999,5862838,8080128
1/1/2000,5692695,8297856
1/2/2000,5598638,6483456
1/3/2000,5552745,6749568
1/4/2000,5482568,8225280
1/5/2000,6487454,9410688
