Reservoir Storage Volume and Zones
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
Variable,"Storage Volume","Top of Buffer","Top of Conservation","Top of Inactive"
9/26/1999,345175809,330000000,347368421,16000000
9/27/1999,343753164,330000000,347500000,16000000
9/28/1999,342527934,330000000,347631579,16000000
9/29/1999,342307015,330000000,347763158,16000000
9/30/1999,342904640,330000000,347894737,16000000
10/1/1999,343263931,330000000,348026316,16000000
10/2/1999,342826653,330000000,348157895,16000000
10/3/1999,342669825,330000000,348289474,16000000
10/4/1999,342910114,330000000,348421053,16000000
10/5/1999,342870498,330000000,348552632,16000000
10/6/1999,342414793,330000000,348684211,16000000
10/7/1999,341516498,330000000,348815789,16000000
10/8/1999,341510167,330000000,348947368,16000000
10/9/1999,341818554,330000000,349078947,16000000
10/10/1999,341604177,330000000,349210526,16000000
10/11/1999,340779207,330000000,349342105,16000000
10/12/1999,340423715,330000000,349473684,16000000
10/13/1999,340349933,330000000,349605263,16000000
10/14/1999,341280793,330000000,349736842,16000000
10/15/1999,340967085,330000000,349868421,16000000
10/16/1999,341113319,330000000,350000000,16000000
10/17/1999,341264944,330000000,350131579,16000000
10/18/1999,340564612,330000000,350263158,16000000
10/19/1999,339915996,330000000,350394737,16000000
10/20/1999,340098472,330000000,350526316,16000000
10/21/1999,339614476,330000000,350657895,16000000
10/22/1999,338495262,330000000,350789474,16000000
10/23/1999,337830552,330000000,350921053,16000000
10/24/1999,337344218,330000000,351052632,16000000
10/25/1999,337693040,330000000,351184211,16000000
10/26/1999,337367202,330000000,351315789,16000000
10/27/1999,336747233,330000000,351447368,16000000
10/28/1999,336383062,330000000,351578947,16000000
10/29/1999,335953955,330000000,351710526,16000000
10/30/1999,335830350,330000000,351842105,16000000
10/31/1999,335408906,330000000,351973684,16000000
11/1/1999,335031723,330000000,352105263,16000000
11/2/1999,335556116,330000000,352236842,16000000
11/3/1999,336408342,330000000,352368421,16000000
11/4/1999,336874336,330000000,352500000,16000000
11/5/1999,336778396,330000000,352631579,16000000
11/6/1999,336917509,330000000,352763158,16000000
11/7/1999,337077031,330000000,352894737,16000000
11/8/1999,337477565,330000000,353026316,16000000
11/9/1999,337419057,330000000,353157895,16000000
11/10/1999,338261580,330000000,353289474,16000000
11/11/1999,339247467,330000000,353421053,16000000
11/12/1999,339646177,330000000,353552632,16000000
11/13/1999,339938649,330000000,353684211,16000000
11/14/1999,340226565,330000000,353815789,16000000
11/15/1999,340290318,330000000,353947368,16000000
11/16/1999,340525646,330000000,354078947,16000000
11/17/1999,340450006,330000000,354210526,16000000
11/18/1999,340604024,330000000,354342105,16000000
11/19/1999,340630240,330000000,354473684,16000000
11/20/1999,340905700,330000000,354605263,16000000
11/21/1999,341360769,330000000,354736842,16000000
11/22/1999,341447216,330000000,354868421,16000000
11/23/1999,341857624,330000000,355000000,16000000
11/24/1999,342089474,330000000,355131579,16000000
11/25/1999,344514557,330000000,355263158,16000000
11/26/1999,355394737,330000000,355394737,16000000
11/27/1999,355526316,330000000,355526316,16000000
11/28/1999,355657895,330000000,355657895,16000000
11/29/1999,355789474,330000000,355789474,16000000
11/30/1999,355921053,330000000,355921053,16000000
12/1/1999,356052632,330000000,356052632,16000000
12/2/1999,356184211,330000000,356184211,16000000
12/3/1999,356315789,330000000,356315789,16000000
12/4/1999,356447368,330000000,356447368,16000000
12/5/1999,356578947,330000000,356578947,16000000
12/6/1999,356710526,330000000,356710526,16000000
12/7/1999,356842105,330000000,356842105,16000000
12/8/1999,356973684,330000000,356973684,16000000
12/9/1999,357105263,330000000,357105263,16000000
12/10/1999,357236842,330000000,357236842,16000000
12/11/1999,357368421,330000000,357368421,16000000
12/12/1999,357070561,330000000,357500000,16000000
12/13/1999,356743047,330000000,357631579,16000000
12/14/1999,357763158,330000000,357763158,16000000
12/15/1999,357894737,330000000,357894737,16000000
12/16/1999,357874336,330000000,358026316,16000000
12/17/1999,357652731,330000000,358157895,16000000
12/18/1999,357362167,330000000,358289474,16000000
12/19/1999,357011080,330000000,358421053,16000000
12/20/1999,356614389,330000000,358552632,16000000
12/21/1999,356383474,330000000,358684211,16000000
12/22/1999,355918074,330000000,358815789,16000000
12/23/1999,355368698,330000000,358947368,16000000
12/24/1999,354768697,330000000,359078947,16000000
12/25/1999,354128857,330000000,359210526,16000000
12/26/1999,353455464,330000000,359342105,16000000
12/27/1999,352749770,330000000,359473684,16000000
12/28/1999,352016599,330000000,359605263,16000000
12/29/1999,351265247,330000000,359736842,16000000
12/30/1999,350492175,330000000,359868421,16000000
12/31/1999,349693829,330000000,360000000,16000000
1/1/2000,348877424,330000000,360131579,16000000
1/2/2000,348062228,330000000,360263158,16000000
1/3/2000,348375345,330000000,360394737,16000000
1/4/2000,349840550,330000000,360526316,16000000
1/5/2000,351213052,330000000,360657895,16000000
1/6/2000,351137602,330000000,360789474,16000000
1/7/2000,350724169,330000000,360921053,16000000
1/8/2000,350339074,330000000,361052632,16000000
1/9/2000,351222659,330000000,361184211,16000000
1/10/2000,354643434,330000000,361315789,16000000
1/11/2000,358368715,330000000,361447368,16000000
1/12/2000,361229244,330000000,361578947,16000000
1/13/2000,361710526,330000000,361710526,16000000
1/14/2000,361842105,330000000,361842105,16000000
1/15/2000,361973684,330000000,361973684,16000000
1/16/2000,362015294,330000000,362105263,16000000
1/17/2000,361943747,330000000,362236842,16000000
1/18/2000,361753235,330000000,362368421,16000000
1/19/2000,361436897,330000000,362500000,16000000
1/20/2000,361004910,330000000,362631579,16000000
1/21/2000,360476881,330000000,362763158,16000000
1/22/2000,359881605,330000000,362894737,16000000
1/23/2000,359235338,330000000,363026316,16000000
1/24/2000,358546037,330000000,363157895,16000000
1/25/2000,357815431,330000000,363289474,16000000
1/26/2000,357059856,330000000,363421053,16000000
1/27/2000,356280721,330000000,363552632,16000000
1/28/2000,355485099,330000000,363684211,16000000
1/29/2000,354672923,330000000,363815789,16000000
1/30/2000,353846060,330000000,363947368,16000000
1/31/2000,353003920,330000000,364078947,16000000
2/1/2000,352143804,330000000,364210526,16000000
2/2/2000,351273527,330000000,364342105,16000000
2/3/2000,350393818,330000000,364473684,16000000
2/4/2000,350754570,330000000,364605263,16000000
2/5/2000,351099900,330000000,364736842,16000000
2/6/2000,351438720,330000000,364868421,16000000
2/7/2000,351767555,330000000,365000000,16000000
2/8/2000,352086670,330000000,365131579,16000000
2/9/2000,352407465,330000000,365263158,16000000
2/10/2000,353296246,330000000,365394737,16000000
2/11/2000,355482951,330000000,365526316,16000000
2/12/2000,356594957,330000000,365657895,16000000
2/13/2000,357054440,330000000,365789474,16000000
2/14/2000,357660153,330000000,365921053,16000000
2/15/2000,359716882,330000000,366052632,16000000
2/16/2000,361176699,330000000,366184211,16000000
2/17/2000,362075705,330000000,366315789,16000000
2/18/2000,362794959,330000000,366447368,16000000
2/19/2000,363488315,330000000,366578947,16000000
2/20/2000,364132650,330000000,366710526,16000000
2/21/2000,364762136,330000000,366842105,16000000
2/22/2000,365853380,330000000,366973684,16000000
2/23/2000,367105263,330000000,367105263,16000000
2/24/2000,367236842,330000000,367236842,16000000
2/25/2000,367368421,330000000,367368421,16000000
2/26/2000,367500000,330000000,367500000,16000000
2/27/2000,367631579,330000000,367631579,16000000
2/28/2000,367763158,330000000,367763158,16000000
3/1/2000,367894737,330000000,367894737,16000000
3/2/2000,368026316,330000000,368026316,16000000
3/3/2000,368157895,330000000,368157895,16000000
3/4/2000,368289474,330000000,368289474,16000000
3/5/2000,368421053,330000000,368421053,16000000
3/6/2000,368552632,330000000,368552632,16000000
3/7/2000,368684211,330000000,368684211,16000000
3/8/2000,368815789,330000000,368815789,16000000
3/9/2000,368947368,330000000,368947368,16000000
3/10/2000,369078947,330000000,369078947,16000000
3/11/2000,369210526,330000000,369210526,16000000
3/12/2000,369342105,330000000,369342105,16000000
3/13/2000,369473684,330000000,369473684,16000000
3/14/2000,369605263,330000000,369605263,16000000
3/15/2000,369736842,330000000,369736842,16000000
3/16/2000,369868421,330000000,369868421,16000000
3/17/2000,370000000,330000000,370000000,16000000
3/18/2000,370131579,330000000,370131579,16000000
3/19/2000,370263158,330000000,370263158,16000000
3/20/2000,370394737,330000000,370394737,16000000
3/21/2000,370526316,330000000,370526316,16000000
3/22/2000,370657895,330000000,370657895,16000000
3/23/2000,370789474,330000000,370789474,16000000
3/24/2000,370921053,330000000,370921053,16000000
3/25/2000,371052632,330000000,371052632,16000000
3/26/2000,371184211,330000000,371184211,16000000
3/27/2000,371315789,330000000,371315789,16000000
3/28/2000,371447368,330000000,371447368,16000000
3/29/2000,371578947,330000000,371578947,16000000
3/30/2000,371710526,330000000,371710526,16000000
3/31/2000,371842105,330000000,371842105,16000000
4/1/2000,371973684,330000000,371973684,16000000
4/2/2000,372105263,330000000,372105263,16000000
4/3/2000,372236842,330000000,372236842,16000000
4/4/2000,372368421,330000000,372368421,16000000
4/5/2000,372500000,330000000,372500000,16000000
4/6/2000,372631579,330000000,372631579,16000000
4/7/2000,372763158,330000000,372763158,16000000
4/8/2000,372894737,330000000,372894737,16000000
4/9/2000,373026316,330000000,373026316,16000000
4/10/2000,373157895,330000000,373157895,16000000
4/11/2000,373289474,330000000,373289474,16000000
4/12/2000,373421053,330000000,373421053,16000000
4/13/2000,373552632,330000000,373552632,16000000
4/14/2000,373684211,330000000,373684211,16000000
4/15/2000,373815789,330000000,373815789,16000000
4/16/2000,373947368,330000000,373947368,16000000
4/17/2000,374078947,330000000,374078947,16000000
4/18/2000,374210526,330000000,374210526,16000000
4/19/2000,374342105,330000000,374342105,16000000
4/20/2000,374473684,330000000,374473684,16000000
4/21/2000,374605263,330000000,374605263,16000000
4/22/2000,374736842,330000000,374736842,16000000
4/23/2000,374868421,330000000,374868421,16000000
4/24/2000,375000000,330000000,375000000,16000000
4/25/2000,375131579,330000000,375131579,16000000
4/26/2000,375263158,330000000,375263158,16000000
4/27/2000,375394737,330000000,375394737,16000000
4/28/2000,375526316,330000000,375526316,16000000
4/29/2000,375657895,330000000,375657895,16000000
4/30/2000,375789474,330000000,375789474,16000000
5/1/2000,375921053,330000000,375921053,16000000
5/2/2000,376052632,330000000,376052632,16000000
5/3/2000,376184211,330000000,376184211,16000000
5/4/2000,376315789,330000000,376315789,16000000
5/5/2000,376447368,330000000,376447368,16000000
5/6/2000,376578947,330000000,376578947,16000000
5/7/2000,376710526,330000000,376710526,16000000
5/8/2000,376842105,330000000,376842105,16000000
5/9/2000,376973684,330000000,376973684,16000000
5/10/2000,377105263,330000000,377105263,16000000
5/11/2000,377236842,330000000,377236842,16000000
5/12/2000,377368421,330000000,377368421,16000000
5/13/2000,377500000,330000000,377500000,16000000
5/14/2000,377631579,330000000,377631579,16000000
5/15/2000,377763158,330000000,377763158,16000000
5/16/2000,377894737,330000000,377894737,16000000
5/17/2000,378026316,330000000,378026316,16000000
5/18/2000,378157895,330000000,378157895,16000000
5/19/2000,378289474,330000000,378289474,16000000
5/20/2000,378421053,330000000,378421053,16000000
5/21/2000,378552632,330000000,378552632,16000000
5/22/2000,378684211,330000000,378684211,16000000
5/23/2000,378815789,330000000,378815789,16000000
5/24/2000,378947368,330000000,378947368,16000000
5/25/2000,379078947,330000000,379078947,16000000
5/26/2000,379210526,330000000,379210526,16000000
5/27/2000,379342105,330000000,379342105,16000000
5/28/2000,379473684,330000000,379473684,16000000
5/29/2000,379605263,330000000,379605263,16000000
5/30/2000,379736842,330000000,379736842,16000000
5/31/2000,379868421,330000000,379868421,16000000
6/1/2000,379225728,330000000,380000000,16000000
6/2/2000,378703072,330000000,379344256,16000000
6/3/2000,378025920,330000000,378688512,16000000
6/4/2000,376895904,330000000,378032800,16000000
6/5/2000,376004384,330000000,377377056,16000000
6/6/2000,376721312,330000000,376721312,16000000
6/7/2000,376065568,330000000,376065568,16000000
6/8/2000,375409824,330000000,375409824,16000000
6/9/2000,374754112,330000000,374754112,16000000
6/10/2000,374098368,330000000,374098368,16000000
6/11/2000,373442624,330000000,373442624,16000000
6/12/2000,372786880,330000000,372786880,16000000
6/13/2000,372131136,330000000,372131136,16000000
6/14/2000,371475424,330000000,371475424,16000000
6/15/2000,370819680,330000000,370819680,16000000
6/16/2000,370163936,330000000,370163936,16000000
6/17/2000,369508192,330000000,369508192,16000000
6/18/2000,368852448,330000000,368852448,16000000
6/19/2000,368196736,330000000,368196736,16000000
6/20/2000,367360544,330000000,367540992,16000000
6/21/2000,366885248,330000000,366885248,16000000
6/22/2000,366229504,330000000,366229504,16000000
6/23/2000,365573760,330000000,365573760,16000000
6/24/2000,364308704,330000000,364918048,16000000
6/25/2000,364262304,330000000,364262304,16000000
6/26/2000,363606560,330000000,363606560,16000000
6/27/2000,362950816,330000000,362950816,16000000
6/28/2000,362295072,330000000,362295072,16000000
6/29/2000,361639360,330000000,361639360,16000000
6/30/2000,360457312,330000000,360983616,16000000
7/1/2000,359049696,330000000,360327872,16000000
7/2/2000,357502752,330000000,359672128,16000000
7/3/2000,356890624,330000000,359016384,16000000
7/4/2000,355920736,330000000,358360640,16000000
7/5/2000,354571904,330000000,357704928,16000000
7/6/2000,352404032,330000000,357049184,16000000
7/7/2000,350438560,330000000,356393440,16000000
7/8/2000,348596608,330000000,355737696,16000000
7/9/2000,346935584,330000000,355081952,16000000
7/10/2000,344455104,330000000,354426240,16000000
7/11/2000,341964864,330000000,353770496,16000000
7/12/2000,340277760,330000000,353114752,16000000
7/13/2000,338252768,330000000,352459008,16000000
7/14/2000,336465984,330000000,351803264,16000000
7/15/2000,338133536,330000000,351147552,16000000
7/16/2000,340432288,330000000,350491808,16000000
7/17/2000,341371232,330000000,349836064,16000000
7/18/2000,341260032,330000000,349180320,16000000
7/19/2000,341135296,330000000,348524576,16000000
7/20/2000,339888544,330000000,347868864,16000000
7/21/2000,339467456,330000000,347213120,16000000
7/22/2000,338377280,330000000,346557376,16000000
7/23/2000,336953408,330000000,345901632,16000000
7/24/2000,334791744,330000000,345245888,16000000
7/25/2000,332822336,330000000,344590176,16000000
7/26/2000,331865152,330000000,343934432,16000000
7/27/2000,331358080,330000000,343278688,16000000
7/28/2000,330305856,330000000,342622944,16000000
7/29/2000,329407776,330000000,341967200,16000000
7/30/2000,328679264,330000000,341311488,16000000
7/31/2000,328704000,330000000,340655744,16000000
8/1/2000,327455456,330000000,340000000,16000000
8/2/2000,325532896,330000000,340131584,16000000
8/3/2000,324752832,330000000,340263168,16000000
8/4/2000,322662976,330000000,340394752,16000000
8/5/2000,320769888,330000000,340526304,16000000
8/6/2000,319030016,330000000,340657888,16000000
8/7/2000,318643712,330000000,340789472,16000000
8/8/2000,317704704,330000000,340921056,16000000
8/9/2000,317367264,330000000,341052640,16000000
8/10/2000,316847104,330000000,341184224,16000000
8/11/2000,315907808,330000000,341315776,16000000
8/12/2000,319586848,330000000,341447360,16000000
8/13/2000,321011968,330000000,341578944,16000000
8/14/2000,322389472,330000000,341710528,16000000
8/15/2000,322994432,330000000,341842112,16000000
8/16/2000,322792256,330000000,341973696,16000000
8/17/2000,321706336,330000000,342105248,16000000
8/18/2000,320257632,330000000,342236832,16000000
8/19/2000,317306688,330000000,342368416,16000000
8/20/2000,314834208,330000000,342500000,16000000
8/21/2000,311292992,330000000,342631584,16000000
8/22/2000,308391456,330000000,342763168,16000000
8/23/2000,307263168,330000000,342894752,16000000
8/24/2000,305519136,330000000,343026304,16000000
8/25/2000,302550208,330000000,343157888,16000000
8/26/2000,299482912,330000000,343289472,16000000
8/27/2000,297734816,330000000,343421056,16000000
8/28/2000,294347712,330000000,343552640,16000000
8/29/2000,291557056,330000000,343684224,16000000
8/30/2000,288930656,330000000,343815776,16000000
8/31/2000,285936576,330000000,343947360,16000000
9/1/2000,283212096,330000000,344078944,16000000
9/2/2000,280660000,330000000,344210528,16000000
9/3/2000,277526880,330000000,344342112,16000000
9/4/2000,275889760,330000000,344473696,16000000
9/5/2000,273030496,330000000,344605248,16000000
9/6/2000,270754752,330000000,344736832,16000000
9/7/2000,267917440,330000000,344868416,16000000
9/8/2000,265448560,330000000,345000000,16000000
9/9/2000,263276272,330000000,345131584,16000000
9/10/2000,259508288,330000000,345263168,16000000
9/11/2000,256045952,330000000,345394752,16000000
9/12/2000,260538096,330000000,345526304,16000000
9/13/2000,261947232,330000000,345657888,16000000
9/14/2000,261855776,330000000,345789472,16000000
9/15/2000,263012560,330000000,345921056,16000000
9/16/2000,263893792,330000000,346052640,16000000
9/17/2000,264126480,330000000,346184224,16000000
9/18/2000,262913808,330000000,346315776,16000000
9/19/2000,262627360,330000000,346447360,16000000
9/20/2000,260014128,330000000,346578944,16000000
9/21/2000,257079168,330000000,346710528,16000000
9/22/2000,254333936,330000000,346842112,16000000
9/23/2000,252073680,330000000,346973696,16000000
9/24/2000,249933248,330000000,347105248,16000000
9/25/2000,247981312,330000000,347236832,16000000
9/26/2000,246210848,330000000,347368416,16000000
9/27/2000,244359904,330000000,347500000,16000000
9/28/2000,242400336,330000000,347631584,16000000
9/29/2000,239223248,330000000,347763168,16000000
9/30/2000,236660816,330000000,347894752,16000000
10/1/2000,233538896,330000000,348026304,16000000
10/2/2000,231146384,330000000,348157888,16000000
10/3/2000,228379056,330000000,348289472,16000000
10/4/2000,227310832,330000000,348421056,16000000
10/5/2000,228211280,330000000,348552640,16000000
10/6/2000,230549680,330000000,348684224,16000000
10/7/2000,230582864,330000000,348815776,16000000
10/8/2000,229614256,330000000,348947360,16000000
10/9/2000,229849552,330000000,349078944,16000000
10/10/2000,229636192,330000000,349210528,16000000
10/11/2000,230151520,330000000,349342112,16000000
10/12/2000,229595632,330000000,349473696,16000000
10/13/2000,229165088,330000000,349605248,16000000
10/14/2000,228131184,330000000,349736832,16000000
10/15/2000,227788784,330000000,349868416,16000000
10/16/2000,226685344,330000000,350000000,16000000
10/17/2000,226277584,330000000,350131584,16000000
10/18/2000,229782544,330000000,350263168,16000000
10/19/2000,232108640,330000000,350394752,16000000
10/20/2000,232723072,330000000,350526304,16000000
10/21/2000,233374976,330000000,350657888,16000000
10/22/2000,233502896,330000000,350789472,16000000
10/23/2000,233783424,330000000,350921056,16000000
10/24/2000,234013984,330000000,351052640,16000000
10/25/2000,233485072,330000000,351184224,16000000
10/26/2000,233454368,330000000,351315776,16000000
10/27/2000,233401488,330000000,351447360,16000000
10/28/2000,232738464,330000000,351578944,16000000
10/29/2000,232135888,330000000,351710528,16000000
10/30/2000,231523424,330000000,351842112,16000000
10/31/2000,231138160,330000000,351973696,16000000
11/1/2000,230771760,330000000,352105248,16000000
11/2/2000,230337856,330000000,352236832,16000000
11/3/2000,229718592,330000000,352368416,16000000
11/4/2000,229115536,330000000,352500000,16000000
11/5/2000,228903008,330000000,352631584,16000000
11/6/2000,228699984,330000000,352763168,16000000
11/7/2000,228534000,330000000,352894752,16000000
11/8/2000,228305728,330000000,353026304,16000000
11/9/2000,227642160,330000000,353157888,16000000
11/10/2000,228853184,330000000,353289472,16000000
11/11/2000,229781520,330000000,353421056,16000000
11/12/2000,229805552,330000000,353552640,16000000
11/13/2000,230241504,330000000,353684224,16000000
11/14/2000,231709696,330000000,353815776,16000000
11/15/2000,233119408,330000000,353947360,16000000
11/16/2000,234081792,330000000,354078944,16000000
11/17/2000,234930256,330000000,354210528,16000000
11/18/2000,235678128,330000000,354342112,16000000
11/19/2000,236398032,330000000,354473696,16000000
11/20/2000,236997312,330000000,354605248,16000000
11/21/2000,237525328,330000000,354736832,16000000
11/22/2000,237933952,330000000,354868416,16000000
11/23/2000,238298544,330000000,355000000,16000000
11/24/2000,238653184,330000000,355131584,16000000
11/25/2000,239024704,330000000,355263168,16000000
11/26/2000,240180320,330000000,355394752,16000000
11/27/2000,241149248,330000000,355526304,16000000
11/28/2000,242001456,330000000,355657888,16000000
11/29/2000,243265360,330000000,355789472,16000000
11/30/2000,244626848,330000000,355921056,16000000
12/1/2000,245561904,330000000,356052640,16000000
12/2/2000,246338912,330000000,356184224,16000000
12/3/2000,247110064,330000000,356315776,16000000
12/4/2000,247848032,330000000,356447360,16000000
12/5/2000,248535200,330000000,356578944,16000000
12/6/2000,249171952,330000000,356710528,16000000
12/7/2000,249765200,330000000,356842112,16000000
12/8/2000,250316352,330000000,356973696,16000000
12/9/2000,250828512,330000000,357105248,16000000
12/10/2000,251307184,330000000,357236832,16000000
12/11/2000,251831696,330000000,357368416,16000000
12/12/2000,252356208,330000000,357500000,16000000
12/13/2000,252787728,330000000,357631584,16000000
12/14/2000,253197568,330000000,357763168,16000000
12/15/2000,253590672,330000000,357894752,16000000
12/16/2000,254285680,330000000,358026304,16000000
12/17/2000,268598208,330000000,358157888,16000000
12/18/2000,276191968,330000000,358289472,16000000
12/19/2000,278270016,330000000,358421056,16000000
12/20/2000,280584256,330000000,358552640,16000000
12/21/2000,282962720,330000000,358684224,16000000
12/22/2000,285276640,330000000,358815776,16000000
12/23/2000,287437952,330000000,358947360,16000000
12/24/2000,289394528,330000000,359078944,16000000
12/25/2000,290929664,330000000,359210528,16000000
12/26/2000,292105824,330000000,359342112,16000000
12/27/2000,293047040,330000000,359473696,16000000
12/28/2000,293827328,330000000,359605248,16000000
12/29/2000,294501792,330000000,359736832,16000000
12/30/2000,295102880,330000000,359868416,16000000
12/31/2000,295649920,330000000,360000000,16000000
1/1/2001,296153376,330000000,360131584,16000000
1/2/2001,296628544,330000000,360263168,16000000
1/3/2001,297083680,330000000,360394752,16000000
1/4/2001,296505728,330000000,360526304,16000000
1/5/2001,295801056,330000000,360657888,16000000
1/6/2001,295081760,330000000,360789472,16000000
1/7/2001,294347456,330000000,360921056,16000000
1/8/2001,293623616,330000000,361052640,16000000
1/9/2001,292878528,330000000,361184224,16000000
1/10/2001,292112064,330000000,361315776,16000000
1/11/2001,291340064,330000000,361447360,16000000
1/12/2001,290058528,330000000,361578944,16000000
1/13/2001,288643520,330000000,361710528,16000000
1/14/2001,287223168,330000000,361842112,16000000
1/15/2001,285903104,330000000,361973696,16000000
1/16/2001,284475200,330000000,362105248,16000000
1/17/2001,282967680,330000000,362236832,16000000
1/18/2001,281430464,330000000,362368416,16000000
1/19/2001,279992064,330000000,362500000,16000000
1/20/2001,278493120,330000000,362631584,16000000
1/21/2001,276948992,330000000,362763168,16000000
