Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
4/20/2006, ,-90246.9,130288,-40041.5,0
4/21/2006, ,-73350.5,118335,-44984.5,0
4/22/2006, ,-1181780,1220449,-38668.7,0
4/23/2006, ,-3314240,3013236,301002,0
4/24/2006, ,-3450340,3282380,167960,0
4/25/2006, ,-1864690,1722645,142043,0
4/26/2006, ,-441925,1247752,-36138,-769689
4/27/2006, ,-111570,892016,-30918.8,-749527
4/28/2006, ,-111570,654698,-36732.7,-506395
4/29/2006, ,-111570,499908,-32313.6,-356024
4/30/2006, ,-111570,343251,-34767.7,-196913
5/1/2006, ,-111570,234172,-40157.9,-82443.6
5/2/2006, ,-111570,174017,-40788.8,-21658
5/3/2006, ,-98182.6,144340,-39072.1,-7085.36
5/4/2006, ,-85052.1,127469,-42416.9,0
5/5/2006, ,-66814.3,117121,-50306.5,0
5/6/2006, ,-62943.8,110369,-47425.3,0
5/7/2006, ,-65353,105540,-40187,0
5/8/2006, ,-63618,101685,-38067,0
5/9/2006, ,-55061.7,98401,-43339.3,0
5/10/2006, ,-50856.4,95523.4,-44667,0
5/11/2006, ,-284793,329801,-45007.9,0
5/12/2006, ,-283027,3517946,142798,-3377720
5/13/2006, ,-111570,1418770,288133,-1595330
5/14/2006, ,-111570,1244913,-14687.3,-1118660
5/15/2006, ,-111570,1540814,-44694.1,-1384550
5/16/2006, ,-111570,3182198,-8697.1,-3061930
5/17/2006, ,-111570,1813929,192358,-1894720
5/18/2006, ,-111570,1361604,-36187,-1213850
5/19/2006, ,-111570,1425765,-7022.72,-1307170
5/20/2006, ,-111570,809228,37692.8,-735351
5/21/2006, ,-111570,826619,-35940.4,-679108
5/22/2006, ,-111570,535439,18012.6,-441881
5/23/2006,68258, ,384889,-37770.4,-415377
5/24/2006,162698, ,278912,-37362.5,-404248
5/25/2006,223460, ,225963,-45175.1,-404248
5/26/2006,528085, ,819063,-51570.5,-1295580
5/27/2006,79279.1, ,414150,124193,-617622
5/28/2006,267257, ,343922,-61053.5,-550126
5/29/2006,345765, ,273074,-61213.1,-557626
5/30/2006, ,-405129,1022493,-67237.8,-550126
5/31/2006, ,-182167,612595,104941,-535369
6/1/2006, ,-112251,948542,-65292.4,-770999
6/2/2006, ,-207590,940415,4547.13,-737372
6/3/2006, ,-788042,1548817,-23402.6,-737372
6/4/2006, ,-319821,1016474,111007,-807660
6/5/2006,221311, ,671282,-13751.6,-878842
6/6/2006,221311, ,490842,-49930,-662223
6/7/2006,221311, ,1368073,-54637.1,-1534750
6/8/2006,221311, ,1431142,139029,-1791480
6/9/2006,221311, ,1486830,35731,-1743870
6/10/2006,221311, ,898401,31731.8,-1151440
6/11/2006,221311, ,583447,-42882.2,-761876
6/12/2006,653584, ,417062,-45146.4,-1025500
6/13/2006,295489, ,320070,-54062.4,-561496
6/14/2006, ,-285138,1077307,-58918.3,-733250
6/15/2006,221311, ,625613,111152,-958076
6/16/2006,221311, ,425753,-55747.2,-591317
6/17/2006,252073, ,348448,-57893.9,-542627
6/18/2006,335570, ,260171,-56742.8,-538998
6/19/2006,316749, ,301608,-71859.8,-546497
6/20/2006, ,-19146.2,242400,-33081.5,-190173
6/21/2006,221311, ,205901,-57467.4,-369745
6/22/2006,298374, ,176132,-59128.4,-415377
6/23/2006,188145, ,211142,-62292.1,-336995
6/24/2006,177416, ,341890,-26309.1,-492997
6/25/2006,221311, ,5180300,33267.7,-5434880
6/26/2006,221311, ,11698840,566921,-12487100
6/27/2006,221311, ,6914560,566800,-7702670
6/28/2006,221311, ,6596280,246797,-7064390
6/29/2006,221311, ,4056720,247783,-4525810
6/30/2006,221311, ,1923793,67864.4,-2212970
7/1/2006,221311, ,1031386,-50225.7,-1202470
7/2/2006,481590, ,651803,-61589.8,-1071800
7/3/2006,297588, ,434760,-66100.7,-666248
7/4/2006,330787, ,446112,-62025.6,-714874
7/5/2006,943781, ,315858,-5767.33,-1253870
7/6/2006,1104424, ,253006,-61692.5,-1295740
7/7/2006,1128828, ,224552,-57642.8,-1295740
7/8/2006,974796, ,209262,-57436,-1126620
7/9/2006,981626, ,201498,-64002.2,-1119120
7/10/2006,415231, ,191304,-63908,-542627
7/11/2006,353608, ,253716,-64697.4,-542627
7/12/2006,103641, ,432842,2514.27,-538998
7/13/2006,275016, ,229184,49797.7,-553997
7/14/2006,319227, ,216420,-67774.2,-467873
7/15/2006,388214, ,294506,-68968.8,-613751
7/16/2006,400148, ,222441,-27465.3,-595123
7/17/2006,414204, ,205513,-69590.9,-550126
7/18/2006,554877, ,189430,-74188.9,-670118
7/19/2006, ,-101040,172482,-71442.2,0
7/20/2006,356321, ,156834,-63909.6,-449245
7/21/2006,116146, ,241949,-66096.8,-291997
7/22/2006, ,-1211740,1537761,37101.9,-363122
7/23/2006, ,-388556,469869,292937,-374250
7/24/2006, ,-12924,445248,-58073.9,-374250
7/25/2006,28219.2, ,393399,-58496.7,-363122
7/26/2006, ,-194516,364311,-65043.6,-104751
7/27/2006,155323, ,399917,-61239.5,-494001
7/28/2006, ,-135155,695703,-36549,-523999
7/29/2006, ,-284727,596489,58859.9,-370621
7/30/2006,41716.2, ,353809,-39902.6,-355622
7/31/2006, ,-94854.4,253066,-64588.3,-93623
8/1/2006,401579, ,194164,-60373.5,-535369
8/2/2006,402021, ,161483,-73132.7,-490372
8/3/2006,892774, ,208101,-75376.8,-1025500
8/4/2006,846188, ,165115,-11931.2,-999372
8/5/2006,841228, ,137926,-58406.1,-920748
8/6/2006,1058768, ,124748,-60523.5,-1122990
8/7/2006,1064131, ,139098,-57737.1,-1145490
8/8/2006,1106837, ,115177,-42895.9,-1179120
8/9/2006,1241132, ,109783,-55174.4,-1295740
8/10/2006,1056025, ,105480,-53511.1,-1107990
8/11/2006,1073733, ,101851,-56461.6,-1119120
8/12/2006,1069831, ,98112.4,-48821.9,-1119120
8/13/2006,1070014, ,95248.4,-46140,-1119120
8/14/2006,1074431, ,96766.8,-48205.1,-1122990
8/15/2006,1033028, ,137633,-44039.7,-1126620
8/16/2006,1019545, ,92717.5,6859.9,-1119120
8/17/2006,1102318, ,90119.6,-54445.8,-1137990
8/18/2006,1117724, ,87612.8,-56216.3,-1149120
8/19/2006, ,-681546,1889085,-58419.1,-1149120
8/20/2006,228064, ,581563,339493,-1149120
8/21/2006,579582, ,596004,-41464.8,-1134120
8/22/2006,605431, ,592352,-52291.4,-1145490
8/23/2006,762027, ,468911,-48191.3,-1182750
8/24/2006,832390, ,369465,-52735,-1149120
8/25/2006,218527, ,966465,-50871.4,-1134120
8/26/2006, ,-94394.5,1105800,130215,-1141620
8/27/2006, ,-1844920,2954260,32280,-1141620
8/28/2006, ,-572868,1301610,289257,-1018000
8/29/2006, ,-4508370,5760930,-36185.3,-1216370
8/30/2006, ,-2242700,2244206,421367,-422876
8/31/2006, ,-1267480,1314829,-47344.6,0
9/1/2006, ,-912711,955943,-43232.1,0
9/2/2006, ,-2371510,2480296,-18414.1,-90371.5
9/3/2006,221311, ,1705194,180678,-2107180
9/4/2006,221311, ,893579,-25531.6,-1089360
9/5/2006,221311, ,793063,-43966.5,-970408
9/6/2006,221311, ,466550,246.945,-688108
9/7/2006,221311, ,334583,-43585.7,-512309
9/8/2006,221311, ,268582,-45113,-444781
9/9/2006,221311, ,333279,-47323.8,-507267
9/10/2006,221311, ,230472,4923.54,-456707
9/11/2006,221311, ,197965,-39577.1,-379699
9/12/2006,221311, ,179240,-34249.7,-366302
9/13/2006,221311, ,175047,-33943.6,-362415
9/14/2006,221311, ,4602910,-30118.2,-4794100
9/15/2006,221311, ,2666153,542559,-3430020
9/16/2006,221311, ,1649497,73434.9,-1944240
9/17/2006,221311, ,1220203,-45724.1,-1395790
9/18/2006,221311, ,873123,-46218.3,-1048220
9/19/2006,221311, ,835046,-45911.6,-1010450
9/20/2006,221311, ,639469,-4254.15,-856526
9/21/2006,221311, ,502659,-30935.1,-693035
9/22/2006,221311, ,329568,-30934.4,-519945
9/23/2006,221311, ,346230,-32503.8,-535038
9/24/2006,221311, ,275334,-5082.68,-491563
9/25/2006,221311, ,220362,-32274.2,-409400
9/26/2006,221311, ,196444,-33852.5,-383903
9/27/2006,221311, ,178687,-34124.4,-365874
9/28/2006,221311, ,898582,-33434.7,-1086460
9/29/2006,221311, ,663114,204280,-1088710
9/30/2006,221311, ,712017,5424.58,-938753
10/1/2006,221311, ,2017374,3044.91,-2241730
10/2/2006, ,-111570,1138682,141249,-1168360
10/3/2006, ,-111570,904344,-31453.5,-761320
10/4/2006, ,-111570,898866,-36280,-751016
10/5/2006, ,-111570,668400,-3345.85,-553484
10/6/2006, ,-111570,472705,-28638.2,-332497
10/7/2006, ,-111570,356483,-25682.7,-219230
10/8/2006, ,-111570,283143,-26987.1,-144585
10/9/2006, ,-111570,221992,-31348.1,-79073.5
10/10/2006, ,-111570,188455,-36032.6,-40852.1
10/11/2006, ,-111570,873080,-34275.5,-727234
10/12/2006, ,-111570,499272,164685,-552387
10/13/2006, ,-111570,423706,-8727.94,-303408
10/14/2006, ,-111570,406639,-19785.8,-275283
10/15/2006, ,-111570,382375,-21352.8,-249452
10/16/2006, ,-111570,354334,-20322.6,-222441
10/17/2006, ,-111570,3102930,-21656.1,-2969700
10/18/2006, ,-111570,1631806,383854,-1904090
10/19/2006, ,-111570,2079900,-29302.3,-1939030
10/20/2006, ,-111570,3753750,89134.7,-3731310
10/21/2006, ,-111570,1884007,240316,-2012750
10/22/2006, ,-111570,1256411,-19509.6,-1125330
10/23/2006, ,-111570,888827,-17165.7,-760091
10/24/2006, ,-111570,686672,-19373.9,-555728
10/25/2006, ,-111570,512362,-16791.5,-384000
10/26/2006, ,-111570,402581,-6967.23,-284044
10/27/2006, ,-111570,697837,-14067.2,-572200
10/28/2006, ,-111570,7575250,111956,-7575640
10/29/2006, ,-111570,2573017,613310,-3074760
10/30/2006, ,-111570,1899134,-17305,-1770260
10/31/2006, ,-111570,1354367,-18741.2,-1224060
11/1/2006, ,-111570,1121726,-24779,-985377
11/2/2006, ,-111570,1472862,2424.8,-1363720
11/3/2006, ,-111570,1100106,79486.8,-1068020
11/4/2006,177432, ,808594,-9153.4,-976873
11/5/2006,458634, ,528996,-10756.9,-976873
11/6/2006,563569, ,425398,-12094.5,-976873
11/7/2006,620342, ,371882,-15351.5,-976873
11/8/2006, ,-2230570,3219090,-11645.9,-976873
11/9/2006, ,-258828,1460242,376541,-1577950
11/10/2006, ,-111570,1163169,-24671.5,-1026930
11/11/2006, ,-111570,957187,-18888.6,-826728
11/12/2006, ,-111570,1070690,-20598.2,-938522
11/13/2006, ,-111570,1149222,26163,-1063810
11/14/2006, ,-111570,996792,22540.2,-907762
11/15/2006, ,-111570,865899,-8357.35,-745971
11/16/2006, ,-111570,4287160,-4861.28,-4170730
11/17/2006, ,-111570,2019861,376010,-2284300
11/18/2006, ,-111570,1322163,-18194.4,-1192400
11/19/2006, ,-111570,970571,-14500.8,-844500
11/20/2006, ,-111570,749154,-13745.6,-623838
11/21/2006, ,-111570,603445,-11808.4,-480066
11/22/2006,397770, ,508807,-11957.3,-894620
11/23/2006,203020, ,790999,-13275.8,-980744
11/24/2006,383498, ,510866,86379.6,-980744
11/25/2006,572221, ,417742,-13090.5,-976873
11/26/2006,626027, ,363392,-12546.1,-976873
11/27/2006,665158, ,326776,-15061.5,-976873
11/28/2006,693220, ,300119,-16466.6,-976873
11/29/2006,713080, ,279714,-15921.4,-976873
11/30/2006,719064, ,272694,-14884.4,-976873
12/1/2006, ,-665445,1656988,-14670.5,-976873
12/2/2006,40372, ,698953,237548,-976873
12/3/2006,347006, ,634818,-4950.75,-976873
12/4/2006,386744, ,599568,-9439.04,-976873
12/5/2006,424611, ,562106,-9844.18,-976873
12/6/2006,466214, ,518473,-7813.82,-976873
12/7/2006,511338, ,474355,-8819.65,-976873
12/8/2006,553887, ,431728,-8742.37,-976873
12/9/2006,627491, ,351512,-5759.19,-973244
12/10/2006,683846, ,297066,-7668.54,-973244
12/11/2006,36505.2, ,259420,-11427.7,-284498
12/12/2006, ,-221284,232938,-11654.1,0
12/13/2006, ,-513386,524402,-11016.2,0
12/14/2006, ,-362877,285906,76971.3,0
12/15/2006, ,-345762,360275,-14513,0
12/16/2006, ,-270581,271298,-716.758,0
12/17/2006, ,-248523,259742,-11218.4,0
12/18/2006, ,-234889,248726,-13837.3,0
12/19/2006,174645, ,238128,-12152.9,-400620
12/20/2006,293965, ,228600,-9694.91,-512870
12/21/2006, ,-102407,209056,-9397.37,-97251.8
12/22/2006, ,-600457,632697,-11036.5,-21203.8
12/23/2006, ,-722910,663546,75696.5,-16332.6
12/24/2006, ,-399766,340921,58844.9,0
12/25/2006, ,-714037,725403,-11366.2,0
12/26/2006, ,-674898,594266,80632.4,0
12/27/2006, ,-530132,522186,7946.41,0
12/28/2006, ,-325156,483088,-8183.95,-149748
12/29/2006, ,-430841,441372,-10531.3,0
12/30/2006, ,-373648,383621,-9973.12,0
12/31/2006, ,-312787,322629,-9841.74,0
1/1/2007, ,-1433900,1442974,-9069.29,0
1/2/2007, ,-492193,572631,196560,-276998
1/3/2007, ,-56496.9,471484,-10738.8,-404248
1/4/2007, ,-24853.8,417815,-11211.4,-381750
1/5/2007, ,-1740340,2161702,-13488.9,-407877
1/6/2007, ,-2456580,2237202,219376,0
1/7/2007, ,-509339,2853178,85597.2,-2429440
1/8/2007, ,-111570,3454720,142378,-3485530
1/9/2007, ,-111570,1439297,164062,-1491790
1/10/2007,312870, ,1003041,-3474.47,-1312440
1/11/2007,545974, ,757840,-8062.91,-1295750
1/12/2007,696858, ,604898,-6758.66,-1295000
1/13/2007,488007, ,816132,-9141.51,-1295000
1/14/2007,498065, ,710083,83221,-1291370
1/15/2007, ,-1111730,2363611,39489.1,-1291370
1/16/2007, ,-181318,1174098,298589,-1291370
1/17/2007,375547, ,926860,-11038.1,-1291370
1/18/2007,534196, ,763690,-6517.18,-1291370
1/19/2007,211887, ,642832,-8724.73,-845994
1/20/2007,183408, ,552943,-10107.3,-726244
1/21/2007,259238, ,468978,-5843.12,-722373
1/22/2007,461245, ,401602,-5724.34,-857123
1/23/2007, ,-88423.1,316526,-7229.95,-220873
1/24/2007, ,-75885.5,266979,-7717.91,-183375
1/25/2007,113782, ,235390,-8548.66,-340623
1/26/2007,165673, ,214186,-5608.8,-374250
1/27/2007,179539, ,198754,-4043.07,-374250
1/28/2007,201671, ,186643,-6563.69,-381750
1/29/2007,220402, ,176953,-8105.4,-389249
1/30/2007,233907, ,169049,-6206.41,-396749
1/31/2007, ,-144557,162194,-6509.14,-11128.3
2/1/2007,419837, ,156058,-6898.42,-568996
2/2/2007,411274, ,150374,-7651.48,-553997
2/3/2007, ,-135852,145111,-9259.29,0
2/4/2007, ,-129198,140349,-7521.98,-3628.8
2/5/2007,449632, ,136015,-5523.22,-580124
2/6/2007,460056, ,131955,-4387.63,-587624
2/7/2007,154279, ,128104,-5384.3,-276998
2/8/2007,247605, ,124458,-5312.57,-366751
2/9/2007,345076, ,120991,-5693.32,-460374
2/10/2007, ,-111575,117687,-6111.64,0
2/11/2007, ,-107671,114532,-6860.72,0
2/12/2007,359413, ,111497,-6665.87,-464244
2/13/2007,726455, ,108592,-7922.59,-827124
2/14/2007,753684, ,105825,-6014.75,-853494
2/15/2007,626042, ,103177,-6845.41,-722373
2/16/2007,185456, ,100645,-5473.87,-280627
2/17/2007, ,-91843.2,98189.1,-6345.86,0
2/18/2007, ,-88245.1,95822.1,-7576.96,0
2/19/2007, ,-86796.7,93565.8,-6769.06,0
2/20/2007,241164, ,153837,-5751.33,-389249
2/21/2007,107294, ,265269,31685.4,-404248
2/22/2007, ,-18299.1,347540,75007.3,-404248
2/23/2007,228577, ,103811,75488.8,-407877
2/24/2007, ,-95676.2,106106,-10430.3,0
2/25/2007, ,-100785,108141,-7355.86,0
2/26/2007,248911, ,172620,-9783.02,-411748
2/27/2007,106166, ,277894,16559.4,-400620
2/28/2007,219490, ,154155,49231.4,-422876
3/1/2007,303331, ,128357,-12440.1,-419247
3/2/2007, ,-1505830,1917036,-10582.2,-400620
3/3/2007, ,-1840450,1577531,262920,0
3/4/2007, ,-733702,584478,149224,0
3/5/2007, ,-131624,552979,-13477.7,-407877
3/6/2007, ,-172296,581670,-8754.46,-400620
3/7/2007, ,-149589,566393,-5056.58,-411748
3/8/2007, ,-107924,521643,-5841.8,-407877
3/9/2007, ,-56591.5,463967,-6756.01,-400620
3/10/2007, ,-1058900,1066709,-7807.85,0
3/11/2007, ,-2041190,1958465,82723.9,0
3/12/2007, ,-2794140,3086763,92993.5,-385620
3/13/2007, ,-3462370,3758954,100161,-396749
3/14/2007, ,-2794050,4433628,21397.1,-1660980
3/15/2007, ,-111570,2843327,-16736.4,-2715020
3/16/2007, ,-111570,1406976,30909.9,-1326320
3/17/2007, ,-111570,872174,-15505.3,-745098
3/18/2007, ,-111570,610941,-9639.68,-489731
3/19/2007, ,-111570,440691,-10682.3,-318438
3/20/2007, ,-81391.9,329876,-12611.8,-235872
3/21/2007, ,-15257.3,255538,-11908.6,-228372
3/22/2007, ,-238062,1562240,-10661.1,-1313520
3/23/2007, ,-111570,2710857,179338,-2778620
3/24/2007, ,-111570,2237974,210255,-2336660
3/25/2007, ,-111570,1242256,25944.7,-1156630
3/26/2007, ,-111570,1242071,-27359.9,-1103140
3/27/2007, ,-111570,801775,-209.521,-689995
3/28/2007, ,-111570,620609,-38276.4,-470762
3/29/2007, ,-111570,500193,-26238.5,-362384
3/30/2007, ,-111570,380563,-23156,-245836
3/31/2007, ,-111570,286630,-26635.6,-148424
4/1/2007, ,-111570,463210,-25601.3,-326038
4/2/2007, ,-111570,252670,25727.1,-166826
4/3/2007,451269, ,198982,-32628.5,-617622
4/4/2007, ,-412917,506830,-33917.3,-59996.2
4/5/2007, ,-28293,275795,104250,-351752
4/6/2007,100349, ,265869,-14466.4,-351752
4/7/2007, ,-245315,259242,-13926.8,0
4/8/2007, ,-237811,252184,-14373.1,0
4/9/2007, ,-226461,240311,-13849.4,0
4/10/2007, ,-212948,226658,-13709.9,0
4/11/2007, ,-192004,228977,-16190.4,-20782.3
4/12/2007, ,-111570,431263,-15833.4,-303859
4/13/2007, ,-20519.2,432220,71171.5,-482872
4/14/2007,23075, ,534454,18966.4,-576495
4/15/2007, ,-337267,9149350,3092.13,-8815180
4/16/2007, ,-111570,8984610,737234,-9610270
4/17/2007, ,-111570,4615706,322331,-4826470
4/18/2007, ,-111570,3433400,52715.2,-3374540
4/19/2007, ,-111570,2172123,10559.5,-2071110
4/20/2007, ,-111570,1167909,-29578.1,-1026760
4/21/2007, ,-111570,735537,-37141.6,-586825
4/22/2007, ,-111570,512788,-40582.9,-360635
4/23/2007,334182, ,395074,-44380,-684876
4/24/2007,721278, ,270810,-41341.7,-950746
4/25/2007,288778, ,698096,-39999,-946875
4/26/2007,588653, ,278983,71980.9,-939617
4/27/2007,855785, ,471677,-36093.4,-1291370
4/28/2007,952429, ,311434,31936.6,-1295800
4/29/2007,1029853, ,298032,-32086.9,-1295800
4/30/2007,1043106, ,288280,-35527.9,-1295860
5/1/2007,161774, ,328347,-37246.3,-452874
5/2/2007,90287, ,345529,-12939.5,-422876
5/3/2007,471458, ,279028,-20612.8,-729873
5/4/2007,111499, ,248427,-37930.5,-321996
5/5/2007, ,-176833,215506,-38673.4,0
5/6/2007, ,-150607,192112,-41504.5,0
5/7/2007,232520, ,174593,-36491.8,-370621
5/8/2007,221708, ,160652,-41735.9,-340623
5/9/2007,273155, ,148651,-47555.4,-374250
5/10/2007,133544, ,296901,-56195.1,-374250
5/11/2007,50997.7, ,296513,30610.2,-378121
5/12/2007, ,-222310,241048,-18738.9,0
5/13/2007, ,-168272,202218,-33946.5,0
5/14/2007,124385, ,192258,-39645,-276998
5/15/2007,548116, ,179497,-42737.1,-684876
5/16/2007,15012.9, ,278518,-57658.7,-235872
5/17/2007,120580, ,215681,733.641,-336995
5/18/2007,196882, ,187951,-44209.8,-340623
5/19/2007, ,-225980,267190,-41209.5,0
5/20/2007, ,-235228,232173,3054.49,0
5/21/2007,136848, ,185264,-37614.3,-284498
5/22/2007,168319, ,165558,-45749.9,-288127
5/23/2007,178457, ,149478,-47308.5,-280627
5/24/2007,214878, ,132331,-55210.9,-291997
5/25/2007,728991, ,119362,-62355.7,-785998
5/26/2007,571982, ,110080,-68311.1,-613751
5/27/2007,549114, ,135711,-59704.2,-625121
5/28/2007,532037, ,124013,-30928.9,-625121
5/29/2007,240933, ,103423,-41230.4,-303126
5/30/2007,149631, ,97336.1,-52221.4,-194746
5/31/2007,136178, ,121620,-59423.5,-198374
6/1/2007,119407, ,114126,-38787.3,-194746
6/2/2007, ,-88676.3,143703,-55027,0
6/3/2007, ,-424001,462324,-38322.9,0
6/4/2007, ,-432273,382003,50270.1,0
6/5/2007, ,-281477,309821,-28344,0
6/6/2007, ,-221319,265804,-44485.1,0
6/7/2007, ,-199262,242210,-42948,0
6/8/2007, ,-2653710,2702300,-48587,0
6/9/2007, ,-1811820,1441490,370333,0
6/10/2007, ,-878597,922773,-44176.3,0
6/11/2007, ,-366722,616140,-58543.1,-190875
6/12/2007, ,-189550,439609,-55313.5,-194746
6/13/2007, ,-54633.6,298030,-48650.5,-194746
6/14/2007, ,-98882.9,228788,-55151.4,-74753.3
6/15/2007, ,-135704,185372,-49667.3,0
6/16/2007, ,-161536,217524,-55988.5,0
6/17/2007, ,-126501,139026,-12525,0
6/18/2007,139018, ,115131,-63275,-190875
6/19/2007, ,-312715,375984,-63268.7,0
6/20/2007,449375, ,186193,41808.5,-677376
6/21/2007,556960, ,224652,-51739.1,-729873
6/22/2007,1125058, ,167509,-27325.6,-1265240
6/23/2007,1193851, ,153935,-51999.5,-1295790
6/24/2007,1206721, ,136389,-47323.8,-1295790
6/25/2007,1227289, ,120931,-52433.7,-1295790
6/26/2007,331356, ,107533,-64638,-374250
6/27/2007,317158, ,165613,-71023.4,-411748
6/28/2007,76733.2, ,124119,-13606.4,-187246
6/29/2007,331888, ,96504.7,-50272.1,-378121
6/30/2007, ,-36222.1,90641,-54418.9,0
7/1/2007, ,-31329.6,81748.5,-50418.9,0
7/2/2007,361884, ,77099.3,-49733.9,-389249
7/3/2007,174011, ,73541.2,-49178.2,-198374
7/4/2007, ,-467412,724532,-54874.8,-202245
7/5/2007, ,-1103640,1115969,182418,-194746
7/6/2007, ,-461054,572128,79800.6,-190875
7/7/2007, ,-423744,466779,-43035.1,0
7/8/2007, ,-423783,486500,-62717.2,0
7/9/2007, ,-134325,379838,-50767.4,-194746
7/10/2007, ,-73840.4,341689,-69474.5,-198374
7/11/2007, ,-395402,642360,-56083.1,-190875
7/12/2007, ,-413260,387464,25796.5,0
7/13/2007, ,-177907,233981,-56073.9,0
7/14/2007, ,-99882.7,158925,-59042.3,0
7/15/2007, ,-92637.3,150732,-58095,0
7/16/2007, ,-60602.8,110841,-50237.8,0
7/17/2007,56687, ,115794,-62715.1,-109766
7/18/2007,221311, ,214720,-46688.1,-389344
7/19/2007,221311, ,518472,5607.82,-745391
7/20/2007,221311, ,237923,57332.3,-516566
7/21/2007,221311, ,202710,-54849.3,-369172
7/22/2007,221311, ,175714,-56796.9,-340228
7/23/2007,221311, ,2378733,-57886.8,-2542160
7/24/2007,221311, ,1084052,284780,-1590140
7/25/2007,221311, ,790441,-55994.1,-955759
7/26/2007,221311, ,517843,-62771.9,-676382
7/27/2007,221311, ,1295739,-64799.7,-1452250
7/28/2007,221311, ,992998,123514,-1337820
7/29/2007,221311, ,1580766,-32108.6,-1769970
7/30/2007,221311, ,875528,96259.1,-1193100
7/31/2007,221311, ,447130,-65639.3,-602802
8/1/2007,221311, ,280716,-62521.8,-439506
8/2/2007,221311, ,200706,-65036.2,-356981
8/3/2007,221311, ,347920,-68262.1,-500969
8/4/2007,221311, ,194779,39674.9,-455765
8/5/2007,221311, ,152187,-60282.2,-313216
8/6/2007,221311, ,121567,-53475.5,-289403
8/7/2007,221311, ,383238,-59300.7,-545249
8/8/2007,221311, ,554250,82352.8,-857914
8/9/2007,221311, ,874548,34212.9,-1130070
8/10/2007,221311, ,2773386,59162.4,-3053860
8/11/2007,221311, ,1309837,203548,-1734700
8/12/2007,221311, ,947519,-43030.8,-1125800
8/13/2007,221311, ,663321,-59975.5,-824657
8/14/2007,221311, ,477685,-57353.7,-641643
8/15/2007,221311, ,333289,-49219.7,-505380
8/16/2007,221311, ,589825,-54106.8,-757030
8/17/2007,221311, ,490636,40867.7,-752815
8/18/2007,221311, ,282793,-28667.4,-475437
8/19/2007,221311, ,201213,-43770.8,-378754
8/20/2007,221311, ,280122,-45347.1,-456087
8/21/2007,221311, ,724888,12460.2,-958660
8/22/2007,221311, ,368540,126304,-716156
8/23/2007,221311, ,320033,-40126.3,-501218
8/24/2007,221311, ,269622,-51369.6,-439564
8/25/2007,221311, ,212800,-53675.4,-380436
8/26/2007,221311, ,173495,-64890.3,-329916
8/27/2007,221311, ,149280,-54103.4,-316488
8/28/2007,221311, ,128799,-53195.5,-296915
8/29/2007,221311, ,109219,-54384,-276146
8/30/2007,221311, ,150254,-55683.8,-315881
8/31/2007,221311, ,107820,-28390,-300741
9/1/2007,221311, ,98580.2,-52172.8,-267719
9/2/2007,221311, ,92368.2,-43389.4,-270290
9/3/2007,221311, ,87593.7,-43147.1,-265758
9/4/2007,582454, ,83785.9,-48618.2,-617622
9/5/2007,960024, ,80712.9,-44994,-995743
9/6/2007,962278, ,78049,-44584.6,-995743
9/7/2007,1270596, ,75123.9,-50002,-1295720
9/8/2007,1177613, ,174843,-56738.3,-1295720
9/9/2007,1013087, ,125003,48527.4,-1186620
9/10/2007,893763, ,109353,-37370.9,-965745
9/11/2007, ,-1676140,1923211,-37569.2,-209503
9/12/2007, ,-893428,608169,285259,0
9/13/2007, ,-657259,696121,-38862,0
9/14/2007, ,-709226,747142,-37915.6,0
9/15/2007, ,-268025,1020928,-19090.4,-733813
9/16/2007,221311, ,698106,24788.4,-944206
9/17/2007,221311, ,511243,-30916.4,-701638
9/18/2007,221311, ,383982,-32378.6,-572915
9/19/2007,221311, ,244018,-34931,-430399
9/20/2007,221311, ,174293,-37036.3,-358568
9/21/2007,221311, ,136206,-42780.5,-314736
9/22/2007,221311, ,115052,-45593.5,-290770
9/23/2007,221311, ,98868.9,-46854.8,-273326
9/24/2007,221311, ,89629.2,-38304.7,-272636
9/25/2007,221311, ,83460.8,-40477.3,-264295
9/26/2007,221311, ,82548.2,-44839.8,-259020
9/27/2007,221311, ,288646,-46658.8,-463299
9/28/2007,221311, ,156025,86045,-463381
9/29/2007,221311, ,123386,-14556.7,-330141
9/30/2007,221311, ,124791,-33540.7,-312562
10/1/2007,221311, ,123751,-32857.7,-312205
10/2/2007,375262, ,120565,-35453.6,-460374
10/3/2007,327659, ,115622,-35404.3,-407877
10/4/2007, ,-67954.9,108899,-40944.3,0
10/5/2007, ,-53041,94105.1,-41064.1,0
10/6/2007, ,-83548.9,126339,-42790.4,0
10/7/2007, ,-176878,196662,-19784.7,0
10/8/2007, ,-358391,344942,13449.7,0
10/9/2007, ,-855670,1381697,9979.99,-536007
10/10/2007, ,-111570,842147,198697,-929274
10/11/2007, ,-111570,2344108,-4983.17,-2227550
10/12/2007, ,-111570,1950551,205213,-2044190
10/13/2007, ,-111570,1308431,31298.4,-1228160
10/14/2007, ,-111570,932346,-22496,-798280
10/15/2007, ,-111570,662909,-23676.5,-527662
10/16/2007, ,-111570,476773,-24700.3,-340502
10/17/2007, ,-111570,325686,-25974.2,-188142
