datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag2_same_day,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag1_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag1_regression_agg,delTrenton_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg,delMontague_lag0_moving_average,delMontague_lag1_moving_average,delMontague_lag2_moving_average,delTrenton_lag0_moving_average,delTrenton_lag1_moving_average,delTrenton_lag2_moving_average,delTrenton_lag3_moving_average,delTrenton_lag4_moving_average
10/11/1959,15606.06625,14156.91513,20001.80815,23741.93993,23810.22611,20001.80815,15720.17137,28121.6827,22172.64526,21508.66322,35336.04936,22172.64526,23045.14574,35623.06049,22172.64526,22478.58714,22478.58596,22172.64526,10052.64071,10006.42198,0.001001017,0.001002793,0.001004571,0.001006334,7191.796203,7191.796203,7191.796203,7468.966792,7468.966792,7468.966792,7468.966792,7468.966792
10/12/1959,9613.987995,10247.0153,11537.83229,14128.33666,14156.91513,11537.83229,10645.76389,23079.89117,13734.73162,14258.5479,28121.6827,13734.73162,20386.00472,35336.04936,13734.73162,23044.92268,35623.06049,13734.73162,4450.511775,4431.854536,0.001001017,0.001002793,0.001004571,0.001006334,9310.631694,9310.631694,9310.631694,9931.536748,9931.536748,9931.536748,9931.536748,9931.536748
10/13/1959,7764.801415,9522.83737,9218.876696,10209.55065,10247.0153,9218.876696,16952.41724,19884.07111,23305.81606,19049.86024,23079.89117,23305.81606,23557.42961,28121.6827,23305.81606,30203.16899,35336.04936,23305.81606,3473.518203,3459.385164,0.001001017,0.001002793,0.001004571,0.001006334,11027.15068,11027.15068,11027.15068,13745.21251,13745.21251,13745.21251,13745.21251,13745.21251
10/14/1959,7226.510153,8514.215065,8744.99214,9477.099138,9522.83737,8744.99214,17990.24407,16969.55162,25269.09738,19922.78917,19884.07111,25269.09738,22488.63917,23079.89117,25269.09738,26320.36829,28121.6827,25269.09738,3647.628292,3632.698041,0.001001017,0.001002793,0.001004571,0.001006334,12416.98633,12416.98633,12416.98633,17394.58123,17394.58123,17394.58123,17394.58123,17394.58123
10/15/1959,6403.037194,7250.664453,7919.418295,8499.037066,8514.215065,7919.418295,15952.93795,14865.43338,22693.54475,17689.84676,16969.55162,22693.54475,20308.3218,19884.07111,22693.54475,22475.91961,23079.89117,22693.54475,3627.467687,3612.629962,0.001001017,0.001002793,0.001004571,0.001006334,12995.60633,12995.60633,12995.60633,19843.91295,19843.91295,19843.91295,19843.91295,19843.91295
10/16/1959,5392.972634,6147.975307,6684.442047,7242.36724,7250.664453,6684.442047,13287.0276,12935.8038,18824.70361,14820.02914,14865.43338,18824.70361,16930.50514,16969.55162,18824.70361,19535.43686,19884.07111,18824.70361,3125.296233,3112.74436,0.001001017,0.001002793,0.001004571,0.001006334,13840.62686,13840.62686,13840.62686,22169.84401,22169.84401,22169.84401,22169.84401,22169.84401
10/17/1959,4635.442441,5428.108789,5733.44903,6132.128984,6147.975307,5733.44903,11148.69471,11265.48565,15681.82149,12362.46126,12935.8038,15681.82149,14205.99547,14865.43338,15681.82149,16191.59933,16969.55162,15681.82149,2712.412016,2701.709659,0.001001017,0.001002793,0.001004571,0.001006334,12052.07678,12052.07678,12052.07678,23398.83541,23398.83541,23398.83541,23398.83541,23398.83541
10/18/1959,4085.676422,4587.781843,5049.734832,5409.019734,5428.108789,5049.734832,9913.668435,9992.634694,13857.95303,10994.85847,11265.48565,13857.95303,12403.82063,12935.8038,13857.95303,13996.82028,14865.43338,13857.95303,2388.25621,2378.984159,0.001001017,0.001002793,0.001004571,0.001006334,9718.654515,9718.654515,9718.654515,23545.14557,23545.14557,23545.14557,23545.14557,23545.14557
10/19/1959,3642.200529,4150.295549,4455.795118,4576.657022,4587.781843,4455.795118,8919.595566,9012.146004,12375.59084,9664.64555,9992.634694,12375.59084,11014.70803,11265.48565,12375.59084,12374.00152,12935.8038,12375.59084,2043.2,2035.426259,0.001001017,0.001002793,0.001004571,0.001006334,8107.547712,8107.547712,8107.547712,21655.9172,21655.9172,21655.9172,21655.9172,21655.9172
10/20/1959,3325.819762,3885.214474,4037.687814,4137.453041,4150.295549,4037.687814,7973.755302,6309.870307,10970.10034,8620.576332,9012.146004,10970.10034,9573.188605,9992.634694,10970.10034,10822.28524,11265.48565,10970.10034,1807.494769,1800.728073,0.001001017,0.001002793,0.001004571,0.001006334,6895.812535,6895.812535,6895.812535,18569.16291,18569.16291,18569.16291,18569.16291,18569.16291
