site_id,lat,long,start_date,end_date,drain_sqkm,geometry
1312000,43.96602778,-74.13138889,10/1/1925,1/22/2023,498.2193,POINT (-74.13138889 43.96602778)
1315000,43.7565,-74.2670556,7/1/1912,1/22/2023,337.5252,POINT (-74.2670556 43.7565)
1321000,43.35277778,-74.27027778,9/15/1911,1/22/2023,1263.694,POINT (-74.27027778 43.35277778)
1336000,43.26444444,-75.43638889,10/1/1927,1/22/2023,386.4249,POINT (-75.43638889 43.26444444)
1342730,43.0065833,-75.0416667,11/1/1966,1/22/2023,,POINT (-75.0416667 43.0065833)
1346000,43.06888889,-74.9883333,1/1/1907,1/22/2023,1439.444,POINT (-74.9883333 43.06888889)
1347000,43.0147222,-74.7794444,10/1/1927,1/22/2023,3450.5,POINT (-74.7794444 43.0147222)
1348000,43.01666667,-74.7408333,12/2/1945,1/22/2023,756.468,POINT (-74.7408333 43.01666667)
1349000,42.92925,-74.63288889,10/1/1949,1/22/2023,157.662,POINT (-74.63288889 42.92925)
1349150,42.87627778,-74.6028611,3/27/1993,1/22/2023,154.8242,POINT (-74.6028611 42.87627778)
1349700,42.24916667,-74.30277778,12/27/1996,1/22/2023,92.7072,POINT (-74.30277778 42.24916667)
1349705,42.23694444,-74.34027778,8/18/1999,1/22/2023,249.201,POINT (-74.34027778 42.23694444)
1349711,42.185,-74.2769444,10/1/1997,1/22/2023,12.6972,POINT (-74.2769444 42.185)
1349810,42.23027778,-74.3930556,10/1/1997,1/22/2023,73.656,POINT (-74.3930556 42.23027778)
1349950,42.3083333,-74.39,10/1/1997,1/22/2023,177.9192,POINT (-74.39 42.3083333)
1350000,42.31944444,-74.4366667,11/9/1902,1/22/2023,612.5148,POINT (-74.4366667 42.31944444)
1350035,42.33805556,-74.4516667,9/30/1998,1/22/2023,67.71329,POINT (-74.4516667 42.33805556)
1350080,42.37694444,-74.4130556,7/18/1986,1/22/2023,83.8404,POINT (-74.4130556 42.37694444)
1350101,42.3972222,-74.4505556,10/1/1975,1/22/2023,817.1208,POINT (-74.4505556 42.3972222)
1350120,42.4061111,-74.4472222,1/28/1975,1/22/2023,29.4678,POINT (-74.4472222 42.4061111)
1350140,42.42888889,-74.4730556,12/13/1974,1/22/2023,43.7598,POINT (-74.4730556 42.42888889)
1350180,42.4658333,-74.4622222,10/1/1970,1/22/2023,928.5067,POINT (-74.4622222 42.4658333)
1350355,42.53763889,-74.41025,7/29/1975,1/22/2023,1153.139,POINT (-74.41025 42.53763889)
1350500,42.59944444,-74.3361111,7/1/1927,1/22/2023,,POINT (-74.3361111 42.59944444)
1351500,42.80002778,-74.26277778,10/1/1939,1/22/2023,2320.989,POINT (-74.26277778 42.80002778)
13621955,42.10888889,-74.4519444,9/30/1998,1/22/2023,32.7042,POINT (-74.4519444 42.10888889)
1362200,42.11694444,-74.38027778,10/1/1963,1/22/2023,169.1902,POINT (-74.38027778 42.11694444)
1362342,42.1422222,-74.265,10/1/1997,1/22/2023,,POINT (-74.265 42.1422222)
1362370,42.10202778,-74.31088889,2/1/1997,1/22/2023,80.2485,POINT (-74.31088889 42.10202778)
1362497,42.01944444,-74.26638889,10/1/1997,1/22/2023,43.1595,POINT (-74.26638889 42.01944444)
1362500,42.0144722,-74.2701944,10/1/1931,1/22/2023,493.1622,POINT (-74.2701944 42.0144722)
1364959,41.93694444,-74.3747222,5/1/1996,5/4/2022,14.0391,POINT (-74.3747222 41.93694444)
1365000,41.86638889,-74.4872222,2/4/1937,1/22/2023,99.5688,POINT (-74.4872222 41.86638889)
1365500,41.845,-74.5394444,11/9/1938,1/22/2023,54.4473,POINT (-74.5394444 41.845)
1367500,41.8430833,-74.0861111,7/8/1901,1/22/2023,940.1213,POINT (-74.0861111 41.8430833)
1371500,41.68613889,-74.16527778,9/23/1924,1/22/2023,1866.345,POINT (-74.16527778 41.68613889)
1377500,40.99277778,-74.0211111,10/1/1934,1/22/2023,73.6038,POINT (-74.0211111 40.99277778)
1378500,40.9483333,-74.0266667,10/1/1921,1/22/2023,300.3462,POINT (-74.0266667 40.9483333)
1379000,40.68,-74.52888889,12/1/1903,1/22/2023,140.4292,POINT (-74.52888889 40.68)
1379500,40.7261111,-74.3897222,3/1/1903,1/22/2023,256.0499,POINT (-74.3897222 40.7261111)
1379530,40.74444444,-74.3536111,10/1/1965,1/22/2023,29.9142,POINT (-74.3536111 40.74444444)
1379773,40.96,-74.5397222,10/1/1982,1/22/2023,19.5633,POINT (-74.5397222 40.96)
1379780,40.94944444,-74.5572222,10/1/1984,1/22/2023,23.6448,POINT (-74.5572222 40.94944444)
1380450,40.9075,-74.4191667,10/1/1937,1/22/2023,,POINT (-74.4191667 40.9075)
1381000,40.89694444,-74.3947222,1/1/1906,1/22/2023,314.3538,POINT (-74.3947222 40.89694444)
1381400,40.8122222,-74.5119444,8/24/1995,1/22/2023,36.2061,POINT (-74.5119444 40.8122222)
1381500,40.8072222,-74.4569444,10/1/1921,1/22/2023,76.87424,POINT (-74.4569444 40.8072222)
1381800,40.845,-74.3472222,10/1/1996,1/22/2023,180.0306,POINT (-74.3472222 40.845)
1381900,40.8625,-74.3216667,10/1/1979,1/22/2023,907.8039,POINT (-74.3216667 40.8625)
1382500,41.0183333,-74.4011111,10/1/1922,1/22/2023,164.1465,POINT (-74.4011111 41.0183333)
1382800,40.9986111,-74.2980556,10/1/1993,1/22/2023,,POINT (-74.2980556 40.9986111)
1383500,41.16027778,-74.3336111,5/13/1919,1/22/2023,75.3111,POINT (-74.3336111 41.16027778)
1384500,41.1272222,-74.2658333,10/1/1934,1/22/2023,43.9758,POINT (-74.2658333 41.1272222)
1386000,41.0736111,-74.3116667,10/1/1934,1/22/2023,30.6657,POINT (-74.3116667 41.0736111)
1387000,41.04416667,-74.2930556,9/15/1912,1/22/2023,,POINT (-74.2930556 41.04416667)
1387400,41.14027778,-74.1686111,6/28/1979,1/22/2023,231.6789,POINT (-74.1686111 41.14027778)
1387420,41.1183333,-74.16027778,6/28/1979,1/22/2023,247.6512,POINT (-74.16027778 41.1183333)
