,nhm_id,reachcode,comid,long,lat
125,1782,2.0402E+12,4489072,-75.39067733,40.0133396
126,1785,2.0402E+12,4489192,-75.00310019,40.0270806
127,1786,2.0402E+12,4489194,-75.00310019,40.0270806
128,1784,2.0402E+12,4489180,-75.11190673,40.0349898
129,1778,2.0402E+12,4488280,-74.98457953,40.0419962
130,1781,2.0402E+12,4488284,-74.98457953,40.0419962
131,1777,2.0402E+12,4488242,-74.97871993,40.05281667
132,1776,2.0402E+12,4485575,-74.91191879,40.07050427
133,1767,2.0402E+12,4481919,-74.91191879,40.07050427
134,2299,2.0402E+12,4781877,-75.45700639,40.0811386
135,1783,2.0402E+12,4489170,-75.06669579,40.0892356
136,2306,2.0402E+12,4782171,-75.46185819,40.10248567
137,2326,2.0402E+12,4782565,-75.46154533,40.1027534
138,2325,2.0402E+12,4782559,-75.46154533,40.1027534
139,2320,2.0402E+12,4782501,-75.34124619,40.10977167
140,2323,2.0402E+12,4782541,-75.46219593,40.119748
141,2324,2.0402E+12,4782543,-75.46219593,40.119748
142,2298,2.0402E+12,4781731,-75.21995239,40.12404027
143,1763,2.0402E+12,4481059,-74.56267479,40.1358046
144,1765,2.0402E+12,4481607,-74.61341979,40.14055747
145,1775,2.0402E+12,4485573,-74.72266633,40.1484708
146,1766,2.0402E+12,4481801,-74.72266633,40.1484708
147,2295,2.0402E+12,4781633,-75.44712259,40.14913327
148,2296,2.0402E+12,4781635,-75.44712259,40.14913327
149,2304,2.0402E+12,4782141,-75.43935119,40.1626624
150,1762,2.0402E+12,4480911,-74.95724439,40.17334387
151,1764,2.0402E+12,4481599,-74.68065699,40.1759234
152,1499,2.04011E+12,2590295,-74.77177473,40.2156704
153,1498,2.04011E+12,2590277,-74.77177473,40.2156704
154,1493,2.04011E+12,2590137,-74.77060839,40.21623387
155,2303,2.0402E+12,4782107,-75.45164299,40.22178547
156,1771,2.0402E+12,4482885,-75.11079299,40.22996427
157,2308,2.0402E+12,4782189,-75.45629973,40.24775467
158,2302,2.0402E+12,4782087,-75.45629973,40.24775467
159,1774,2.0402E+12,4483009,-75.00234993,40.2483232
160,1773,2.0402E+12,4483005,-75.03306939,40.25593707
161,1772,2.0402E+12,4482999,-75.03306939,40.25593707
162,2294,2.0402E+12,4781261,-75.44164333,40.25810087
163,1496,2.04011E+12,2590235,-74.66170453,40.2664048
164,1492,2.04011E+12,2590117,-74.70654639,40.2688072
165,2292,2.0402E+12,4781171,-75.41578679,40.2731252
166,1497,2.04011E+12,2590249,-74.85649059,40.27689627
167,1770,2.0402E+12,4482735,-75.20472339,40.2825128
168,1769,2.0402E+12,4482733,-75.20472339,40.2825128
169,1768,2.0402E+12,4482695,-75.21165739,40.30722207
170,1495,2.04011E+12,2590217,-74.93268219,40.3328836
171,2018,2.04021E+12,4650714,-75.64962359,39.92311827
172,2028,2.04021E+12,4651852,-75.64962359,39.92311827
173,2017,2.04021E+12,4650698,-75.68030599,39.93196287
174,2015,2.04021E+12,4650688,-75.67974119,39.932009
175,2016,2.04021E+12,4650692,-75.67974119,39.932009
176,2014,2.04021E+12,4650580,-75.80014919,39.9614726
177,2012,2.04021E+12,4650548,-75.67322959,39.9683064
178,2008,2.04021E+12,4648568,-75.70609273,40.02111387
179,2011,2.04021E+12,4648708,-75.84364913,40.02626607
180,2007,2.04021E+12,4648544,-75.84364913,40.02626607
181,2005,2.04021E+12,4648506,-75.71907693,40.0497992
182,2006,2.04021E+12,4648508,-75.71907693,40.0497992
183,2010,2.04021E+12,4648694,-75.84228533,40.0696738
184,2009,2.04021E+12,4648686,-75.73475273,40.09793027
185,2321,2.0402E+12,4782503,-75.50944659,40.13638647
186,2322,2.0402E+12,4782505,-75.50944659,40.13638647
187,2305,2.0402E+12,4782153,-75.57603979,40.1379998
188,2297,2.0402E+12,4781647,-75.60298899,40.1509818
189,2319,2.0402E+12,4782441,-75.60674219,40.2367572
190,2317,2.0402E+12,4782395,-75.65864639,40.24231947
191,2318,2.0402E+12,4782429,-75.65864639,40.24231947
192,2293,2.0402E+12,4781199,-75.66830093,40.26735267
193,2316,2.0402E+12,4782313,-75.93784579,40.32965547
194,2291,2.0402E+12,4780921,-75.73822819,40.33489967
195,2334,2.0402E+12,4783303,-76.14353273,40.3404252
196,2315,2.0402E+12,4782309,-75.95047799,40.34498187
197,2314,2.0402E+12,4782307,-75.95047799,40.34498187
198,2301,2.0402E+12,4782017,-75.96668893,40.3583504
199,2309,2.0402E+12,4782255,-75.50878793,40.36936187
200,2333,2.0402E+12,4783213,-76.00765653,40.37295407
201,2290,2.0402E+12,4780787,-75.51918999,40.3750296
202,2337,2.0402E+12,4783475,-76.17599573,40.38610087
203,2289,2.0402E+12,4780723,-75.51108459,40.39147507
204,2336,2.0402E+12,4783453,-76.05433539,40.3953894
205,2335,2.0402E+12,4783445,-76.05433539,40.3953894
206,2332,2.0402E+12,4783101,-76.16681793,40.41723047
207,2312,2.0402E+12,4782271,-75.94935713,40.42321187
208,2313,2.0402E+12,4782273,-75.94935713,40.42321187
209,2288,2.0402E+12,4780625,-75.94905433,40.4236004
210,2311,2.0402E+12,4782265,-75.95110659,40.4239406
211,2331,2.0402E+12,4783069,-76.11209199,40.4253624
212,2330,2.0402E+12,4783025,-76.11209199,40.4253624
213,2279,2.0402E+12,4779053,-75.88252993,40.51395807
214,2280,2.0402E+12,4779167,-75.99965733,40.5195022
215,1702,2.04011E+12,4187851,-75.52106793,40.53688627
216,2278,2.0402E+12,4779015,-75.87986333,40.54244567
217,2286,2.0402E+12,4779719,-76.02638019,40.57862767
218,2287,2.0402E+12,4779859,-76.02638019,40.57862767
219,2284,2.0402E+12,4779701,-76.08162233,40.58696587
220,2285,2.0402E+12,4779703,-76.08162233,40.58696587
221,1494,2.04011E+12,2590201,-74.94789233,40.36287387
222,2310,2.0402E+12,4782257,-75.50878793,40.36936187
223,2300,2.0402E+12,4782009,-75.25595573,40.39341947
224,1505,2.04011E+12,2591449,-75.01311033,40.40642847
225,1503,2.04011E+12,2591435,-75.06092819,40.421334
226,1504,2.04011E+12,2591437,-75.06092819,40.421334
227,1502,2.04011E+12,2591241,-75.06488299,40.4224356
228,1501,2.04011E+12,2591219,-75.11203939,40.43277027
229,1500,2.04011E+12,2591187,-75.23916073,40.4499438
230,1491,2.04011E+12,2588489,-75.09256653,40.5610604
231,1490,2.04011E+12,2588481,-75.19572233,40.579586
232,1707,2.04011E+12,4188011,-75.49012313,40.58890727
233,1488,2.04011E+12,2588477,-75.19047119,40.5915152
234,1489,2.04011E+12,2588479,-75.19047119,40.5915152
235,1480,2.04011E+12,2588261,-75.18939499,40.5923828
236,1722,2.04011E+12,4188283,-75.44838919,40.5978256
237,1723,2.04011E+12,4188285,-75.44838919,40.5978256
238,1706,2.04011E+12,4188007,-75.46114399,40.60099207
239,1701,2.04011E+12,4187763,-75.46114399,40.60099207
240,1708,2.04011E+12,4188017,-75.37285253,40.61628867
241,1719,2.04011E+12,4188273,-75.33619079,40.6205856
242,1478,2.04011E+12,2588051,-75.03826159,40.68353347
243,1487,2.04011E+12,2588457,-75.20318719,40.68915947
244,1718,2.04011E+12,4188251,-75.20318719,40.68915947
245,1698,2.04011E+12,4187645,-75.36434479,40.69102147
246,1486,2.04011E+12,2588411,-75.11908619,40.78861387
247,1485,2.04011E+12,2588381,-75.08418293,40.8239036
