node1,node2,type,notes
catchment_cannonsville,reservoir_cannonsville,tributary,upper delaware
catchment_cannonsville,catchmentWithdrawal_cannonsville,withdrawal,
catchmentWithdrawal_cannonsville,catchmentConsumption_cannonsville,consumption,
catchmentWithdrawal_cannonsville,reservoir_cannonsville,returnflow,
reservoir_cannonsville,link_cannonsville_nyc,diversion,
link_cannonsville_nyc,delivery_nyc,diversion,tunnels to nyc
reservoir_cannonsville,link_cannonsville_outflow_1,mainstem,
reservoir_cannonsville,link_cannonsville_outflow_2,mainstem,
link_cannonsville_outflow_1,outflow_cannonsville,mainstem,
link_cannonsville_outflow_2,outflow_cannonsville,mainstem,
outflow_cannonsville,link_delLordville,mainstem,
catchment_pepacton,reservoir_pepacton,tributary,EB delaware
catchment_pepacton,catchmentWithdrawal_pepacton,withdrawal,
catchmentWithdrawal_pepacton,catchmentConsumption_pepacton,consumption,
catchmentWithdrawal_pepacton,reservoir_pepacton,returnflow,
reservoir_pepacton,link_pepacton_nyc,diversion,
link_pepacton_nyc,delivery_nyc,diversion,tunnels to nyc
reservoir_pepacton,link_pepacton_outflow_1,tributary,
reservoir_pepacton,link_pepacton_outflow_2,tributary,
link_pepacton_outflow_1,outflow_pepacton,tributary,
link_pepacton_outflow_2,outflow_pepacton,tributary,
outflow_pepacton,link_delLordville,tributary,
catchment_delLordville,link_delLordville,mainstem,gain to delLordville gage minus cannonsville & pepacton releases
catchment_delLordville,catchmentWithdrawal_delLordville,withdrawal,
catchmentWithdrawal_delLordville,catchmentConsumption_delLordville,consumption,
catchmentWithdrawal_delLordville,link_delLordville,returnflow,
link_delLordville,link_delMontague,mainstem,
catchment_prompton,reservoir_prompton,tributary,
catchment_prompton,catchmentWithdrawal_prompton,withdrawal,
catchmentWithdrawal_prompton,catchmentConsumption_prompton,consumption,
catchmentWithdrawal_prompton,reservoir_prompton,returnflow,
reservoir_prompton,outflow_prompton,tributary,
outflow_prompton,link_delMontague,tributary,
catchment_wallenpaupack,reservoir_wallenpaupack,tributary,
catchment_wallenpaupack,catchmentWithdrawal_wallenpaupack,withdrawal,
catchmentWithdrawal_wallenpaupack,catchmentConsumption_wallenpaupack,consumption,
catchmentWithdrawal_wallenpaupack,reservoir_wallenpaupack,returnflow,
reservoir_wallenpaupack,outflow_wallenpaupack,tributary,
outflow_wallenpaupack,link_delMontague,tributary,
catchment_shoholaMarsh,reservoir_shoholaMarsh,tributary,
catchment_shoholaMarsh,catchmentWithdrawal_shoholaMarsh,withdrawal,
catchmentWithdrawal_shoholaMarsh,catchmentConsumption_shoholaMarsh,consumption,
catchmentWithdrawal_shoholaMarsh,reservoir_shoholaMarsh,returnflow,
reservoir_shoholaMarsh,outflow_shoholaMarsh,tributary,
outflow_shoholaMarsh,link_delMontague,tributary,
catchment_mongaupeCombined,reservoir_mongaupeCombined,tributary,several reservoirs representing mongaupe hydropower system
catchment_mongaupeCombined,catchmentWithdrawal_mongaupeCombined,withdrawal,
catchmentWithdrawal_mongaupeCombined,catchmentConsumption_mongaupeCombined,consumption,
catchmentWithdrawal_mongaupeCombined,reservoir_mongaupeCombined,returnflow,
reservoir_mongaupeCombined,outflow_mongaupeCombined,tributary,
outflow_mongaupeCombined,link_delMontague,tributary,
catchment_neversink,reservoir_neversink,tributary,
catchment_neversink,catchmentWithdrawal_neversink,withdrawal,
catchmentWithdrawal_neversink,catchmentConsumption_neversink,consumption,
catchmentWithdrawal_neversink,reservoir_neversink,returnflow,
reservoir_neversink,link_neversink_nyc,diversion,
link_neversink_nyc,delivery_nyc,diversion,tunnels to nyc
reservoir_neversink,link_neversink_outflow_1,tributary,
reservoir_neversink,link_neversink_outflow_2,tributary,
link_neversink_outflow_1,outflow_neversink,tributary,
link_neversink_outflow_2,outflow_neversink,tributary,
