DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
643,Perris,California,CDEC,-117.182292,33.844532,12/1/79,12/31/20,NA
644,Bartlett,Arizona,USGS,-111.629844,33.817207,1/1/80,12/31/20,NA
648,Diamond Valley Lake,California,CDEC,-117.063342,33.668795,10/1/99,12/31/20,NA
654,Vail,California,USGS,-116.975529,33.496395,1/1/80,12/31/20,NA
656,Coolidge,Arizona,USGS,-110.522895,33.176265,1/1/80,12/31/20,NA
657,Elephant Butte Dike,New Mexico,BOR,-107.189253,33.156049,3/21/15,1/28/21,NA
664,Caballo,New Mexico,BOR,-107.293998,32.898365,2/8/38,1/27/21,NA
725,Rafferty,"Saskatchewan, CAN",CAN,-103.09456,49.151575,3/1/98,12/31/19,NA
726,Boundary,"Saskatchewan, CAN",CAN,-103.01997,49.096083,4/2/58,12/31/19,NA
740,Lower Red Lake Dam,Minnesota,ACE_MIS,-95.272214,47.956032,1/1/65,12/31/20,NA
744,Birch Lake,Minnesota,MIN,-91.784897,47.813354,1/1/04,3/3/21,NA
753,Garrison Dam,North Dakota,ACE_OMA,-101.432292,47.50613,12/1/53,10/1/19,NA
758,Winnibigoshish Dam,Minnesota,ACE_STP,-94.053087,47.428657,6/26/19,7/3/20,NA
761,Upper Rice Lake,Minnesota,MIN,-95.314536,47.380974,1/1/21,12/31/20,NA
762,Prairie River,Minnesota,MIN,-93.502526,47.287092,6/25/97,3/2/21,NA
763,Whiteface Lake,Minnesota,MIN,-92.189105,47.282541,1/1/21,12/31/20,NA
767,Leech Lake Dam,Minnesota,ACE_STP,-94.223518,47.251782,1/1/30,7/5/20,NA
768,Pokegama Lake Dam,Minnesota,ACE_STP,-93.588285,47.251326,1/1/35,7/5/20,NA
773,Boulder Lake,Minnesota,MIN,-92.203247,47.053208,1/1/21,12/31/20,NA
774,Baldhill,North Dakota,ACE_STP,-98.079898,47.036297,5/6/51,12/31/20,NA
775,Island Lake,Minnesota,MIN,-92.225209,46.992107,1/1/21,12/31/20,NA
777,Pipestem Dam,North Dakota,BOR ,-98.751547,46.96493,3/5/74,12/18/18,NA
778,Fish Lake,Minnesota,MIN,-92.276042,46.9555,1/1/21,12/31/20,NA
780,Jamestown,North Dakota,BOR,-98.709425,46.932526,2/1/54,12/18/18,NA
784,Dickinson,North Dakota,BOR,-102.828566,46.867223,5/12/52,12/18/18,NA
789,Sandy Lake Dam and Lock,Minnesota,ACE_STP,-93.321528,46.783615,6/26/19,7/4/20,NA
792,Pine River Dam,Minnesota,ACE_STP,-94.112119,46.670135,9/1/95,7/3/20,NA
798,Heart Butte Dike,North Dakota,BOR,-101.812192,46.596531,10/5/49,12/18/18,NA
806,Gull Lake,Minnesota,ACE_STP,-94.358021,46.414653,1/1/30,7/5/20,NA
827,Bowman-Haley,North Dakota,ACE_OMA,-103.248588,45.9813,3/3/67,10/1/19,NA
830,Chippewa Reservoir,Wisconsin,ACE_STP,-91.071875,45.891129,1/4/65,7/5/20,NA
836,Browns Valley Dike,Minnesota,DUKE,-96.639471,45.767747,4/1/42,8/28/13,NA
837,Shadehill Dike 1,South Dakota,BOR,-102.203155,45.751107,4/1/52,12/19/17,NA
854,Highway 75 Dam,Minnesota,DUKE,-96.291375,45.23921,10/1/83,8/28/13,NA
858,Marsh Lake Dam,Minnesota,ACE_STP,-96.091121,45.174204,3/28/40,7/5/20,NA
861,Lac Qui Parle Dam,Minnesota,ACE_STP,-95.874081,45.02737,3/15/40,12/31/20,NA
868,Belle Fourche,South Dakota,BOR,-103.677318,44.735438,10/1/77,12/18/18,NA
870,Oahe Dam,South Dakota,ACE_OMA,-100.39797,44.456316,1/2/67,10/1/19,NA
872,Keyhole,Wyoming,BOR,-104.78125,44.379972,4/1/52,12/18/18,NA
882,Pactola,South Dakota,BOR ,-103.490625,44.072917,8/22/56,12/18/18,NA
884,Big Bend Dam,South Dakota,ACE_OMA,-99.448646,44.039785,8/1/63,10/1/19,NA
885,Deerfield,South Dakota,BOR,-103.786348,44.027173,4/1/53,12/18/18,NA
893,Angostura,South Dakota,BOR,-103.435489,43.342073,4/1/52,12/18/18,NA
895,Gavins Point Dam,South Dakota,ACE_OMA,-97.483244,42.850337,8/1/55,10/1/19,NA
897,Merritt,Nebraska,BOR,-100.872917,42.631243,5/31/93,5/5/20,NA
898,Glendo,Wyoming,BOR,-104.953299,42.48023,10/17/57,12/18/18,NA
899,Box Butte,Nebraska,BOR,-103.077233,42.460003,10/31/91,5/5/20,NA
901,Guernsey,Wyoming,BOR,-104.766214,42.289933,9/10/99,5/5/20,NA
903,Lake Alice 1,Nebraska,BOR ,-103.625454,41.992166,4/21/90,12/18/18,NA
904,Minatare,Nebraska,BOR,-103.493827,41.91949,9/30/90,12/18/18,NA
905,Calamus Dam,Nebraska,BOR,-99.210417,41.835725,5/31/93,5/5/20,NA
907,Coralville Dam,Iowa,ACE_ROCK,-91.531121,41.727526,1/1/58,12/31/20,NA
