reservoir,GRanD_ID,GRanD_NAME,GRanD_CAP_MCM,GRanD_MEANFLOW_CUMECS,Obs_MEANFLOW_CUMECS,fit,match,NORhi_alpha,NORhi_beta,NORhi_max,NORhi_min,NORhi_mu,NORlo_alpha,NORlo_beta,NORlo_max,NORlo_min,NORlo_mu,Release_alpha1,Release_alpha2,Release_beta1,Release_beta2,Release_c,Release_max,Release_min,Release_p1,Release_p2,GRanD_CAP_MG,GRanD_MEANFLOW_MGD,notes
springton_original,1633,Geist Storage,16.8,1.089,NA,extrapolated,1585,0,0,Inf,-99999,100,2.28,-0.56,41.31,-99999,40.9,0.2824,-0.0585,0.1903,0.005,-0.338,1.878,-0.807,17.016,0.788,4438.0896,24.85584274,
marshCreek_original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prompton,NA,NA,14.3,0.375,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,3777.6596,8.559174497,reservoir isnt in grand. just assume still creek cap & meanflow for now.
shoholaMarsh,2212,Shohola Marsh,32.6,2.702,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,8612.0072,61.67170531,
mongaupeCombined,"2205, 2204","Rio, Toronto",107.4,10.652,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,28372.0728,243.1262046,"add storage of Rio & Toronto upstream. There are others in Mongaup chain, but these are only ones in GRanD/ISTARF. Only use Rio mean inflow, last in chain."
fewalter,NA,NA,14.3,0.375,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,3777.6596,8.559174497,reservoir isnt in grand. just assume still creek cap & meanflow for now.
merrillCreek,2237,Merrill Creek Reservoir Dike,56.7,0.147,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,14978.5524,3.355196403,
hopatcong,2235,Lake Hopatcong Dam,59.5,1.365,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,15718.234,31.15539517,
nockamixon,1610,Nockamixon,87.6,3.658,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,23141.4672,83.49189416,
assunpink,2240,Assunpink Dam 6,15.6,1.185,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,4121.0832,27.04699141,
vanSciver,2242,Van Sciver Lake,14.2,1.12,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,3751.2424,25.56340116,
ontelaunee,NA,NA,14.3,0.375,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,3777.6596,8.559174497,reservoir isnt in grand. just assume still creek cap & meanflow for now.
stillCreek,1584,Still Creek,14.3,0.375,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,3777.6596,8.559174497,
greenLane,1618,Greenlane Reservoir,31,5.094,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,8189.332,116.2678264,
springton,1633,Geist Storage,16.8,1.089,NA,extrapolated,1585,0,0,Inf,-99999,100,2.28,-0.56,41.31,-99999,40.9,0.2824,-0.0585,0.1903,0.005,-0.338,1.878,-0.807,17.016,0.788,4438.0896,24.85584274,
marshCreek,NA,NA,14.3,0.375,NA,extrapolated,1615,-0.23,-2.01,Inf,-99999,15.08,0.2,-4.08,15.52,12.31,12.58,0.2118,-0.0357,0.1302,-0.0248,-0.123,1.774,-0.804,0.183,0.732,3777.6596,8.559174497,reservoir isnt in grand. just assume still creek cap & meanflow for now.
