node,PWS_CU_MGD,PWS_WD_MGD,PWR_THERM_CU_MGD,PWR_THERM_WD_MGD,PWR_HYDRO_CU_MGD,PWR_HYDRO_WD_MGD,IND_CU_MGD,IND_WD_MGD,MIN_CU_MGD,MIN_WD_MGD,IRR_CU_MGD,IRR_WD_MGD,OTH_CU_MGD,OTH_WD_MGD,Total_CU_MGD,Total_WD_MGD,Total_CU_WD_Ratio
reservoir_cannonsville,0.013866132669508185,0.13866132669508183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02109776424465013,0.02344196027183345,6.409692478408273e-05,0.0002913496581094666,0.035027993838942395,0.16239463662502476,0.215696740772439
reservoir_pepacton,6.705468814378061e-06,6.70546881437806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871300799097548e-05,2.207922311010836e-05,0.09643636532507886,0.43834711511399427,0.09646294209469233,0.43843624902524814,0.22001589127074514
reservoir_neversink,0.005007137673129269,0.0500713767312927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007652685219806738,0.000850298357756305,0.00022239438777291946,0.004289958051450187,0.005994800582882862,0.05521163314049919,0.10857857741008421
reservoir_wallenpaupack,0.00013402676090366203,0.0013402676090366206,0.0,0.0,0.0,290.15096295243166,5.436714817007556e-05,0.00018764395231716418,0.0,0.0,0.010178102639360143,0.011309002932622379,5.767783704932605e-05,0.0003011102902222357,0.010424174385483207,290.1641009772158,3.592510014290752e-05
reservoir_prompton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05453912373767649,0.5453912373767649,0.05453912373767649,0.5453912373767649,0.1
reservoir_shoholaMarsh,0.0,0.0,0.0,0.0,0.0,0.03737094473671963,2.1122595530069488e-07,2.112259553006949e-06,0.0,0.0,3.951137033477326e-05,4.3901522594192515e-05,0.004473323438386523,0.08946066308311434,0.004513046034676596,0.12687762160198118,0.03557007120478782
reservoir_mongaupeCombined,0.04086130955251023,0.4086130955251024,0.0,0.0,0.0,217.52868572322308,0.0,0.0,0.0,0.0,0.041438768311637675,0.046043075901819636,0.0001904595538783717,0.003809191062329781,0.08249053741802628,217.98715108571233,0.00037841926465469097
reservoir_beltzvilleCombined,1.4004764304994488,14.004764304994486,0.00010353145740831054,0.0001267926666285049,0.0,0.0,0.0,0.0,2.946680391738441e-13,2.4555669931153694e-12,8.24889085483579e-05,9.165434283150877e-05,0.48108796521834324,9.617961259324824,1.8817504160840435,23.622944011331228,0.07965774355564757
reservoir_fewalter,0.08545566380700581,0.8545566380700583,0.0,0.0,0.0,93.11024798663274,4.8937951187104134e-05,0.000152787858842036,0.0,0.0,0.034443994494153335,0.03827110499350368,0.11689620001741806,0.5313135486008465,0.2368447962697643,94.53454206615599,0.0025053783632232383
reservoir_merrillCreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reservoir_hopatcong,0.0072149961310875475,0.07214996131087546,0.0,0.0,0.0,0.0,0.0,0.0,0.040778483090497746,0.3763394554756668,0.024661658487567642,0.02740184276396405,0.0,0.0,0.07265513770915294,0.4758912595505063,0.15267172122004913
reservoir_nockamixon,0.0016610465470062123,0.01661046547006213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.119568170385246e-06,0.00016239136340770493,0.0016691661151765976,0.016772856833469834,0.0995159102440925
reservoir_assunpink,0.0,0.0,0.20114272967583552,35.47490823206974,0.0,0.0,1.4050964700748446e-05,0.00014050964700748451,8.873351493615956e-06,7.394459578013297e-05,0.02017839381623535,0.022455342479932066,1.7670185630670893e-06,1.7670185630670893e-06,0.22134581482682827,35.49757979581102,0.006235518480416198
reservoir_ontelaunee,1.1582835040953798,11.582835040953796,5.654095515546075e-05,5.700669989359139e-05,0.0,0.0,0.0002128048932182343,0.000711359636900537,3.721351861108481e-07,3.72135147990614e-06,0.015899698988275486,0.017666332209194984,1.6015447950973093e-05,0.00013067120589550167,1.1744689365151662,11.60140413205716,0.10123506802679663
reservoir_stillCreek,0.010226152444511322,0.10226152444511322,0.0047702690710103215,0.0048382325453552345,0.0,0.0,0.0,0.0,3.052462558064943e-05,0.00030524625580649427,0.0028059917390301993,0.0031177685989224485,0.00030759238485723173,0.006151847697144635,0.018140530264989723,0.11667461954234203,0.15547966075352318
reservoir_blueMarsh,0.18329420751663295,1.832942075166329,1.0979581145032045,1.0979581145032045,0.0,0.0,0.0006326483622545636,0.0600513714280591,0.0,0.0,0.0345209916796097,0.03835665742178855,0.04814500016586023,0.9412987617441377,1.3645509622275618,3.970606980263519,0.34366306436528754
reservoir_greenLane,0.00687957003253343,0.0687957003253343,0.00019466452758615634,0.00026574636540457105,0.0,0.0,0.00024667769930386644,0.0008615148883887777,0.0,0.0,0.016091022159174677,0.017878913510194088,8.646466857108612e-05,0.0004144656224824982,0.023498399087169216,0.08821634071180423,0.2663724078505661
reservoir_marshCreek,0.09310944795102111,0.9310944795102112,0.005313672272193842,0.023694789459898252,0.0,0.0,0.006499178569294311,0.10644582922155471,5.330359539356868e-11,4.4419662827973927e-10,0.011326223577035596,0.012584692863372882,0.0012695372395060878,0.02539074479012176,0.11751805966235454,1.0992105362893554,0.10691132934284317
link_delLordville,9.060226920580284e-05,0.0009060226920580284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010105756119567526,0.00011228617910630582,0.1718778448115434,3.436929817860586,0.17206950464194487,3.4379481267317504,0.05005005843573357
