datetime,cannonsville,pepacton,neversink,prompton,mongaupeCombined,beltzvilleCombined,blueMarsh,assunpink
1999-06-01,2632.7174274900003,241.02448128000003,0.0,0.05733307927000001,1.5522470698000002,22.824288000000003,7.623682030000001,0.0
1999-06-02,296.60162256000007,240.25072735000003,0.0,0.057396480070000006,2.1451026672,22.824288000000003,7.6321354700000015,0.0
1999-06-03,274.95658944,239.60298251000003,0.0,0.05746014504000001,1.6031896126000003,22.824288000000003,7.640588910000001,1.9142286540000002
1999-06-04,277.99982784,238.99063645000004,0.0,0.05752354584000001,3.3495699320000005,35.46402999000001,7.649042350000001,11.770728358000003
1999-06-05,262.85971680000006,238.44486123000004,0.0,0.057587210810000004,2.6247957617000006,40.45710716000001,7.657495790000001,11.961247762000001
1999-06-06,293.17797936000005,238.01399996000004,0.0,0.05765061161000001,2.6182760461000005,39.64240688,7.665949230000002,11.687646893000002
1999-06-07,245.58933888000004,237.42833507000003,0.0,0.05771427658000001,2.2937220675000005,37.856089340000004,28.913670670000005,10.787566869
1999-06-08,302.07945168000003,236.82417828000004,0.0,0.05777794155000001,3.205650116,46.871418930000004,83.98281304000001,7.860431184000001
1999-06-09,310.86680256000005,236.39833624000005,0.0,0.05784134235000001,2.722351101,46.64000601000001,66.2934615,7.649676358000002
1999-06-10,184.37454563000003,153.01677412000004,0.0,0.05790500732000001,1.7974126800000003,43.12654501000001,59.64905766000001,7.333359200000001
1999-06-11,236.30746176000002,183.12581404000002,0.0,0.05796840812000001,1.9819222165000003,28.302909630000006,55.07284075000001,7.421459895000001
1999-06-12,263.73464784000004,235.31656009000002,0.0,0.058032073090000004,1.5712461762,22.824288000000003,51.87347788000001,7.545302791000001
1999-06-13,246.04582464000003,234.66194683000003,0.0,0.058095473890000006,3.1866034590000005,22.824288000000003,51.46110851000001,9.873908507000001
1999-06-14,243.72535536000004,234.02080624000004,0.0,0.05815913886000001,2.3558627766000004,22.824288000000003,83.77596793000001,10.262291241000002
1999-06-15,289.71629568000003,233.43989641000005,0.0,0.05822280383000001,3.1696437450000006,34.811530090000005,83.54376250000001,7.838954163000001
1999-06-16,329.12623296000004,232.91578313000002,9.214117515000002,0.05828620463000001,3.8304121660000003,46.59271958000001,60.37209095000001,7.518014030000002
1999-06-17,357.88483584000005,232.85053314000004,0.0,0.05834986960000001,3.8696414110000004,47.98066876000001,260.24126376000004,7.736139199000001
1999-06-18,387.7085721600001,232.62519613000003,0.0,0.05841327040000001,2.3093345145000006,55.74832344000001,282.20013084000004,6.503654064000001
1999-06-19,265.21822656000006,232.24901805000005,0.0,0.058476935370000004,1.4928722206000002,67.41856153,140.83272538000003,5.671677066000001
1999-06-20,364.80820320000004,231.80415577000002,0.0,0.058540336170000006,2.5353530831000004,75.93170395000001,128.73796610000002,21.165828740000002
1999-06-21,344.72282976,231.31279957000004,0.0,0.058604001140000014,1.9422755829000002,64.53382513000001,112.64578638000002,24.520206566000006
1999-06-22,368.26988688000006,230.81219742000005,0.0,0.05866740194000001,2.7937298350000006,51.23445065000001,93.50931158000002,13.079056700000002
1999-06-23,382.68722880000007,230.30868940000005,0.0,0.05873106691000001,2.3058395454000005,44.581065030000005,79.17940993,5.6863649180000015
1999-06-24,365.22664848000005,229.78431195000005,0.0,0.058794731880000006,2.0021338632000005,37.204381950000005,69.06222727000001,4.782586514000001
1999-06-25,320.22476064000006,229.24302762000005,0.0,0.05885813268000001,4.200091664000001,29.018546160000003,60.49043911000001,4.429919564000001
1999-06-26,308.96477856000007,228.70649835000003,0.0,0.05892179765,3.6018786990000007,22.824288000000003,54.79387723000001,4.080924577000001
1999-06-27,433.5093100800001,228.19638608000002,0.0,0.058985198450000005,1.9626457316,22.824288000000003,51.290718860000005,3.5793185810000003
1999-06-28,410.60894112000005,227.73699445000003,0.0,0.059048863420000014,1.4023279531000004,22.824288000000003,48.826276930000006,3.3765945230000005
1999-06-29,375.6877804800001,227.50082647000002,0.0,0.05911226422000001,3.9616782390000007,22.824288000000003,47.24838952000001,3.1960871620000004
1999-06-30,337.15277424000004,227.70318069000004,0.0,0.05917592919000001,1.6027378819000002,22.824288000000003,46.22340992000001,3.8715434350000004
1999-07-01,324.56137536000006,228.16310066000003,0.0,0.059239594160000006,2.2820034863000003,22.824288000000003,45.356668150000004,46.106646780000005
1999-07-02,344.73498158000007,228.46848118000003,0.0,0.05930299496000001,2.2662351790000006,22.824288000000003,45.27081290000001,49.13535583000001
1999-07-03,404.66722948000006,228.56912995000005,9.854333510000002,0.05936665993000001,3.5853152400000003,22.824288000000003,43.65197914000001,14.975427462000003
1999-07-04,452.8190804000001,229.39730290000003,3.6085357830000007,0.059430060730000005,4.359412591000001,22.824288000000003,41.400458230000005,9.634279900000001
1999-07-05,696.9618243600002,231.68977016000002,0.0,0.059493725700000014,258.05763454000004,22.824288000000003,39.579006080000006,4.532734528000001
1999-07-06,1629.3112705400004,233.98276576000004,78.75726627000002,0.05955712650000001,220.59146012000002,22.824288000000003,38.26608118000001,3.5266959170000005
1999-07-07,1233.3421024800002,235.31629592000004,229.67177553000005,0.05962079147000001,138.92356879000002,22.824288000000003,37.222609680000005,3.0453781770000004
1999-07-08,667.4823015500001,236.98294445000005,212.28859702000003,0.05968419227000001,74.49937421000001,22.824288000000003,36.93202268,3.3334819790000005
1999-07-09,1154.0562320400002,237.96803438000003,234.15236290000004,0.05974785724000001,102.36957338000002,22.824288000000003,41.038281160000004,3.0971819140000005
