datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg
1983-10-01,422.8745765258893,503.3141054167201,508.18237197457125,454.73482651646304,1041.9326517109891,508.18237197457125,1057.8795744840834,1211.7039395829725,1282.731187995389,1117.011982693948,1759.0035940165367,1282.731187995389,565.2707669833264,544.839897009595,1281.9832093416014,1248.5756502709944
1983-10-02,420.0831311226732,499.37765550470556,505.0256053784648,453.41869262658355,503.3141054167201,505.0256053784648,1038.7209159508116,1199.7995065157247,1259.8636468398527,1098.8725577124985,1211.7039395829725,1259.8636468398527,566.2162798565432,545.7512357282305,1264.338808011303,1231.3910493307574
1983-10-03,415.69580177828345,494.9848056028943,499.4727388359148,448.5903111212139,499.37765550470556,499.4727388359148,1014.6095607512186,1189.0170567567307,1230.5779808277741,1073.7857423303826,1199.7995065157247,1230.5779808277741,555.1363014394973,535.0717266288507,1235.3383326104463,1203.1463054308829
1983-10-04,413.02498139147445,491.1054056896056,496.2113805754773,445.2039903356722,494.9848056028943,496.2113805754773,999.1733083967633,1179.4231486378371,1211.8845979122664,1057.2505592341108,1189.0170567567307,1211.8845979122664,553.7527021885907,533.738135512173,1220.2639830600092,1188.4647825722366
1983-10-05,410.22947287647264,487.5683057686649,492.6267389889347,441.7849874128981,491.1054056896056,492.6267389889347,989.453718639928,1171.3505738182741,1199.8660648475698,1046.6564267515312,1179.4231486378371,1199.8660648475698,559.8972670795872,539.6606142567321,1217.131539410923,1185.4139681484633
1983-10-06,407.63577508777763,484.3164558413492,489.23226406480705,438.7390723212209,487.5683057686649,489.23226406480705,980.3353002201335,1163.6202989910587,1188.5226234344505,1036.8466675096518,1171.3505738182741,1188.5226234344505,590.3487323941332,569.0114567110667,1239.961963849991,1207.6494481705547
1983-10-07,405.2499256351084,481.12165591276005,486.07549746869836,435.9416898932868,484.3164558413492,486.07549746869836,972.747160892073,1155.062799182333,1178.98576531428,1028.6410481683736,1163.6202989910587,1178.98576531428,577.7312547656812,556.8500190193677,1221.5782743000314,1189.7448243291792
1983-10-08,402.4171377725779,477.8888226516859,482.4433142165504,433.1392673750834,481.12165591276005,482.4433142165504,965.2832535383757,1149.12009098183,1169.6771071890103,1021.0172517982858,1155.062799182333,1169.6771071890103,559.2707726130413,539.0567634995956,1198.1123483737351,1166.8904035308883
1983-10-09,399.8288921968275,474.73205605557825,479.14392262363253,430.3305543045277,477.8888226516859,479.14392262363253,959.0501611089909,1143.129841115724,1161.8802740299534,1014.3939052756439,1149.12009098183,1161.8802740299534,544.2704739596882,524.5986283000318,1179.066426481257,1148.3408046448587
1983-10-10,397.2720623457063,471.793981121249,475.8730560300751,427.5113336574939,474.73205605557825,475.8730560300751,952.7657913894689,1115.6697750628373,1154.0168825390465,1007.6675198494997,1143.129841115724,1154.0168825390465,534.7733661786212,515.4447793349779,1165.433539241865,1135.0631806276635
1983-10-11,394.74891057597796,469.0365645162166,472.6687477683631,424.54980612504846,471.793981121249,472.6687477683631,945.8132525487999,1114.3481167590453,1145.3928243984728,1000.0903977585681,1115.6697750628373,1145.3928243984728,528.5610726535356,509.4570199069358,1154.204119041297,1124.1263910293885
1983-10-12,392.49288352361754,466.3076729105452,469.91133116332935,422.40548678748337,469.0365645162166,469.91133116332935,941.6521984314152,1135.9415412763942,1140.27734117948,995.9472930228196,1114.3481167590453,1140.27734117948,527.0014025757738,507.9537217812045,1149.5630502122,1119.6062651111888
1983-10-13,390.15590111630513,463.79747296665204,466.9162062302769,419.47975515461184,466.3076729105452,466.9162062302769,937.4795443662301,1146.1534910481394,1134.8670996337448,991.0617066950917,1135.9415412763942,1134.8670996337448,534.9601881364363,515.6248488913753,1155.3421797982076,1125.234794742677
1983-10-14,387.24482481145725,460.10823971577815,463.6263229704782,417.6289584712662,463.79747296665204,463.6263229704782,929.661175497746,1156.6031491479039,1126.1764831613284,985.9500692201784,1146.1534910481394,1126.1764831613284,655.2992115864722,631.6143975684729,1270.2749418081785,1237.1724917564627
1983-10-15,386.2483739139093,458.6629730814161,462.0479396724241,414.1797609824607,460.10823971577815,462.0479396724241,929.8601911225733,1056.5184347183058,1125.9577914995484,983.6765625328505,1156.6031491479039,1125.9577914995484,639.4409669751941,616.3293255898318,1255.0932431873969,1222.3864172669255
1983-10-16,383.8317803605339,455.8294898114168,459.16691473681857,413.04783958933194,458.6629730814161,459.16691473681857,935.0120052083666,1028.8586936698837,1132.299849691124,990.6589742628421,1056.5184347183058,1132.299849691124,585.1340322600196,563.9852341466682,1208.1741984871248,1176.6900490774995
1983-10-17,381.2352863122244,453.92782318725585,456.02916480695285,410.4772350686503,455.8294898114168,456.02916480695285,943.6746475666739,1171.6263154787769,1142.5878661278362,999.6230088406841,1028.8586936698837,1142.5878661278362,560.868156612967,540.5964124339442,1197.0845335191275,1165.889372791095
1983-10-18,378.3097163288719,451.52221490769205,452.634689882826,407.7255701044479,453.92782318725585,452.634689882826,948.4993210476794,1254.5294719590802,1148.3404076659247,1004.6487961805008,1171.6263154787769,1148.3404076659247,552.8685104996016,532.8859016148914,1197.9027614661013,1166.6862783071097
