datetime,cannonsville,pepacton,neversink,wallenpaupack,prompton,shoholaMarsh,mongaupeCombined,beltzvilleCombined,fewalter,merrillCreek,hopatcong,nockamixon,assunpink,ontelaunee,stillCreek,blueMarsh,greenLane,01425000,01417000,delLordville,01436000,01433500,delMontague,01449800,01447800,delDRCanal,delTrenton,01463620,outletAssunpink,01470960,outletSchuylkill
1995-01-01,22.050745406000004,24.729482040000004,1.0623728635000003,2.8945106900000006,0.5672522410000002,0.6119788637000001,0.5891440089000001,0.7258810426000002,4.301295191,0.0,0.28671426780000003,0.8058241680000001,0.06528169040000001,0.6002391489000001,0.0,1.0483005276000001,1.0715871131,0.0,0.0,11.979369824000004,0.0,0.0,59.120815402900014,0.0,0.0,105.83473882059997,0.0,0.0,0.5310556676000001,0.0,52.540803000400004
1995-01-02,705.8025375800001,355.8435942500001,11.448520209000002,63.18497311000001,18.989596280000004,7.004810971000001,10.69280909,38.166224920000005,100.41999878000001,0.0,0.5126932109000001,1.4484203347000002,0.12181935380000002,38.566178300000004,0.0,59.563994920000006,4.986737090000001,0.0,0.0,440.0604619100001,0.0,0.0,630.8137593863001,0.0,0.0,1096.8350948075001,0.0,0.0,0.8491850318000002,0.0,600.4736182669001
1995-01-03,755.3610937500001,368.06462679000003,8.759428111000002,32.31459525,8.552028244000002,6.703894924000001,15.130680171000003,19.989611815000004,43.928829300000004,0.0,0.8300221400000001,2.4575101092000002,0.48694456100000005,29.652554160000005,0.0,38.610823030000006,4.209918788,0.0,0.0,481.91132999000007,0.0,0.0,926.9014418530003,0.0,0.0,1915.4405338750005,0.0,0.0,1.5265169118000002,0.0,507.1429542911001
1995-01-04,359.94721103000006,353.09807544000006,27.809704240000006,16.075457759000003,8.940886484,3.3444978680000004,20.820479299000002,3.4030115230000004,11.847152739,0.0,2.4439370546,3.8809214700000005,0.8334986172000001,5.061999123000001,0.0,5.5594840670000005,4.271998738000001,0.0,0.0,288.03591031,0.0,0.0,335.9988532630001,0.0,0.0,569.0279679646999,0.0,0.0,2.0031060088,0.0,391.57060547500004
1995-01-05,597.9778537000001,451.34871018000007,18.238957225000004,14.049009689000002,5.316976007,4.975853286,50.42001454000001,4.058311625000001,14.939843763000002,0.0,2.1393067774000003,6.699853123000001,1.1967218004000002,6.266878493000001,0.0,6.758313944000001,5.3441326830000015,0.0,0.0,466.5746764700001,0.0,0.0,498.942686894,0.0,0.0,454.18922980539986,0.0,0.0,3.658722799600001,0.0,468.3264934080001
1995-01-06,327.11616343000003,378.44730030000005,10.688450285000002,13.388162017,3.2520119510000005,1.8398119650000002,9.427434790000001,4.648414571000001,18.342987371000003,0.0,1.7267789054000002,4.8068637370000005,1.3613631112000002,7.4824567480000015,0.0,7.869518632000001,6.301431929000001,0.0,0.0,222.23644671000002,0.0,0.0,361.24795769300005,0.0,0.0,896.0342815836002,0.0,0.0,1.9444866858000005,0.0,390.1346037720001
1995-01-07,199.16040470000004,315.48026744000003,9.896970548000002,14.820544591000003,3.6077696900000005,1.9037173297000003,15.434845509000002,4.9140375060000006,18.278741227000005,0.0,1.8470185226000002,5.452944306000001,1.6063358773,8.559319336000001,0.0,8.890271512000002,7.172374002000001,0.0,0.0,172.14505965000004,0.0,0.0,138.42957089,0.0,0.0,496.3034383916001,0.0,0.0,2.1467273127000004,0.0,391.6686917960001
1995-01-08,158.80764469000002,281.34739008,8.234284568000001,16.237684556000005,3.965720040000001,1.8956680698000001,6.888364835000001,5.275871155000001,20.027625878000002,0.0,2.0512536330000004,6.795773250000001,1.6458609927000003,9.070673205000002,0.0,9.501111803000002,8.017770836,0.0,0.0,127.69898549000003,0.0,0.0,325.7882838663001,0.0,0.0,838.3785794177002,0.0,0.0,2.3611752353000006,0.0,392.6464642170001
1995-01-09,164.27147280000003,280.18134370000007,8.898487199,17.686049415000003,4.325387495000001,1.9354203714000002,7.1492062930000015,5.659261076000001,21.809135524000002,0.0,2.2579455244,7.011758642000001,1.9689039189000004,10.387402153000002,0.0,10.676668303000001,8.876561089,0.0,0.0,132.04088361,0.0,0.0,379.8623691722001,0.0,0.0,1103.1258833271997,0.0,0.0,2.5863378931,0.0,394.91948856500005
1995-01-10,167.89430018000002,280.10922529000004,9.518097934,18.986875329000004,4.641070645000001,1.9393802797000002,7.250251318000002,7.103478466000001,23.537309247000007,0.0,2.4459553134000003,10.279832129,2.2464329958,11.333817595000001,0.0,11.636873419,9.654858743000002,0.0,0.0,136.74601548,0.0,0.0,427.7046973866001,0.0,0.0,976.5167338139,0.0,0.0,3.1608891512,0.0,425.0247244370001
1995-01-11,498.7289205300001,295.57135956,10.433790405000002,72.63327733000001,73.24509505000002,3.3602688170000006,8.510632805000002,35.223899460000005,60.37446848000001,0.0,3.5755409500000006,49.91069478000001,8.545476828000002,16.399118843000004,0.0,35.261939940000005,15.167584720000002,0.0,0.0,505.34822822000007,0.0,0.0,1058.7427423863,0.0,0.0,2277.9087746907007,0.0,0.0,14.927876862000002,0.0,653.9148473540001
1995-01-12,399.41632239000006,287.71705712000005,10.824180831000003,45.34953556000001,53.32826207000001,2.5267966168000005,9.635864920000001,18.257977465000003,41.76316364000001,0.0,3.1429889920000007,24.168015122000007,25.777153843,15.718035749000002,0.0,23.695758413000004,12.973864206000004,0.0,0.0,394.41452761000005,0.0,0.0,701.6369993520001,0.0,0.0,1373.4717446884003,0.0,0.0,47.79445532700001,0.0,517.8568362220001
