datetime,cannonsville,pepacton,neversink,wallenpaupack,prompton,mongaupeCombined,beltzvilleCombined,blueMarsh,nockamixon,ontelaunee,assunpink
1999-06-01,100384.60000000002,140796.96098872003,32724.164418000004,49305.355565080004,15177.645106110002,13602.493704800003,13473.668562600002,12653.548835050002,12617.723948840003,3619.9170191100006,367.76215214000007
1999-06-02,99752.75845817002,140239.43654380002,32671.301359300003,49430.46621291001,15214.991875690002,13617.604228800003,13486.646970530002,13167.315897000002,12674.907507890002,3899.6228568100005,384.32693199000005
1999-06-03,99131.04334495001,139712.19866104002,32708.624353580006,49531.340848260006,15242.746896740002,13629.692648000002,13499.461064720002,13561.203141290001,12740.380193200002,3962.5500000000006,396.25500000000005
1999-06-04,98503.68688138001,139242.42198,32734.850094500005,49615.22274836001,15263.603118240002,13637.247910000002,13496.704714940002,13691.274373380002,12800.187488690002,3962.5500000000006,396.25500000000005
1999-06-05,98370.08448890001,138871.52730000002,32764.414415880005,49698.92052197001,15284.602519880002,13646.314224400003,13489.128055170002,13803.922801460003,12838.926170000002,3962.5500000000006,396.25500000000005
1999-06-06,98225.73698167001,138367.49939344003,32707.385396280006,49781.229818060005,15305.331411440002,13655.380538800002,13480.376631410001,13907.882942410002,12879.103785300002,3962.5500000000006,396.25500000000005
1999-06-07,97952.94235951001,137847.42263104,32589.867522590004,50016.27322637001,15338.007919590002,13706.756320400002,13502.394672570003,14006.029230000002,12918.004402820003,3962.5500000000006,396.25500000000005
1999-06-08,97585.90350483001,137480.85320645003,32463.135663470006,50138.44313376001,15359.235828280003,13727.911054000002,13488.920681720003,14006.029230000002,12949.534149000003,3962.5500000000006,396.25500000000005
1999-06-09,97216.90688628002,137087.81553288002,32348.470033270005,50214.86566557001,15376.496431910002,13730.933158800002,13462.102407490001,14006.029230000002,12978.902720410002,3962.5500000000006,396.25500000000005
1999-06-10,97008.20201948001,136916.04823633,32295.168452370006,50285.44554949001,15393.351006250003,13732.444211200002,13435.082835720003,14006.029230000002,13006.248542130003,3962.5500000000006,396.25500000000005
1999-06-11,96715.72726066002,136549.47141498,32305.745026660006,50351.523184100006,15409.011003850002,13732.444211200002,13420.048921020001,14006.029230000002,13032.306799270002,3962.5500000000006,396.25500000000005
1999-06-12,96365.87398533002,135986.02929789003,32316.872923740004,50414.50025542001,15423.707573460002,13732.444211200002,13409.616319380002,14006.029230000002,13057.463708370002,3962.5500000000006,396.25500000000005
1999-06-13,96033.07156265002,135434.18213044002,32335.470755910006,50490.215075800006,15439.556452610002,13758.132102000001,13409.409474270002,14006.029230000002,13085.967651370001,3962.5500000000006,396.25500000000005
1999-06-14,95724.00639949001,134934.03276782003,32277.663227320005,50592.42905305001,15467.276603220002,13797.419464400002,13445.634578030002,14006.029230000002,13124.546774000002,3962.5500000000006,396.25500000000005
1999-06-15,95375.35483349001,134482.82935114,32213.590378840006,50671.83644169001,15490.638477170003,13815.552093200002,13464.431594380003,14006.029230000002,13178.870428630002,3962.5500000000006,396.25500000000005
1999-06-16,95101.28744027001,134426.74209759003,32227.859521390004,50733.901862340004,15509.323485440002,13817.063145600003,13447.433047390003,14006.029230000002,13204.883248530003,3962.5500000000006,396.25500000000005
1999-06-17,94796.72003553002,134232.84818601003,32259.374209880007,50905.85936129001,15576.168798070003,13832.173669600003,13479.793872390002,14006.029230000002,13238.190594640002,3962.5500000000006,396.25500000000005
1999-06-18,94434.97620433001,133908.86666380003,32204.944358910005,51049.03527457001,15631.647403940002,13841.239984000002,13512.313199390002,14006.029230000002,13283.456916650002,3962.5500000000006,396.25500000000005
1999-06-19,94118.15157576001,133525.96889151,32228.979073850005,51116.40628550001,15656.410435570002,13842.751036400003,13501.442868060001,14006.029230000002,13310.864554150003,3962.5500000000006,396.25500000000005
1999-06-20,93671.21186288001,133103.08238547,32156.274734790004,51182.34470252001,15681.174788050002,13842.751036400003,13470.133703830003,14006.029230000002,13338.762227000003,3962.5500000000006,396.25500000000005
1999-06-21,93177.12757929001,132671.99683514002,32023.958057700005,51244.98125871001,15704.719203470002,13842.751036400003,13447.817414740002,14006.029230000002,13373.764752000003,3962.5500000000006,396.25500000000005
1999-06-22,92655.14562285002,132238.63942281003,31943.825258240005,51303.71972238001,15725.706453290002,13841.239984000002,13429.263698960001,14006.029230000002,13401.766772000003,3962.5500000000006,396.25500000000005
1999-06-23,92112.45987100001,131787.24791709002,31951.831458430006,51358.97378375001,15744.184088110002,13839.728931600002,13408.406949120003,14006.029230000002,13427.034632500003,3962.5500000000006,396.25500000000005
1999-06-24,91584.14549549001,131321.24965956,31956.763776500004,51411.266235250005,15760.591158470002,13838.217879200001,13388.713868130002,14006.029230000002,13450.616824230003,3962.5500000000006,396.25500000000005
1999-06-25,91117.38722087002,130859.36188723001,31962.460866720005,51465.86964591001,15778.497657750002,13835.195774400003,13372.227810940001,14006.029230000002,13470.371721000001,3962.5500000000006,396.25500000000005
1999-06-26,90676.55643924001,130420.39773082003,31969.261395030004,51516.01016859001,15793.661015750002,13832.173669600003,13358.969118640001,14006.029230000002,13491.617329080002,3962.5500000000006,396.25500000000005
1999-06-27,90307.62639153001,130024.81187343002,31973.966262730006,51562.22855928001,15808.549372780002,13830.662617200001,13343.769833520002,14006.029230000002,13512.124582010001,3962.5500000000006,396.25500000000005
1999-06-28,90338.93608410002,129821.47837524003,31943.515386830004,51747.898594590006,15839.728565370002,13966.657333200003,13336.869713120002,14006.029230000002,13530.576064000003,3962.5500000000006,396.25500000000005
1999-06-29,90703.74270228001,129995.70562283002,32069.061915160004,52082.338607100006,15908.571795710002,14214.469926800002,13338.700939560002,14006.029230000002,13550.989272410003,3962.5500000000006,396.25500000000005
1999-06-30,90825.26592151001,130391.63093867002,32067.123964040005,52237.557766510006,15954.674215770003,14280.956232400002,13331.372599590002,14006.029230000002,13572.799940120001,3962.5500000000006,396.25500000000005
1999-07-01,90644.53375184002,130654.55854716002,32100.046678630006,52332.17553541001,15986.094595570003,14311.177280400003,13318.270031760003,14006.029230000002,13591.897581930001,3962.5500000000006,396.25500000000005
1999-07-02,90529.46790409001,130741.24566849002,32245.170581490005,52454.63602980001,16015.425390670003,14394.285162400001,13304.057949930002,14006.029230000002,13611.264677140001,3962.5500000000006,396.25500000000005
1999-07-03,90809.50950186001,131454.16943676,32419.094033580004,52545.44024058001,16037.600612980003,14471.348834800003,13288.349080880002,14006.029230000002,13630.471685330001,3962.5500000000006,396.25500000000005
1999-07-04,92805.15402901001,133427.42714143003,33117.632688670004,52613.43099433001,16056.362494720002,14974.529284000002,13271.367969110002,14006.029230000002,13648.600087410003,3962.5500000000006,396.25500000000005
1999-07-05,94494.90818806001,135401.44090064,33851.03834955001,52674.48305886001,16072.728882900003,15110.524000000003,13253.279720870001,14006.029230000002,13663.585659000002,3962.5500000000006,396.25500000000005
1999-07-06,94321.68188060001,136549.23471866,34145.05506866,52727.15591516001,16095.713522090002,15110.524000000003,13234.304125600001,14006.029230000002,13681.227724110002,3962.5500000000006,396.25500000000005
1999-07-07,94148.45583731002,137984.00142691002,34086.59134179001,52772.81294460001,16114.097904900002,15110.524000000003,13215.033188270003,14006.029230000002,13698.642867190001,3962.5500000000006,396.25500000000005
1999-07-08,93975.22952985001,138832.02543156003,34028.12735075001,52814.29318217001,16127.230588110002,15110.524000000003,13195.725531310001,14006.029230000002,13715.839277510002,3962.5500000000006,396.25500000000005
1999-07-09,93802.00322239002,139612.46814596,33969.663623880006,52882.723250630006,16168.987147500002,15110.524000000003,13179.178186680003,14006.029230000002,13732.897791090003,3962.5500000000006,396.25500000000005
1999-07-10,93628.77717910001,140617.37954357002,33911.199632840006,52982.71001061001,16206.241193410002,15110.524000000003,13167.199398030001,14006.029230000002,13750.510533330002,3962.5500000000006,396.25500000000005
1999-07-11,93455.55087164,141241.12189737003,33852.73590597,53050.10189097001,16222.949153400003,15110.524000000003,13150.687980520002,14006.029230000002,13767.406846530002,3962.5500000000006,396.25500000000005
1999-07-12,93282.32456418002,141498.7877678,33794.27217910001,53091.32561947001,16237.946612640002,15110.524000000003,13136.756447230002,14006.029230000002,13784.168433030001,3962.5500000000006,396.25500000000005
1999-07-13,93060.48701417001,141626.85685546004,33735.80818806001,53130.22412363001,16251.754778540002,15110.524000000003,13119.923534830003,14006.029230000002,13800.369714960003,3962.5500000000006,396.25500000000005
1999-07-14,92914.45146064002,141368.26506918002,33677.344461190005,53167.24939832001,16264.314741190003,15110.524000000003,13101.460429360002,14006.029230000002,13816.386870400001,3962.5500000000006,396.25500000000005
