datetime,beltzvilleCombined,merrillCreek,hopatcong,nockamixon,assunpink,ontelaunee,blueMarsh,greenLane,marshCreek,delMontague,delTrenton,outletAssunpink,outletSchuylkill,outletChristina,cannonsville,pepacton,neversink,wallenpaupack,prompton,shoholaMarsh,mongaupeCombined,fewalter,stillCreek,delLordville
2010-06-16,59.51739239558,1.5019936876000002,9.90093624282,6.8753387612,4.11484076318,86.99589873282001,86.4338467881,47.23759645737999,6.23687126244,1393.4927152168402,816.1677523358798,40.181972325320004,479.20362023757986,107.68044747207999,153.73921923178,101.97574593486,23.6299018816,181.09945325150002,22.01597111924,42.113715173879996,147.57830598238,55.44515483808,5.05769531932,435.74367916715994
2010-06-17,64.51863865678,1.81853212114,18.1582074002,6.69749193554,5.62961225876,86.58393043664,87.32619479668,44.72546536052,7.20367232788,3800.36505159822,0.0,56.77850667188001,1118.1475529494198,97.30928705582001,149.71123761846002,95.96724098458,109.13381696545999,170.97835464626,21.639614779440002,42.1805458487,199.16406608756,110.34533065136,6.5621122855400005,422.90694218835995
2010-06-18,59.759427089039995,1.4843110401,9.692416165180001,4.4942852423,4.11821935546,91.70458065916002,91.00632937003999,49.73538212636,8.66380471082,2266.7431183630806,0.0,34.956789616,244.60857858037994,56.69510673736001,153.16037795128,107.15214708324001,22.1224677919,101.92436314494002,22.01784327204,42.11788285894,138.83632093282,69.69588152086,5.08540215386,107.78491081428004
2010-06-19,34.34496973866,1.55695056874,6.36514309858,4.79117932986,4.04842052888,96.12716991136,94.70522435667999,54.98402664818,6.332839448880001,811.14349838018,1246.2055657578803,41.0700389596,516.96512107674,61.478056969840004,157.36416007521998,59.261489463260006,26.355802454800003,107.02226086902,11.432335964980002,42.089610499159996,153.35559673014,89.9760392993,5.34840810784,199.47296326692
2010-06-20,36.98476020568,1.5924259930599998,6.7493381312,5.0007543761,3.5992709905600004,99.37481372896,54.261492277580004,58.848267824219995,6.6143330715,1300.0901925130001,839.0934010629799,41.658622668599996,973.45420275768,71.29795603812,160.3633858064,68.73448425424,24.5254133355,112.30190417012001,12.88390016816,42.05864649756,151.7710710439,72.59937522978001,2.99492436656,222.48530327995996
2010-06-21,40.11820783698,0.80468335836,7.1920689512000004,3.3199720129799997,3.7003934163000003,43.989961790600006,55.78094992862,35.522677694,6.70133265564,1304.8338880781398,865.2783150121605,21.50040328632,1245.7877891783799,77.48256534732,123.64851445464001,69.64130018846001,11.44595749682,115.56475347857999,14.03601250408,42.03352233934,151.01392471214,150.77066401418,2.9214287228,275.8891425521
2010-06-22,64.41244001332,1.6094486405200001,7.30699797898,3.3249237932400004,3.67985525656,45.74254794549999,54.66254846052,35.441639697940005,6.79920329984,2706.0402194896005,0.0,34.04403710442,1214.8222328289603,79.2100955758,124.92647290634,67.28523121502,48.12760133118,111.5139293191,13.694507758259999,42.05647341742,155.5514736622,55.44206818206,5.37774029688,260.75017032624
2010-06-23,33.50172694708,1.55126329988,6.91084480996,4.94189210298,4.13516966352,97.53897496546,91.58099253674001,55.813588690020005,6.76411072666,2144.14294866114,0.0,50.224967814699994,588.72638961234,69.12316223022,159.89606191804,54.836230179779996,53.44383465386,105.36259095376,11.67931187304,42.09585902592,147.24330966029999,86.90967637506,5.33909366844,194.41472617798001
2010-06-24,41.46033784018,0.8527312334800001,7.680930173,3.3248845884800002,3.56040444578,43.18111560784,54.30068069846,36.115151026359996,6.979663586,1684.2853072165399,507.43590074954045,41.8372904894,1089.72653029408,78.49801456798001,161.05402240382,59.8116722924,12.003916788640002,111.02486563826,11.77988671006,42.046324085500004,152.74624714062,97.86770906878,3.74422465746,226.84657202018
2010-06-25,42.97038068946,0.9548213413200001,7.80145293046,4.9536173841,3.7283641185,48.1369955493,54.608051196999995,36.13745885428,4.84995189756,2056.1982570605,265.28014383499993,21.13014723456,435.49084659738,85.11455923978001,124.41226320572001,63.3027303181,12.9782719815,116.28467192412,14.32667732496,24.06144512814,131.4040954198,31.63691634516,4.0951583534400005,289.28291445298
