datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg
1983-10-01,514.1781207326637,649.5003919011194,669.0250821364386,603.847293723542,1516.6244557826121,669.0250821364386,1219.719992796489,1700.443067680437,1683.861968767829,1331.4052674323425,2782.2331286485273,1683.861968767829,1020.9149607476323,930.3769779408044,1802.218381409276,1713.7348697448315
1983-10-02,561.9273913731763,571.0064354403974,730.8966355705211,645.0345046163361,649.5003919011194,730.8966355705211,1445.3356860460387,1552.694945087444,1993.3671735732287,1553.5898294641106,1700.443067680437,1993.3671735732287,1104.7453040079513,1006.7729799791716,2092.7996046844114,1990.0494273792426
1983-10-03,512.6806784463863,469.9672168588939,649.499533135511,578.6278263403277,571.0064354403974,649.499533135511,1541.7242729416098,1637.5828568340721,2095.66307003602,1627.3840682636373,1552.694945087444,2095.66307003602,970.902721415967,884.7999829133515,2196.9683533730254,2089.1038032566926
1983-10-04,426.4569017530647,398.61007382310913,533.3061262763623,507.60518799468775,469.9672168588939,533.3061262763623,1287.7771205880304,1621.6538722880116,1745.6901560796282,1385.6847077994257,1637.5828568340721,1745.6901560796282,841.2304854316598,766.6274928662305,1923.6485940004002,1829.2032234718704
1983-10-05,336.5946855031443,417.4506953826322,414.3933557550645,412.877679738059,398.61007382310913,414.3933557550645,1070.1504558866218,1518.2421556900122,1450.562328042723,1161.886444563624,1621.6538722880116,1450.562328042723,744.471426269895,678.4493345352041,1685.8521597987758,1603.0818802450642
1983-10-06,290.5841163625757,537.5241021855318,358.3191210704,356.3206771045255,417.4506953826322,358.3191210704,1047.992318231682,1400.9442993656057,1480.0215910497102,1151.8823141690325,1518.2421556900122,1480.0215910497102,807.2052413340367,735.6197155347451,1733.994558802074,1648.8606319968944
1983-10-07,363.5935440256883,488.8944959274163,440.09431428771956,366.05744558629465,537.5241021855318,440.09431428771956,1194.2858815697036,1369.1405798206324,1610.6801684751733,1213.4854074811628,1400.9442993656057,1610.6801684751733,807.2453110716405,735.6562317606914,1757.0850957390269,1670.8174928957628
1983-10-08,446.47504957473956,417.49088801696985,565.8252060482821,505.0189590076675,488.8944959274163,565.8252060482821,1212.408099466586,1880.4566241538428,1645.9690401959829,1286.5505369470025,1369.1405798206324,1645.9690401959829,817.0886571775892,744.6266386554746,1600.5354043948134,1521.9539213819824
1983-10-09,364.07371205191714,383.70186094810487,459.88511368767956,451.533262374096,417.49088801696985,459.88511368767956,1140.7542926149072,2922.2069357174587,1553.6889183559222,1243.5028605114126,1880.4566241538428,1553.6889183559222,722.6599815124014,658.5721980074576,1538.0797432554689,1462.564645691782
1983-10-10,296.29876389314984,400.3984216903433,366.5724660052847,352.76244994784423,383.70186094810487,366.5724660052847,902.14453244759,3911.073271974088,1225.4154486179366,972.387011411982,2922.2069357174587,1225.4154486179366,635.4933609659399,579.1357903541302,1446.619250580721,1375.5945886123554
1983-10-11,286.2522505839147,481.5287999717396,356.5096157950261,336.16757656767686,400.3984216903433,356.5096157950261,905.3473923841186,3023.331473039684,1232.6502319743067,968.8280663873091,3911.073271974088,1232.6502319743067,588.3863662628022,536.2063936297611,1358.2151255036815,1291.5308406578276
1983-10-12,316.66842014030135,344.96584101231315,402.24194628805003,370.96801498234976,481.5287999717396,402.24194628805003,1493.346297849967,2604.9442750386997,2154.3208023948364,1611.6090498168523,3023.331473039684,2154.3208023948364,612.450205677299,558.136175299056,1858.0400081387422,1766.8158221970868
1983-10-13,426.9427332768961,799.2541089493948,551.8535640552519,501.78379607854856,344.96584101231315,551.8535640552519,2593.48438404382,2682.6683394252022,3848.101296859578,2815.0139758905407,2604.9442750386997,3848.101296859578,822.5581386300651,749.6110691127689,2988.498455231616,2841.772153552303
1983-10-14,566.1813964772359,1370.1927578428356,681.4036418099561,620.8025224566173,799.2541089493948,681.4036418099561,3410.2730510672804,2396.438041554162,5077.346053710909,3685.089684249265,2682.6683394252022,5077.346053710909,1159.2520133756234,1056.4458611580853,4340.231005803764,4127.138694244875
1983-10-15,896.9356513592329,847.577982939787,1052.3644783537832,795.7948030879559,1370.1927578428356,1052.3644783537832,2232.1001781088735,4502.029327600991,2963.5556711976833,2170.6380991298274,2396.438041554162,2963.5556711976833,1636.112282738678,1491.0166465495909,3608.957876047673,3431.7688796331295
1983-10-16,970.8093181385484,552.3499031481708,1257.8068908649354,1174.3652485605153,847.577982939787,1257.8068908649354,1777.662416939283,5069.005886078305,2429.2087707377905,2010.783028818822,4502.029327600991,2429.2087707377905,1751.4031050463764,1596.0831123837243,2743.054614817307,2608.3788687977817
1983-10-17,501.08819897735333,984.7343047096379,629.9761537774629,699.9253207230375,552.3499031481708,629.9761537774629,1789.934747304956,3405.2634760082483,2452.53550663441,2018.1835654995461,5069.005886078305,2452.53550663441,1166.70149450334,1063.234698627718,2593.21516562771,2465.8960866952193
1983-10-18,325.2778008971604,1170.5440741542432,385.13274643662373,396.77847837825294,984.7343047096379,385.13274643662373,1011.7851723331412,2751.346051014393,1376.2765613693566,1106.1769745227514,3405.2634760082483,1376.2765613693566,852.1059102592808,776.5384504620861,2221.563651836031,2112.491546408482
