datetime,cannonsville,pepacton,neversink,aggregate
1983-10-01,,,,620.16078829807
1983-10-02,,,,620.16078829807
1983-10-03,,,,617.0754112418606
1983-10-04,,,,617.0754112418606
1983-10-05,,,,617.0754112418606
1983-10-06,,,,617.0754112418606
1983-10-07,,,,719.9213131155041
1983-10-08,,,,770.3158050335893
1983-10-09,,,,769.2873460148529
1983-10-10,,,,771.3442640523259
1983-10-11,,,,771.3442640523259
1983-10-12,,,,771.3442640523259
1983-10-13,,,,803.2264936331552
1983-10-14,,,,891.6739692444886
1983-10-15,,,,812.4826248017832
1983-10-16,,,,811.4541657830468
1983-10-17,,,,813.5110838205196
1983-10-18,,,,910.1862315817444
1983-10-19,,,,910.1862315817444
1983-10-20,,,,1022.2882646240159
1983-10-21,,,,948.2392152749925
1983-10-22,,,,811.4541657830468
1983-10-23,,,,811.4541657830468
1983-10-24,,,,811.4541657830468
1983-10-25,,,,965.7230185935119
1983-10-26,,,,986.2921989682407
1983-10-27,,,,970.8653136871941
1983-10-28,,,,1021.2598056052793
1983-10-29,,,,1020.2313465865429
1983-10-30,,,,1015.0890514928608
1983-10-31,,,,805.2834116706281
1983-11-01,,,,736.1106353305762
1983-11-02,,,,736.1106353305762
1983-11-03,,,,718.3099514036633
1983-11-04,,,,470.1474754814064
1983-11-05,,,,472.241673590455
1983-11-06,,,,815.6901634744223
1983-11-07,,,,811.501767256325
1983-11-08,,,,819.8785596925193
1983-11-09,,,,853.3857294372966
1983-11-10,,,,824.0669559106166
1983-11-11,,,,468.05327737235774
1983-11-12,,,,476.43006980855216
1983-11-13,,,,832.4437483468108
1983-11-14,,,,830.3495502377623
1983-11-15,,,,721.4512485672361
1983-11-16,,,,876.4219086368312
1983-11-17,,,,782.1829937296451
1983-11-18,,,,468.05327737235774
1983-11-19,,,,478.52426791760075
1983-11-20,,,,834.5379464558596
1983-11-21,,,,814.643064419898
1983-11-22,,,,487.9481594083193
1983-11-23,,,,0.0
1983-11-24,,,,113.08669788862336
1983-11-25,,,,1.0470990545242904
1983-11-26,,,,0.0
1983-11-27,,,,0.0
1983-11-28,,,,0.0
1983-11-29,,,,0.0
1983-11-30,,,,0.0
1983-12-01,,,,739.3311770677864
1983-12-02,,,,739.3311770677864
1983-12-03,,,,738.3387862260845
1983-12-04,,,,179.62274234801248
1983-12-05,,,,0.0
1983-12-06,,,,0.0
1983-12-07,,,,9.923908417017264
1983-12-08,,,,841.5474337630642
1983-12-09,,,,746.2779129596983
1983-12-10,,,,617.2671035384739
1983-12-11,,,,924.9082644660091
1983-12-12,,,,922.9234827826057
1983-12-13,,,,922.9234827826057
1983-12-14,,,,923.9158736243073
1983-12-15,,,,924.9082644660091
1983-12-16,,,,924.9082644660091
1983-12-17,,,,682.7648990907878
1983-12-18,,,,742.3083495928915
1983-12-19,,,,695.6659800329104
1983-12-20,,,,695.6659800329104
1983-12-21,,,,695.6659800329104
1983-12-22,,,,691.6964166661035
1983-12-23,,,,692.688807507805
1983-12-24,,,,691.6964166661035
1983-12-25,,,,691.6964166661035
1983-12-26,,,,692.6888075078051
1983-12-27,,,,693.6811983495069
1983-12-28,,,,652.0007829980344
1983-12-29,,,,689.7116349826999
1983-12-30,,,,689.7116349826999
1983-12-31,,,,689.7116349826999
1984-01-01,,,,806.0526630650072
1984-01-02,,,,839.5114528526112
1984-01-03,,,,703.6484882605218
1984-01-04,,,,704.6623909813585
1984-01-05,,,,704.6623909813585
1984-01-06,,,,484.6455005598406
1984-01-07,,,,704.6623909813585
1984-01-08,,,,704.6623909813585
1984-01-09,,,,704.6623909813585
1984-01-10,,,,649.9116440561882
1984-01-11,,,,682.3565311229557
1984-01-12,,,,672.2175039145908
1984-01-13,,,,680.3287256812825
1984-01-14,,,,658.0228658228801
1984-01-15,,,,629.6335896394584
1984-01-16,,,,530.2711229974826
1984-01-17,,,,344.7269250844056
1984-01-18,,,,594.1469944101814
1984-01-19,,,,739.135083489799
1984-01-20,,,,483.63159783900426
1984-01-21,,,,733.0516671647799
1984-01-22,,,,633.6892005228042
1984-01-23,,,,670.1896984729179
1984-01-24,,,,646.8699358936786
1984-01-25,,,,649.911644056188
1984-01-26,,,,591.1052862476719
1984-01-27,,,,878.0397562443975
1984-01-28,,,,967.2631956780085
1984-01-29,,,,958.13807119048
1984-01-30,,,,944.9573358196059
1984-01-31,,,,755.3575270231827
1984-02-01,,,,0.0
1984-02-02,,,,0.0
1984-02-03,,,,0.0
1984-02-04,,,,0.0
1984-02-05,,,,0.0
1984-02-06,,,,0.0
1984-02-07,,,,0.0
1984-02-08,,,,0.0
1984-02-09,,,,0.0
1984-02-10,,,,415.3645082569068
1984-02-11,,,,414.44147601633586
1984-02-12,,,,414.44147601633586
1984-02-13,,,,415.3645082569068
1984-02-14,,,,416.2875404974777
1984-02-15,,,,415.3645082569068
1984-02-16,,,,415.3645082569068
1984-02-17,,,,415.3645082569068
1984-02-18,,,,0.0
1984-02-19,,,,0.0
1984-02-20,,,,0.0
1984-02-21,,,,0.0
1984-02-22,,,,0.0
1984-02-23,,,,0.0
1984-02-24,,,,431.9790885871831
1984-02-25,,,,495.66831318657546
1984-02-26,,,,491.9761842242919
1984-02-27,,,,509.513796795139
1984-02-28,,,,573.2030213945314
1984-02-29,,,,545.5120541774043
1984-03-01,,,,801.6544657501611
1984-03-02,,,,801.6544657501611
1984-03-03,,,,800.5827351809764
1984-03-04,,,,800.5827351809764
1984-03-05,,,,742.7092844450024
1984-03-06,,,,740.5658233066329
1984-03-07,,,,886.321180715753
