datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag2_same_day,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag1_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag1_regression_agg,delTrenton_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg,delMontague_lag0_moving_average,delMontague_lag1_moving_average,delMontague_lag2_moving_average,delTrenton_lag0_moving_average,delTrenton_lag1_moving_average,delTrenton_lag2_moving_average,delTrenton_lag3_moving_average,delTrenton_lag4_moving_average,demand_nj_lag1_regression_disagg,demand_nj_lag1_perfect_foresight,demand_nj_lag1_same_day,demand_nj_lag1_regression_agg,demand_nj_lag2_regression_disagg,demand_nj_lag2_perfect_foresight,demand_nj_lag2_same_day,demand_nj_lag2_regression_agg,demand_nj_lag3_regression_disagg,demand_nj_lag3_perfect_foresight,demand_nj_lag3_same_day,demand_nj_lag3_regression_agg,demand_nj_lag4_regression_disagg,demand_nj_lag4_perfect_foresight,demand_nj_lag4_same_day,demand_nj_lag4_regression_agg,demand_nj_lag0_moving_average,demand_nj_lag1_moving_average,demand_nj_lag2_moving_average,demand_nj_lag3_moving_average,demand_nj_lag4_moving_average
1959-10-01,497.6595000447449,776.3388013143766,553.8993983693586,553.8982347289852,1143.8534391163723,553.8993983693586,1803.4101336381461,2677.3230939522573,2137.2866308036923,1849.1177692419476,3542.1427091712503,2137.2866308036923,1898.6604805270226,3212.6123591518726,2137.2866308036923,1953.5027366450545,4416.29544388547,2137.2866308036923,227.40759738034666,226.9333215460515,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,554.4023475646973,554.4023475646973,554.4023475646973,2157.450382232666,2157.450382232666,2157.450382232666,2157.450382232666,2157.450382232666,100.65815931780656,95.608596368514,100.84742356678876,100.65815931780656,100.5466880965755,89.71491577045491,100.84742356678876,100.5466880965755,100.50299185747207,96.91830316808267,100.84742356678876,100.50299185747207,100.47044104348193,94.29888956894531,100.84742356678876,100.47044104348193,100.84742356678876,100.84742356678876,100.84742356678876,100.84742356678876,100.84742356678876
1959-10-02,634.2196135166287,758.9766720228054,773.37076906638,776.3378164604558,776.3388013143766,773.37076906638,2294.993364991349,2593.7736964035453,2880.457831794369,2404.824503268244,2677.3230939522573,2880.457831794369,2521.723583065234,3542.1427091712503,2880.457831794369,2383.2213137733925,3212.6123591518726,2880.457831794369,445.69522054297903,444.65123102109817,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,660.3204345703125,660.3204345703125,660.3204345703125,2530.447967529297,2530.447967529297,2530.447967529297,2530.447967529297,2530.447967529297,95.43123683337402,89.71491577045491,95.608596368514,95.43123683337402,95.32677534371138,96.91830316808267,95.608596368514,95.32677534371138,95.28582652395968,94.29888956894531,95.608596368514,95.28582652395968,95.2553222222564,101.50227696657304,95.608596368514,95.2553222222564,98.22800996765139,98.22800996765139,98.22800996765139,98.22800996765139,98.22800996765139
1959-10-03,602.9670394442799,624.2056042006379,729.5103557996608,758.9756871688844,758.9766720228054,729.5103557996608,2116.661216240541,2557.9464152024716,2656.633272867244,2236.856320987241,2593.7736964035453,2656.633272867244,2406.741988079604,2677.3230939522573,2656.633272867244,2453.3323626755628,3542.1427091712503,2656.633272867244,463.3426326390546,462.2504320692171,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,705.0523897806803,705.0523897806803,705.0523897806803,2510.6151746114097,2510.6151746114097,2510.6151746114097,2510.6151746114097,2510.6151746114097,89.55080924685721,96.91830316808267,89.71491577045491,89.55080924685721,89.4541515454072,94.29888956894531,89.71491577045491,89.4541515454072,89.4162614012382,101.50227696657304,89.71491577045491,89.4162614012382,89.38803547330032,100.1925701670044,89.71491577045491,89.38803547330032,95.39031190191922,95.39031190191922,95.39031190191922,95.39031190191922,95.39031190191922
1959-10-04,486.9608130352157,551.9419780506897,579.4403721144563,624.204619346717,624.2056042006379,579.4403721144563,2218.0391130030825,2512.6959335456263,2762.280301289412,2337.4315718484245,2557.9464152024716,2762.280301289412,2454.9187478588747,2593.7736964035453,2762.280301289412,2691.674412802263,2677.3230939522573,2762.280301289412,346.6803968553409,345.9016014257479,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,689.446834564209,689.446834564209,689.446834564209,2617.1734580993652,2617.1734580993652,2617.1734580993652,2617.1734580993652,2617.1734580993652,96.7379781444951,94.29888956894531,96.91830316808267,96.7379781444951,96.63177050468735,101.50227696657304,96.91830316808267,96.63177050468735,96.59013729020224,100.1925701670044,96.91830316808267,96.59013729020224,96.55912319205213,100.1925701670044,96.91830316808267,96.55912319205213,95.7723097184601,95.7723097184601,95.7723097184601,95.7723097184601,95.7723097184601
1959-10-05,449.90792795648713,569.1897931041267,532.8587528004455,551.2373799155189,551.9419780506897,532.8587528004455,1954.678989077645,2065.9370518980136,2414.2654211769473,2039.0732414185434,2512.6959335456263,2414.2654211769473,2170.0484849008744,2557.9464152024716,2414.2654211769473,2293.499053391897,2593.7736964035453,2414.2654211769473,316.03485507529206,315.33606788077395,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,670.3602729797364,670.3602729797364,670.3602729797364,2622.7956977844237,2622.7956977844237,2622.7956977844237,2622.7956977844237,2622.7956977844237,94.12448823351345,101.50227696657304,94.29888956894531,94.12448823351345,94.0217686101871,100.1925701670044,94.29888956894531,94.0217686101871,93.9815025077661,100.1925701670044,94.29888956894531,93.9815025077661,93.95150675362626,100.84742356678876,94.29888956894531,93.95150675362626,95.47762568855714,95.47762568855714,95.47762568855714,95.47762568855714,95.47762568855714
1959-10-06,494.9037096902595,630.7659238963738,588.729694139549,569.3884481942295,569.1897931041267,588.729694139549,2036.9191343070554,1261.2866217377968,2525.4655622474006,2090.0934514139817,2065.9370518980136,2525.4655622474006,2205.0937497473183,2512.6959335456263,2525.4655622474006,2296.91378087728,2557.9464152024716,2525.4655622474006,351.74995159683556,350.9578181870509,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,656.669225692749,656.669225692749,656.669225692749,2610.449458440145,2610.449458440145,2610.449458440145,2610.449458440145,2610.449458440145,101.31151673386235,100.1925701670044,101.50227696657304,101.31151673386235,101.19916465646796,100.1925701670044,101.50227696657304,101.19916465646796,101.15512317320359,100.84742356678876,101.50227696657304,101.15512317320359,101.1223151925598,100.1925701670044,101.50227696657304,101.1223151925598,96.48173423489311,96.48173423489311,96.48173423489311,96.48173423489311,96.48173423489311
1959-10-07,519.8061981290018,708.0685803859662,625.108382510624,630.993114595161,630.7659238963738,625.108382510624,2092.845630322736,1999.5826954501674,2591.1775512089907,2177.432144595655,1261.2866217377968,2591.1775512089907,2244.2124187735617,2065.9370518980136,2591.1775512089907,2293.3348832991915,2512.6959335456263,2591.1775512089907,383.5624871867515,382.68603189178134,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,648.795656476702,648.795656476702,648.795656476702,2600.477497645787,2600.477497645787,2600.477497645787,2600.477497645787,2600.477497645787,100.00480017430407,100.1925701670044,100.1925701670044,100.00480017430407,99.89420879399981,100.84742356678876,100.1925701670044,99.89420879399981,99.85085740153039,100.1925701670044,100.1925701670044,99.85085740153039,99.81856345822409,100.1925701670044,100.1925701670044,99.81856345822409,97.01185365376615,97.01185365376615,97.01185365376615,97.01185365376615,97.01185365376615
1959-10-08,623.7400281549978,305.01776131697756,753.3091454225616,708.0961090102757,708.0685803859662,753.3091454225616,2216.5631026619476,1845.170298316736,2767.2812117172875,2267.54237017348,1999.5826954501674,2767.2812117172875,2399.448459805357,1261.2866217377968,2767.2812117172875,2296.4253390406834,2065.9370518980136,2767.2812117172875,454.96038350497327,453.89111515093504,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,669.9924539838519,669.9924539838519,669.9924539838519,2665.965459006173,2665.965459006173,2665.965459006173,2665.965459006173,2665.965459006173,100.00480017430407,100.84742356678876,100.1925701670044,100.00480017430407,99.89420879399981,100.1925701670044,100.1925701670044,99.89420879399981,99.85085740153039,100.1925701670044,100.1925701670044,99.85085740153039,99.81856345822409,96.26344976829834,100.1925701670044,99.81856345822409,96.91830316808269,96.91830316808269,96.91830316808269,96.91830316808269,96.91830316808269
1959-10-09,188.83117317305482,183.75862488805745,189.387833484199,304.84561475521417,305.01776131697756,189.387833484199,1497.3015334132801,2336.9142639430747,1736.2819895940647,1626.9212385678607,1845.170298316736,1736.2819895940647,1586.7547811073523,1999.5826954501674,1736.2819895940647,2084.975688693902,1261.2866217377968,1736.2819895940647,0.0009985522416436877,0.0010012087249551581,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,596.6343059539795,596.6343059539795,596.6343059539795,2561.6101608276367,2561.6101608276367,2561.6101608276367,2561.6101608276367,2561.6101608276367,100.65815931780656,100.1925701670044,100.84742356678876,100.65815931780656,100.5466880965755,100.1925701670044,100.84742356678876,100.5466880965755,100.50299185747207,96.26344976829834,100.84742356678876,100.50299185747207,100.47044104348193,96.91830316808267,100.84742356678876,100.47044104348193,97.6667070535505,97.6667070535505,97.6667070535505,97.6667070535505,97.6667070535505
1959-10-10,178.0791625940148,239.86552648488058,178.55763130963618,178.55656313272607,183.75862488805745,178.55763130963618,691.5693047988334,3325.654770790552,734.0290864161503,698.9417117844855,2336.9142639430747,734.0290864161503,850.9289406167816,1845.170298316736,734.0290864161503,803.585629881095,1999.5826954501674,734.0290864161503,0.0009985522416436877,0.0010012087249551581,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,526.7426256452288,526.7426256452288,526.7426256452288,2399.027198246547,2399.027198246547,2399.027198246547,2399.027198246547,2399.027198246547,100.00480017430407,100.1925701670044,100.1925701670044,100.00480017430407,99.89420879399981,96.26344976829834,100.1925701670044,99.89420879399981,99.85085740153039,96.91830316808267,100.1925701670044,99.85085740153039,99.81856345822409,96.26344976829834,100.1925701670044,99.81856345822409,99.16351482448614,99.16351482448614,99.16351482448614,99.16351482448614,99.16351482448614
