datetime,demand_nj_lag1_regression_disagg,demand_nj_lag1_perfect_foresight,demand_nj_lag1_same_day,demand_nj_lag1_regression_agg,demand_nj_lag2_regression_disagg,demand_nj_lag2_perfect_foresight,demand_nj_lag2_same_day,demand_nj_lag2_regression_agg,demand_nj_lag3_regression_disagg,demand_nj_lag3_perfect_foresight,demand_nj_lag3_same_day,demand_nj_lag3_regression_agg,demand_nj_lag4_regression_disagg,demand_nj_lag4_perfect_foresight,demand_nj_lag4_same_day,demand_nj_lag4_regression_agg,demand_nj_lag0_moving_average,demand_nj_lag1_moving_average,demand_nj_lag2_moving_average,demand_nj_lag3_moving_average,demand_nj_lag4_moving_average
10/1/1979,92.46564787,92.83892382,92.83892382,92.46564787,92.32505933,94.18441547,92.83892382,92.32505933,92.26445983,96.20265294,92.83892382,92.26445983,92.22830545,98.22089042,92.83892382,92.22830545,92.83892382,92.83892382,92.83892382,92.83892382,92.83892382
10/2/1979,92.46564787,94.18441547,92.83892382,92.46564787,92.32505933,96.20265294,92.83892382,92.32505933,92.26445983,98.22089042,92.83892382,92.26445983,92.22830545,98.22089042,92.83892382,92.22830545,92.83892382,92.83892382,92.83892382,92.83892382,92.83892382
10/3/1979,93.80452955,96.20265294,94.18441547,93.80452955,93.66145274,98.22089042,94.18441547,93.66145274,93.5997809,98.22089042,94.18441547,93.5997809,93.5629868,88.12970305,94.18441547,93.5629868,93.28742104,93.28742104,93.28742104,93.28742104,93.28742104
10/4/1979,95.81282026,98.22089042,96.20265294,95.81282026,95.6659991,98.22089042,96.20265294,95.6659991,95.60271361,88.12970305,96.20265294,95.60271361,95.5649569,96.87539877,96.20265294,95.5649569,94.01622901,94.01622901,94.01622901,94.01622901,94.01622901
10/5/1979,97.82107351,98.22089042,98.22089042,97.82107351,97.67049394,88.12970305,98.22089042,97.67049394,97.60558876,96.87539877,98.22089042,97.60558876,97.56686581,98.22089042,98.22089042,97.56686581,94.85716129,94.85716129,94.85716129,94.85716129,94.85716129
10/6/1979,97.82107351,88.12970305,98.22089042,97.82107351,97.67049394,96.87539877,98.22089042,97.67049394,97.60558876,98.22089042,98.22089042,97.60558876,97.56686581,99.56638207,98.22089042,97.56686581,95.41778281,95.41778281,95.41778281,95.41778281,95.41778281
10/7/1979,87.77942441,96.87539877,88.12970305,87.77942441,87.64749325,98.22089042,88.12970305,87.64749325,87.59062471,99.56638207,88.12970305,87.59062471,87.55669607,100.9118737,88.12970305,87.55669607,94.37662856,94.37662856,94.37662856,94.37662856,94.37662856
10/8/1979,96.48224214,98.22089042,96.87539877,96.48224214,96.33416972,99.56638207,96.87539877,96.33416972,96.270345,100.9118737,96.87539877,96.270345,96.2322666,98.22089042,96.87539877,96.2322666,94.95326784,94.95326784,94.95326784,94.95326784,94.95326784
10/9/1979,97.82107351,99.56638207,98.22089042,97.82107351,97.67049394,100.9118737,98.22089042,97.67049394,97.60558876,98.22089042,98.22089042,97.60558876,97.56686581,87.45695722,98.22089042,97.56686581,95.72212021,95.72212021,95.72212021,95.72212021,95.72212021
10/10/1979,99.15988857,100.9118737,99.56638207,99.15988857,99.00679574,98.22089042,99.56638207,99.00679574,98.94080747,87.45695722,99.56638207,98.94080747,98.9014384,92.16617799,99.56638207,98.9014384,96.49097258,96.49097258,96.49097258,96.49097258,96.49097258
10/11/1979,100.4986876,98.22089042,100.9118737,100.4986876,100.3430754,87.45695722,100.9118737,100.3430754,100.2760015,92.16617799,100.9118737,100.2760015,100.2359847,93.51166964,100.9118737,100.2359847,97.16371841,97.16371841,97.16371841,97.16371841,97.16371841
10/12/1979,97.82107351,87.45695722,98.22089042,97.82107351,97.67049394,92.16617799,98.22089042,97.67049394,97.60558876,93.51166964,98.22089042,97.60558876,97.56686581,96.87539877,98.22089042,97.56686581,97.16371841,97.16371841,97.16371841,97.16371841,97.16371841
10/13/1979,87.10994601,92.16617799,87.45695722,87.10994601,86.97924489,93.51166964,87.45695722,86.97924489,86.92290647,96.87539877,87.45695722,86.92290647,86.88929406,71.98380325,87.45695722,86.88929406,95.62601367,95.62601367,95.62601367,95.62601367,95.62601367
