datetime,delMontague_lag1_regression_disagg,delMontague_lag2_regression_disagg,delTrenton_lag1_regression_disagg,delTrenton_lag2_regression_disagg,delTrenton_lag3_regression_disagg,delTrenton_lag4_regression_disagg
1980-10-01,411.5236149318822,407.0747744945052,616.6007944443583,615.4195281008776,601.0307530676907,590.997667236905
1980-10-02,620.3371665128421,846.446889670962,907.3957125203702,952.8776536499792,1090.2393274457013,1315.5984784068492
1980-10-03,1502.0042694633876,1600.689619675614,2212.458233772244,3179.508357728375,3277.8170149356,3411.3428675443774
1980-10-04,1940.2126827724032,1833.9547133624633,4497.723376616095,4946.693616246128,4920.115075391714,4893.436424063766
1980-10-05,1607.4654541651485,1504.789240019959,4163.334294078124,3833.895183521988,3632.9162734741312,3581.2419011511265
1980-10-06,1405.561821796929,1335.7168819115718,3139.9011985276984,2894.0724910380723,2672.4925792053236,2627.8415509692786
1980-10-07,1350.3312248061463,1273.8615406385654,2951.893336366392,2790.3551021666017,2627.4289155454862,2576.9015843458988
1980-10-08,1279.286102548021,1213.198860557061,2776.6384522965104,2653.648819126197,2496.8845021667594,2455.122201051726
1980-10-09,1233.9725829336458,1172.5571704860513,2622.441966217767,2524.270596917328,2378.003608040279,2338.828885273311
1980-10-10,1191.6840121142557,1132.5699558460149,2536.546446063765,2446.5827254704636,2307.865658028148,2270.4254715904317
1980-10-11,1291.9275343995585,1253.2992775966022,2511.6591494776676,2640.9073946803405,2512.3091310682967,2493.9955972457774
1980-10-12,1326.9528633957018,1255.0400198086254,2816.546247049031,2693.3488981491973,2602.277009108254,2557.7558422450907
1980-10-13,1139.234061160412,1075.274026116916,2487.713912590898,2402.1550760217133,2215.400130521091,2169.6912055957378
1980-10-14,1104.4706036026225,1054.3071556014647,2398.7388874270055,2222.1172665272047,2094.64598015668,2063.2181890086936
1980-10-15,1049.0898978464872,995.3251105833499,2255.5824815225324,2188.269740668973,2047.6211681351226,2012.7049626610567
1980-10-16,1002.216511804253,949.0780205369078,2199.4330318139014,2091.072543092118,1968.872351629248,1934.400361673714
1980-10-17,950.7375542545908,901.275815039777,2068.638269086914,1979.214617458334,1862.5479305679542,1830.2911131802757
1980-10-18,939.7815261670835,896.9984445304515,2292.802685954558,2258.4888723664694,2151.1033727321583,2133.7365528736286
