datetime,D_R_Canal
1945-01-01,86.19610483625738
1945-01-02,81.48225535302454
1945-01-03,60.60663621299345
1945-01-04,48.485308970394776
1945-01-05,56.5661937987939
1945-01-06,66.66729983429282
1945-01-07,70.03433517945912
1945-01-08,70.03433517945912
1945-01-09,72.72796345559216
1945-01-10,70.7077422484924
1945-01-11,65.32048569622629
1945-01-12,68.01411397235933
1945-01-13,71.38114931752563
1945-01-14,68.01411397235933
1945-01-15,68.01411397235933
1945-01-16,70.03433517945912
1945-01-17,72.0545563865589
1945-01-18,71.38114931752563
1945-01-19,72.72796345559216
1945-01-20,73.40137052462542
1945-01-21,70.03433517945912
1945-01-22,68.68752104139259
1945-01-23,69.36092811042585
1945-01-24,69.36092811042585
1945-01-25,68.68752104139259
1945-01-26,69.36092811042585
1945-01-27,68.68752104139259
1945-01-28,68.68752104139259
1945-01-29,69.36092811042585
1945-01-30,68.68752104139259
1945-01-31,68.68752104139259
1945-02-01,82.04212761462641
1945-02-02,80.8084114098952
1945-02-03,79.57469520516395
1945-02-04,82.04212761462641
1945-02-05,76.4904046933359
1945-02-06,78.34097900043274
1945-02-07,81.42526951226077
1945-02-08,80.8084114098952
1945-02-09,80.8084114098952
1945-02-10,85.12641812645448
1945-02-11,85.74327622882008
1945-02-12,80.19155330752959
1945-02-13,80.8084114098952
1945-02-14,79.57469520516395
1945-02-15,77.72412089806713
1945-02-16,78.34097900043274
1945-02-17,79.57469520516395
1945-02-18,75.87354659097028
1945-02-19,79.57469520516395
1945-02-20,78.34097900043274
1945-02-21,77.72412089806713
1945-02-22,77.72412089806713
1945-02-23,77.72412089806713
1945-02-24,77.10726279570153
1945-02-25,76.4904046933359
1945-02-26,78.34097900043274
1945-02-27,78.95783710279835
1945-02-28,78.95783710279835
1945-03-01,95.48329493897553
1945-03-02,34.87510417983858
1945-03-03,3.7922443380018644
1945-03-04,59.931004270208035
1945-03-05,65.8902453727824
1945-03-06,70.42739484860606
1945-03-07,71.104581337535
1945-03-08,50.247237478524724
1945-03-09,73.13614080432168
1945-03-10,80.58519218253963
1945-03-11,84.64831111611308
1945-03-12,84.64831111611308
1945-03-13,86.00268409397088
1945-03-14,81.26237867146854
1945-03-15,79.23081920468181
1945-03-16,83.29393813825524
1945-03-17,86.67987058289978
1945-03-18,89.38861653861537
1945-03-19,86.67987058289978
1945-03-20,86.00268409397088
1945-03-21,81.26237867146854
1945-03-22,76.52207324896621
1945-03-23,77.87644622682402
1945-03-24,79.23081920468181
1945-03-25,79.23081920468181
1945-03-26,79.90800569361073
1945-03-27,86.00268409397088
1945-03-28,83.29393813825524
1945-03-29,83.97112462718417
1945-03-30,92.77454898325992
1945-03-31,92.77454898325992
1945-04-01,72.21747608145206
1945-04-02,78.60840316830622
1945-04-03,78.60840316830622
1945-04-04,68.38291982933957
1945-04-05,77.33021775093539
1945-04-06,79.24749587699165
1945-04-07,72.21747608145206
1945-04-08,78.60840316830622
1945-04-09,79.88658858567709
1945-04-10,81.16477400304791
1945-04-11,81.16477400304791
1945-04-12,82.44295942041872
1945-04-13,89.47297921595832
1945-04-14,90.75116463332915
1945-04-15,88.8338865072729
1945-04-16,82.44295942041872
1945-04-17,83.08205212910416
1945-04-18,85.63842296384583
1945-04-19,89.47297921595832
1945-04-20,91.39025734201456
1945-04-21,87.55570108990207
1945-04-22,8.308205212910414
1945-04-23,74.77384691619373
1945-04-24,85.63842296384583
1945-04-25,86.91660838121666
1945-04-26,90.11207192464373
1945-04-27,92.66844275938543
1945-04-28,92.66844275938543
1945-04-29,90.11207192464373
1945-04-30,89.47297921595832
1945-05-01,93.93137225875405
1945-05-02,99.07829676608306
1945-05-03,102.9384901465798
1945-05-04,102.29512458316367
1945-05-05,100.36502789291531
1945-05-06,102.29512458316367
1945-05-07,101.65175901974754
1945-05-08,99.72166232949917
1945-05-09,90.71454444167344
1945-05-10,89.42781331484119
1945-05-11,92.64464113192182
1945-05-12,79.77732986359933
1945-05-13,96.50483451241855
1945-05-14,98.43493120266692
1945-05-15,98.43493120266692
1945-05-16,99.72166232949917
1945-05-17,99.72166232949917
1945-05-18,101.00839345633143
1945-05-19,101.00839345633143
1945-05-20,101.00839345633143
1945-05-21,101.00839345633143
1945-05-22,101.65175901974754
1945-05-23,97.79156563925079
1945-05-24,100.36502789291531
1945-05-25,101.65175901974754
1945-05-26,100.36502789291531
1945-05-27,101.00839345633143
1945-05-28,100.36502789291531
1945-05-29,102.9384901465798
