datetime,demand_nj_lag1_regression_disagg,demand_nj_lag2_regression_disagg,demand_nj_lag3_regression_disagg,demand_nj_lag4_regression_disagg
1945-01-01,85.92369933567012,85.80300344597362,85.73433787262476,85.6950906756381
1945-01-02,81.22799154092317,81.11533051783249,81.05123519970614,81.01459993359099
1945-01-03,60.43021664251076,60.352035531771186,60.30755333020672,60.28212736391165
1945-01-04,48.351835844063366,48.292679868578105,48.259020416065724,48.23978011229702
1945-01-05,56.404299386934575,56.332552625151564,56.291730636352,56.26839661541468
1945-01-06,66.46873863615923,66.380749667467,66.33068833347862,66.30207372771893
1945-01-07,69.82330215629818,69.72978887709947,69.67658513493754,69.64617456865287
1945-01-08,69.82330215629818,69.72978887709947,69.67658513493754,69.64617456865287
1945-01-09,72.50687020877011,72.40890092440628,72.35316248925484,72.32130329523478
1945-01-10,70.49420093404777,70.3995766414406,70.34574092331302,70.31496916937361
1945-01-11,65.12687986460183,65.0410858828851,64.99227314038032,64.96437213781816
1945-01-12,67.8105781529904,67.72038569209609,67.66907093503104,67.63973996680936
1945-01-13,71.16509517361345,71.06935786310594,71.01488903034748,70.98375543848636
1945-01-14,67.8105781529904,67.72038569209609,67.66907093503104,67.63973996680936
1945-01-15,67.8105781529904,67.72038569209609,67.66907093503104,67.63973996680936
1945-01-16,69.82330215629818,69.72978887709947,69.67658513493754,69.64617456865287
1945-01-17,71.83598491783975,71.73913260388363,71.68402952859563,71.6525334546959
1945-01-18,71.16509517361345,71.06935786310594,71.01488903034748,70.98375543848636
1945-01-19,72.50687020877011,72.40890092440628,72.35316248925484,72.32130329523478
1945-01-20,73.17775108766914,73.07866288418325,73.02228798220358,72.99006503590456
1945-01-21,69.82330215629818,69.72978887709947,69.67658513493754,69.64617456865287
1945-01-22,68.48149081072326,68.39019346725766,68.33825021692378,68.30856004995117
1945-01-23,69.15239879669564,69.05999450710532,69.00742159127029,68.97737155610474
1945-01-24,69.15239879669564,69.05999450710532,69.00742159127029,68.97737155610474
1945-01-25,68.48149081072326,68.39019346725766,68.33825021692378,68.30856004995117
1945-01-26,69.15239879669564,69.05999450710532,69.00742159127029,68.97737155610474
1945-01-27,68.48149081072326,68.39019346725766,68.33825021692378,68.30856004995117
1945-01-28,68.48149081072326,68.39019346725766,68.33825021692378,68.30856004995117
1945-01-29,69.15239879669564,69.05999450710532,69.00742159127029,68.97737155610474
1945-01-30,68.48149081072326,68.39019346725766,68.33825021692378,68.30856004995117
1945-01-31,68.48149081072326,68.39019346725766,68.33825021692378,68.30856004995117
1945-02-01,81.78571896745207,81.6721079946201,81.60747233889168,81.57052826516129
1945-02-02,80.55672544010372,80.44520615070961,80.38176025940814,80.34549614675356
1945-02-03,79.32771858561935,79.21828509394665,79.1560256238733,79.12043956313849
1945-02-04,81.78571896745207,81.6721079946201,81.60747233889168,81.57052826516129
1945-02-05,76.25514177003974,76.15089641559887,76.09158802710468,76.0576885465424
1945-02-06,78.09869819721254,77.99134452612604,77.93026808212845,77.89535813448057
1945-02-07,81.17122385699204,81.05865945598887,80.99461909718865,80.95801524082123
1945-02-08,80.55672544010372,80.44520615070961,80.38176025940814,80.34549614675356
1945-02-09,80.55672544010372,80.44520615070961,80.38176025940814,80.34549614675356
1945-02-10,84.85814578124183,84.73928042523684,84.67165605896271,84.63300391678199
1945-02-11,85.47262156286119,85.35270109904904,85.28447658733,85.2454814590347
1945-02-12,79.94222369152841,79.83174804235729,79.7688957827793,79.73297093656254
1945-02-13,80.55672544010372,80.44520615070961,80.38176025940814,80.34549614675356
1945-02-14,79.32771858561935,79.21828509394665,79.1560256238733,79.12043956313849
1945-02-15,77.4841828613941,77.37786682982232,77.31738060899912,77.28280798130342
1945-02-16,78.09869819721254,77.99134452612604,77.93026808212845,77.89535813448057
1945-02-17,79.32771858561935,79.21828509394665,79.1560256238733,79.12043956313849
1945-02-18,75.64061595859167,75.53740361704776,75.47868282365987,75.44511916225396
1945-02-19,79.32771858561935,79.21828509394665,79.1560256238733,79.12043956313849
1945-02-20,78.09869819721254,77.99134452612604,77.93026808212845,77.89535813448057
1945-02-21,77.4841828613941,77.37786682982232,77.31738060899912,77.28280798130342
1945-02-22,77.4841828613941,77.37786682982232,77.31738060899912,77.28280798130342
1945-02-23,77.4841828613941,77.37786682982232,77.31738060899912,77.28280798130342
1945-02-24,76.86966406158058,76.76438413964424,76.70448727297814,76.67025146897117
1945-02-25,76.25514177003974,76.15089641559887,76.09158802710468,76.0576885465424
1945-02-26,78.09869819721254,77.99134452612604,77.93026808212845,77.89535813448057
1945-02-27,78.71321009633138,78.60481726791835,78.54314973858712,78.50790197864077
1945-02-28,78.71321009633138,78.60481726791835,78.54314973858712,78.50790197864077
1945-03-01,95.17462188483238,95.03786395129431,94.9600624282248,94.91559403693235
1945-03-02,34.78723787325711,34.74828849228181,34.726124682722215,34.71345489054187
1945-03-03,3.788655808540427,3.787063273648724,3.7861565575206186,3.7856380769564937
1945-03-04,59.757027187136316,59.67992803210112,59.63606130214897,59.61098709890584
1945-03-05,65.69454558525563,65.60782407974366,65.55848372587819,65.53028117914884
1945-03-06,70.21489831962592,70.1207367998017,70.06716431978153,70.03654301193663
1945-03-07,70.88955975796644,70.79427980475582,70.74007112898927,70.70908622209329
1945-03-08,50.10764366645818,50.045776104407906,50.01057408383085,49.99045212387524
1945-03-09,72.91351686270669,72.81486959084592,72.7587455006957,72.72666589782523
1945-03-10,80.33435928022658,80.22321781795787,80.15998683790873,80.12384554912984
