,cannonsville,neversink,pepacton,fewalter,beltzvilleCombined
1983-10-01,29.668675540247722,15.248762557495432,30.017057008750573,45.94614990476992,13.199415508676017
1983-10-02,29.90999131131633,15.81735499517563,32.723609234515756,48.18641306148718,13.890828252597935
1983-10-03,28.21923031161447,15.680910053105489,28.57780399414181,46.70193611574496,13.197320725912178
1983-10-04,27.65774057114335,14.630411988752881,30.248393451127896,45.21580029792831,12.504709429272017
1983-10-05,27.74158859156307,13.627414844138604,36.07472664365798,43.712414604366515,12.508785136046603
1983-10-06,30.560335161278772,13.876375827328586,60.17104656338235,43.698096731311715,13.203717643604747
1983-10-07,32.80946728740411,13.234170857159961,50.667183660294796,42.20266016959415,12.508785136046603
1983-10-08,31.352914004331687,12.319083172787211,42.73490715889929,43.68345526326412,12.508785136046603
1983-10-09,28.856698925329262,11.667195945879898,37.969849708265734,48.894662197825255,12.510878913296938
1983-10-10,27.01061978771575,11.573380766734084,34.93428330425896,46.69461562498319,12.510878913296938
1983-10-11,25.728313744414123,11.283947277054168,33.99727244351177,45.219334969213364,12.510878913296938
1983-10-12,26.2161473478039,12.39155308809387,34.017668373497614,63.099506852030416,24.265982461231168
1983-10-13,27.667104156189072,18.015632563759148,36.18262399099092,93.1499673276414,30.4187717399569
1983-10-14,87.6930422479787,34.10948284349429,72.04634004796455,290.9875729392436,26.913641929729195
1983-10-15,96.36664398322606,28.408529339888766,59.97079127666798,214.2319994285897,18.644537601335383
1983-10-16,65.23987548193406,21.03343579268257,49.03896095084575,142.474286952566,15.913271633430323
1983-10-17,53.31887730440575,17.77795377051523,45.529966824155274,105.57774552400531,14.559589476738703
1983-10-18,48.95761010529983,16.567041916891327,46.0894781529025,93.8551618838242,15.263087705668873
1983-10-19,47.21348802968224,24.83381441172517,56.53117967434163,207.01184350196405,39.39512995965214
1983-10-20,44.73218755716474,24.398067311033582,50.97281263179003,194.77465060926397,25.537464742619687
1983-10-21,42.24750060412727,20.503980278765443,46.271391784791774,145.91193673159466,20.005078786224885
1983-10-22,40.325823982370665,18.151203912327276,42.142472122468874,114.60526880313604,17.98345154066363
1983-10-23,40.17149693856569,19.05553936561305,43.5064124938683,118.0591477470755,31.10141838919905
1983-10-24,42.42535799051805,68.6270779685134,52.35123712289797,276.41073872192806,85.17672226645023
1983-10-25,44.5920839949663,49.90050149011037,58.18296656782188,245.49903458890756,47.99334598239244
1983-10-26,43.94233875588117,37.33798517204166,56.29377651302346,182.8590832729745,38.37870264881198
1983-10-27,43.53825191073731,31.64482104650446,51.299117611080646,149.04070898508894,33.00630619276971
1983-10-28,43.21837465235559,27.902559478694503,51.49366839214467,124.40703521393058,28.24027407988577
1983-10-29,41.45139650407004,24.51908430570965,48.692153590619725,105.27567315025843,26.205842248813887
1983-10-30,39.927286734570785,23.052656323305737,45.75649781690167,93.783641013171,23.472507065792733
1983-10-31,38.6458539216662,22.12144682012056,41.753688861236405,85.3726430811345,22.108607950104844
1983-11-01,37.60474873465264,21.370365033539805,41.16040594801581,80.02343033948809,21.431407362242354
1983-11-02,36.88447369515268,21.131068058126914,41.22414673768256,76.20697518620774,20.058465179970973
1983-11-03,37.12835602457654,21.116358902787447,41.576427047110194,75.41428842238398,20.064559885629542
1983-11-04,37.772420128210015,21.11293441504728,42.07645778044102,75.39261260535532,20.06873824995767
1983-11-05,38.33395875803434,19.82661598530044,41.56017875413073,73.1389748562013,18.688668015298607
1983-11-06,37.76925705433299,18.665832641300657,40.06462154465529,68.63030798768929,18.002417517701975
1983-11-07,37.04554126587387,17.8462435386257,42.47811845036844,66.3512086013281,16.62718810259941
1983-11-08,36.64536239553675,17.461443855317114,36.970859926239584,65.57041921953562,16.633234337070448
1983-11-09,35.9232251957217,17.44346053809358,35.84855105561801,64.05888073778111,15.946217045951911
1983-11-10,35.924901052554475,18.076119552387844,36.42517258691652,71.53527789456655,18.02157971163671
1983-11-11,50.71797201028419,51.7343679683341,76.8861895004483,97.82842579563527,35.93613673498015
1983-11-12,63.78105529942326,93.3755711618771,143.13188459214476,125.88859557355204,33.79174395241791
1983-11-13,61.16421876821603,53.09682737997028,91.1988068261069,118.64817694022588,24.8092900785231
1983-11-14,54.64837324716644,42.82802398532583,77.72600502503307,105.16127660141007,22.084714712026887
1983-11-15,52.172764862763245,38.7323380984332,69.8641815597968,116.380400735942,31.066553469431547
1983-11-16,76.09948633024972,66.1195663787726,115.72643876559215,303.74025610834724,95.39023351341535
1983-11-17,112.36204224164807,73.79195156062059,134.97603607808492,319.6620092099681,65.72309277205099
1983-11-18,101.84148854528105,55.78964238587961,109.93611689938201,250.39867880630516,52.662575332846245
1983-11-19,88.99328428679452,50.02616470930087,97.7143224827382,193.6957612646224,47.30227039195408
1983-11-20,89.0254828050744,50.588712049105865,97.20813041784919,166.5710118714012,43.93211243541918
1983-11-21,253.7432419808136,265.79738248586625,329.2636259604379,616.6856488293897,99.27584398749323
1983-11-22,242.20140937494975,150.0670491016053,266.39046752332746,529.7245474115481,70.44474362705407
1983-11-23,184.52100219238608,109.04714018043802,209.29419270901667,371.25945245715764,61.50799205015613
1983-11-24,183.81234923869238,103.44276561217933,209.145668138779,293.53704437096405,61.609319079201825
1983-11-25,586.203264732072,298.88626285357583,638.9159668886857,609.8123217865311,148.76020275971794
1983-11-26,523.266503527732,190.44024299359324,481.9408980252324,596.6639212244122,138.20279484619002
1983-11-27,459.14413809431835,152.06996407214442,431.29412593424433,512.5240473516915,106.76328356123155
1983-11-28,464.08881005548045,133.13640766450112,424.17014057542303,489.72506379359515,102.80109370332362
