datetime,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight
1983-10-01,224.7807086997499,2715.3699429240232,216.6898211014233,1927.3748324638868,808.7077710910528,3953.3418690737362,758.7608299046137,4555.414090583672,737.4456749960832,5346.104575383917,726.7708756524253,4541.939258993289
1983-10-02,224.2415914582429,1927.3748324638868,216.86397206403123,1925.3382338685433,807.4590829299943,4555.414090583672,760.7243593657633,5346.104575383917,739.3860843357418,4541.939258993289,729.401248180298,4529.193910911373
1983-10-03,222.40859686894004,1925.3382338685433,215.8074764451925,1923.7105146480208,797.9429700652122,5346.104575383917,744.0642834190473,4541.939258993289,723.8209538880521,4529.193910911373,714.6964080773696,4519.164942934222
1983-10-04,221.12560751186982,1923.7105146480208,215.04194147125054,1922.7583384873371,775.2219033123142,4541.939258993289,723.4129819067771,4529.193910911373,704.8981467063599,4519.164942934222,696.4048041100384,4511.71712117771
1983-10-05,219.96667532932022,1922.7583384873371,214.33857616064296,1922.2226924354543,757.1620774444544,4529.193910911373,709.0296465176743,4519.164942934222,691.3031900121614,4511.71712117771,683.340054239859,4505.827665783096
1983-10-06,219.30229353669358,1922.2226924354543,213.68310421556072,1922.5142892492186,745.5027336963651,4519.164942934222,701.4282429163286,4511.71712117771,684.507329836294,4505.827665783096,676.5768254934765,4500.282919460645
1983-10-07,218.53023021500553,1922.5142892492186,213.10599674575798,1922.954024873373,738.6458872925789,4511.71712117771,691.5902194956496,4505.827665783096,675.0925092422078,4500.282919460645,667.419331455661,4494.303380811913
1983-10-08,218.47112899306381,1922.954024873373,212.79356223243497,1922.9843991076884,729.7057318720695,4505.827665783096,688.6655189369633,4500.282919460645,672.2426818371321,4494.303380811913,664.3260724871985,4491.783278837291
1983-10-09,218.53625381967626,1922.9843991076884,212.6846163984614,1922.5966354207512,727.0950605246312,4500.282919460645,690.8075293540667,4494.303380811913,674.3541970625688,4491.783278837291,666.2321481667384,4487.335139936542
1983-10-10,218.19582815803327,1922.5966354207512,212.3952897498456,1922.6181632953355,728.399655567012,4494.303380811913,684.0020062524707,4491.783278837291,667.6199681017599,4487.335139936542,659.5931428609535,4459.688860555694
1983-10-11,217.69206583562482,1922.6181632953355,211.9665960636065,1922.5907690835936,720.6208545744936,4491.783278837291,677.4244202102509,4487.335139936542,661.1534585235895,4459.688860555694,653.2402955908141,4464.516758284193
1983-10-12,217.5122304044113,1922.5907690835936,211.78488505606504,1922.439849112732,716.4852699895775,4487.335139936542,714.6355578751729,4459.688860555694,698.1698697797761,4464.516758284193,689.9396581614974,4470.615657346407
1983-10-13,217.09888305560503,1922.439849112732,211.6609914794237,1922.8501966239587,752.2530658291278,4459.688860555694,752.12899956121,4464.516758284193,735.2965158382843,4470.615657346407,726.9872910832671,4482.897409209499
1983-10-14,217.1538351466894,1922.8501966239587,210.73865599282158,1922.5273428105656,771.2361397239831,4464.516758284193,932.7078135661424,4470.615657346407,915.3550435303177,4482.897409209499,903.8510651927786,4269.985964843231
1983-10-15,216.18564964286048,1922.5273428105656,211.9046350055678,1923.5345907915118,974.1948478075459,4470.615657346407,839.4280296980567,4482.897409209499,821.5589637289303,4269.985964843231,813.2659457785353,3967.4462191386774
1983-10-16,217.8710812812314,1923.5345907915118,212.4237946727332,1921.311336901946,882.7046714339672,4482.897409209499,763.6765318836437,4269.985964843231,748.6105825877603,3967.4462191386774,740.013170023783,3783.057797637036
1983-10-17,217.64616159978587,1921.311336901946,212.1322382770447,1919.9310576395412,811.8439184059739,4269.985964843231,733.5947718413674,3967.4462191386774,717.6575987892444,3783.057797637036,709.3672735920068,3785.132380060959
1983-10-18,215.83257669225253,1919.9310576395412,210.3424542439926,1919.1372525089434,773.7600017102369,3967.4462191386774,721.504556028309,3783.057797637036,706.0322566895348,3785.132380060959,697.8682693123733,3678.9504127961236
1983-10-19,214.6243052736302,1919.1372525089434,209.22997918702055,1920.5184854411805,682.8551250069727,3783.057797637036,809.0823320913066,3785.132380060959,793.9051147281739,3678.9504127961236,784.6002511159317,3549.8877013375673
1983-10-20,214.01145727751214,1920.5184854411805,209.16674672527927,1918.9069396620523,851.0059639026811,3785.132380060959,831.4093670941463,3678.9504127961236,783.2511205954813,3549.8877013375673,771.4789720709699,3227.20541772104
1983-10-21,215.32351684342623,1918.9069396620523,210.67639581388138,1921.9553419950498,898.799342394238,3678.9504127961236,798.6056626289994,3549.8877013375673,753.0291047297676,3227.20541772104,742.1802183468668,3219.774946421544
1983-10-22,214.8143109323411,1921.9553419950498,210.88213394386298,1931.9794181558673,831.3866262695758,3549.8877013375673,741.050549017018,3227.20541772104,710.0191305911408,3219.774946421544,701.4382370515116,3812.9414485819198
1983-10-23,218.45748127518456,1931.9794181558673,215.05459560330638,1880.9173061251242,817.2559059535583,3227.20541772104,777.1312227486982,3219.774946421544,762.7402981995995,3812.9414485819198,756.231417621357,4055.0234423600127
1983-10-24,227.4600510352144,1880.9173061251242,224.0467170189419,1805.918112141426,675.1722514865428,3219.774946421544,993.4892135582463,3812.9414485819198,916.5904082055259,4055.0234423600127,902.5876972465114,4335.493572134122
