datetime,demand_nj_lag1_regression_disagg,demand_nj_lag1_perfect_foresight,demand_nj_lag1_same_day,demand_nj_lag1_regression_agg,demand_nj_lag2_regression_disagg,demand_nj_lag2_perfect_foresight,demand_nj_lag2_same_day,demand_nj_lag2_regression_agg,demand_nj_lag3_regression_disagg,demand_nj_lag3_perfect_foresight,demand_nj_lag3_same_day,demand_nj_lag3_regression_agg,demand_nj_lag4_regression_disagg,demand_nj_lag4_perfect_foresight,demand_nj_lag4_same_day,demand_nj_lag4_regression_agg,demand_nj_lag0_moving_average,demand_nj_lag1_moving_average,demand_nj_lag2_moving_average,demand_nj_lag3_moving_average,demand_nj_lag4_moving_average
10/1/1959,100.6581593,95.60859637,100.8474236,100.6581593,100.5466881,89.71491577,100.8474236,100.5466881,100.5029919,96.91830317,100.8474236,100.5029919,100.470441,94.29888957,100.8474236,100.470441,100.8474236,100.8474236,100.8474236,100.8474236,100.8474236
10/2/1959,95.43123683,89.71491577,95.60859637,95.43123683,95.32677534,96.91830317,95.60859637,95.32677534,95.28582652,94.29888957,95.60859637,95.28582652,95.25532222,101.502277,95.60859637,95.25532222,98.22800997,98.22800997,98.22800997,98.22800997,98.22800997
10/3/1959,89.55080925,96.91830317,89.71491577,89.55080925,89.45415155,94.29888957,89.71491577,89.45415155,89.4162614,101.502277,89.71491577,89.4162614,89.38803547,100.1925702,89.71491577,89.38803547,95.3903119,95.3903119,95.3903119,95.3903119,95.3903119
10/4/1959,96.73797814,94.29888957,96.91830317,96.73797814,96.6317705,101.502277,96.91830317,96.6317705,96.59013729,100.1925702,96.91830317,96.59013729,96.55912319,100.1925702,96.91830317,96.55912319,95.77230972,95.77230972,95.77230972,95.77230972,95.77230972
10/5/1959,94.12448823,101.502277,94.29888957,94.12448823,94.02176861,100.1925702,94.29888957,94.02176861,93.98150251,100.1925702,94.29888957,93.98150251,93.95150675,100.8474236,94.29888957,93.95150675,95.47762569,95.47762569,95.47762569,95.47762569,95.47762569
10/6/1959,101.3115167,100.1925702,101.502277,101.3115167,101.1991647,100.1925702,101.502277,101.1991647,101.1551232,100.8474236,101.502277,101.1551232,101.1223152,100.1925702,101.502277,101.1223152,96.48173423,96.48173423,96.48173423,96.48173423,96.48173423
10/7/1959,100.0048002,100.1925702,100.1925702,100.0048002,99.89420879,100.8474236,100.1925702,99.89420879,99.8508574,100.1925702,100.1925702,99.8508574,99.81856346,100.1925702,100.1925702,99.81856346,97.01185365,97.01185365,97.01185365,97.01185365,97.01185365
10/8/1959,100.0048002,100.8474236,100.1925702,100.0048002,99.89420879,100.1925702,100.1925702,99.89420879,99.8508574,100.1925702,100.1925702,99.8508574,99.81856346,96.26344977,100.1925702,99.81856346,96.91830317,96.91830317,96.91830317,96.91830317,96.91830317
10/9/1959,100.6581593,100.1925702,100.8474236,100.6581593,100.5466881,100.1925702,100.8474236,100.5466881,100.5029919,96.26344977,100.8474236,100.5029919,100.470441,96.91830317,100.8474236,100.470441,97.66670705,97.66670705,97.66670705,97.66670705,97.66670705
10/10/1959,100.0048002,100.1925702,100.1925702,100.0048002,99.89420879,96.26344977,100.1925702,99.89420879,99.8508574,96.91830317,100.1925702,99.8508574,99.81856346,96.26344977,100.1925702,99.81856346,99.16351482,99.16351482,99.16351482,99.16351482,99.16351482
