datetime,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight
1945-01-01,5683.567343775067,7171.97391071162,5627.804391753918,7312.762966438866,6661.49570419636,16473.288452975416,6453.793149698019,9104.636792453079,6360.536356683955,9362.282766585133,6252.73184823864,12947.838916497452
1945-01-02,7634.628842679807,7312.762966438866,6753.801327819336,5791.682576711624,7123.580008887368,9104.636792453079,10506.207162576222,9362.282766585133,8777.220859206189,12947.838916497452,7801.235556161488,11715.994831585136
1945-01-03,5619.084962926603,5791.682576711624,3328.4358716238703,4361.369890711623,11215.341019602538,9362.282766585133,8298.63038374311,12947.838916497452,6713.163095601825,11715.994831585136,4302.1284730654015,10256.920017085135
1945-01-04,2772.1031209468297,4361.369890711623,2392.036619284718,3653.7793564388658,7649.608917112564,12947.838916497452,5627.044776486417,11715.994831585136,3348.798013124614,10256.920017085135,2952.7450660700442,10400.511896312377
1945-01-05,2519.5308917240595,3653.7793564388658,2071.8865939445914,3551.655011438867,6918.9367568924245,11715.994831585136,4638.1987786532745,10256.920017085135,3535.5008370418436,10400.511896312377,2964.5873981030086,10655.070105312378
1945-01-06,1892.0462713812567,3551.655011438867,1518.531318644193,3636.840127438866,5335.278695002583,10256.920017085135,3707.6364899100568,10400.511896312377,2843.3544950770183,10655.070105312378,2340.8741203329673,9593.072268312379
1945-01-07,1645.916984020986,3636.840127438866,1482.5579848600792,3770.432367438867,4360.652489136429,10400.511896312377,3428.8216281804002,10655.070105312378,2544.7426069526073,9593.072268312379,2254.7527389967554,9811.035571312375
1945-01-08,1756.0732452877014,3770.432367438867,1538.8721162911593,3357.5091104388666,4384.811733582284,10655.070105312378,3647.811623859745,9593.072268312379,2770.9076691621567,9811.035571312375,2403.142770704639,9463.173476312379
1945-01-09,1732.7760266821986,3357.5091104388666,1444.4080749178663,3314.1089404388667,4584.0647231771045,9593.072268312379,3827.5100036101303,9811.035571312375,2791.491241159746,9463.173476312379,2343.2973606340383,9341.738139312378
1945-01-10,1400.232837763416,3314.1089404388667,1157.2252336154495,3273.446106438866,4304.939344823158,9811.035571312375,3089.6409844402956,9463.173476312379,2251.1363727049356,9341.738139312378,1881.500222440457,9438.549120312377
1945-01-11,1299.269272946411,3273.446106438866,1179.7268016452872,3318.853893438866,3797.5745744964124,9463.173476312379,2973.4330038326116,9341.738139312378,2142.5156937905267,9438.549120312377,1894.0422513006156,9205.996320312375
1945-01-12,1341.6242801262879,3318.853893438866,1195.1875608167775,3199.9010414388663,3689.8813115536364,9341.738139312378,2911.8641428135898,9438.549120312377,2175.062055123414,9205.996320312375,1897.9736188539819,9280.467182472763
1945-01-13,1379.0431468122058,3199.9010414388663,1209.3517757122927,3072.7276464388665,3597.37733600109,9438.549120312377,2959.8377635418155,9205.996320312375,2224.8656815458294,9280.467182472763,1926.3554811668846,9586.256894172762
1945-01-14,1275.7697458899795,3072.7276464388665,1140.7149330245184,3198.686434438866,3699.983520103873,9205.996320312375,2881.9310285415045,9280.467182472763,2147.03052020401,9586.256894172762,1879.3516750475806,9584.560224972764
1945-01-15,1200.45189443888,3198.686434438866,1085.5642029723806,3473.0645704388667,3499.6303559502408,9280.467182472763,2656.828740229068,9586.256894172762,2021.1062094828617,9584.560224972764,1781.5940220219761,9620.223111472764
1945-01-16,1258.4100894818293,3473.0645704388667,1121.7043055359445,3370.1601554388662,3392.415845639246,9586.256894172762,2772.318537639568,9584.560224972764,2081.433985631943,9620.223111472764,1814.892429028157,9167.837475602275
1945-01-17,1381.0916495287506,3370.1601554388662,1214.7377912557222,3441.503869438867,3621.1510977856965,9584.560224972764,3105.052881010886,9620.223111472764,2238.411850468028,9167.837475602275,1930.5244969851524,8945.08376009818
1945-01-18,1331.0669904224894,3441.503869438867,1166.7679625437925,3261.3194134388673,3838.7792834750126,9620.223111472764,2982.487227729824,9167.837475602275,2178.330124828547,8945.08376009818,1875.9255196238182,8930.069717069633
1945-01-19,1356.162131897487,3261.3194134388673,1177.4591166588007,3296.3600674388663,3658.7396974098656,9167.837475602275,3001.5271649364818,8945.08376009818,2181.9788740255954,8930.069717069633,1871.6925828989567,8477.48565969789
1945-01-20,1248.9963509273257,3296.3600674388663,1084.1130623050537,3331.3125494388664,3613.519345285539,8945.08376009818,2754.914789850798,8930.069717069633,2024.6331724929846,8477.48565969789,1736.4898352961218,8084.796050118634
1945-01-21,1247.0623052847968,3331.3125494388664,1087.3363343830358,3429.330525438867,3347.8104808363805,8930.069717069633,2725.360919540687,8477.48565969789,1991.5383001926539,8084.796050118634,1714.4737078055632,7479.832302199379
1945-01-22,1269.13379684563,3429.330525438867,1097.9869691397507,3243.5045884388664,3488.9913630826304,8477.48565969789,2834.7020301162543,8084.796050118634,2064.699687747358,7479.832302199379,1765.1252577066464,7486.92765453201
1945-01-23,1315.2349270640962,3243.5045884388664,1161.0244395025504,2944.9032244388663,3436.604825609646,8084.796050118634,2900.907726981476,7479.832302199379,2085.4338569473034,7486.92765453201,1810.5071371246172,7818.306793015996
1945-01-24,1236.5648881859593,2944.9032244388663,1073.7748418205942,3074.8499664388664,3459.9224308448884,7479.832302199379,2673.7386643770888,7486.92765453201,1975.719162737429,7818.306793015996,1699.5765437273033,7531.545411646341
