datetime,site_no,62615_Mean,62615_Mean_cd
2019-09-14,01414750,1260.13,A
2019-09-15,01414750,1259.84,A
2019-09-16,01414750,1259.55,A
2019-09-17,01414750,1259.27,A
2019-09-18,01414750,1258.97,A
2019-09-19,01414750,1258.67,A
2019-09-20,01414750,1258.37,A
2019-09-21,01414750,1258.07,A
2019-09-22,01414750,1257.77,A
2019-09-23,01414750,1257.48,A
2019-09-24,01414750,1257.21,A
2019-09-25,01414750,1256.91,A
2019-09-26,01414750,1256.63,A
2019-09-27,01414750,1256.34,A
2019-09-28,01414750,1256.05,A
2019-09-29,01414750,1255.75,A
2019-09-30,01414750,1255.45,A
2019-10-01,01414750,1255.17,A
2019-10-02,01414750,1254.9,A
2019-10-03,01414750,1254.65,A
2019-10-04,01414750,1254.41,A
2019-10-05,01414750,1254.14,A
2019-10-06,01414750,1253.86,A
2019-10-07,01414750,1253.65,A
2019-10-08,01414750,1253.56,A
2019-10-09,01414750,1253.31,A
2019-10-10,01414750,1253.08,A
2019-10-11,01414750,1252.83,A
2019-10-12,01414750,1252.57,A
2019-10-13,01414750,1252.31,A
2019-10-14,01414750,1252.05,A
2019-10-15,01414750,1251.77,A
2019-10-16,01414750,1251.55,A
2019-10-17,01414750,1252.55,A
2019-10-18,01414750,1253.54,A
2019-10-19,01414750,1253.9,A
2019-10-20,01414750,1254.04,A
2019-10-21,01414750,1254.1,A
2019-10-22,01414750,1254.1,A
2019-10-23,01414750,1254.19,A
2019-10-24,01414750,1254.23,A
2019-10-25,01414750,1254.21,A
2019-10-26,01414750,1254.18,A
2019-10-27,01414750,1254.23,A
2019-10-28,01414750,1254.47,A
2019-10-29,01414750,1254.7,A
2019-10-30,01414750,1254.98,A
2019-10-31,01414750,1255.35,A
2019-11-01,01414750,1256.94,A
2019-11-02,01414750,1258.21,A
2019-11-03,01414750,1258.99,A
2019-11-04,01414750,1259.56,A
2019-11-05,01414750,1260.01,A
2019-11-06,01414750,1260.37,A
2019-11-07,01414750,1260.63,A
2019-11-08,01414750,1260.72,A
2019-11-09,01414750,1260.71,A
2019-11-10,01414750,1260.66,A
2019-11-14,01414750,1260.28,A
2019-11-15,01414750,1260.14,A
2019-11-16,01414750,1260.01,A
2019-11-17,01414750,1259.87,A
2019-11-18,01414750,1259.75,A
2019-11-24,01414750,1259.98,A
2019-11-25,01414750,1260.21,A
2019-11-26,01414750,1260.43,A
2019-11-27,01414750,1260.66,A
2019-11-28,01414750,1260.95,A
2019-11-29,01414750,1261.24,A
2019-11-30,01414750,1261.48,A
2019-12-01,01414750,1261.69,A
2019-12-02,01414750,1261.96,A
2019-12-03,01414750,1262.19,A
2019-12-07,01414750,1262.64,A
2019-12-08,01414750,1262.67,A
2019-12-09,01414750,1262.77,A
2019-12-10,01414750,1263.62,A
2019-12-11,01414750,1264.98,A
2019-12-12,01414750,1265.81,A
2019-12-13,01414750,1266.35,A
2019-12-14,01414750,1266.9,A
2019-12-15,01414750,1267.6,A
2019-12-16,01414750,1268.04,A
2019-12-19,01414750,1268.8,A
2019-12-20,01414750,1268.98,A
2019-12-21,01414750,1269.01,A
2019-12-22,01414750,1269.03,A
2019-12-23,01414750,1269.03,A
2019-12-24,01414750,1269.02,A
2019-12-25,01414750,1268.98,A
2019-12-26,01414750,1268.92,A
2019-12-27,01414750,1268.86,A
2019-12-28,01414750,1268.87,A
2019-12-29,01414750,1268.9,A
2019-12-30,01414750,1269.07,A
2019-12-31,01414750,1269.36,A
2020-01-04,01414750,1270.17,A
2020-01-05,01414750,1270.44,A
2020-01-06,01414750,1270.67,A
2020-01-07,01414750,1270.86,A
2020-01-08,01414750,1271.05,A
2020-01-09,01414750,1271.18,A
2020-01-10,01414750,1271.29,A
2020-01-11,01414750,1271.35,A
2020-01-12,01414750,1271.57,A
2020-01-13,01414750,1271.86,A
2020-01-14,01414750,1272.06,A
2020-01-15,01414750,1272.23,A
2020-01-16,01414750,1272.39,A
2020-01-17,01414750,1272.49,A
2020-01-18,01414750,1272.49,A
2020-01-19,01414750,1272.53,A
2020-01-20,01414750,1272.51,A
2020-01-21,01414750,1272.44,A
2020-01-22,01414750,1272.31,A
2020-01-23,01414750,1272.18,A
2020-01-24,01414750,1272.05,A
2020-01-25,01414750,1271.95,A
2020-01-26,01414750,1272.06,A
2020-01-27,01414750,1272.08,A
2020-01-28,01414750,1272.04,A
2020-01-29,01414750,1271.96,A
2020-01-30,01414750,1271.85,A
2020-01-31,01414750,1271.75,A
2020-02-01,01414750,1271.69,A
2020-02-02,01414750,1271.64,A
2020-02-04,01414750,1271.49,A
2020-02-05,01414750,1271.42,A
2020-02-06,01414750,1271.37,A
2020-02-08,01414750,1272.27,A
2020-02-09,01414750,1272.53,A
2020-02-10,01414750,1272.69,A
2020-02-11,01414750,1272.78,A
2020-02-12,01414750,1272.98,A
2020-02-13,01414750,1273.17,A
2020-02-14,01414750,1273.26,A
2020-02-15,01414750,1273.27,A
2020-02-16,01414750,1273.31,A
2020-02-17,01414750,1273.33,A
2020-02-18,01414750,1273.27,A
2020-02-19,01414750,1273.24,A
2020-02-22,01414750,1272.87,A
2020-02-23,01414750,1272.74,A
2020-02-24,01414750,1272.62,A
2020-02-25,01414750,1272.51,A
2020-02-26,01414750,1272.44,A
2020-02-27,01414750,1272.55,A
2020-02-28,01414750,1272.72,A
