datetime,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight
1983-10-01,598.7732694686377,4982.748753795917,574.0623365781422,4100.523366187464,1498.5015756620683,4921.220963033653,1471.8100467449926,5920.268676928924,1415.729706684906,8185.501165752925,1407.026181020934,7103.260780812442
1983-10-02,644.3454468194849,4100.523366187464,635.2140868508343,4045.046757322475,1687.4294676224326,5920.268676928924,1675.31088823716,8185.501165752925,1653.4832431465447,7103.260780812442,1665.3619659057283,6905.496613272089
1983-10-03,577.9839394890865,4045.046757322475,570.1224119937759,3967.7214317796675,1905.952573509426,8185.501165752925,1816.6109894058727,7103.260780812442,1769.10491224207,6905.496613272089,1787.9894476046281,7096.151697966566
1983-10-04,506.58112261855416,3967.7214317796675,469.38105694554463,3799.401053894356,1687.1133290280077,7103.260780812442,1569.571116393272,6905.496613272089,1525.0187838490187,7096.151697966566,1509.8608400264072,6944.595326806538
1983-10-05,415.2074703851667,3799.401053894356,372.8977535111769,3538.817969935197,1448.4850595865978,6905.496613272089,1316.7715146154478,7096.151697966566,1278.059575111633,6944.595326806538,1253.564222070587,6602.682279817813
1983-10-06,363.95135034489437,3538.817969935197,331.5326356167299,3416.8679669988164,1231.7635607619245,7096.151697966566,1154.7120172658708,6944.595326806538,1131.8937671741278,6602.682279817813,1113.5908389001265,6248.421640838608
1983-10-07,370.11918560199103,3416.8679669988164,402.74883542871964,3191.3070678732465,1391.8781877314339,6944.595326806538,1356.9942199495724,6602.682279817813,1328.188930001872,6248.421640838608,1381.332813012154,6045.178778047977
1983-10-08,499.4550988168986,3191.3070678732465,487.9400261112954,2952.550393241435,1390.6263537710488,6602.682279817813,1478.8076825226594,6248.421640838608,1459.2618468389805,6045.178778047977,1468.3012686120355,6206.601410508835
1983-10-09,450.1213521638893,2952.550393241435,401.79072583255027,2773.692728231986,1461.267896766766,6248.421640838608,1386.5534746932215,6045.178778047977,1365.0504495510954,6206.601410508835,1335.8602696869877,6773.990088672561
1983-10-10,355.2649944969851,2773.692728231986,329.424422829445,2664.9469481599217,1228.9257827837387,6045.178778047977,1131.8330571809604,6206.601410508835,1082.4291832812073,6773.990088672561,1070.7265742444174,7229.986496244761
1983-10-11,338.498073799276,2664.9469481599217,319.0176980791552,2618.7877184447443,1170.2157454424676,6206.601410508835,1110.8592190916727,6773.990088672561,1078.8636497152158,7229.986496244761,1073.9459907638814,6888.338598653917
1983-10-12,374.1224396329005,2618.7877184447443,357.15607119536133,2321.1907621656915,1461.1863299944546,6773.990088672561,1505.519364456011,7229.986496244761,1496.3815006658142,6888.338598653917,1501.2617232746995,6298.163833010753
1983-10-13,505.73981780894263,2321.1907621656915,488.7554315044693,2563.1610323386876,2156.739658350733,7229.986496244761,2285.1036879231765,6888.338598653917,2333.291606875581,6298.163833010753,2352.042344546616,6352.901126803151
1983-10-14,638.8893393103339,2563.1610323386876,666.5690240473323,3020.3334146550465,2770.772597109224,6888.338598653917,2772.6900132641854,6298.163833010753,3095.3145271950643,6352.901126803151,3167.0581392331633,5972.966053784032
1983-10-15,801.734334425336,3020.3334146550465,995.2396149212728,2663.4546808788477,2550.310752367875,6298.163833010753,2703.3539238304347,6352.901126803151,2742.3299581132383,5972.966053784032,2977.97202542219,7246.27410636622
1983-10-16,1134.095758887176,2663.4546808788477,1039.236945813427,2363.0466100712283,2514.8244234260032,6352.901126803151,2949.1254294244063,5972.966053784032,2743.749379370097,7246.27410636622,2684.303514205259,8361.292847173238
1983-10-17,696.0267473668683,2363.0466100712283,552.6038626192679,2742.4124012457637,2978.6709074984205,5972.966053784032,2357.2919418067286,7246.27410636622,2235.9021431281826,8361.292847173238,2127.4067383585816,6428.655318242182
1983-10-18,403.14723491221184,2742.4124012457637,363.1471365522051,2707.9118337567215,1741.8661154127728,7246.27410636622,1408.2050757233567,8361.292847173238,1273.2983342655357,6428.655318242182,1249.2506367030614,5585.223623284857
1983-10-19,1092.0378955851545,2707.9118337567215,1083.3065251796138,2341.9508689810414,2895.8756290809206,8361.292847173238,3557.0156074984143,6428.655318242182,3690.98744806808,5585.223623284857,3729.227751240216,7222.376106626876
1983-10-20,1212.0010690805423,2341.9508689810414,1175.8159679885225,2248.426691609033,4926.894869076497,6428.655318242182,4742.688583799499,5585.223623284857,4865.743497724467,7222.376106626876,4925.282500892172,12236.717424088096
1983-10-21,648.7751736131057,2248.426691609033,608.9152301193584,2250.471508942611,2951.5896023922587,5585.223623284857,2643.6807503401596,7222.376106626876,2340.946176566397,12236.717424088096,2338.2325644665584,13551.85514204266
1983-10-22,512.1556177271988,2250.471508942611,461.395241133342,4116.486010200267,2352.423082204616,7222.376106626876,1925.3897330228006,12236.717424088096,1823.3890033695698,13551.85514204266,1799.689169366145,9104.434904251095
1983-10-23,608.6044343894595,4116.486010200267,580.5525705618438,3337.21149798075,3735.1209151060275,12236.717424088096,3729.9064874298388,13551.85514204266,3705.128769463644,9104.434904251095,3755.0871387675675,6698.108468875804
1983-10-24,2736.68198426872,3337.21149798075,2689.928244664373,2553.022080801616,8501.696879735022,13551.85514204266,10592.644808650275,9104.434904251095,10778.308273342238,6698.108468875804,10926.350297147561,5179.250411047687
1983-10-25,2138.3356604849905,2553.022080801616,2136.7835860741507,2203.0749211143616,11516.59839520197,9104.434904251095,10325.552072083456,6698.108468875804,10405.068208596489,5179.250411047687,10644.978417813767,4676.441063805938
1983-10-26,1289.738119175259,2203.0749211143616,1192.181818974337,1976.6984961365292,5501.722578979323,6698.108468875804,4743.160704039039,5179.250411047687,4391.0131302868085,4676.441063805938,4368.646514503429,4267.600782379274
1983-10-27,906.7679064594737,1976.6984961365292,806.8828727118869,1865.3590555818612,3912.8751008029885,5179.250411047687,3175.5242779290725,4676.441063805938,3017.0054272374073,4267.600782379274,2964.0542621845475,3942.523193443818
1983-10-28,696.065965276447,1865.3590555818612,665.3609285467418,1765.3545731526478,2787.2202217837366,4676.441063805938,2451.9436473197893,4267.600782379274,2311.9878402959694,3942.523193443818,2315.012429104239,3705.1712884737217
1983-10-29,684.1215857211223,1765.3545731526478,638.6658439288332,1683.4378119571284,2488.8840273765836,4267.600782379274,2306.844838609265,3942.523193443818,2252.2706548856886,3705.1712884737217,2240.2349801893633,3509.4727658882293
1983-10-30,619.255198555899,1683.4378119571284,584.7560199055087,1599.8246428897583,2294.646457991577,3942.523193443818,2155.352159910871,3705.1712884737217,2100.2641988986206,3509.4727658882293,2097.4079288657767,3405.4878410408246
1983-10-31,583.1375808539228,1599.8246428897583,547.3029547297232,1517.6835490893798,2100.2862746739124,3705.1712884737217,1988.4475932643527,3509.4727658882293,1944.0426011535205,3405.4878410408246,1936.512903865951,3285.4420875978976
1983-11-01,534.6561498275216,1517.6835490893798,505.96222201626483,1458.9629738078058,1988.8480386174942,3509.4727658882293,1880.4625336107401,3405.4878410408246,1839.3077834177398,3285.4420875978976,1837.6500394201344,3243.311762136364
1983-11-02,506.8071810187226,1458.9629738078058,483.3981744351157,1496.8086585626445,1875.9847702168258,3405.4878410408246,1788.5167595804896,3285.4420875978976,1753.9392718318368,3243.311762136364,1756.2367538542278,3091.802604180666
1983-11-03,501.12482394120093,1496.8086585626445,480.97815911877217,1508.8701524996122,1849.1004261473104,3285.4420875978976,1782.4757773599576,3243.311762136364,1761.369210618289,3091.802604180666,1767.4178574997718,3017.8898264851227
1983-11-04,608.4037816052364,1508.8701524996122,604.0019160474774,1403.212984078736,1829.2133325776622,3243.311762136364,1872.4627571332583,3091.802604180666,1879.348460560026,3017.8898264851227,1900.6167995453998,2895.0529614445004
1983-11-05,663.6290169954291,1403.212984078736,628.6761268919913,1268.6094289949838,1952.1229348968332,3091.802604180666,1956.1177354235606,3017.8898264851227,1950.840549986157,2895.0529614445004,1943.0627712522157,2724.007217731951
