Elevation (ft),Acre-Ft,BG
489,0,0
490,0.01,0
491,0.01,0
492,0.03,0
493,0.06,0
494,0.1,0
495,0.15,0
496,0.2,0
497,0.26,0
498,0.32,0
499,0.4,0
500,0.51,0
501,0.66,0
502,0.94,0
503,1.59,0
504,2.9,0
505,5.03,0
506,8.18,0
507,12.57,0
508,18.29,0.01
509,25.56,0.01
510,34.59,0.01
511,45.55,0.01
512,58.5,0.02
513,73.84,0.02
514,92.04,0.03
515,113.17,0.04
516,136.84,0.04
517,163.16,0.05
518,192.35,0.06
519,224.53,0.07
520,260.32,0.08
521,300.2,0.1
522,344.33,0.11
523,392.89,0.13
524,445.73,0.15
525,502.47,0.16
526,563.2,0.18
527,628.53,0.2
528,698.72,0.23
529,773.92,0.25
530,853.9,0.28
531,938.91,0.31
532,1028.89,0.34
533,1123.5,0.37
534,1222.43,0.4
535,1325.52,0.43
536,1433.16,0.47
537,1545.98,0.5
538,1664.05,0.54
539,1787.71,0.58
540,1916.86,0.62
541,2051.85,0.67
542,2192.34,0.71
543,2338.16,0.76
544,2489.64,0.81
545,2646.45,0.86
546,2808.82,0.92
547,2976.54,0.97
548,3149.67,1.03
549,3328.44,1.08
550,3512.83,1.14
551,3702.98,1.21
552,3898.72,1.27
553,4100.09,1.34
554,4307.39,1.4
555,4520.84,1.47
556,4740.73,1.54
557,4966.98,1.62
558,5199.28,1.69
559,5437.84,1.77
560,5682.56,1.85
561,5933.36,1.93
562,6190.3,2.02
563,6453.59,2.1
564,6723.32,2.19
565,6999.46,2.28
566,7281.9,2.37
567,7570.65,2.47
568,7865.97,2.56
569,8168,2.66
570,8477.11,2.76
571,8793.91,2.87
572,9120.21,2.97
573,9455.43,3.08
574,9798.62,3.19
575,10149.72,3.31
576,10508.54,3.42
577,10875,3.54
578,11249.26,3.67
579,11631.26,3.79
580,12020.76,3.92
581,12418.06,4.05
582,12823.36,4.18
583,13236.78,4.31
584,13658.38,4.45
585,14088.3,4.59
586,14526.6,4.73
587,14973.57,4.88
588,15429.57,5.03
589,15895.07,5.18
590,16369.68,5.33
591,16853.47,5.49
592,17346.48,5.65
593,17848.78,5.82
594,18361.05,5.98
595,18883.3,6.15
596,19415.64,6.33
597,19958.04,6.5
598,20510.61,6.68
599,21073.95,6.87
600,21648,7.05
601,22233.23,7.24
602,22830.05,7.44
603,23438.48,7.64
604,24058.81,7.84
605,24691.45,8.05
606,25336.47,8.26
607,25994.33,8.47
608,26664.87,8.69
609,27348.82,8.91
610,28046.59,9.14
611,28758.66,9.37
612,29484.78,9.61
613,30225.04,9.85
614,30979.67,10.09
615,31748.11,10.35
616,32529.85,10.6
617,33325.37,10.86
618,34134.94,11.12
619,34958.33,11.39
620,35795.26,11.66
621,36645.34,11.94
622,37508.28,12.22
623,38383.87,12.51
624,39271.93,12.8
625,40172.42,13.09
626,41085.3,13.39
627,42010.54,13.69
628,42948.12,13.99
629,43899.28,14.3
630,44875.98,14.62
631,45883.15,14.95
632,46915.2,15.29
633,47968.68,15.63
634,49042.32,15.98
635,50135.83,16.34
636,51249.56,16.7
637,52383.47,17.07
638,53537.51,17.45
639,54711.94,17.83
640,55907.55,18.22
641,57124.93,18.61
642,58365.67,19.02
643,59630.85,19.43
644,60919.06,19.85
645,62229.83,20.28
646,63564.02,20.71
647,64922.8,21.16
648,66306.92,21.61
649,67716.64,22.07
650,69151.59,22.53
651,70612.08,23.01
652,72097.62,23.49
653,73606.79,23.98
654,75139.82,24.48
655,76696.16,24.99
656,78275.88,25.51
657,79880.22,26.03
658,81510.18,26.56
659,83166.37,27.1
660,84850.15,27.65
661,86561.75,28.21
662,88302.68,28.77
663,90074.12,29.35
664,91875.44,29.94
665,93706.58,30.53
666,95568.66,31.14
667,97460.89,31.76
668,99385.33,32.38
669,101342.33,33.02
670,103334.8,33.67
671,105379.5,34.34
672,107520.78,35.04
