datetime,site_no,62615_Mean,62615_Mean_cd
2019-11-01,01435900,1425.97,A
2019-11-02,01435900,1428.18,A
2019-11-03,01435900,1429.02,A
2019-11-04,01435900,1429.56,A
2019-11-05,01435900,1429.91,A
2019-11-06,01435900,1429.89,A
2019-11-07,01435900,1429.86,A
2019-11-08,01435900,1430.12,A
2019-11-09,01435900,1430.33,A
2019-11-10,01435900,1430.51,A
2019-11-11,01435900,1430.67,A
2019-11-12,01435900,1430.82,A
2019-11-13,01435900,1430.93,A
2019-11-14,01435900,1431.02,A
2019-11-15,01435900,1431.11,A
2019-11-16,01435900,1431.18,A
2019-11-17,01435900,1431.25,A
2019-11-18,01435900,1431.32,A
2019-11-19,01435900,1431.58,A
2019-11-20,01435900,1431.88,A
2019-11-21,01435900,1431.98,A
2019-11-22,01435900,1431.85,A
2019-11-23,01435900,1431.7,A
2019-11-24,01435900,1432.01,A
2019-11-25,01435900,1432.6,A
2019-11-26,01435900,1432.97,A
2019-11-27,01435900,1433.28,A
2019-11-28,01435900,1433.63,A
2019-11-29,01435900,1433.91,A
2019-11-30,01435900,1433.82,A
2019-12-01,01435900,1433.6,A
2019-12-02,01435900,1433.47,A
2019-12-03,01435900,1433.55,A
2019-12-04,01435900,1433.65,A
2019-12-05,01435900,1433.73,A
2019-12-06,01435900,1433.65,A
2019-12-07,01435900,1433.41,A
2019-12-08,01435900,1433.14,A
2019-12-09,01435900,1433.07,A
2019-12-10,01435900,1433.97,A
2019-12-11,01435900,1434.9,A
2019-12-12,01435900,1435.17,A
2019-12-13,01435900,1435.23,A
2019-12-14,01435900,1435.74,A
2019-12-15,01435900,1437.13,A
2019-12-16,01435900,1437.67,A
2019-12-17,01435900,1437.93,A
2019-12-18,01435900,1437.98,A
2019-12-19,01435900,1438.0,A
2019-12-20,01435900,1437.71,A
2019-12-21,01435900,1437.39,A
2019-12-22,01435900,1437.27,A
2019-12-23,01435900,1437.12,A
2019-12-24,01435900,1436.82,A
2019-12-25,01435900,1436.5,A
2019-12-26,01435900,1436.16,A
2019-12-27,01435900,1435.81,A
2019-12-28,01435900,1435.51,A
2019-12-29,01435900,1435.2,A
2019-12-30,01435900,1435.1,A
2019-12-31,01435900,1435.11,A
2020-01-01,01435900,1434.93,A
2020-01-02,01435900,1434.67,A
2020-01-03,01435900,1434.38,A
2020-01-04,01435900,1434.12,A
2020-01-05,01435900,1433.97,A
2020-01-06,01435900,1433.7,A
2020-01-07,01435900,1433.49,A
2020-01-08,01435900,1433.36,A
2020-01-09,01435900,1432.95,A
2020-01-10,01435900,1432.7,A
2020-01-11,01435900,1432.67,A
2020-01-12,01435900,1433.23,A
2020-01-13,01435900,1433.95,A
2020-01-14,01435900,1434.04,A
2020-01-15,01435900,1434.04,A
2020-01-16,01435900,1433.92,A
2020-01-17,01435900,1433.77,A
2020-01-18,01435900,1433.57,A
2020-01-19,01435900,1433.63,A
2020-01-20,01435900,1433.58,A
2020-01-21,01435900,1433.31,A
2020-01-22,01435900,1433.09,A
2020-01-23,01435900,1433.06,A
2020-01-24,01435900,1433.02,A
2020-01-25,01435900,1433.03,A
2020-01-26,01435900,1433.35,A
2020-01-27,01435900,1433.5,A
2020-01-28,01435900,1433.54,A
2020-01-29,01435900,1433.53,A
2020-01-30,01435900,1433.46,A
2020-01-31,01435900,1433.41,A
2020-02-01,01435900,1433.38,A
2020-02-02,01435900,1433.33,A
2020-02-03,01435900,1433.27,A
2020-02-04,01435900,1433.2,A
2020-02-05,01435900,1433.05,A
2020-02-06,01435900,1432.75,A
2020-02-07,01435900,1432.61,A
2020-02-08,01435900,1432.93,A
2020-02-09,01435900,1432.92,A
2020-02-10,01435900,1432.74,A
2020-02-11,01435900,1432.53,A
2020-02-12,01435900,1432.44,A
2020-02-13,01435900,1432.56,A
2020-02-14,01435900,1432.48,A
2020-02-15,01435900,1432.13,A
2020-02-16,01435900,1432.11,A
2020-02-17,01435900,1432.11,A
2020-02-18,01435900,1432.1,A
2020-02-19,01435900,1432.11,A
2020-02-20,01435900,1431.76,A
2020-02-21,01435900,1431.29,A
2020-02-22,01435900,1431.17,A
2020-02-23,01435900,1431.21,A
2020-02-24,01435900,1431.25,A
2020-02-25,01435900,1431.32,A
2020-02-26,01435900,1431.43,A
2020-02-27,01435900,1431.91,A
2020-02-28,01435900,1432.31,A
2020-02-29,01435900,1432.33,A
2020-03-01,01435900,1432.47,A
2020-03-02,01435900,1432.61,A
2020-03-03,01435900,1432.78,A
2020-03-04,01435900,1433.32,A
2020-03-05,01435900,1433.75,A
2020-03-06,01435900,1434.04,A
2020-03-07,01435900,1434.04,A
2020-03-08,01435900,1434.16,A
2020-03-09,01435900,1434.32,A
2020-03-10,01435900,1434.54,A
2020-03-11,01435900,1434.92,A
2020-03-12,01435900,1435.11,A
2020-03-13,01435900,1435.43,A
2020-03-14,01435900,1436.26,A
2020-03-15,01435900,1436.7,A
2020-03-16,01435900,1436.83,A
