datetime,site_no,00062_Maximum,00062_Maximum_cd,00062_Minimum,00062_Minimum_cd,00062_Mean,00062_Mean_cd
2009-10-14,01449790,628.05,A,628.0,A,628.02,A
2009-10-15,01449790,628.0,A,627.97,A,627.99,A
2009-10-16,01449790,628.01,A,628.0,A,628.01,A
2009-10-17,01449790,628.03,A,628.0,A,628.01,A
2009-10-18,01449790,628.02,A,627.99,A,628.0,A
2009-10-19,01449790,627.99,A,627.98,A,627.99,A
2009-10-20,01449790,628.01,A,627.99,A,628.0,A
2009-10-21,01449790,628.02,A,628.0,A,628.01,A
2009-10-22,01449790,628.03,A,628.02,A,628.02,A
2009-10-23,01449790,628.06,A,628.02,A,628.04,A
2009-10-24,01449790,628.59,A,628.06,A,628.24,A
2009-10-25,01449790,629.17,A,628.59,A,628.9,A
2009-10-26,01449790,629.32,A,628.96,A,629.18,A
2009-10-27,01449790,628.96,A,628.44,A,628.68,A
2009-10-28,01449790,628.44,A,628.35,A,628.39,A
2009-10-29,01449790,628.44,A,628.38,A,628.42,A
2009-10-30,01449790,628.38,A,628.26,A,628.31,A
2009-10-31,01449790,628.28,A,628.26,A,628.27,A
2009-11-01,01449790,628.26,A,628.14,A,628.21,A
2009-11-02,01449790,628.14,A,628.0,A,628.06,A
2009-11-03,01449790,628.0,A,627.93,A,627.95,A
2009-11-04,01449790,627.98,A,627.92,A,627.94,A
2009-11-05,01449790,628.04,A,627.98,A,628.01,A
2009-11-06,01449790,628.09,A,628.03,A,628.06,A
2009-11-07,01449790,628.13,A,628.08,A,628.11,A
2009-11-08,01449790,628.15,A,628.12,A,628.14,A
2009-11-09,01449790,628.15,A,628.1,A,628.13,A
2009-11-10,01449790,628.1,A,628.06,A,628.07,A
2009-11-11,01449790,628.08,A,628.06,A,628.07,A
2009-11-12,01449790,628.06,A,628.01,A,628.04,A
2009-11-13,01449790,628.02,A,627.99,A,628.01,A
2009-11-14,01449790,628.05,A,628.01,A,628.03,A
2009-11-15,01449790,628.08,A,628.05,A,628.06,A
2009-11-16,01449790,628.08,A,628.04,A,628.07,A
2009-11-17,01449790,628.05,A,628.01,A,628.02,A
2009-11-18,01449790,628.02,A,628.0,A,628.01,A
2009-11-19,01449790,628.08,A,628.01,A,628.03,A
2009-11-20,01449790,628.25,A,628.08,A,628.22,A
2009-11-21,01449790,628.25,A,628.12,A,628.19,A
2009-11-22,01449790,628.12,A,627.97,A,628.05,A
2009-11-23,01449790,627.97,A,627.9,A,627.92,A
2009-11-24,01449790,627.93,A,627.9,A,627.91,A
2009-11-25,01449790,628.0,A,627.93,A,627.96,A
2009-11-26,01449790,628.06,A,628.0,A,628.03,A
2009-11-27,01449790,628.1,A,628.05,A,628.08,A
2009-11-28,01449790,628.1,A,628.08,A,628.09,A
2009-11-29,01449790,628.09,A,628.08,A,628.09,A
2009-11-30,01449790,628.1,A,628.08,A,628.09,A
2009-12-01,01449790,628.08,A,628.03,A,628.05,A
2009-12-02,01449790,628.07,A,627.98,A,628.01,A
2009-12-03,01449790,628.83,A,628.06,A,628.54,A
2009-12-04,01449790,628.84,A,628.78,A,628.81,A
2009-12-05,01449790,628.79,A,628.74,A,628.77,A
2009-12-06,01449790,628.74,A,628.57,A,628.66,A
2009-12-07,01449790,628.57,A,628.31,A,628.45,A
2009-12-08,01449790,628.31,A,628.08,A,628.18,A
2009-12-09,01449790,628.27,A,628.08,A,628.18,A
2009-12-10,01449790,628.34,A,628.27,A,628.3,A
2009-12-11,01449790,628.27,A,628.18,A,628.22,A
2009-12-12,01449790,628.23,A,628.22,A,628.22,A
2009-12-13,01449790,628.35,A,628.21,A,628.26,A
2009-12-14,01449790,628.43,A,628.25,A,628.36,A
2009-12-15,01449790,628.28,A,628.09,A,628.2,A
2009-12-16,01449790,628.52,A,628.24,A,628.37,A
2009-12-17,01449790,628.67,A,628.45,A,628.51,A
2009-12-18,01449790,628.74,A,628.56,A,628.64,A
2009-12-19,01449790,628.63,A,628.27,A,628.45,A
2009-12-20,01449790,628.27,A,627.84,A,628.06,A
2009-12-21,01449790,627.84,A,627.68,A,627.77,A
2009-12-22,01449790,627.87,A,627.82,A,627.84,A
2009-12-23,01449790,627.9,A,627.87,A,627.88,A
2009-12-24,01449790,627.92,A,627.88,A,627.9,A
2009-12-25,01449790,627.97,A,627.92,A,627.94,A
2009-12-26,01449790,628.33,A,627.97,A,628.1,A
2009-12-27,01449790,628.98,A,628.33,A,628.67,A
2009-12-28,01449790,629.19,A,628.98,A,629.11,A
2009-12-29,01449790,629.04,A,628.72,A,628.9,A
2009-12-30,01449790,628.72,A,628.29,A,628.51,A
2009-12-31,01449790,628.29,A,628.09,A,628.14,A
2010-01-01,01449790,628.11,A,628.1,A,628.11,A
2010-01-02,01449790,628.1,A,628.03,A,628.08,A
2010-01-03,01449790,628.05,A,627.92,A,627.99,A
2010-01-04,01449790,627.93,A,627.87,A,627.89,A
2010-01-05,01449790,627.94,A,627.9,A,627.92,A
2010-01-06,01449790,627.95,A,627.93,A,627.94,A
2010-01-07,01449790,627.97,A,627.93,A,627.95,A
2010-01-08,01449790,628.01,A,627.96,A,627.98,A
2010-01-09,01449790,628.03,A,628.0,A,628.01,A
2010-01-10,01449790,628.02,A,628.0,A,628.01,A
2010-01-11,01449790,628.01,A,627.99,A,628.0,A
2010-01-12,01449790,628.0,A,627.98,A,627.99,A
2010-01-13,01449790,628.0,A,627.98,A,627.99,A
2010-01-14,01449790,627.98,A,627.97,A,627.97,A
2010-01-15,01449790,627.99,A,627.95,A,627.97,A
2010-01-16,01449790,628.04,A,627.99,A,628.01,A
2010-01-17,01449790,628.18,A,628.04,A,628.09,A
2010-01-18,01449790,628.35,A,628.18,A,628.28,A
2010-01-19,01449790,628.4,A,628.29,A,628.36,A
2010-01-20,01449790,628.29,A,628.1,A,628.2,A
2010-01-21,01449790,628.1,A,628.01,A,628.03,A
2010-01-22,01449790,628.03,A,628.02,A,628.02,A
2010-01-23,01449790,628.03,A,628.02,A,628.03,A
2010-01-24,01449790,628.07,A,628.02,A,628.03,A
2010-01-25,01449790,629.15,A,628.06,A,628.51,A
2010-01-26,01449790,629.6,A,629.15,A,629.45,A
2010-01-27,01449790,629.35,A,628.68,A,629.03,A
2010-01-28,01449790,628.68,A,628.08,A,628.34,A
2010-01-29,01449790,628.08,A,627.87,A,627.94,A
2010-01-30,01449790,628.16,A,627.97,A,628.08,A
2010-01-31,01449790,628.29,A,628.16,A,628.23,A
2010-02-01,01449790,628.33,A,628.25,A,628.3,A
2010-02-02,01449790,628.25,A,628.09,A,628.17,A
2010-02-03,01449790,628.09,A,628.01,A,628.04,A
2010-02-04,01449790,628.02,A,627.98,A,628.0,A
2010-02-05,01449790,628.04,A,627.99,A,628.0,A
2010-02-06,01449790,628.11,A,628.04,A,628.09,A
2010-02-07,01449790,628.13,A,628.1,A,628.12,A
2010-02-08,01449790,628.13,A,628.1,A,628.12,A
2010-02-09,01449790,628.1,A,628.04,A,628.07,A
2010-02-10,01449790,628.12,A,628.04,A,628.07,A
2010-02-11,01449790,628.12,A,628.05,A,628.09,A
2010-02-12,01449790,628.06,A,628.01,A,628.02,A
2010-02-13,01449790,628.01,A,627.98,A,628.0,A
2010-02-14,01449790,627.98,A,627.94,A,627.96,A
2010-02-15,01449790,627.95,A,627.91,A,627.93,A
2010-02-16,01449790,627.92,A,627.89,A,627.91,A
2010-02-17,01449790,627.94,A,627.91,A,627.93,A
2010-02-18,01449790,627.96,A,627.94,A,627.95,A
2010-02-19,01449790,628.0,A,627.95,A,627.97,A
2010-02-20,01449790,628.05,A,628.0,A,628.02,A
2010-02-21,01449790,628.1,A,628.05,A,628.07,A
2010-02-22,01449790,628.13,A,628.1,A,628.12,A
2010-02-23,01449790,628.14,A,628.11,A,628.12,A
2010-02-24,01449790,628.14,A,628.04,A,628.1,A
2010-02-25,01449790,628.04,A,627.97,A,628.0,A
2010-02-26,01449790,628.01,A,627.98,A,628.0,A
2010-02-27,01449790,628.01,A,627.99,A,628.0,A
2010-02-28,01449790,627.99,A,627.96,A,627.98,A
2010-03-01,01449790,627.99,A,627.95,A,627.97,A
2010-03-02,01449790,628.06,A,627.99,A,628.02,A
2010-03-03,01449790,628.11,A,628.06,A,628.09,A
2010-03-04,01449790,628.09,A,628.06,A,628.08,A
2010-03-05,01449790,628.07,A,628.04,A,628.06,A
2010-03-06,01449790,628.05,A,628.04,A,628.04,A
2010-03-07,01449790,628.06,A,628.04,A,628.05,A
2010-03-08,01449790,628.08,A,628.06,A,628.07,A
2010-03-09,01449790,628.09,A,628.07,A,628.08,A
2010-03-10,01449790,628.07,A,628.04,A,628.06,A
2010-03-11,01449790,628.05,A,628.02,A,628.03,A
2010-03-12,01449790,628.19,A,628.03,A,628.07,A
2010-03-13,01449790,628.99,A,628.19,A,628.48,A
2010-03-14,01449790,630.8,A,628.99,A,629.9,A
2010-03-15,01449790,631.47,A,630.8,A,631.31,A
2010-03-16,01449790,631.41,A,631.02,A,631.24,A
2010-03-17,01449790,631.02,A,630.33,A,630.7,A
2010-03-18,01449790,630.33,A,629.47,A,629.91,A
2010-03-19,01449790,629.47,A,628.77,A,629.05,A
2010-03-20,01449790,628.77,A,628.35,A,628.56,A
2010-03-21,01449790,628.35,A,627.86,A,628.11,A
2010-03-22,01449790,627.87,A,627.69,A,627.76,A
2010-03-23,01449790,628.16,A,627.86,A,628.05,A
2010-03-24,01449790,628.17,A,628.14,A,628.16,A
2010-03-25,01449790,628.16,A,628.03,A,628.1,A
2010-03-26,01449790,628.04,A,627.98,A,628.0,A
2010-03-27,01449790,627.98,A,627.92,A,627.96,A
2010-03-28,01449790,627.92,A,627.85,A,627.88,A
2010-03-29,01449790,628.0,A,627.91,A,627.98,A
2010-03-30,01449790,628.37,A,627.91,A,628.04,A
2010-03-31,01449790,628.79,A,628.37,A,628.68,A
2010-04-01,01449790,628.79,A,628.66,A,628.74,A
2010-04-02,01449790,628.66,A,628.43,A,628.53,A
2010-04-03,01449790,628.43,A,628.18,A,628.32,A
2010-04-04,01449790,628.18,A,627.82,A,628.01,A
2010-04-05,01449790,627.82,A,627.68,A,627.73,A
2010-04-06,01449790,627.84,A,627.75,A,627.8,A
2010-04-07,01449790,627.94,A,627.84,A,627.88,A
2010-04-08,01449790,628.05,A,627.94,A,627.98,A
2010-04-09,01449790,628.14,A,628.05,A,628.11,A
2010-04-10,01449790,628.14,A,628.09,A,628.11,A
2010-04-11,01449790,628.09,A,628.0,A,628.05,A
2010-04-12,01449790,628.01,A,627.96,A,627.97,A
2010-04-13,01449790,628.0,A,627.96,A,627.97,A
2010-04-14,01449790,628.03,A,627.99,A,628.01,A
2010-04-15,01449790,628.04,A,628.03,A,628.03,A
2010-04-16,01449790,628.15,A,628.04,A,628.06,A
2010-04-17,01449790,628.3,A,628.15,A,628.24,A
2010-04-18,01449790,628.35,A,628.3,A,628.33,A
2010-04-19,01449790,628.36,A,628.18,A,628.3,A
2010-04-20,01449790,628.18,A,628.07,A,628.12,A
2010-04-21,01449790,628.1,A,628.05,A,628.08,A
2010-04-22,01449790,628.08,A,628.03,A,628.05,A
2010-04-23,01449790,628.05,A,628.01,A,628.02,A
2010-04-24,01449790,628.02,A,627.99,A,628.01,A
2010-04-25,01449790,628.27,A,628.01,A,628.13,A
2010-04-26,01449790,628.4,A,628.27,A,628.34,A
2010-04-27,01449790,628.28,A,628.08,A,628.16,A
2010-04-28,01449790,628.08,A,628.03,A,628.06,A
2010-04-29,01449790,628.14,A,628.08,A,628.11,A
2010-04-30,01449790,628.16,A,628.14,A,628.15,A
2010-05-01,01449790,628.17,A,628.15,A,628.16,A
2010-05-02,01449790,628.16,A,628.14,A,628.15,A
2010-05-03,01449790,628.27,A,628.12,A,628.2,A
