,pepacton,cannonsville,neversink,Total,PercentageTotal
12/1/1999,100636,60488,15968,177092,65.39586411
12/2/1999,101024,61142,15998,178164,65.79172821
12/3/1999,101055,61651,16037,178743,66.00553914
12/4/1999,101242,62237,16037,179516,66.29098966
12/5/1999,101351,62925,16149,180425,66.62666174
12/6/1999,101445,63447,16274,181166,66.90029542
12/7/1999,101507,63956,16312,181775,67.12518464
12/8/1999,101648,64504,16348,182500,67.3929099
12/9/1999,101445,64963,16322,182730,67.47784343
12/10/1999,101320,65408,16241,182969,67.56610044
12/11/1999,101226,65968,16106,183300,67.68833087
12/12/1999,101195,66286,16070,183551,67.7810192
12/13/1999,101133,66681,15857,183671,67.82533235
12/14/1999,101133,67012,15827,183972,67.93648449
12/15/1999,101101,67662,15762,184525,68.14069424
12/16/1999,100993,68073,15729,184795,68.24039882
12/17/1999,101009,68550,15755,185314,68.43205318
12/18/1999,101148,68735,15684,185567,68.52548006
12/19/1999,100993,68907,15690,185590,68.53397341
12/20/1999,100823,69093,15690,185606,68.53988183
12/21/1999,101055,69106,15765,185926,68.65805022
12/22/1999,101211,69463,15890,186564,68.89364845
12/23/1999,101024,69649,15899,186572,68.89660266
12/24/1999,101039,69755,16004,186798,68.98005908
12/25/1999,100915,69768,16017,186700,68.94387001
12/26/1999,100683,69715,15965,186363,68.81942393
12/27/1999,100668,69728,15968,186364,68.81979321
12/28/1999,100513,70139,15988,186640,68.92171344
12/29/1999,100326,69861,15942,186129,68.73301329
12/30/1999,100420,69821,15958,186199,68.75886263
12/31/1999,100125,69808,15952,185885,68.6429099
1/1/2000,99970,69781,15958,185709,68.57791728
1/2/2000,99800,69689,15932,185421,68.47156573
1/3/2000,99551,69768,15896,185215,68.39549483
1/4/2000,99583,69596,15985,185164,68.37666174
1/5/2000,99366,69742,16146,185254,68.4098966
1/6/2000,99444,70046,16208,185698,68.57385524
1/7/2000,99382,70218,16261,185861,68.63404727
1/8/2000,99259,70351,16338,185948,68.6661743
1/9/2000,98983,70457,16404,185844,68.62776957
1/10/2000,98998,70470,16491,185959,68.67023634
1/11/2000,99106,71212,16564,186882,69.01107829
1/12/2000,98983,71953,16568,187504,69.24076809
1/13/2000,99106,72562,16574,188242,69.51329394
1/14/2000,98829,73013,16524,188366,69.55908419
1/15/2000,98614,73331,16460,188405,69.57348597
1/16/2000,98429,73676,16454,188559,69.63035451
1/17/2000,98537,74008,16527,189072,69.81979321
1/18/2000,98429,74229,16557,189215,69.8725997
1/19/2000,98198,74658,16544,189400,69.94091581
1/20/2000,98168,74920,16430,189518,69.9844904
1/21/2000,97953,75307,16491,189751,70.07053176
1/22/2000,97648,75694,16278,189620,70.02215657
1/23/2000,97465,75929,16165,189559,69.99963072
1/24/2000,97267,76205,15988,189460,69.96307238
1/25/2000,97069,76523,15912,189504,69.97932053
1/26/2000,96871,76840,15814,189525,69.98707533
1/27/2000,96673,77131,15690,189494,69.97562777
1/28/2000,96234,77117,15593,188944,69.77252585
1/29/2000,95963,77034,15418,188415,69.57717873
1/30/2000,95765,76896,15280,187941,69.4021418
1/31/2000,95493,76896,15123,187512,69.2437223
2/1/2000,95267,76827,15210,187304,69.16691285
2/2/2000,94995,76633,15257,186885,69.01218612
2/3/2000,94665,76661,15286,186612,68.91137371
2/4/2000,94456,76509,15342,186307,68.79874446
2/5/2000,94411,76523,15374,186308,68.79911374
2/6/2000,94546,76661,15422,186629,68.9176514
2/7/2000,94605,76868,15463,186936,69.0310192
2/8/2000,94710,77061,15473,187244,69.14475628
2/9/2000,94516,76730,15496,186742,68.95937962
2/10/2000,94156,76537,15532,186225,68.76846381
2/11/2000,94141,76440,15574,186155,68.74261448
2/12/2000,93722,76150,15609,185481,68.4937223
2/13/2000,93437,75804,15632,184873,68.26920236
2/14/2000,93125,75555,15697,184377,68.08604136
2/15/2000,93318,75763,15854,184935,68.29209749
2/16/2000,93348,76329,15942,185619,68.54468242
2/17/2000,93273,76578,16033,185884,68.64254062
2/18/2000,93393,77006,16059,186458,68.85450517
2/19/2000,93258,77282,16152,186692,68.94091581
2/20/2000,93303,77462,16205,186970,69.04357459
2/21/2000,93140,77683,16261,187084,69.08567208
2/22/2000,93170,77807,16315,187292,69.16248154
2/23/2000,93021,78056,16355,187432,69.21418021
2/24/2000,92932,78249,16411,187592,69.2732644
2/25/2000,92813,78830,16497,188140,69.47562777
2/26/2000,93946,79977,16782,190705,70.42282127
2/27/2000,95222,81929,17016,194167,71.70125554
2/28/2000,99583,87435,17597,204615,75.55945347
2/29/2000,103500,93942,18367,215809,79.69313146
3/1/2000,105542,96881,18729,221152,81.6661743
3/2/2000,106804,98249,19032,224085,82.74926145
3/3/2000,107863,98523,19296,225682,83.33899557
3/4/2000,108653,98651,19503,226807,83.75443131
3/5/2000,109105,98539,19683,227327,83.94645495
3/6/2000,109380,98426,19847,227653,84.066839
3/7/2000,110128,98184,20005,228317,84.3120384
3/8/2000,110859,98104,20179,229142,84.61669129
3/9/2000,111252,97943,20436,229631,84.79726736
3/10/2000,112037,98394,20980,231411,85.45457903
3/11/2000,113024,98716,21424,233164,86.10192024
3/12/2000,115011,99553,22380,236944,87.49778434
3/13/2000,117266,100260,23322,240848,88.9394387
3/14/2000,118293,99713,23797,241803,89.29209749
3/15/2000,119580,99199,24149,242928,89.70753323
3/16/2000,120225,98716,24441,243382,89.87518464
3/17/2000,121180,98619,24863,244662,90.3478582
3/18/2000,122138,98957,25341,246436,91.00295421
3/19/2000,122842,98828,25646,247316,91.32791728
3/20/2000,123687,98667,25908,248262,91.67725258
3/21/2000,123911,98474,26114,248499,91.76477105
3/22/2000,124499,98329,26346,249174,92.0140325
3/23/2000,124707,98072,26482,249261,92.04615953
3/24/2000,124950,97734,26596,249280,92.05317578
3/25/2000,125105,97540,26769,249414,92.10265879
3/26/2000,125314,97396,26949,249659,92.19313146
3/27/2000,125436,97315,27081,249832,92.25701625
3/28/2000,125748,97476,27283,250507,92.5062777
3/29/2000,126971,98571,27835,253377,93.56610044
3/30/2000,127846,98764,28105,254715,94.06019202
3/31/2000,128972,98700,28351,256023,94.54320532
4/1/2000,129253,98426,28561,256240,94.62333826
4/2/2000,130103,98152,28685,256940,94.88183161
4/3/2000,130369,98056,28844,257269,95.00332349
4/4/2000,131291,98700,29079,259070,95.66838996
4/5/2000,133060,100373,29566,262999,97.11927622
4/6/2000,134390,100309,29832,264531,97.68500739
4/7/2000,135312,99890,29946,265148,97.91285081
4/8/2000,135729,99359,29937,265025,97.86742984
4/9/2000,136672,99311,30046,266029,98.23818316
4/10/2000,137419,99424,30082,266925,98.56905465
4/11/2000,137948,99182,30091,267221,98.67836041
4/12/2000,138572,98828,30068,267468,98.76957164
4/13/2000,138995,98796,30095,267886,98.9239291
4/14/2000,139638,98555,30191,268384,99.10782866
4/15/2000,140061,98523,30227,268811,99.2655096
4/16/2000,140449,98378,30296,269123,99.38072378
4/17/2000,140468,98313,30346,269127,99.38220089
4/18/2000,140746,98329,30515,269590,99.55317578
4/19/2000,141005,98909,30670,270584,99.92023634
4/20/2000,140894,98941,30795,270630,99.93722304
4/21/2000,141005,98796,30859,270660,99.94830133
4/22/2000,141079,98877,31364,271320,100.1920236
4/23/2000,141246,98925,31920,272091,100.4767356
4/24/2000,141320,99166,32307,272793,100.7359675
4/25/2000,141338,99070,32543,272951,100.7943131
4/26/2000,141172,98764,32691,272627,100.6746677
4/27/2000,141135,98426,32781,272342,100.5694239
4/28/2000,140968,98410,32762,272140,100.4948301
4/29/2000,140838,98104,32671,271613,100.3002216
4/30/2000,140727,97943,32829,271499,100.2581241
5/1/2000,140708,97701,32995,271404,100.2230428
5/2/2000,140579,97540,32995,271114,100.1159527
5/3/2000,140523,97347,33038,270908,100.0398818
5/4/2000,140338,97218,33144,270700,99.96307238
5/5/2000,140394,96881,33062,270337,99.82902511
5/6/2000,140375,96687,33067,270129,99.75221566
5/7/2000,140375,96446,33086,269907,99.67023634
5/8/2000,140412,96462,33081,269955,99.6879616
5/9/2000,140079,96157,33173,269409,99.48633678
5/10/2000,140043,96221,33081,269345,99.4627031
5/11/2000,140505,96671,33225,270401,99.85265879
5/12/2000,140560,96897,33254,270711,99.96713442
5/13/2000,140579,97299,33307,271185,100.1421713
5/14/2000,141098,97862,33374,272334,100.5664697
5/15/2000,141135,98249,33384,272768,100.7267356
5/16/2000,141153,98265,33475,272893,100.7728951
5/17/2000,141098,98184,33596,272878,100.767356
5/18/2000,140801,97750,33572,272123,100.4885524
5/19/2000,141079,97798,33611,272488,100.6233383
5/20/2000,141005,98023,33944,272972,100.8020679
5/21/2000,140968,97975,34179,273122,100.8574594
5/22/2000,140931,97943,34379,273253,100.9058346
5/23/2000,140950,98168,34433,273551,101.0158789
5/24/2000,140987,99295,34473,274755,101.4604874
5/25/2000,141709,100083,35011,276803,102.2167651
5/26/2000,141746,100212,35016,276974,102.2799114
5/27/2000,141746,99826,34996,276568,102.1299852
5/28/2000,141394,99327,34956,275677,101.8009601
5/29/2000,141394,98925,34868,275187,101.6200148
5/30/2000,141061,98410,34739,274210,101.2592319
5/31/2000,140931,98007,34759,273697,101.0697932
6/1/2000,140801,97589,34665,273055,100.8327179
6/2/2000,140375,97267,34528,272170,100.5059084
6/3/2000,140412,96929,34528,271869,100.3947563
6/4/2000,140135,96704,34438,271277,100.1761448
6/5/2000,140190,96334,34389,270913,100.0417282
6/6/2000,140079,96285,34374,270738,99.97710487
6/7/2000,141506,96575,35404,273485,100.9915066
6/8/2000,141783,97154,35269,274206,101.2577548
6/9/2000,141617,97218,35175,274010,101.1853767
6/10/2000,141338,97041,35011,273390,100.9564254
6/11/2000,141320,96977,34808,273105,100.8511817
6/12/2000,141412,97251,34739,273402,100.9608567
6/13/2000,141486,97734,34715,273935,101.1576809
6/14/2000,141486,97975,34650,274111,101.2226736
6/15/2000,141375,98023,34616,274014,101.1868538
6/16/2000,141227,98104,34528,273859,101.129616
6/17/2000,141246,97911,34404,273561,101.0195716
6/18/2000,141264,97750,34214,273228,100.8966027
6/19/2000,141209,97895,34077,273181,100.8792467
6/20/2000,141116,97685,34101,272902,100.7762186
6/21/2000,140838,97347,34047,272232,100.5288035
6/22/2000,140876,97315,34248,272439,100.6052437
6/23/2000,140913,97476,34272,272661,100.687223
6/24/2000,140801,97315,34370,272486,100.6225997
6/25/2000,140523,96993,34473,271989,100.4390694
6/26/2000,140505,96929,34626,272060,100.465288
6/27/2000,140412,96864,34793,272069,100.4686115
6/28/2000,140727,96784,34853,272364,100.577548
6/29/2000,140301,96800,34769,271870,100.3951256
6/30/2000,140264,96559,34725,271548,100.2762186
7/1/2000,140043,96189,34660,270892,100.0339734
7/2/2000,139987,95963,34650,270600,99.92614476
7/3/2000,139546,95754,34606,269906,99.66986706
7/4/2000,139455,95722,34655,269832,99.64254062
7/5/2000,139216,95738,34700,269654,99.57680945
7/6/2000,138885,95523,34582,268990,99.33161004
7/7/2000,138700,95341,34616,268657,99.20864106
7/8/2000,138259,95143,34458,267860,98.91432792
7/9/2000,137730,94930,34487,267147,98.65103397
7/10/2000,137346,94626,34497,266469,98.4006647
7/11/2000,137528,94398,34389,266315,98.34379616
7/12/2000,137310,93942,34374,265626,98.08936484
7/13/2000,137054,93790,34325,265169,97.92060561
7/14/2000,136818,93516,34296,264630,97.72156573
7/15/2000,136581,93303,34399,264283,97.59342688
7/16/2000,137310,93516,35429,266255,98.32163959
7/17/2000,137857,93713,35389,266959,98.58161004
7/18/2000,138149,93774,35224,267147,98.65103397
7/19/2000,138205,93866,35165,267236,98.68389956
7/20/2000,138351,93957,35060,267368,98.73264402
7/21/2000,138296,93881,34946,267123,98.64217134
7/22/2000,138461,93820,34887,267168,98.65878877
7/23/2000,138461,93561,34759,266781,98.51587888
7/24/2000,138406,93379,34528,266313,98.34305761
7/25/2000,138425,93288,34438,266151,98.28323486
7/26/2000,138535,93257,34384,266176,98.29246677
7/27/2000,138572,93212,34267,266051,98.24630724
7/28/2000,138590,93303,34286,266179,98.29357459
7/29/2000,138848,93318,34399,266565,98.43611521
7/30/2000,138700,93364,34567,266631,98.46048744
7/31/2000,138756,93272,34684,266712,98.49039882
8/1/2000,138498,93333,34764,266595,98.4471935
8/2/2000,138351,93348,34744,266443,98.39106352
8/3/2000,138040,93348,34626,266014,98.23264402
8/4/2000,138094,93348,34538,265980,98.22008863
8/5/2000,138003,93288,34448,265739,98.13109306
8/6/2000,137912,93227,34316,265455,98.02621861
8/7/2000,138205,93151,34228,265584,98.07385524
8/8/2000,138076,93120,34106,265302,97.96971935
8/9/2000,137748,93120,34023,264891,97.81794682
8/10/2000,137875,93014,33876,264765,97.77141802
8/11/2000,137657,92603,33736,263996,97.48744461
8/12/2000,137583,92086,33577,263246,97.21048744
8/13/2000,137784,92162,33470,263416,97.2732644
8/14/2000,137784,92177,33341,263302,97.23116691
8/15/2000,138223,92223,33336,263782,97.4084195
8/16/2000,138296,92116,33149,263561,97.32680945
8/17/2000,138186,92025,33024,263235,97.20642541
8/18/2000,138186,91903,32857,262946,97.09970458
8/19/2000,138094,91614,32600,262308,96.86410635
8/20/2000,138351,91416,32425,262192,96.82127031
8/21/2000,138480,91157,32250,261887,96.70864106
8/22/2000,138351,90777,32075,261203,96.45605613
8/23/2000,138351,90458,32099,260908,96.34711965
8/24/2000,138113,90290,31775,260178,96.07754801
8/25/2000,137912,89956,31686,259554,95.84711965
8/26/2000,137839,89621,31504,258964,95.62924668
8/27/2000,137565,89317,31271,258153,95.32976366
8/28/2000,137236,89165,31122,257523,95.09711965
8/29/2000,137072,88906,31039,257017,94.91026588
8/30/2000,136872,88693,31058,256623,94.76477105
8/31/2000,136581,88389,30966,255936,94.51107829
9/1/2000,136290,88042,30845,255177,94.23079764
9/2/2000,136036,87681,30634,254351,93.92577548
9/3/2000,135674,87334,30680,253688,93.68094535
9/4/2000,135294,86987,30762,253043,93.44276219
9/5/2000,134750,86626,30831,252207,93.13404727
9/6/2000,134210,86308,30854,251372,92.82570162
9/7/2000,134030,86193,30914,251137,92.73892171
9/8/2000,133545,85904,30919,250368,92.4549483
9/9/2000,133114,85297,30873,249284,92.05465288
9/10/2000,132541,84877,30873,248291,91.6879616
9/11/2000,132326,84516,30850,247692,91.46676514
9/12/2000,131898,84169,30841,246908,91.17725258
9/13/2000,132004,84198,31155,247357,91.34305761
9/14/2000,131862,84154,31508,247524,91.40472674
9/15/2000,131773,84299,31710,247782,91.5
9/16/2000,131791,84198,31747,247736,91.48301329
9/17/2000,131452,84010,31775,247237,91.29874446
9/18/2000,131149,83807,31789,246745,91.11706056
9/19/2000,131238,83721,31878,246837,91.15103397
9/20/2000,130723,83620,31958,246301,90.95310192
9/21/2000,130475,83273,31789,245537,90.67097489
9/22/2000,130156,83128,31625,244909,90.43906942
9/23/2000,129837,82868,31615,244320,90.22156573
9/24/2000,129536,82579,31583,243698,89.99187592
9/25/2000,128849,82160,31546,242555,89.56979321
9/26/2000,128585,81669,31513,241767,89.27880355
9/27/2000,128322,81423,31466,241211,89.07348597
9/28/2000,127811,81192,31461,240464,88.79763663
9/29/2000,127565,80932,31391,239888,88.58493353
9/30/2000,126971,80682,31332,238985,88.2514771
10/1/2000,126568,80405,31248,238221,87.96935007
10/2/2000,126272,80184,31169,237625,87.74926145
10/3/2000,125783,79935,31132,236850,87.46307238
10/4/2000,125505,79769,31058,236332,87.2717873
10/5/2000,125019,79714,30905,235638,87.0155096
10/6/2000,124863,80004,30873,235740,87.05317578
10/7/2000,124828,80267,30804,235899,87.11189069
10/8/2000,124585,80350,30744,235679,87.03064993
10/9/2000,124239,80378,30616,235233,86.86595273
10/10/2000,123790,80447,30478,234715,86.67466765
10/11/2000,123566,80516,30447,234529,86.60598227
10/12/2000,123170,80447,30310,233927,86.38367799
10/13/2000,122946,80460,30191,233597,86.26181684
10/14/2000,122722,80488,30128,233338,86.1661743
10/15/2000,122258,80391,29941,232590,85.88995569
10/16/2000,121985,80295,29819,232099,85.70864106
10/17/2000,121540,80101,29747,231388,85.44608567
10/18/2000,121591,80295,29620,231506,85.48966027
10/19/2000,121591,80751,29656,231998,85.67134417
10/20/2000,121402,81105,29575,232082,85.70236337
10/21/2000,121231,81438,29509,232178,85.73781388
10/22/2000,120924,81755,29459,232138,85.72304284
10/23/2000,120838,81958,29347,232143,85.72488922
10/24/2000,120599,82160,29275,232034,85.68463811
10/25/2000,120225,82333,29146,231704,85.56277696
10/26/2000,119987,82521,29057,231565,85.51144756
10/27/2000,119885,82651,28937,231473,85.47747415
10/28/2000,119801,82868,28773,231442,85.46602659
10/29/2000,119070,82969,28614,230653,85.17466765
10/30/2000,118799,82998,28399,230196,85.00590842
10/31/2000,118664,83099,28220,229983,84.92725258
11/1/2000,118411,83056,28105,229572,84.77548006
11/2/2000,117804,83056,27839,228699,84.45310192
11/3/2000,117619,82984,27520,228123,84.24039882
11/4/2000,117383,82883,27300,227566,84.03471196
11/5/2000,116964,82854,27018,226836,83.76514032
11/6/2000,116646,82738,26727,226111,83.49741507
11/7/2000,116076,82593,26427,225096,83.1225997
11/8/2000,115959,82565,26190,224714,82.98153619
11/9/2000,115525,82550,25946,224021,82.72562777
11/10/2000,115243,82767,25729,223739,82.62149188
11/11/2000,114961,83085,25612,223658,82.5915805
11/12/2000,114694,83287,25424,223405,82.49815362
11/13/2000,114213,83461,25193,222867,82.29948301
11/14/2000,114113,83620,24932,222665,82.22488922
11/15/2000,113881,83880,24809,222570,82.18980798
11/16/2000,113683,84097,24625,222405,82.1288774
11/17/2000,113486,84313,24405,222204,82.05465288
11/18/2000,113189,84473,24197,221859,81.92725258
11/19/2000,112843,84704,23914,221461,81.78028065
11/20/2000,112745,84863,23733,221341,81.7359675
11/21/2000,112398,85138,23481,221017,81.61632201
11/22/2000,112135,85268,23298,220701,81.49963072
11/23/2000,111971,85412,23052,220435,81.40140325
11/24/2000,111644,85557,23000,220201,81.31499261
11/25/2000,111284,85701,23044,220029,81.2514771
11/26/2000,110778,85904,23100,219782,81.16026588
11/27/2000,110974,86250,23238,220462,81.41137371
11/28/2000,110680,86438,23338,220456,81.40915805
11/29/2000,110387,86655,23405,220447,81.40583456
11/30/2000,110192,86915,23597,220704,81.50073855
12/1/2000,109916,87204,23685,220805,81.53803545
12/2/2000,109738,87334,23753,220825,81.54542097
12/3/2000,109202,87479,23797,220478,81.41728213
12/4/2000,109056,87666,23817,220539,81.43980798
12/5/2000,108765,87782,23882,220429,81.39918759
12/6/2000,108282,87956,23951,220189,81.3105613
12/7/2000,108217,88146,23991,220354,81.37149188
12/8/2000,107847,88252,23999,220098,81.27695716
12/9/2000,107589,88283,24055,219927,81.21381093
12/10/2000,107204,88526,24140,219870,81.19276219
12/11/2000,106932,88739,24165,219836,81.18020679
12/12/2000,106692,88921,24259,219872,81.19350074
12/13/2000,106564,89180,24331,220075,81.26846381
12/14/2000,106148,89332,24323,219803,81.16802068
12/15/2000,105796,89484,24311,219591,81.08973412
12/16/2000,105478,89712,24385,219575,81.0838257
12/17/2000,105701,90229,24409,220339,81.36595273
12/18/2000,112613,95189,27770,235572,86.99113737
12/19/2000,115194,97830,28228,241252,89.08862629
12/20/2000,116311,98539,28425,243275,89.83567208
12/21/2000,116964,98587,28535,244086,90.1351551
12/22/2000,117266,98362,28694,244322,90.22230428
12/23/2000,117635,98056,28835,244526,90.29763663
12/24/2000,117602,97750,28994,244346,90.23116691
12/25/2000,117702,97557,29026,244285,90.20864106
12/26/2000,117551,97331,29066,243948,90.08419498
12/27/2000,117585,97267,29222,244074,90.13072378
12/28/2000,117451,97138,29360,243949,90.08456425
12/29/2000,117585,97058,29423,244066,90.12776957
12/30/2000,117451,97396,29558,244405,90.25295421
12/31/2000,117400,97476,29656,244532,90.29985229
1/1/2001,117249,97396,29733,244378,90.24298375
1/2/2001,116981,97363,29814,244158,90.16174298
1/3/2001,116796,97041,29860,243697,89.99150665
1/4/2001,116578,96527,29928,243033,89.74630724
1/5/2001,116545,96350,30013,242908,89.70014771
1/6/2001,116261,96205,30132,242598,89.58567208
1/7/2001,115993,96092,30177,242262,89.46159527
1/8/2001,115608,95996,30259,241863,89.31425406
1/9/2001,115459,95851,30301,241611,89.22119645
1/10/2001,115227,95706,30346,241279,89.09859675
1/11/2001,114895,95554,30328,240777,88.91322009
1/12/2001,114578,95417,30456,240451,88.79283604
1/13/2001,114097,95174,30529,239800,88.55243722
1/14/2001,113964,94885,30542,239391,88.40140325
1/15/2001,113700,94626,30612,238938,88.23412112
1/16/2001,113305,94322,30661,238288,87.99409158
1/17/2001,113024,94002,30661,237687,87.77215657
1/18/2001,112745,93683,30721,237149,87.57348597
1/19/2001,112431,93607,30730,236768,87.43279173
1/20/2001,112070,93394,30795,236259,87.24483013
1/21/2001,111644,93075,30854,235573,86.99150665
1/22/2001,111447,92649,30877,234973,86.76994092
1/23/2001,111089,92329,30873,234291,86.51809453
1/24/2001,110533,91842,30910,233285,86.14660266
1/25/2001,110322,91568,30961,232851,85.98633678
1/26/2001,110160,90777,30980,231917,85.64143279
1/27/2001,109819,90488,30980,231287,85.40878877
1/28/2001,109267,90093,30947,230307,85.04689808
1/29/2001,109024,89697,31012,229733,84.83493353
1/30/2001,108540,89317,30952,228809,84.4937223
1/31/2001,108653,89134,31007,228794,84.48818316
2/1/2001,108508,89073,31026,228607,84.41912851
2/2/2001,108427,88784,30952,228163,84.25516987
2/3/2001,108088,88435,30891,227414,83.97858198
2/4/2001,107959,88237,30845,227041,83.84084195
2/5/2001,107653,88013,30758,226424,83.61299852
2/6/2001,107637,87883,30749,226269,83.55576071
2/7/2001,107541,87797,30698,226036,83.46971935
2/8/2001,107268,87493,30661,225422,83.24298375
2/9/2001,107060,87479,30621,225160,83.14623338
2/10/2001,106868,87753,30693,225314,83.20310192
2/11/2001,107460,89058,30762,227280,83.92909897
2/12/2001,107573,89530,30758,227861,84.14364845
2/13/2001,107605,89925,30822,228352,84.32496307
2/14/2001,107798,90488,30887,229173,84.62813885
2/15/2001,108217,91066,30970,230253,85.02695716
2/16/2001,108298,92314,31030,231642,85.53988183
2/17/2001,108443,92770,31104,232317,85.78914328
2/18/2001,108524,92983,31150,232657,85.91469719
2/19/2001,108411,93303,31132,232846,85.9844904
2/20/2001,108363,93485,31229,233077,86.06979321
2/21/2001,108347,93805,31313,233465,86.21307238
2/22/2001,108298,93896,31304,233498,86.22525849
2/23/2001,108185,94018,31354,233557,86.24704579
2/24/2001,107863,94170,31420,233453,86.20864106
2/25/2001,107814,94307,31494,233615,86.26846381
2/26/2001,107573,94444,31620,233637,86.27658789
2/27/2001,107831,94793,31644,234268,86.50960118
2/28/2001,107718,94946,31724,234388,86.55391433
3/1/2001,107573,94976,31775,234324,86.53028065
3/2/2001,107220,95098,31855,234173,86.47451994
3/3/2001,107108,95082,31892,234082,86.44091581
3/4/2001,106932,95143,31958,234033,86.42282127
3/5/2001,106948,95204,32061,234213,86.48929099
3/6/2001,106948,95341,32103,234392,86.55539143
3/7/2001,106564,95295,32160,234019,86.4176514
3/8/2001,106484,95371,32085,233940,86.38847858
3/9/2001,106388,95311,31860,233559,86.24778434
3/10/2001,106212,95326,31873,233411,86.19313146
3/11/2001,106116,95158,31868,233142,86.09379616
3/12/2001,105748,95128,31878,232754,85.95051699
3/13/2001,105717,95128,31878,232723,85.93906942
3/14/2001,105653,95174,31976,232803,85.96861152
3/15/2001,105558,95326,31995,232879,85.99667651
3/16/2001,105415,95493,31939,232847,85.98485968
3/17/2001,105383,95600,31962,232945,86.02104874
3/18/2001,105462,95584,32042,233088,86.07385524
3/19/2001,105510,95676,32090,233276,86.14327917
3/20/2001,105462,95569,32146,233177,86.10672083
3/21/2001,105605,95615,32208,233428,86.19940916
3/22/2001,105860,95947,32339,234146,86.46454948
3/23/2001,106244,96414,32562,235220,86.86115214
3/24/2001,106580,96575,32643,235798,87.0745938
3/25/2001,106932,96720,32771,236423,87.30539143
3/26/2001,107092,96671,32834,236597,87.36964549
3/27/2001,107236,96736,32972,236944,87.49778434
3/28/2001,107412,96848,33038,237298,87.62850812
3/29/2001,107702,96913,33134,237749,87.7950517
3/30/2001,108266,97041,33245,238552,88.0915805
3/31/2001,109105,98104,33625,240834,88.93426883
4/1/2001,109948,98297,33804,242049,89.38293944
4/2/2001,110811,98217,33974,243002,89.73485968
4/3/2001,111415,97846,34013,243274,89.83530281
4/4/2001,111939,97557,34057,243553,89.93833087
4/5/2001,112398,97347,34121,243866,90.05391433
4/6/2001,113453,97524,34224,245201,90.54689808
4/7/2001,114545,97959,34453,246957,91.19534712
4/8/2001,116144,98844,34774,249762,92.23116691
4/9/2001,118512,99939,35070,253521,93.61927622
4/10/2001,122773,101420,35553,259746,95.91802068
4/11/2001,127023,102434,35458,264915,97.82680945
4/12/2001,130404,101919,35344,267667,98.84305761
4/13/2001,134264,101693,35399,271356,100.2053176
4/14/2001,137730,101307,35443,274480,101.3589365
4/15/2001,140505,100631,35319,276455,102.088257
4/16/2001,141412,99890,35294,276596,102.140325
4/17/2001,141561,99376,35234,276171,101.9833826
4/18/2001,141431,98893,35175,275499,101.735229
4/19/2001,140987,98297,35135,274419,101.3364106
4/20/2001,140634,98474,35100,274208,101.2584934
4/21/2001,140375,98217,35080,273672,101.0605613
4/22/2001,140338,98104,35165,273607,101.0365583
4/23/2001,140449,97766,35150,273365,100.9471935
4/24/2001,140505,97718,35150,273373,100.9501477
4/25/2001,140264,97589,35130,272983,100.80613
4/26/2001,140246,97508,35090,272844,100.7548006
4/27/2001,140024,97347,35026,272397,100.5897341
4/28/2001,139730,97186,35016,271932,100.4180207
4/29/2001,139418,97202,34887,271507,100.2610783
4/30/2001,139160,97090,34774,271024,100.0827179
5/1/2001,139050,96993,34665,270708,99.96602659
5/2/2001,138664,96864,34650,270178,99.77031019
5/3/2001,138351,96623,34572,269546,99.53692762
5/4/2001,138149,96430,34463,269042,99.35081241
5/5/2001,137857,96237,34384,268478,99.14254062
5/6/2001,137657,96269,34306,268232,99.05169867
5/7/2001,137181,96205,34189,267575,98.80908419
5/8/2001,136763,96237,34155,267155,98.65398818
5/9/2001,136636,96205,34023,266864,98.5465288
5/10/2001,136272,96124,33867,266263,98.3245938
5/11/2001,135982,96092,33713,265787,98.14881832
5/12/2001,135801,95706,33568,265075,97.88589365
5/13/2001,135203,95402,33529,264134,97.53840473
5/14/2001,134805,95234,33485,263524,97.31314623
5/15/2001,134390,94809,33283,262482,96.92836041
5/16/2001,133887,94444,33086,261417,96.53508124
5/17/2001,133455,93926,32914,260295,96.12075332
5/18/2001,133078,93409,32719,259206,95.71861152
5/19/2001,132541,92892,32596,258029,95.28397341
5/20/2001,132093,92329,32386,256808,94.83308715
5/21/2001,131719,91675,32274,255668,94.41211226
5/22/2001,131274,91523,32232,255029,94.17614476
5/23/2001,130954,91568,32094,254616,94.02363368
5/24/2001,130670,91523,32047,254240,93.88478582
5/25/2001,130369,91523,31939,253831,93.73375185
5/26/2001,130014,91431,31761,253206,93.50295421
5/27/2001,129837,91431,31873,253141,93.47895126
5/28/2001,129571,91553,32037,253161,93.48633678
5/29/2001,129483,91705,32108,253296,93.53618907
5/30/2001,129359,91690,32165,253214,93.50590842
5/31/2001,128919,91781,32198,252898,93.38921713
6/1/2001,128673,91827,32232,252732,93.32791728
6/2/2001,128357,92101,32377,252835,93.36595273
6/3/2001,128849,92207,32795,253851,93.74113737
6/4/2001,129060,92207,33101,254368,93.93205318
6/5/2001,129849,92527,33235,255611,94.39106352
6/6/2001,129112,92847,33408,255367,94.30096012
6/7/2001,129130,93059,33485,255674,94.41432792
6/8/2001,129359,92877,33553,255789,94.45679468
6/9/2001,129394,92923,33611,255928,94.50812408
6/10/2001,129430,92710,33654,255794,94.45864106
6/11/2001,129642,92573,33708,255923,94.5062777
