Reservoir Storage Volume and Zones
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
Variable,"Storage Volume","Top of Buffer","Top of Conservation","Top of Inactive"
6/1/1999,123875400,0,137000000,0
6/2/1999,123675290,0,136778689,0
6/3/1999,123816574,0,136557377,0
6/4/1999,123915850,0,136336066,0
6/5/1999,124027764,0,136114754,0
6/6/1999,123811884,0,135893443,0
6/7/1999,123367027,0,135672131,0
6/8/1999,122887291,0,135450820,0
6/9/1999,122453231,0,135229508,0
6/10/1999,122251461,0,135008197,0
6/11/1999,122291498,0,134786885,0
6/12/1999,122333622,0,134565574,0
6/13/1999,122404023,0,134344262,0
6/14/1999,122185196,0,134122951,0
6/15/1999,121942652,0,133901639,0
6/16/1999,121996667,0,133680328,0
6/17/1999,122115964,0,133459016,0
6/18/1999,121909923,0,133237705,0
6/19/1999,122000905,0,133016393,0
6/20/1999,121725687,0,132795082,0
6/21/1999,121224810,0,132573770,0
6/22/1999,120921472,0,132352459,0
6/23/1999,120951779,0,132131148,0
6/24/1999,120970450,0,131909836,0
6/25/1999,120992016,0,131688525,0
6/26/1999,121017759,0,131467213,0
6/27/1999,121035569,0,131245902,0
6/28/1999,120920299,0,131024590,0
6/29/1999,121395548,0,130803279,0
6/30/1999,121388212,0,130581967,0
7/1/1999,121512839,0,130360656,0
7/2/1999,122062197,0,130139344,0
7/3/1999,122720574,0,129918033,0
7/4/1999,125364851,0,129696721,0
7/5/1999,128141115,0,129475410,0
7/6/1999,129254098,0,129254098,0
7/7/1999,129032787,0,129032787,0
7/8/1999,128811475,0,128811475,0
7/9/1999,128590164,0,128590164,0
7/10/1999,128368852,0,128368852,0
7/11/1999,128147541,0,128147541,0
7/12/1999,127926230,0,127926230,0
7/13/1999,127704918,0,127704918,0
7/14/1999,127483607,0,127483607,0
7/15/1999,127262295,0,127262295,0
7/16/1999,127040984,0,127040984,0
7/17/1999,126819672,0,126819672,0
7/18/1999,126598361,0,126598361,0
7/19/1999,126377049,0,126377049,0
7/20/1999,126155738,0,126155738,0
7/21/1999,125934426,0,125934426,0
7/22/1999,125713115,0,125713115,0
7/23/1999,125491803,0,125491803,0
7/24/1999,124761361,0,125270492,0
7/25/1999,123812346,0,125049180,0
7/26/1999,123786758,0,124827869,0
7/27/1999,123794585,0,124606557,0
7/28/1999,123800935,0,124385246,0
7/29/1999,123381683,0,124163934,0
7/30/1999,123444249,0,123942623,0
7/31/1999,123469444,0,123721311,0
8/1/1999,123478840,0,123500000,0
8/2/1999,123009637,0,123278689,0
8/3/1999,122542903,0,123057377,0
8/4/1999,122556384,0,122836066,0
8/5/1999,122572963,0,122614754,0
8/6/1999,122393443,0,122393443,0
8/7/1999,122172131,0,122172131,0
8/8/1999,121950820,0,121950820,0
8/9/1999,121729508,0,121729508,0
8/10/1999,121508197,0,121508197,0
8/11/1999,121286885,0,121286885,0
8/12/1999,120746111,0,121065574,0
8/13/1999,120414496,0,120844262,0
8/14/1999,120563044,0,120622951,0
8/15/1999,120401639,0,120401639,0
8/16/1999,120180328,0,120180328,0
8/17/1999,119959016,0,119959016,0
8/18/1999,119737705,0,119737705,0
8/19/1999,119516393,0,119516393,0
8/20/1999,119076343,0,119295082,0
8/21/1999,119073770,0,119073770,0
8/22/1999,118852459,0,118852459,0
8/23/1999,118631148,0,118631148,0
8/24/1999,118409836,0,118409836,0
8/25/1999,117974196,0,118188525,0
8/26/1999,117967213,0,117967213,0
8/27/1999,117745902,0,117745902,0
8/28/1999,117235349,0,117524590,0
8/29/1999,116462624,0,117303279,0
8/30/1999,116665419,0,117081967,0
8/31/1999,116809614,0,116860656,0
9/1/1999,116639344,0,116639344,0
9/2/1999,116418033,0,116418033,0
9/3/1999,116196721,0,116196721,0
9/4/1999,115975410,0,115975410,0
9/5/1999,115754098,0,115754098,0
9/6/1999,115532787,0,115532787,0
9/7/1999,115311475,0,115311475,0
9/8/1999,115090164,0,115090164,0
9/9/1999,114868852,0,114868852,0
9/10/1999,114578752,0,114647541,0
9/11/1999,113962003,0,114426230,0
9/12/1999,113191502,0,114204918,0
9/13/1999,113476376,0,113983607,0
9/14/1999,113748347,0,113762295,0
9/15/1999,113540984,0,113540984,0
9/16/1999,113319672,0,113319672,0
9/17/1999,113098361,0,113098361,0
9/18/1999,112877049,0,112877049,0
9/19/1999,112655738,0,112655738,0
9/20/1999,112434426,0,112434426,0
9/21/1999,112213115,0,112213115,0
9/22/1999,111991803,0,111991803,0
9/23/1999,111770492,0,111770492,0
9/24/1999,110980280,0,111549180,0
