Streamflow Gauge Comparison
"Scenario: GridMet, Streamflow Gauge: DelawareBlwPepactonRes_01417000"
Cubic Meter
Statistic,Modeled,Observed
6/1/1999,912384,208051
6/2/1999,909455,229824
6/3/1999,907003,224986
6/4/1999,904685,222566
6/5/1999,902619,224986
6/6/1999,900988,222566
6/7/1999,898771,222566
6/8/1999,896484,222566
6/9/1999,894872,217728
6/10/1999,579236,217728
6/11/1999,693212,217728
6/12/1999,890777,217728
6/13/1999,888299,217728
6/14/1999,885872,220147
6/15/1999,883673,222566
6/16/1999,881689,222566
6/17/1999,881442,220147
6/18/1999,880589,217728
6/19/1999,879165,217728
6/20/1999,877481,217728
6/21/1999,875621,217728
6/22/1999,873726,217728
6/23/1999,871820,217728
6/24/1999,869835,217728
6/25/1999,867786,217728
6/26/1999,865755,217728
6/27/1999,863824,217728
6/28/1999,862085,217728
6/29/1999,861191,217728
6/30/1999,861957,217728
7/1/1999,863698,217728
7/2/1999,864854,217728
7/3/1999,865235,237082
7/4/1999,868370,292723
7/5/1999,877048,348365
7/6/1999,885728,348365
7/7/1999,890776,292723
7/8/1999,897085,237082
7/9/1999,900814,217728
7/10/1999,904246,217728
7/11/1999,908665,217728
7/12/1999,911408,217728
7/13/1999,912541,217728
7/14/1999,913104,217728
7/15/1999,911967,217728
7/16/1999,910485,234662
7/17/1999,909916,278208
7/18/1999,909400,302400
7/19/1999,907190,261274
7/20/1999,904566,215309
7/21/1999,901900,212890
7/22/1999,899190,212890
7/23/1999,896457,254016
7/24/1999,893709,304819
7/25/1999,891340,304819
7/26/1999,889060,266112
7/27/1999,886558,217728
7/28/1999,883996,217728
7/29/1999,882847,217728
7/30/1999,881045,237082
7/31/1999,879190,278208
8/1/1999,877482,273370
8/2/1999,875643,232243
8/3/1999,873756,210470
8/4/1999,873162,210470
8/5/1999,871724,210470
8/6/1999,869916,210470
8/7/1999,867722,210470
8/8/1999,865526,210470
8/9/1999,863431,210470
8/10/1999,861064,210470
8/11/1999,858634,210470
8/12/1999,856231,210470
8/13/1999,854453,210470
8/14/1999,853542,210470
8/15/1999,852013,210470
8/16/1999,851259,210470
8/17/1999,851566,210470
8/18/1999,850530,208051
8/19/1999,848897,205632
8/20/1999,847115,205632
8/21/1999,845891,205632
8/22/1999,846374,205632
8/23/1999,848140,208051
8/24/1999,849217,210470
8/25/1999,848950,210470
8/26/1999,847970,210470
8/27/1999,848418,210470
8/28/1999,850552,210470
8/29/1999,852588,210470
8/30/1999,853039,210470
8/31/1999,852589,210470
9/1/1999,827516,171763
9/2/1999,827718,152410
9/3/1999,827715,176602
9/4/1999,827529,198374
9/5/1999,827208,198374
9/6/1999,827164,200794
9/7/1999,827635,176602
9/8/1999,827541,157248
9/9/1999,827898,157248
9/10/1999,828136,157248
9/11/1999,828423,157248
