Streamflow Gauge Comparison
"Scenario: GridMet, Streamflow Gauge: WestBranchLackawaxen_01429000"
Cubic Meter
Statistic,Modeled,Observed
6/1/1999,217.031,118541
6/2/1999,217.271,106445
6/3/1999,217.512,96768
6/4/1999,217.752,91929.6
6/5/1999,217.993,84672
6/6/1999,218.233,82252.8
6/7/1999,218.474,77414.4
6/8/1999,218.715,77414.4
6/9/1999,218.955,72576
6/10/1999,219.196,67737.6
6/11/1999,219.436,65318.4
6/12/1999,219.677,62899.2
6/13/1999,219.917,58060.8
6/14/1999,220.158,55641.6
6/15/1999,220.399,55641.6
6/16/1999,220.639,53222.4
6/17/1999,220.88,50803.2
6/18/1999,221.12,53222.4
6/19/1999,221.361,55641.6
6/20/1999,221.601,53222.4
6/21/1999,221.842,50803.2
6/22/1999,222.082,48384
6/23/1999,222.323,45964.8
6/24/1999,222.564,41126.4
6/25/1999,222.804,41126.4
6/26/1999,223.045,38707.2
6/27/1999,223.285,36288
6/28/1999,223.526,33868.8
6/29/1999,223.766,36288
6/30/1999,224.007,38707.2
7/1/1999,224.248,36288
7/2/1999,224.488,36288
7/3/1999,224.729,33868.8
7/4/1999,224.969,33868.8
7/5/1999,225.21,31449.6
7/6/1999,225.45,29030.4
7/7/1999,225.691,29030.4
7/8/1999,225.931,26611.2
7/9/1999,226.172,24192
7/10/1999,226.413,24192
7/11/1999,226.653,24192
7/12/1999,226.894,23466.2
7/13/1999,227.134,22982.4
7/14/1999,227.375,21530.9
7/15/1999,227.615,20805.1
7/16/1999,227.856,20079.4
7/17/1999,228.097,19353.6
7/18/1999,228.337,19595.5
7/19/1999,228.578,21530.9
7/20/1999,228.818,22014.7
7/21/1999,229.059,20563.2
7/22/1999,229.299,20805.1
7/23/1999,229.54,20079.4
7/24/1999,229.78,19353.6
7/25/1999,230.021,19111.7
7/26/1999,230.262,18869.8
7/27/1999,230.502,18144
7/28/1999,230.743,17418.2
7/29/1999,230.983,17176.3
7/30/1999,231.224,16450.6
7/31/1999,231.464,16450.6
8/1/1999,231.705,16692.5
8/2/1999,231.946,15966.7
8/3/1999,232.186,15482.9
8/4/1999,232.427,14515.2
8/5/1999,232.667,13789.4
8/6/1999,232.908,12821.8
8/7/1999,233.148,12096
8/8/1999,233.389,12579.8
8/9/1999,233.629,13789.4
8/10/1999,233.87,12821.8
8/11/1999,234.111,12579.8
8/12/1999,234.351,12579.8
8/13/1999,234.592,12821.8
8/14/1999,234.832,15724.8
8/15/1999,235.073,16450.6
8/16/1999,235.313,16450.6
8/17/1999,23047.9,15724.8
8/18/1999,33990.2,15482.9
8/19/1999,31610.5,14515.2
8/20/1999,75434.7,14273.3
8/21/1999,80827.9,19353.6
8/22/1999,46449.1,20321.3
8/23/1999,38872.7,20321.3
8/24/1999,48458.4,19595.5
8/25/1999,105283,18627.8
8/26/1999,118405,20805.1
8/27/1999,68468.3,22256.6
8/28/1999,47550.2,22256.6
8/29/1999,41292.5,21772.8
8/30/1999,36449.2,20321.3
8/31/1999,33024,18869.8
9/1/1999,30118.4,17902.1
9/2/1999,27089.7,16934.4
9/3/1999,24542.1,16450.6
9/4/1999,22811.8,15724.8
9/5/1999,46959.3,15241
9/6/1999,98817.9,16450.6
9/7/1999,158487,18144
9/8/1999,99557.9,19353.6
9/9/1999,53107.6,20079.4
9/10/1999,47195.9,21289
9/11/1999,44111.5,21289
9/12/1999,42469.8,20563.2
9/13/1999,39083.5,19837.4
9/14/1999,51488.6,19353.6
9/15/1999,247313,19837.4
9/16/1999,4360210,41126.4
9/17/1999,3668511,229824
9/18/1999,946029,232243
9/19/1999,789874,154829
9/20/1999,1204385,113702
9/21/1999,1778306,99187.2
9/22/1999,1265438,142733
9/23/1999,695401,210470
9/24/1999,398430,171763
9/25/1999,248557,135475
9/26/1999,181829,108864
9/27/1999,147566,94348.8
9/28/1999,127663,84672
9/29/1999,360866,82252.8
9/30/1999,346758,84672
10/1/1999,176250,106445
10/2/1999,164444,108864
10/3/1999,514471,99187.2
10/4/1999,467368,116122
10/5/1999,290723,179021
10/6/1999,273180,169344
10/7/1999,234390,145152
10/8/1999,299760,128218
10/9/1999,426130,120960
10/10/1999,441973,142733
10/11/1999,319483,193536
10/12/1999,228683,186278
10/13/1999,403126,164506
10/14/1999,349431,183859
10/15/1999,243136,186278
10/16/1999,213839,164506
10/17/1999,186717,147571
10/18/1999,159054,133056
10/19/1999,234607,118541
10/20/1999,236146,118541
10/21/1999,167757,133056
10/22/1999,178854,140314
10/23/1999,160518,147571
10/24/1999,143475,142733
10/25/1999,130865,135475
10/26/1999,120953,137894
10/27/1999,111503,137894
10/28/1999,102500,133056
10/29/1999,95364.7,123379
10/30/1999,88732.5,113702
10/31/1999,82830.8,106445
11/1/1999,77868.3,96768
11/2/1999,340367,96768
11/3/1999,350909,154829
11/4/1999,159266,186278
11/5/1999,165437,171763
11/6/1999,168204,159667
11/7/1999,166031,145152
11/8/1999,161759,130637
11/9/1999,156318,120960
11/10/1999,143769,118541
11/11/1999,121231,111283
11/12/1999,104263,104026
11/13/1999,93581.3,99187.2
11/14/1999,85718.9,99187.2
11/15/1999,87773.3,96768
11/16/1999,76338.4,94348.8
11/17/1999,72046.3,91929.6
11/18/1999,68813.1,89510.4
11/19/1999,65982.4,87091.2
11/20/1999,71930.2,84672
11/21/1999,72539.7,82252.8
11/22/1999,61814.9,82252.8
11/23/1999,63753.7,79833.6
11/24/1999,90249,77414.4
11/25/1999,186929,84672
11/26/1999,989727,120960
11/27/1999,647189,725760
11/28/1999,188535,459648
11/29/1999,242882,338688
11/30/1999,221358,290304
12/1/1999,219811,266112
12/2/1999,210649,224986
12/3/1999,196358,203213
12/4/1999,171606,191117
12/5/1999,212845,183859
12/6/1999,205615,181440
12/7/1999,139219,186278
12/8/1999,121975,169344
12/9/1999,109907,154829
12/10/1999,149204,145152
12/11/1999,118912,142733
12/12/1999,94358.5,133056
12/13/1999,97761.5,128218
12/14/1999,210570,133056
12/15/1999,218975,244339
12/16/1999,124414,384653
12/17/1999,108989,387072
12/18/1999,105053,326592
12/19/1999,101222,278208
12/20/1999,97616.4,246758
12/21/1999,126249,266112
12/22/1999,92200.5,261274
12/23/1999,85167,227405
12/24/1999,79282.9,193536
12/25/1999,74493,164506
12/26/1999,70433.2,154829
12/27/1999,66831.6,149990
12/28/1999,63738.1,140314
12/29/1999,60907.2,137894
12/30/1999,58357.6,128218
12/31/1999,55939,125798
1/1/2000,54592,120960
1/2/2000,57998.9,116122
1/3/2000,77028.1,120960
1/4/2000,170593,140314
1/5/2000,201074,191117
1/6/2000,62119.8,176602
1/7/2000,62338.2,157248
1/8/2000,62318.6,142733
1/9/2000,63046.7,135475
1/10/2000,653361,157248
1/11/2000,517698,433037
1/12/2000,496512,433037
1/13/2000,529891,365299
1/14/2000,237171,290304
1/15/2000,233110,215309
1/16/2000,223132,198374
1/17/2000,209027,179021
1/18/2000,181047,164506
