Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Beltzville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Beltzville Reservoir","Increase in Storage for Beltzville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
3/30/2002,493252, ,396528,-15182.4,-874597
3/31/2002, ,-287874,905474,-21366.4,-596233
4/1/2002,162563, ,429002,29823.2,-621388
4/2/2002,261135, ,336598,-20731.2,-577001
4/3/2002,80099.2, ,487012,-10086.5,-557025
4/4/2002,176666, ,236732,4139.64,-417537
4/5/2002,178318, ,186779,-11649.5,-353447
4/6/2002,154910, ,157183,-8586.45,-303507
4/7/2002,63953.4, ,137697,-8085.48,-193565
4/8/2002,49143.3, ,119198,-7788.47,-160553
4/9/2002, ,-131343,279384,-10014.5,-138026
4/10/2002,1341.67, ,160280,17137.4,-178760
4/11/2002,61393.3, ,139203,-14308.8,-186288
4/12/2002,80300.5, ,125045,-12389.7,-192956
4/13/2002, ,-215951,369339,-11878.6,-141510
4/14/2002, ,-1801930,1996943,16187.6,-211196
4/15/2002, ,-322731,1009592,143581,-830442
4/16/2002,324748, ,819772,-19228.7,-1125290
4/17/2002,720042, ,586803,-31409.7,-1275440
4/18/2002,343044, ,497723,-35378.2,-805389
4/19/2002,199498, ,468162,-32894.2,-634766
4/20/2002,133351, ,395302,-11090,-517563
4/21/2002,134833, ,332889,-13993.2,-453729
4/22/2002,130603, ,276896,-8714.69,-398784
4/23/2002,155696, ,183372,-4038.83,-335029
4/24/2002,132446, ,143533,-11594,-264386
4/25/2002, ,-116924,329215,-11023.6,-201267
4/26/2002,10720.1, ,191328,16658.6,-218707
4/27/2002, ,-101894,334620,-11367.4,-221359
4/28/2002, ,-2249210,2526850,7415.01,-285054
4/29/2002, ,-355753,1216684,175186,-1036120
4/30/2002,110716, ,1264926,-16257.6,-1359380
5/1/2002,756231, ,910980,2275.41,-1669490
5/2/2002, ,-701048,1871714,-20434.1,-1150230
5/3/2002,114964, ,1135230,99013.1,-1349210
5/4/2002,598663, ,732405,-25093,-1305970
5/5/2002,781562, ,486899,-22011.1,-1246450
5/6/2002,517037, ,293009,-25201.2,-784845
5/7/2002,316568, ,203200,-15663,-504104
5/8/2002,179031, ,168094,-19421.8,-327703
5/9/2002, ,-206675,445334,-17225.2,-221434
5/10/2002,24950.9, ,230754,16504.5,-272209
5/11/2002,109255, ,187070,-14930.9,-281394
5/12/2002, ,-498692,803705,-17293.4,-287719
5/13/2002, ,-1473250,1809200,71223.7,-407176
5/14/2002, ,-178658,1025726,86257.1,-933325
5/15/2002,375826, ,854717,-17665.9,-1212880
5/16/2002,578539, ,675317,-23975,-1229880
5/17/2002, ,-191659,1070033,-26453.9,-851920
5/18/2002, ,-1747600,2584070,30214.7,-866689
5/19/2002, ,-193328,1524343,112125,-1443140
5/20/2002,873289, ,873920,-21060.7,-1726150
5/21/2002,1167523, ,517690,-24435.1,-1660780
5/22/2002,639377, ,351531,-18923.8,-971984
5/23/2002,340522, ,263161,-22636.3,-581047
5/24/2002,182559, ,210408,-15506.9,-377461
5/25/2002,124779, ,168802,-18547.5,-275033
5/26/2002,76248, ,157592,-19715.9,-214124
5/27/2002,66753.7, ,125630,-13449.3,-178934
5/28/2002, ,-696119,867835,-21041.1,-150675
5/29/2002, ,-137256,418218,102723,-383686
5/30/2002,173878, ,323029,-26346,-470561
5/31/2002,73474.9, ,498869,-35983.2,-536361
6/1/2002,73740.5, ,340543,-911.498,-413372
6/2/2002,124541, ,285809,-22869.5,-387480
6/3/2002,160850, ,236614,-22390.7,-375074
6/4/2002,109201, ,199016,-20562.7,-287655
6/5/2002, ,-65857,325715,-19378.2,-240480
6/6/2002, ,-2490560,2739430,4910.34,-253782
6/7/2002, ,-335808,1238030,185832,-1088050
6/8/2002,619329, ,838153,-23090.6,-1434390
6/9/2002,1039669, ,597781,-32245.2,-1605200
6/10/2002,497133, ,428022,-33833.3,-891321
6/11/2002,346597, ,312378,-37656.3,-621319
6/12/2002, ,-120921,591096,-24114.9,-446060
6/13/2002,25898.5, ,402968,14965.5,-443832
6/14/2002, ,-542976,1001874,-23417.8,-435481
6/15/2002, ,-193427,781004,77736,-665313
6/16/2002,77110.7, ,654492,-2987.39,-728615
6/17/2002,359315, ,461462,-8320.36,-812457
6/18/2002,228722, ,432414,-28816.7,-632319
6/19/2002, ,-99527.5,634148,-18497.8,-516123
6/20/2002,100455, ,397448,11438.1,-509341
6/21/2002,228258, ,294738,-34992.6,-488003
6/22/2002,260826, ,203657,-22371.7,-442111
6/23/2002,167285, ,154615,-23285.9,-298614
6/24/2002,114332, ,128082,-24743.4,-217670
6/25/2002,80283.4, ,106665,-24830.5,-162118
6/26/2002, ,-398658,554526,-26081,-129788
6/27/2002, ,-602449,810767,54773.3,-263091
6/28/2002,124152, ,338731,27769.6,-490653
6/29/2002,324138, ,286328,-42457.3,-568008
6/30/2002,264319, ,237575,-23285.7,-478609
7/1/2002,117145, ,194696,-24296.3,-287545
7/2/2002,103135, ,160701,-24303.2,-239533
7/3/2002,90760.1, ,132960,-26062.9,-197658
7/4/2002,86180.8, ,104802,-28197.2,-162786
7/5/2002,74378.9, ,86738.2,-28295.7,-132821
7/6/2002,56454.7, ,78028.9,-26316.6,-108167
7/7/2002,39223.5, ,73004.4,-22371.4,-89856.5
7/8/2002,38602.2, ,69625.1,-21827.3,-86400
7/9/2002,39542.8, ,69562.4,-22705.2,-86400
7/10/2002,45320.8, ,65098.1,-24018.9,-86400
7/11/2002,49275.6, ,63194.8,-26070.4,-86400
7/12/2002,45345.6, ,61471.8,-20417.4,-86400
7/13/2002,46186.8, ,59860.7,-19647.5,-86400
7/14/2002,48855.3, ,58422.3,-20877.6,-86400
7/15/2002,52598.3, ,56884.8,-23083.1,-86400
7/16/2002,52627.8, ,55496.1,-21723.9,-86400
7/17/2002,57312.7, ,54163.7,-25076.4,-86400
7/18/2002,53193.2, ,56161.4,-22954.6,-86400
7/19/2002,45855.9, ,61708.5,-21164.4,-86400
7/20/2002,52519.7, ,50578,-16697.7,-86400
7/21/2002,62590.2, ,49424.3,-25614.5,-86400
7/22/2002,62533.7, ,48612.2,-24745.9,-86400
7/23/2002, ,-311506,422872,-24965.7,-86400
7/24/2002,46547.6, ,70945.6,56143,-173636
7/25/2002,123545, ,83526.8,-26261.9,-180810
7/26/2002,128072, ,87920.4,-23544,-192448
7/27/2002,24690, ,84139.9,-22429.9,-86400
7/28/2002,7805.3, ,100044,-21449.5,-86400
7/29/2002,28290.9, ,82655.7,-20245.1,-90701.5
7/30/2002,41907.5, ,71217.6,-24178.5,-88946.6
7/31/2002,56563.6, ,56220.9,-26384.5,-86400
8/1/2002,59538.9, ,51638.8,-24777.7,-86400
8/2/2002,44377.8, ,64960.3,-22938.1,-86400
8/3/2002,54774.3, ,46357,-14731.3,-86400
8/4/2002,70564.9, ,41997.8,-26162.7,-86400
8/5/2002, ,-53764.5,165671,-25506.5,-86400
8/6/2002,27974.7, ,53733.4,4691.88,-86400
8/7/2002,59567.9, ,51106.9,-23540.7,-87134
8/8/2002,60607.1, ,48758.5,-19195.2,-90170.4
8/9/2002,59574.6, ,46204.3,-19378.9,-86400
8/10/2002,63182.1, ,43104.2,-19886.3,-86400
8/11/2002,66812.8, ,40443.1,-20855.9,-86400
8/12/2002,70784.9, ,38228.4,-22613.3,-86400
8/13/2002,73772, ,35429.6,-22801.6,-86400
8/14/2002,77584.5, ,33631.5,-24816,-86400
8/15/2002,57874.6, ,53897.1,-25371.7,-86400
8/16/2002,70452.8, ,33377.6,-17430.4,-86400
8/17/2002,76182.1, ,35753,-25535.1,-86400
8/18/2002,77285.5, ,31280.7,-22166.2,-86400
8/19/2002,81117.7, ,30268.1,-24985.8,-86400
8/20/2002,22023.7, ,88373.3,-23997,-86400
8/21/2002,45308.5, ,33354.8,7736.73,-86400
8/22/2002, ,-12741.7,119624,-20482.2,-86400
8/23/2002,20535.3, ,67691.6,-1826.89,-86400
8/24/2002, ,-445265,550161,-18496.3,-86400
8/25/2002,51370.3, ,160836,33619.1,-245826
8/26/2002,103800, ,174636,-18873.1,-259563
8/27/2002,146154, ,168854,-19797.4,-295211
8/28/2002,9805.8, ,177823,-19520,-168109
8/29/2002, ,-890903,1080461,-15786.5,-173771
8/30/2002, ,-151135,564422,62425.8,-475713
8/31/2002,182833, ,440908,-16172.7,-607569
9/1/2002, ,-380944,1093557,-17349.5,-695264
9/2/2002,79612.7, ,587967,32049.3,-699629
9/3/2002,315414, ,409248,-17185,-707477
9/4/2002,426038, ,288739,-17852.7,-696924
9/5/2002,241220, ,207120,-19688,-428651
9/6/2002,187794, ,133082,-19173.6,-301702
9/7/2002,130580, ,95560,-16493.1,-209647
9/8/2002,87924, ,74204.7,-16874.9,-145254
9/9/2002,62488.9, ,56019.4,-17559.6,-100949
9/10/2002,57632.6, ,46540.8,-17773.3,-86400
9/11/2002,64799.9, ,41304.8,-19704.7,-86400
9/12/2002,68054.6, ,38329.5,-19984.1,-86400
9/13/2002,64552.8, ,36419.8,-14572.6,-86400
9/14/2002,65757.6, ,34981.4,-14339,-86400
9/15/2002, ,-2169860,2273670,-17414,-86400
9/16/2002, ,-219400,850795,150295,-781690
9/17/2002,350883, ,703029,-762.873,-1053150
9/18/2002,553172, ,738683,-16024,-1275830
9/19/2002,135852, ,643859,-15542.3,-764169
9/20/2002,202960, ,507560,-15329.2,-695190
9/21/2002,153421, ,493012,-16398.8,-630034
9/22/2002, ,-85898.9,645639,-11596.4,-548144
9/23/2002,177671, ,370856,210.146,-548737
9/24/2002,307014, ,210784,-14629.4,-503169
9/25/2002,283865, ,138196,-12968.8,-409093
9/26/2002, ,-671428,925133,-13759.6,-239945
9/27/2002, ,-3543790,3910730,57763,-424704
9/28/2002, ,-150372,1609353,199039,-1658020
9/29/2002,954952, ,1216829,-23375.8,-2148410
9/30/2002,1430330, ,836142,-20834.2,-2245640
10/1/2002,650171, ,583369,-12765.1,-1220770
10/2/2002,474993, ,417203,-13415.7,-878780
10/3/2002,257170, ,369799,-14730.9,-612238
10/4/2002, ,-2095.72,468380,-9493.95,-456790
10/5/2002,106157, ,305851,6453.01,-418461
10/6/2002,196746, ,194394,-9796.51,-381343
10/7/2002,188688, ,146763,-12576.2,-322875
10/8/2002,106767, ,121174,-12270.8,-215669
10/9/2002,50006.1, ,115056,-10951.4,-154110
10/10/2002, ,-1120500,1256003,-7835.97,-127664
10/11/2002, ,-7483860,7890780,90488.8,-497411
10/12/2002, ,-75186.6,2824260,359167,-3108240
10/13/2002,1464191, ,2172160,-7550.6,-3628800
10/14/2002,2245849, ,1388566,-5615.28,-3628800
10/15/2002,1217400, ,926227,-15298.5,-2128330
10/16/2002, ,-2959510,4468720,-13554.4,-1495650
10/17/2002, ,-646165,2683370,223966,-2261170
10/18/2002,1491147, ,1212125,-10500,-2692770
10/19/2002,2117476, ,684461,-13865.2,-2788070
10/20/2002,1087914, ,439907,-1168.44,-1526650
10/21/2002,458533, ,328204,-7905.78,-778831
10/22/2002,221564, ,270768,-8141.08,-484191
10/23/2002,117459, ,236060,-7226.26,-346293
10/24/2002,79261, ,206702,-7619.15,-278344
10/25/2002, ,-325550,566788,-3394.82,-237843
10/26/2002, ,-527768,822403,41881.9,-336517
10/27/2002, ,-1788.03,500874,32878.4,-531964
10/28/2002,152284, ,485700,-7962.45,-630022
10/29/2002, ,-70818.8,681759,-7947.92,-602992
10/30/2002, ,-192292,737426,10976.9,-556111
10/31/2002, ,-62057.3,690015,7003.92,-634962
11/1/2002,88842.3, ,616653,-2428.59,-703067
11/2/2002,209173, ,474544,-2352.59,-681365
11/3/2002,242842, ,356308,-5413.14,-593737
11/4/2002,204253, ,283808,-5558.68,-482502
11/5/2002, ,-188761,565804,-5490.21,-371553
11/6/2002, ,-185414,560439,26947.8,-401973
11/7/2002,47607.4, ,411423,10986.5,-470017
11/8/2002,171398, ,347637,-6479.27,-512555
11/9/2002,144312, ,300828,-5307.01,-439833
11/10/2002,58545.1, ,301700,-6949.05,-353296
11/11/2002, ,-103747,423511,-3042.33,-316722
11/12/2002, ,-1415370,1750271,7116.01,-342013
11/13/2002, ,-12370.9,738746,98785.6,-825161
11/14/2002,384201, ,598129,-11487.5,-970843
11/15/2002,543903, ,490628,-5482.64,-1029050
11/16/2002, ,-2056030,2671970,-6771.01,-609168
11/17/2002, ,-1990640,3080150,164064,-1253580
11/18/2002,76396.2, ,1915165,89354.8,-2080920
11/19/2002,1175462, ,1381950,-1649.96,-2555760
11/20/2002,1231774, ,890527,3453.56,-2125760
11/21/2002,516326, ,883332,-3777.67,-1395880
11/22/2002, ,-71512.9,1102778,20671.2,-1051940
11/23/2002,63672, ,864327,30880,-958879
11/24/2002,389019, ,562198,-1071.29,-950146
11/25/2002,455705, ,391668,-4272.41,-843101
11/26/2002,178066, ,432369,-4370.26,-606064
11/27/2002,42641.4, ,408115,11321.9,-462078
11/28/2002,62032.8, ,343836,4848.51,-410717
11/29/2002,97383.2, ,300328,-2937.76,-394773
11/30/2002,93381.9, ,260387,-3009.5,-350760
12/1/2002,70743.1, ,234105,-3331.01,-301517
12/2/2002,42631.3, ,226021,-3711.87,-264940
12/3/2002,45416.6, ,197941,-3186.7,-240171
12/4/2002,40940.9, ,181077,-2662.23,-219356
12/5/2002,38163.1, ,165631,-2114.32,-201679
12/6/2002,30661.8, ,153298,-2410.06,-181550
12/7/2002,26081.7, ,143282,-2695.72,-166668
12/8/2002,21579.4, ,134868,-2376.69,-154070
12/9/2002,18990.5, ,127598,-2772.17,-143816
12/10/2002,16685.5, ,121148,-2584.67,-135249
12/11/2002, ,-4409.58,134418,-2137.12,-127871
12/12/2002,16080.4, ,114326,-2685.62,-127721
12/13/2002, ,-244266,370685,-3121.67,-123298
12/14/2002, ,-161215,350248,17443.8,-206476
12/15/2002,120482, ,150190,7747.49,-278420
12/16/2002,60468.3, ,234227,-4320.51,-290374
12/17/2002,88885.8, ,157874,-1871.94,-244888
12/18/2002,25775.9, ,157947,-2958.72,-180764
12/19/2002,26349.6, ,159441,-2440.99,-183349
12/20/2002, ,-1906630,2067834,-2783.34,-158421
12/21/2002,145343, ,513965,135766,-795074
12/22/2002,435995, ,485248,-7496.01,-913747
12/23/2002,586583, ,442187,-6420.93,-1022350
12/24/2002,23636.4, ,461382,-4551.73,-480467
12/25/2002, ,-643603,1106686,-143.579,-462939
12/26/2002,64246.8, ,545938,59900.2,-670085
12/27/2002,242382, ,467007,-4720.59,-704669
12/28/2002,362827, ,347084,-3366.92,-706544
12/29/2002,182790, ,273411,-2857.68,-453343
12/30/2002,137504, ,228587,-3590.8,-362501
12/31/2002,80188.9, ,205913,-3074.55,-283027
1/1/2003, ,-1880820,2119456,-2666.92,-235970
1/2/2003,67042.7, ,630910,153366,-851319
1/3/2003,439240, ,545733,453.735,-985426
1/4/2003,625608, ,474497,-1404.89,-1098700
1/5/2003,97184.3, ,455394,-2198.31,-550380
1/6/2003,103464, ,388333,77.6325,-491875
1/7/2003,103506, ,338348,-2446.16,-439408
1/8/2003,97162.1, ,299800,-2937.06,-394025
1/9/2003,112681, ,232332,-2853.03,-342160
1/10/2003,96452.8, ,197456,-3748.83,-290160
1/11/2003,86584.9, ,159750,-3138.18,-243196
1/12/2003,60147.4, ,139400,-3034.57,-196513
1/13/2003,43752.6, ,124512,-2729,-165535
1/14/2003,30347.7, ,113532,-2659.11,-141220
1/15/2003,23041.4, ,105274,-2500.53,-125814
1/16/2003,17745, ,98867.1,-2173.19,-114439
1/17/2003,14442.1, ,93644.9,-2196.2,-105891
1/18/2003,12267.1, ,89174.2,-2179.48,-99261.8
1/19/2003,10452.1, ,85312.3,-1868.99,-93895.4
1/20/2003,9400.04, ,81833.1,-1856.01,-89377.1
1/21/2003,10034.6, ,78687.5,-2322.12,-86400
1/22/2003,12477, ,75847,-1923.93,-86400
1/23/2003,15127.9, ,73237.4,-1965.27,-86400
1/24/2003,17337.4, ,70822.4,-1759.77,-86400
1/25/2003,19672.1, ,68529,-1801.04,-86400
1/26/2003,22498, ,66311.5,-2409.59,-86400
1/27/2003,24952.4, ,64224.6,-2776.97,-86400
1/28/2003,26378.9, ,62319.6,-2298.45,-86400
1/29/2003,27443.5, ,60516.4,-1559.97,-86400
1/30/2003,29816.7, ,58756.6,-2173.25,-86400
1/31/2003,4112.85, ,84911.9,-2624.75,-86400
2/1/2003, ,-120678,209970,-2891.37,-86400
2/2/2003, ,-349150,461486,5543.72,-117879
2/3/2003, ,-673790,907704,18208.8,-252122
2/4/2003, ,-2435720,2929220,32891.4,-526386
2/5/2003, ,-561530,1846216,148117,-1432800
2/6/2003,786798, ,1037553,70029.2,-1894380
2/7/2003,943972, ,999235,-5543.47,-1937660
2/8/2003,449710, ,849279,-4653.97,-1294330
2/9/2003,296238, ,670082,-4297.83,-962022
2/10/2003,339875, ,503896,-4239.3,-839532
2/11/2003,310193, ,367218,-2991.54,-674419
2/12/2003,266624, ,249946,-2838.2,-513732
2/13/2003,199034, ,177223,-2571.09,-373687
2/14/2003,130229, ,137219,-2652.11,-264796
2/15/2003,76625.1, ,113992,-2487.28,-188129
2/16/2003,45829.5, ,99824.9,-2843.02,-142811
2/17/2003,28752, ,90702,-2442.07,-117012
2/18/2003,19363.4, ,84330.2,-2187.47,-101506
2/19/2003,14977.5, ,79467.5,-2825.97,-91619
2/20/2003, ,-126382,216174,-3392.14,-86400
2/21/2003, ,-535399,637888,24168.5,-126657
2/22/2003, ,-3003760,3272860,42079.2,-311177
2/23/2003, ,-2199240,3380690,194189,-1375640
2/24/2003, ,-1226890,3531520,125849,-2430480
2/25/2003,1614538, ,1676095,104390,-3395020
2/26/2003,1673301, ,1197189,-7721.6,-2862770
2/27/2003,1293540, ,846449,-5054.09,-2134930
2/28/2003,643892, ,600914,-4895.1,-1239910
3/1/2003, ,-361377,1249089,-6194.87,-881517
3/2/2003, ,-1836430,2676030,59220.9,-898817
3/3/2003,487414, ,907747,113517,-1508680
3/4/2003,1059219, ,559239,-7502.61,-1610960
3/5/2003,577854, ,807477,-4325.17,-1381010
3/6/2003, ,-1148970,1913671,-6550.95,-758154
3/7/2003,165356, ,799575,128531,-1093460
3/8/2003,88449.7, ,1090541,-5416.41,-1173570
3/9/2003, ,-492924,1767550,-6697.21,-1267930
3/10/2003,387895, ,761089,70237.6,-1219220
3/11/2003,637658, ,576537,-7801.37,-1206390
3/12/2003,117666, ,922572,-5179.58,-1035060
3/13/2003, ,-2007380,2768170,-7387.32,-753399
3/14/2003,182603, ,1123193,116630,-1422430
3/15/2003, ,-501826,2106343,127.899,-1604640
3/16/2003, ,-585248,2553840,30643.6,-1999240
3/17/2003, ,-419508,2323970,23330.5,-1927790
3/18/2003,389198, ,1954808,-15954.6,-2328050
3/19/2003,1011709, ,1285443,-19612.5,-2277540
3/20/2003, ,-3537740,5409300,-16818.4,-1854740
3/21/2003,246914, ,2409090,227180,-2883180
3/22/2003,1828287, ,1202688,3636.41,-3034610
3/23/2003,2262022, ,765928,-20923.5,-3007030
3/24/2003,944162, ,533642,-18569,-1459240
3/25/2003,444476, ,406998,-17388.3,-834086
3/26/2003, ,-707.1,588043,-18479.9,-568856
3/27/2003,43611.7, ,440969,24980.3,-509561
3/28/2003,143756, ,353769,-18855.4,-478670
3/29/2003, ,-751570,1224677,-12179.8,-460927
3/30/2003, ,-559969,1127884,105223,-673138
3/31/2003,44943.4, ,835827,21339.6,-902110
4/1/2003,288336, ,783200,-8739.91,-1062800
4/2/2003,16496.1, ,904389,-5248.1,-915637
4/3/2003,135441, ,690790,14907.2,-841139
4/4/2003,195251, ,613324,-15781.8,-792793
4/5/2003, ,-6631.63,753599,-10799.7,-736168
4/6/2003,130854, ,536340,18710.2,-685904
4/7/2003, ,-63956.6,707493,-9115.42,-634421
4/8/2003,14649.7, ,607270,43891,-665811
4/9/2003,97788.9, ,526948,-7702.55,-617034
4/10/2003,161807, ,455567,-3469.95,-613904
4/11/2003, ,-376653,908643,-2061.63,-529928
4/12/2003, ,-16668,604365,42689,-630386
4/13/2003,198891, ,476833,-19532.8,-656192
4/14/2003,299216, ,386257,-22192.3,-663280
4/15/2003,204694, ,304559,-20101.9,-489152
4/16/2003,167257, ,245507,-23547.5,-389216
4/17/2003,106719, ,235134,-29745.6,-312108
4/18/2003, ,-6242.33,287928,-19952.3,-261734
4/19/2003,49538, ,201947,4705.2,-256190
4/20/2003,90308.2, ,170474,-19111.9,-241670
4/21/2003,52749.8, ,190726,-23359.4,-220116
4/22/2003,6670.87, ,194674,-13629.6,-187715
4/23/2003,43080.7, ,153100,-10889.3,-185291
4/24/2003,59839.6, ,142427,-22766.3,-179500
4/25/2003,36307.2, ,145143,-18049.9,-163400
4/26/2003, ,-401622,558354,-9841.89,-146890
4/27/2003, ,-41854.5,264802,59027.2,-281975
4/28/2003,96240.5, ,251694,-25168,-322766
4/29/2003,60775.8, ,322133,-24625.6,-358283
4/30/2003,51896, ,240060,-12412.9,-279543
5/1/2003,75060.7, ,223513,-27278.1,-271295
5/2/2003,94031.1, ,192628,-24757.7,-261902
5/3/2003,85822.8, ,165125,-32214.5,-218734
5/4/2003,79620.8, ,133067,-18932.6,-193756
5/5/2003,43147.8, ,135878,-15419.2,-163607
5/6/2003,46984.7, ,108505,-10799.4,-144690
5/7/2003, ,-63592,203518,-14108.8,-125817
5/8/2003, ,-14962.7,159188,5075.71,-149300
5/9/2003,31334.7, ,138367,-12631.8,-157070
5/10/2003,68160.3, ,113043,-14178.8,-167024
5/11/2003, ,-52486.9,205878,-16525.6,-136866
5/12/2003,23031.1, ,132439,-3040.9,-152429
5/13/2003,40653.8, ,127624,-17824.5,-150453
5/14/2003,56522.1, ,114144,-15352.6,-155314
5/15/2003,35493.9, ,104435,-15193.4,-124736
5/16/2003, ,-12446.8,140406,-12558.1,-115401
5/17/2003,27441.6, ,99079.5,-6859.08,-119662
5/18/2003,40749.3, ,89822.4,-15931.3,-114640
5/19/2003,45134.9, ,80006.2,-15371.7,-109769
5/20/2003, ,-5773.77,111279,-15869.4,-89636
5/21/2003, ,-53689.1,154242,-6850.83,-93702.6
5/22/2003,25736.1, ,92165.8,-2725.9,-115176
5/23/2003, ,-15525,151260,-16505.7,-119229
5/24/2003, ,-88948.2,224007,-2502.35,-132556
5/25/2003, ,-67320.5,221713,1418.07,-155811
5/26/2003, ,-692863,897945,-6088.65,-198993
5/27/2003, ,-103864,474647,77104.8,-447888
5/28/2003,7332.57, ,551862,-27759.5,-531435
5/29/2003,252773, ,408619,-19907.8,-641485
5/30/2003,173189, ,335106,-29919.3,-478376
5/31/2003, ,-1473460,1935990,-30664.1,-431862
6/1/2003, ,-2717920,3481200,129954,-893238
6/2/2003,33882, ,1767486,116064,-1917430
6/3/2003,59278.8, ,2360710,-25096.8,-2394890
6/4/2003,869603, ,1602131,64731.3,-2536470
6/5/2003,885838, ,1024594,-323.001,-1910110
6/6/2003,1050058, ,627074,-14653.8,-1662480
6/7/2003, ,-1522340,2639270,-32328.9,-1084600
6/8/2003, ,-221654,1503624,148343,-1430310
6/9/2003,811567, ,803375,-24952.5,-1589990
6/10/2003,1195693, ,481367,-28304.1,-1648760
6/11/2003,360974, ,603111,-34629.2,-929455
6/12/2003, ,-1451850,2071032,10100.1,-629284
6/13/2003, ,-316367,1228346,139858,-1051840
6/14/2003,231952, ,1095603,-26725.6,-1300830
6/15/2003,887560, ,588682,-11247.9,-1464990
6/16/2003,618013, ,390859,-37994.9,-970877
6/17/2003,286821, ,440688,-35794.1,-691715
6/18/2003, ,-280164,761312,-7738.5,-473410
6/19/2003,1734.1, ,505428,23790.9,-530953
6/20/2003, ,-8378680,8977810,-29985.8,-569143
6/21/2003, ,-1509720,4539830,395906,-3426010
6/22/2003, ,0,3592350,47103.2,-3639450
6/23/2003,1822676, ,1757175,48948.8,-3628800
6/24/2003,2354615, ,975565,-33728,-3296450
6/25/2003,1559107, ,588714,-39457.9,-2108360
6/26/2003,760230, ,387959,-41037.9,-1107150
6/27/2003,403179, ,289896,-42329,-650746
6/28/2003,254677, ,211722,-44209.4,-422190
6/29/2003,156434, ,180467,-40375.2,-296526
6/30/2003,103999, ,163316,-39954.1,-227362
7/1/2003,71291.7, ,153284,-39407.8,-185168
7/2/2003,57885.7, ,145742,-37938.3,-165689
7/3/2003,53473.7, ,139338,-38697.7,-154114
7/4/2003,49031.3, ,137221,-40130.8,-146122
7/5/2003,33909.4, ,140747,-33889.5,-140767
7/6/2003,34181.7, ,135324,-30403.1,-139102
7/7/2003, ,-119530,291314,-34020.3,-137764
7/8/2003,11904.2, ,151165,26059.6,-189128
7/9/2003,98741.7, ,132266,-38406.5,-192601
7/10/2003,24339.3, ,210955,-43712.3,-191582
7/11/2003, ,-86630.5,266933,-15507.2,-164795
7/12/2003,18975.7, ,183001,1407.96,-203384
7/13/2003,90296.2, ,164676,-34676,-220296
7/14/2003,92892.1, ,149296,-37318.1,-204870
7/15/2003,75439.4, ,127213,-36994.6,-165657
7/16/2003,73138.7, ,111656,-37732.9,-147061
7/17/2003,68992.4, ,101260,-40864.5,-129388
7/18/2003, ,-210370,362529,-38783.4,-113376
7/19/2003,6528.68, ,152051,33235.3,-191815
7/20/2003,109386, ,132086,-36192.4,-205280
7/21/2003, ,-3955390,4207140,-36192.5,-215555
7/22/2003, ,-1822950,3041880,278161,-1497090
7/23/2003, ,-373455,2806570,42976.7,-2476090
7/24/2003,1700233, ,1632908,18722.2,-3351860
7/25/2003,1542166, ,984875,-33255.1,-2493790
7/26/2003,1278926, ,565038,-35846.3,-1808120
7/27/2003,215635, ,883920,-38614.5,-1060940
7/28/2003,164428, ,623854,22996,-811278
7/29/2003,415311, ,314772,-39145.8,-690937
7/30/2003,447740, ,196016,-36240.5,-607515
7/31/2003,264781, ,149166,-35732.5,-378214
8/1/2003, ,-98941.5,353742,-34815.9,-219985
8/2/2003, ,-5042.7,206152,31865.8,-232975
8/3/2003, ,-382919,652286,-33014.3,-236353
8/4/2003, ,-2614410,3001390,17076.1,-404060
8/5/2003, ,-3465110,4592220,173514,-1300620
8/6/2003, ,-1572100,4195500,138771,-2762170
8/7/2003,1490049, ,2076630,62120.8,-3628800
8/8/2003,2494047, ,1160447,-33044.2,-3621450
8/9/2003,371107, ,2143324,-36905.8,-2477530
8/10/2003,128878, ,1562404,102185,-1793470
8/11/2003, ,-1150280,2802550,-22431.2,-1629840
8/12/2003,691904, ,1379736,97786.2,-2169430
8/13/2003,1318497, ,632113,-35713.4,-1914900
8/14/2003,1271591, ,371720,-38511.7,-1604800
8/15/2003,559774, ,273540,-38790.6,-794523
8/16/2003, ,-89778.3,553486,-37916.8,-425791
8/17/2003, ,-3659.73,361494,41747.9,-399582
8/18/2003,151717, ,277794,-33337.5,-396173
8/19/2003,217567, ,213974,-33949.8,-397591
8/20/2003,134414, ,183082,-33075.2,-284420
8/21/2003,95743.7, ,163837,-34630.9,-224950
8/22/2003,70332, ,152372,-35740.2,-186964
8/23/2003,63033.9, ,140613,-37216.6,-166430
8/24/2003,56540.6, ,130590,-34856.8,-152274
8/25/2003,47666.3, ,123228,-29702.8,-141192
8/26/2003,46176.4, ,117342,-32040.7,-131477
8/27/2003,43088.9, ,114439,-33807.8,-123720
8/28/2003,45044.5, ,108171,-34879.1,-118336
8/29/2003,14482, ,131476,-32640.9,-113317
8/30/2003, ,-52012.4,185527,-15485.5,-118029
8/31/2003,29970.4, ,107259,4495.58,-141725
9/1/2003, ,-341482,510209,-27306.6,-141420
9/2/2003, ,-707961,915049,60576.9,-267665
9/3/2003, ,-594164,1053132,51870.9,-510839
9/4/2003, ,-113786,914168,25748.4,-826130
9/5/2003,227412, ,746104,-12733,-960783
