Reservoir Storage Volume and Zones
"Scenario: GridMet, Reservoir: Blue Marsh Lake"
Cubic Meter
Variable,"Storage Volume","Top of Buffer","Top of Conservation","Top of Inactive"
6/1/1999,47899265,3699000,53019000,3699000
6/2/1999,49844100,3699000,53019000,3699000
6/3/1999,51335137,3699000,53019000,3699000
6/4/1999,51827514,3699000,53019000,3699000
6/5/1999,52253938,3699000,53019000,3699000
6/6/1999,52647473,3699000,53019000,3699000
6/7/1999,53019000,3699000,53019000,3699000
6/8/1999,53019000,3699000,53019000,3699000
6/9/1999,53019000,3699000,53019000,3699000
6/10/1999,53019000,3699000,53019000,3699000
6/11/1999,53019000,3699000,53019000,3699000
6/12/1999,53019000,3699000,53019000,3699000
6/13/1999,53019000,3699000,53019000,3699000
6/14/1999,53019000,3699000,53019000,3699000
6/15/1999,53019000,3699000,53019000,3699000
6/16/1999,53019000,3699000,53019000,3699000
6/17/1999,53019000,3699000,53019000,3699000
6/18/1999,53019000,3699000,53019000,3699000
6/19/1999,53019000,3699000,53019000,3699000
6/20/1999,53019000,3699000,53019000,3699000
6/21/1999,53019000,3699000,53019000,3699000
6/22/1999,53019000,3699000,53019000,3699000
6/23/1999,53019000,3699000,53019000,3699000
6/24/1999,53019000,3699000,53019000,3699000
6/25/1999,53019000,3699000,53019000,3699000
6/26/1999,53019000,3699000,53019000,3699000
6/27/1999,53019000,3699000,53019000,3699000
6/28/1999,53019000,3699000,53019000,3699000
6/29/1999,53019000,3699000,53019000,3699000
6/30/1999,53019000,3699000,53019000,3699000
7/1/1999,53019000,3699000,53019000,3699000
7/2/1999,53019000,3699000,53019000,3699000
7/3/1999,53019000,3699000,53019000,3699000
7/4/1999,53019000,3699000,53019000,3699000
7/5/1999,53019000,3699000,53019000,3699000
7/6/1999,53019000,3699000,53019000,3699000
7/7/1999,53019000,3699000,53019000,3699000
7/8/1999,53019000,3699000,53019000,3699000
7/9/1999,53019000,3699000,53019000,3699000
7/10/1999,53019000,3699000,53019000,3699000
7/11/1999,53019000,3699000,53019000,3699000
7/12/1999,53019000,3699000,53019000,3699000
7/13/1999,53019000,3699000,53019000,3699000
7/14/1999,53019000,3699000,53019000,3699000
7/15/1999,53019000,3699000,53019000,3699000
7/16/1999,53019000,3699000,53019000,3699000
7/17/1999,53019000,3699000,53019000,3699000
7/18/1999,53019000,3699000,53019000,3699000
7/19/1999,53019000,3699000,53019000,3699000
7/20/1999,53019000,3699000,53019000,3699000
7/21/1999,53019000,3699000,53019000,3699000
7/22/1999,53019000,3699000,53019000,3699000
7/23/1999,53019000,3699000,53019000,3699000
7/24/1999,53019000,3699000,53019000,3699000
7/25/1999,53019000,3699000,53019000,3699000
7/26/1999,53019000,3699000,53019000,3699000
7/27/1999,53019000,3699000,53019000,3699000
7/28/1999,53019000,3699000,53019000,3699000
7/29/1999,53019000,3699000,53019000,3699000
7/30/1999,53019000,3699000,53019000,3699000
7/31/1999,53019000,3699000,53019000,3699000
8/1/1999,53019000,3699000,53019000,3699000
8/2/1999,53019000,3699000,53019000,3699000
8/3/1999,53019000,3699000,53019000,3699000
8/4/1999,53019000,3699000,53019000,3699000
8/5/1999,53019000,3699000,53019000,3699000
8/6/1999,53019000,3699000,53019000,3699000
8/7/1999,53019000,3699000,53019000,3699000
8/8/1999,53019000,3699000,53019000,3699000
8/9/1999,53019000,3699000,53019000,3699000
8/10/1999,53019000,3699000,53019000,3699000
8/11/1999,53019000,3699000,53019000,3699000
8/12/1999,53019000,3699000,53019000,3699000
8/13/1999,53019000,3699000,53019000,3699000
8/14/1999,53019000,3699000,53019000,3699000
8/15/1999,53019000,3699000,53019000,3699000
8/16/1999,53019000,3699000,53019000,3699000
8/17/1999,53019000,3699000,53019000,3699000
8/18/1999,53019000,3699000,53019000,3699000
8/19/1999,53019000,3699000,53019000,3699000
8/20/1999,53019000,3699000,53019000,3699000
8/21/1999,53019000,3699000,53019000,3699000
8/22/1999,53019000,3699000,53019000,3699000
8/23/1999,53019000,3699000,53019000,3699000
8/24/1999,53019000,3699000,53019000,3699000
8/25/1999,53019000,3699000,53019000,3699000
8/26/1999,53019000,3699000,53019000,3699000
8/27/1999,53019000,3699000,53019000,3699000
8/28/1999,53019000,3699000,53019000,3699000
8/29/1999,53019000,3699000,53019000,3699000
8/30/1999,53019000,3699000,53019000,3699000
8/31/1999,53019000,3699000,53019000,3699000
9/1/1999,53019000,3699000,53019000,3699000
9/2/1999,53019000,3699000,53019000,3699000
9/3/1999,53019000,3699000,53019000,3699000
9/4/1999,53019000,3699000,53019000,3699000
9/5/1999,53019000,3699000,53019000,3699000
9/6/1999,53019000,3699000,53019000,3699000
9/7/1999,53019000,3699000,53019000,3699000
9/8/1999,53019000,3699000,53019000,3699000
9/9/1999,53019000,3699000,53019000,3699000
9/10/1999,53019000,3699000,53019000,3699000
9/11/1999,53019000,3699000,53019000,3699000
9/12/1999,53019000,3699000,53019000,3699000
9/13/1999,53019000,3699000,53019000,3699000
9/14/1999,53019000,3699000,53019000,3699000
9/15/1999,53019000,3699000,53019000,3699000
9/16/1999,53019000,3699000,53019000,3699000
9/17/1999,53019000,3699000,53019000,3699000
9/18/1999,53019000,3699000,53019000,3699000
9/19/1999,53019000,3699000,53019000,3699000
9/20/1999,53019000,3699000,53019000,3699000
9/21/1999,53019000,3699000,53019000,3699000
9/22/1999,53019000,3699000,53019000,3699000
9/23/1999,53019000,3699000,53019000,3699000
9/24/1999,53019000,3699000,53019000,3699000
9/25/1999,53019000,3699000,53019000,3699000
9/26/1999,53019000,3699000,53019000,3699000
9/27/1999,53019000,3699000,53019000,3699000
9/28/1999,53019000,3699000,53019000,3699000
9/29/1999,53019000,3699000,53019000,3699000
9/30/1999,53019000,3699000,53019000,3699000
10/1/1999,53019000,3699000,53019000,3699000
10/2/1999,53019000,3699000,53019000,3699000
10/3/1999,53019000,3699000,53019000,3699000
10/4/1999,53019000,3699000,53019000,3699000
10/5/1999,53019000,3699000,53019000,3699000
10/6/1999,53019000,3699000,53019000,3699000
10/7/1999,53019000,3699000,53019000,3699000
10/8/1999,53019000,3699000,53019000,3699000
10/9/1999,53019000,3699000,53019000,3699000
10/10/1999,53019000,3699000,53019000,3699000
10/11/1999,53019000,3699000,53019000,3699000
10/12/1999,53019000,3699000,53019000,3699000
10/13/1999,53019000,3699000,53019000,3699000
10/14/1999,53019000,3699000,53019000,3699000
10/15/1999,53019000,3699000,53019000,3699000
10/16/1999,52906335,3699000,52906335,3699000
10/17/1999,52793669,3699000,52793669,3699000
