Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Prompton Lake"
Cubic Meter
"Sources and Destinations","Increase in Storage for Prompton Lake","Inflow from Upstream","Outflow to Downstream"
3/14/2010,0,302567,-302567
3/15/2010,0,190863,-190863
3/16/2010,0,153783,-153783
3/17/2010,0,141981,-141981
3/18/2010,0,132328,-132328
3/19/2010,0,123669,-123669
3/20/2010,0,113954,-113954
3/21/2010,0,102739,-102739
3/22/2010,0,790026,-790026
3/23/2010,0,242648,-242648
3/24/2010,0,222990,-222990
3/25/2010,0,345675,-345675
3/26/2010,0,235896,-235896
3/27/2010,0,221902,-221902
3/28/2010,0,529927,-529927
3/29/2010,0,512104,-512104
3/30/2010,0,1577947,-1577950
3/31/2010,0,830521,-830521
4/1/2010,0,528848,-528848
4/2/2010,0,401240,-401240
4/3/2010,0,311074,-311074
4/4/2010,0,249917,-249917
4/5/2010,0,216062,-216062
4/6/2010,0,218837,-218837
4/7/2010,0,153347,-153347
4/8/2010,0,346411,-346411
4/9/2010,0,154418,-154418
4/10/2010,0,137432,-137432
4/11/2010,0,125869,-125869
4/12/2010,0,116890,-116890
4/13/2010,0,109484,-109484
4/14/2010,0,102664,-102664
4/15/2010,0,97279.9,-97279.9
4/16/2010,0,425024,-425024
4/17/2010,0,152619,-152619
4/18/2010,0,140303,-140303
4/19/2010,0,134581,-134581
4/20/2010,0,127671,-127671
4/21/2010,0,119850,-119850
4/22/2010,0,111974,-111974
4/23/2010,0,105010,-105010
4/24/2010,0,416602,-416602
4/25/2010,0,315087,-315087
4/26/2010,0,944398,-944398
4/27/2010,0,324742,-324742
4/28/2010,0,306133,-306133
4/29/2010,0,277362,-277362
4/30/2010,0,241714,-241714
5/1/2010,0,204254,-204254
5/2/2010,0,176856,-176856
5/3/2010,0,235238,-235238
5/4/2010,0,173345,-173345
5/5/2010,0,132725,-132725
5/6/2010,0,117705,-117705
5/7/2010,0,322251,-322251
5/8/2010,0,246695,-246695
5/9/2010,0,148591,-148591
5/10/2010,0,140635,-140635
5/11/2010,0,519028,-519028
5/12/2010,0,312015,-312015
5/13/2010,0,303225,-303225
5/14/2010,0,376025,-376025
5/15/2010,0,229048,-229048
5/16/2010,0,185144,-185144
5/17/2010,0,154428,-154428
5/18/2010,0,344054,-344054
5/19/2010,0,173932,-173932
5/20/2010,0,141067,-141067
5/21/2010,0,116639,-116639
5/22/2010,0,124187,-124187
5/23/2010,0,92966.3,-92966.3
5/24/2010,0,83662.9,-83662.9
5/25/2010,0,76771.5,-76771.5
5/26/2010,0,70169.7,-70169.7
5/27/2010,0,107092,-107092
5/28/2010,0,67781.4,-67781.4
5/29/2010,0,65730.6,-65730.6
5/30/2010,0,61103.5,-61103.5
5/31/2010,0,79134.8,-79134.8
