Streamflow Gauge Comparison
"Scenario: GridMet, Streamflow Gauge: Assunpink_01463620"
Cubic Meter
Statistic,Modeled,Observed
6/1/1999,0,58060.8
6/2/1999,0,50803.2
6/3/1999,7246.2,43545.6
6/4/1999,44557.4,38707.2
6/5/1999,45278.6,33868.8
6/6/1999,44242.9,29030.4
6/7/1999,40835.7,26611.2
6/8/1999,29755.2,23466.2
6/9/1999,28957.4,21772.8
6/10/1999,27760,19595.5
6/11/1999,28093.5,17418.2
6/12/1999,28562.3,16450.6
6/13/1999,37377.1,15966.7
6/14/1999,38847.3,16208.6
6/15/1999,29673.9,17176.3
6/16/1999,28459,17418.2
6/17/1999,29284.7,16934.4
6/18/1999,24619.2,16692.5
6/19/1999,21469.8,16208.6
6/20/1999,80122,15724.8
6/21/1999,92819.8,17176.3
6/22/1999,49510,18144
6/23/1999,21525.4,18144
6/24/1999,18104.2,17660.2
6/25/1999,16769.2,16692.5
6/26/1999,15448.1,15966.7
6/27/1999,13549.3,15724.8
6/28/1999,12781.9,14031.4
6/29/1999,12098.6,13063.7
6/30/1999,14655.5,12096
7/1/1999,174534,16692.5
7/2/1999,185999,31449.6
7/3/1999,56688.6,41126.4
7/4/1999,36470,41126.4
7/5/1999,17158.4,33868.8
7/6/1999,13350.1,26611.2
7/7/1999,11528.1,20805.1
7/8/1999,12618.7,15966.7
7/9/1999,11724.2,12579.8
7/10/1999,9510.96,10402.6
7/11/1999,10606.2,8225.28
7/12/1999,13606.5,6773.76
7/13/1999,12013.7,6048
7/14/1999,9754.13,4596.48
7/15/1999,9865.06,3628.8
7/16/1999,6923.4,3628.8
7/17/1999,4880.92,3386.88
7/18/1999,3690.17,3386.88
7/19/1999,7327.25,3144.96
7/20/1999,5779.01,3144.96
7/21/1999,5725.25,3144.96
7/22/1999,23825.3,3144.96
7/23/1999,15894,3144.96
7/24/1999,3172.4,3144.96
7/25/1999,2247.94,2903.04
7/26/1999,2216.31,2903.04
7/27/1999,2189.7,2903.04
7/28/1999,2166.04,2903.04
7/29/1999,2132.27,2903.04
7/30/1999,2094.27,2903.04
7/31/1999,2061.79,2661.12
8/1/1999,2012.97,2661.12
8/2/1999,1965.76,2903.04
8/3/1999,1931.7,2903.04
8/4/1999,1912.44,2903.04
8/5/1999,2060.3,2903.04
8/6/1999,3449.13,2903.04
8/7/1999,2727.83,3144.96
8/8/1999,31060.2,3144.96
8/9/1999,20936.6,2903.04
8/10/1999,3635.26,2903.04
8/11/1999,3834.86,2903.04
8/12/1999,1918.17,2903.04
8/13/1999,686122,2903.04
8/14/1999,1036208,60480
8/15/1999,239748,101606
8/16/1999,145824,79833.6
8/17/1999,134477,58060.8
8/18/1999,126525,41126.4
8/19/1999,100858,24192
8/20/1999,282905,22256.6
8/21/1999,288049,22014.7
8/22/1999,143476,21530.9
8/23/1999,81810.1,18627.8
8/24/1999,60366.3,17418.2
8/25/1999,373891,16450.6
8/26/1999,900820,43545.6
8/27/1999,546143,89510.4
8/28/1999,207348,116122
8/29/1999,177041,101606
8/30/1999,150551,77414.4
8/31/1999,116376,58060.8
9/1/1999,119972,41126.4
9/2/1999,103729,29030.4
9/3/1999,87485.8,26611.2
9/4/1999,75994.5,24192
9/5/1999,119845,23950.1
9/6/1999,110038,23466.2
9/7/1999,84970.5,22982.4
9/8/1999,82488.9,21772.8
9/9/1999,154705,19111.7
9/10/1999,160397,21047
9/11/1999,91311,22014.7
9/12/1999,71911.6,23466.2
9/13/1999,68659.9,24192
9/14/1999,73471.4,24192
9/15/1999,693006,24192
9/16/1999,5816198,609638
9/17/1999,3814518,1516838
9/18/1999,717130,1274918
9/19/1999,628756,984614
9/20/1999,713218,824947
9/21/1999,692013,798336
9/22/1999,515294,759629
9/23/1999,385740,706406
9/24/1999,296471,466906
9/25/1999,243133,251597
9/26/1999,212573,171763
9/27/1999,192847,123379
9/28/1999,178133,99187.2
