Streamflow Gauge Comparison
"Scenario: GridMet, Streamflow Gauge: Schuykill_01474500"
Cubic Meter
Statistic,Modeled,Observed
6/1/1999,498559,2247437
6/2/1999,1624428,2041805
6/3/1999,3428130,2124058
6/4/1999,3187256,2298240
6/5/1999,4088560,2124058
6/6/1999,5417186,1995840
6/7/1999,3973882,1949875
6/8/1999,3598097,1756339
6/9/1999,3229821,1695859
6/10/1999,3433982,1620864
6/11/1999,3364916,1560384
6/12/1999,2579977,1623283
6/13/1999,2337649,1773274
6/14/1999,3133992,2056320
6/15/1999,3777656,2155507
6/16/1999,3025544,2247437
6/17/1999,3817762,2116800
6/18/1999,4596493,1751501
6/19/1999,3378137,2041805
6/20/1999,5028720,2353882
6/21/1999,7786207,2225664
6/22/1999,7054715,2080512
6/23/1999,5133690,1753920
6/24/1999,4093037,1557965
6/25/1999,3350108,1366848
6/26/1999,2729698,1332979
6/27/1999,2313048,1279757
6/28/1999,2041772,1376525
6/29/1999,1860994,1257984
6/30/1999,2065720,1245888
7/1/1999,2464237,1509581
7/2/1999,2639536,1507162
7/3/1999,2055519,1940198
7/4/1999,1745836,1374106
7/5/1999,1667297,1204762
7/6/1999,1609267,1245888
7/7/1999,1566226,1076544
7/8/1999,1549381,1071706
7/9/1999,1673206,933811
7/10/1999,1627775,904781
7/11/1999,1603116,999130
7/12/1999,1616853,1076544
7/13/1999,1748359,1098317
7/14/1999,1614906,1262822
7/15/1999,1523601,1616026
7/16/1999,1511206,1441843
7/17/1999,1502574,1163635
7/18/1999,1492580,1103155
7/19/1999,1975417,1250726
7/20/1999,1897795,1182989
7/21/1999,1761896,1120090
7/22/1999,1655464,1098317
7/23/1999,1639719,1132186
7/24/1999,1701601,955584
7/25/1999,1521420,810432
7/26/1999,1470649,853978
7/27/1999,1447608,684634
7/28/1999,1449305,573350
7/29/1999,1436018,604800
7/30/1999,1430981,624154
7/31/1999,1424577,648346
8/1/1999,1423473,711245
8/2/1999,1414804,650765
8/3/1999,1409117,418522
8/4/1999,1403409,399168
8/5/1999,1408595,524966
8/6/1999,1409843,592704
8/7/1999,1634005,607219
8/8/1999,1816954,815270
8/9/1999,2142362,1052352
8/10/1999,1929429,1066867
8/11/1999,1778551,858816
8/12/1999,1627940,868493
8/13/1999,4040011,788659
8/14/1999,13398949,6701184
8/15/1999,10211081,4548096
8/16/1999,5664861,3072384
8/17/1999,9502550,2003098
8/18/1999,10105767,1512000
8/19/1999,7891851,1173312
8/20/1999,10348899,1616026
8/21/1999,8193997,1541030
8/22/1999,5277751,1195085
8/23/1999,4099350,1178150
8/24/1999,3980140,1037837
8/25/1999,6666915,991872
8/26/1999,23882519,5394816
8/27/1999,21746419,10717056
8/28/1999,10868473,2414362
8/29/1999,7221045,1642637
8/30/1999,5868090,1335398
8/31/1999,5027282,1161216
9/1/1999,4178900,1107994
9/2/1999,3557068,1081382
9/3/1999,2978856,1095898
9/4/1999,3573699,1037837
9/5/1999,4244977,1175731
9/6/1999,5031487,3048192
9/7/1999,6814821,4402944
9/8/1999,6622670,5830272
9/9/1999,22657572,4402944
9/10/1999,28585373,6991488
9/11/1999,19502848,3556224
9/12/1999,17066675,2295821
9/13/1999,14513222,1886976
9/14/1999,10368951,1591834
9/15/1999,9833159,1712794
9/16/1999,74466488,74511360
9/17/1999,137476925,135717120
9/18/1999,97118661,35078400
9/19/1999,95004591,16813440
9/20/1999,98842388,11975040
9/21/1999,65960100,10862208
9/22/1999,38072820,11031552
9/23/1999,25323636,10160640
9/24/1999,20989410,7451136
9/25/1999,19010735,5878656
9/26/1999,13946239,5007744
9/27/1999,8728583,4620672
9/28/1999,5842709,4161024
9/29/1999,6421708,3773952
9/30/1999,11040128,6362496
10/1/1999,9104850,14539392
10/2/1999,10091687,11152512
10/3/1999,16284655,8273664
10/4/1999,16555477,7281792
10/5/1999,17704881,10184832
10/6/1999,15551645,9652608
10/7/1999,15456261,7668864
10/8/1999,15361262,6701184
10/9/1999,13166941,6096384
10/10/1999,16709987,8007552
10/11/1999,17726512,14757120
10/12/1999,15056221,9894528
10/13/1999,15262229,8128512
10/14/1999,14671460,7644672
10/15/1999,11439810,7475328
10/16/1999,9330556,6652800
10/17/1999,9293279,6072192
10/18/1999,9205160,6459264
10/19/1999,9196740,5612544
10/20/1999,11467205,5757696
10/21/1999,9063415,6168960
10/22/1999,8568967,5128704
10/23/1999,8656934,4983552
10/24/1999,7240206,4765824
10/25/1999,6171605,4306176
10/26/1999,5754231,3919104
10/27/1999,5250874,3773952
10/28/1999,4761518,3604608
10/29/1999,4347957,3411072
10/30/1999,3991265,3193344
10/31/1999,3662278,3096576
11/1/1999,3426631,3144960
11/2/1999,6395828,4475520
11/3/1999,9311391,11733120
11/4/1999,7836984,8781696
11/5/1999,6756034,6241536
11/6/1999,10106058,5225472
11/7/1999,9724290,4644864
11/8/1999,8405169,4451328
11/9/1999,8112035,4112640
11/10/1999,7248498,3894912
11/11/1999,6223577,3701376
11/12/1999,5362744,3435264
11/13/1999,4614930,3290112
11/14/1999,3856641,3265920
11/15/1999,3351941,3193344
11/16/1999,3052348,3169152
11/17/1999,2854293,3048192
11/18/1999,2714117,2927232
11/19/1999,2609723,2757888
11/20/1999,4390775,2806272
11/21/1999,4265452,2854656
11/22/1999,3126514,2951424
11/23/1999,2886796,2830464
11/24/1999,3304438,2878848
11/25/1999,4370094,3024000
11/26/1999,9241662,3241728
11/27/1999,17003424,18119808
11/28/1999,13412894,15845760
11/29/1999,11378579,9821952
11/30/1999,17864631,7838208
12/1/1999,18347889,7088256
12/2/1999,15710265,6338304
12/3/1999,12733091,5806080
12/4/1999,10421808,5443200
12/5/1999,10584603,4741632
12/6/1999,12853953,7064064
12/7/1999,11553390,10934784
12/8/1999,9378207,6894720
12/9/1999,8117513,5394816
12/10/1999,8497611,5152896
12/11/1999,8604696,5878656
12/12/1999,7296417,5225472
12/13/1999,9103410,4838400
12/14/1999,15016621,10741248
12/15/1999,17844726,21216384
12/16/1999,14918913,14345856
12/17/1999,15101623,11805696
12/18/1999,16148810,9531648
12/19/1999,14593499,8007552
12/20/1999,14120538,7523712
12/21/1999,13992452,9072000
12/22/1999,11989587,8297856
12/23/1999,11029800,6797952
12/24/1999,10390455,5927040
12/25/1999,8538471,5443200
12/26/1999,6811877,5031936
12/27/1999,5650690,5056128
12/28/1999,4937237,4790016
12/29/1999,4431936,4572288
12/30/1999,4070224,4402944
12/31/1999,3935500,4185216
1/1/2000,3683473,4185216
1/2/2000,3296209,3967488
1/3/2000,5483159,3919104
1/4/2000,8130006,4378752
