GRanD_ID,GRanD_NAME,GRanD_CAP_MCM,GRanD_MEANFLOW_CUMECS,Obs_MEANFLOW_CUMECS,fit,match,NORhi_alpha,NORhi_beta,NORhi_max,NORhi_min,NORhi_mu,NORlo_alpha,NORlo_beta,NORlo_max,NORlo_min,NORlo_mu,Release_alpha1,Release_alpha2,Release_beta1,Release_beta2,Release_c,Release_max,Release_min,Release_p1,Release_p2
53,Youngs Lake Cascades Dam,15.2,0.661,NA,extrapolated,56,0.22,-18.2,Inf,6.14,19.59,-4.42,-13.83,Inf,1.04,2.81,0.388,-0.2306,0.3634,0.1399,-0.229,1.679,-0.765,0.459,0.597
54,Wynoochee,93.7,7.191,NA,extrapolated,107,13.71,-15.01,92.88,60.72,74.43,16.07,-12.91,Inf,47.74,59.19,0.2239,-0.0886,-0.226,0.1132,-0.419,0.697,-0.535,0.672,0.431
55,Keechelus,194.9,5.8,9.96,full,NA,35.72,-15.74,99.94,-Inf,86.67,18.37,-17.98,Inf,12.44,22.91,-0.1529,0.3464,-1.199,0.5477,0,2.258,-0.818,0,0
56,Howard A. Hanson Dam,168.6,24.406,28.717,full,NA,0.22,-18.2,Inf,6.14,19.59,-4.42,-13.83,Inf,1.04,2.81,0.388,-0.2306,0.3634,0.1399,-0.229,1.679,-0.765,0.459,0.597
57,Kachess,302.2,5.965,8.734,full,NA,23.9,-25.55,96.37,-Inf,95.72,18.39,-19.43,Inf,15.75,33.94,-1.1171,0.4989,-0.9087,-0.5299,0,2.994,-0.977,0,0
58,Cle Elum,539,18.711,NA,extrapolated,63,27.44,-31.95,97.57,59.24,95.8,7.92,-27.48,Inf,-Inf,49.55,-0.5266,0.14,-0.6547,-0.4186,0,2.249,-0.931,0,0
59,Lake Tapps Dike 2-B,57.5,1.15,NA,storage_only,41,-2.1,-11.28,98.79,-Inf,96.24,-30.14,-35.64,95.69,14.88,52.67,0.1135,0.1677,0.4241,0.0022,0,0.952,-0.787,0,0
60,Bumping Lake,41.6,4.847,8.38,full,NA,11.32,-15.69,99.18,-Inf,84.22,-9.97,-81.99,Inf,17.7,0,0.2023,-0.1414,-0.4014,0.2871,-0.217,1.179,-0.649,0.495,0.307
61,Alder,297.5,34.656,NA,extrapolated,59,-2.1,-11.28,98.79,-Inf,96.24,-30.14,-35.64,95.69,14.88,52.67,0.1135,0.1677,0.4241,0.0022,0,0.952,-0.787,0,0
62,Skookumchuck,74,5.381,NA,extrapolated,107,13.71,-15.01,92.88,60.72,74.43,16.07,-12.91,Inf,47.74,59.19,0.2239,-0.0886,-0.226,0.1132,-0.419,0.697,-0.535,0.672,0.431
63,Tieton,244.2,9.112,15.079,full,NA,27.44,-31.95,97.57,59.24,95.8,7.92,-27.48,Inf,-Inf,49.55,-0.5266,0.14,-0.6547,-0.4186,0,2.249,-0.931,0,0
64,Mossyrock,2078.4,150.93,NA,extrapolated,297,-20.77,-10.32,79.37,53.74,69.48,-38.38,-2.73,63.78,13.63,50.65,0.0019,-0.1561,-0.0756,0.4067,0,1.22,-0.645,0,0
65,Mayfield,219.6,170.801,NA,extrapolated,316,-29.64,-15.71,66.57,27.77,61.05,-42.66,-18.18,58.75,6.43,43.5,-0.113,0.1251,1.6077,0.6736,0,20.34,1.576,0,0
66,Cowlitz Falls Dam,18.5,137.475,NA,extrapolated,316,-29.64,-15.71,66.57,27.77,61.05,-42.66,-18.18,58.75,6.43,43.5,-0.113,0.1251,1.6077,0.6736,0,20.34,1.576,0,0
67,Mt. St. Helens Sediment Retention Structure,155.4,18.074,NA,extrapolated,90,7.18,-35.74,79.52,-Inf,64.81,0.78,-14.73,Inf,-Inf,17.39,-0.2506,0.1408,0.5317,0.3154,-0.694,2.159,-0.959,1.046,0.484
68,Swift 1,931.9,60.691,NA,extrapolated,297,-20.77,-10.32,79.37,53.74,69.48,-38.38,-2.73,63.78,13.63,50.65,0.0019,-0.1561,-0.0756,0.4067,0,1.22,-0.645,0,0
69,Youngs River Reservoir,14.8,1.941,NA,extrapolated,107,13.71,-15.01,92.88,60.72,74.43,16.07,-12.91,Inf,47.74,59.19,0.2239,-0.0886,-0.226,0.1132,-0.419,0.697,-0.535,0.672,0.431
70,Yale,495.9,76.467,NA,extrapolated,297,-20.77,-10.32,79.37,53.74,69.48,-38.38,-2.73,63.78,13.63,50.65,0.0019,-0.1561,-0.0756,0.4067,0,1.22,-0.645,0,0
71,Bull Run Reservoir Dam 1,41.6,8.707,NA,extrapolated,316,-29.64,-15.71,66.57,27.77,61.05,-42.66,-18.18,58.75,6.43,43.5,-0.113,0.1251,1.6077,0.6736,0,20.34,1.576,0,0
72,Scoggins Reservoir,74,4.238,NA,storage_only,99,31.61,-11.87,86.02,-Inf,85.73,22.41,-16.51,Inf,17.71,45.43,0.1761,0.0759,0.5759,0.0623,-0.587,1.937,-0.829,0.841,0.569
73,Bull Run Lake Dam,17.9,0.392,NA,extrapolated,378,2.23,-7.27,Inf,-Inf,92.25,3.6,-2.47,Inf,-Inf,54.73,-0.1515,0.0717,-1.2241,0.6972,0,5.082,-1,0,0
74,Bull Run Reservoir Dam 2,30.8,12.152,NA,extrapolated,316,-29.64,-15.71,66.57,27.77,61.05,-42.66,-18.18,58.75,6.43,43.5,-0.113,0.1251,1.6077,0.6736,0,20.34,1.576,0,0
75,Trask River Dam,24.7,0.732,NA,extrapolated,107,13.71,-15.01,92.88,60.72,74.43,16.07,-12.91,Inf,47.74,59.19,0.2239,-0.0886,-0.226,0.1132,-0.419,0.697,-0.535,0.672,0.431
76,Lake Oswego,12.1,0.675,NA,extrapolated,94,5.68,-26.06,92.97,51.25,69.05,7.44,-13.43,Inf,24.86,32.81,0.0241,-0.3057,0.3494,0.1832,-0.494,1.458,-0.607,0.708,0.345
77,North Fork,23,71.109,NA,extrapolated,90,7.18,-35.74,79.52,-Inf,64.81,0.78,-14.73,Inf,-Inf,17.39,-0.2506,0.1408,0.5317,0.3154,-0.694,2.159,-0.959,1.046,0.484
78,Wasco,14.7,0.785,0.163,full,NA,13.73,-18.51,Inf,49.96,70,9.64,-5.76,Inf,0.58,6.36,-0.4927,0.4529,-1.025,0.3345,0,2.55,-0.929,0,0
79,Timothy Lake,85.1,4.415,NA,extrapolated,90,7.18,-35.74,79.52,-Inf,64.81,0.78,-14.73,Inf,-Inf,17.39,-0.2506,0.1408,0.5317,0.3154,-0.694,2.159,-0.959,1.046,0.484
80,Detroit,561.2,52.032,67.113,full,NA,1.45,-27.78,96.56,-Inf,82.35,2.93,-16.52,Inf,31.79,48.53,0.0241,-0.3057,0.3494,0.1832,-0.494,1.458,-0.607,0.708,0.345
81,Pelton,39.2,143.762,NA,extrapolated,346,34.28,-16.23,84.23,14,46.5,21.97,-16.66,Inf,1.22,13.89,-0.4927,0.4529,-1.025,0.3345,0,2.55,-0.929,0,0
82,Round Butte,659.9,139.455,NA,extrapolated,346,34.28,-16.23,84.23,14,46.5,21.97,-16.66,Inf,1.22,13.89,-0.4927,0.4529,-1.025,0.3345,0,2.55,-0.929,0,0
83,Green Peter,530.4,36.6,NA,storage_only,80,3.46,-21.02,95.51,-Inf,79.9,13.38,-18.68,70.05,37.04,48.43,0.0241,-0.3057,0.3494,0.1832,-0.494,1.458,-0.607,0.708,0.345
84,Suttle Lake,21.8,1.89,NA,extrapolated,346,34.28,-16.23,84.23,14,46.5,21.97,-16.66,Inf,1.22,13.89,-0.4927,0.4529,-1.025,0.3345,0,2.55,-0.929,0,0
85,Foster,75.2,62.517,80.651,full,NA,-6.88,-28.35,91.72,59.51,82.67,-18.21,-41.42,84.28,50.08,46.2,0.3145,-0.188,0.6192,0.2487,-0.456,-0.344,-0.729,0.715,0.764
86,Smith,21.6,2.349,NA,extrapolated,72,31.61,-11.87,86.02,-Inf,85.73,22.41,-16.51,Inf,17.71,45.43,0.1761,0.0759,0.5759,0.0623,-0.587,1.937,-0.829,0.841,0.569
87,Ochoco,57.4,2.355,2.711,full,NA,16.14,-14.18,Inf,52.72,73.42,16.65,-24.26,Inf,10.02,20.95,-0.1844,0.2506,-0.8802,0.0193,-0.533,1.299,-0.984,0.639,0.33
88,Blue River Dam,109.8,10.3,15.738,full,NA,3.92,-44.43,93.7,-Inf,67.55,16.8,-25.48,Inf,6.79,21.54,0.0286,-0.3094,0.7115,0.2882,-0.645,1.794,-0.908,0.864,0.468
89,Cougar,270.1,19.525,24.467,full,NA,2.92,-27.99,94.72,43.22,71.21,2.95,0.84,Inf,-Inf,8.08,0.0418,-0.2267,0.2518,0.2516,-0.549,1.473,-0.686,0.779,0.251
90,Fern Ridge,149.3,23.23,22.36,full,NA,7.18,-35.74,79.52,-Inf,64.81,0.78,-14.73,Inf,-Inf,17.39,-0.2506,0.1408,0.5317,0.3154,-0.694,2.159,-0.959,1.046,0.484
91,Arthur R. Bowman,188.5,12.392,NA,storage_only,87,12.87,-18.04,99.86,62.18,79.11,15.95,-16.57,Inf,30.58,45.87,-0.1844,0.2506,-0.8802,0.0193,-0.533,1.299,-0.984,0.639,0.33
92,Fall Creek,154.2,17.55,19.6,full,NA,4.26,-54.76,93.87,29.41,68.9,10.1,-42,67.62,2.24,28.13,-0.1756,-0.2375,0.4838,0.1873,-0.636,1.677,-0.922,0.791,0.48
93,Dexter,36.9,88.172,NA,extrapolated,72,31.61,-11.87,86.02,-Inf,85.73,22.41,-16.51,Inf,17.71,45.43,0.1761,0.0759,0.5759,0.0623,-0.587,1.937,-0.829,0.841,0.569
94,Lookout Point,589.2,87.502,NA,storage_only,80,5.68,-26.06,92.97,51.25,69.05,7.44,-13.43,Inf,24.86,32.81,0.0241,-0.3057,0.3494,0.1832,-0.494,1.458,-0.607,0.708,0.345
95,Siltcoos Lake,18.6,7.945,NA,extrapolated,114,23.49,-18.78,99.98,45.66,74.96,29.18,-22.67,Inf,7.47,34.29,-0.183,0.4948,-0.9534,0.2435,-0.526,0.432,-0.979,0.562,0.357
96,Tahkenitch Lake,20.5,3.958,NA,extrapolated,114,23.49,-18.78,99.98,45.66,74.96,29.18,-22.67,Inf,7.47,34.29,-0.183,0.4948,-0.9534,0.2435,-0.526,0.432,-0.979,0.562,0.357
97,Dorena,161.6,21.781,23.515,full,NA,0.8,-28.93,55.12,20.33,36.43,5.04,-26.85,42.77,5.59,20.16,0.2372,-0.0735,0.5651,0.0732,-0.645,2.01,-0.879,0.959,0.561
98,Crane Prairie,68.2,14.724,NA,storage_only,353,13.05,-6.35,99.33,-Inf,87.56,11.48,-3.07,Inf,-Inf,51.81,0.462,-0.1524,-0.2384,-0.199,-0.751,2.587,-0.908,0.848,0.526
99,Cottage Grove,61.7,7.558,8.26,full,NA,2.35,-37.72,62.73,17.78,41.63,6.03,-24.25,47.69,6.11,23.16,0.1761,0.0759,0.5759,0.0623,-0.587,1.937,-0.829,0.841,0.569
100,Hills Creek,439.1,32.82,33.09,full,NA,0.23,-23.81,98.38,-Inf,85.19,6.71,-16.75,Inf,44.76,54.3,-0.0136,-0.2279,0.2888,0.3144,-0.254,1.605,-0.71,0.464,0.301
101,Wickiup Reservoir,267,25.326,NA,storage_only,353,24.23,-0.58,90.84,-Inf,82.3,30,-2.83,Inf,7.5,37.51,0.462,-0.1524,-0.2384,-0.199,-0.751,2.587,-0.908,0.848,0.526
102,Crescent Lake,107.2,3.963,NA,storage_only,353,2.08,-3.26,Inf,-Inf,92.95,3.11,-7.05,Inf,-Inf,23.18,0.462,-0.1524,-0.2384,-0.199,-0.751,2.587,-0.908,0.848,0.526
103,Lemolo 1,14.5,11.594,NA,extrapolated,107,13.71,-15.01,92.88,60.72,74.43,16.07,-12.91,Inf,47.74,59.19,0.2239,-0.0886,-0.226,0.1132,-0.419,0.697,-0.535,0.672,0.431
104,Berry Creek Dam,18.5,1.471,NA,extrapolated,114,23.49,-18.78,99.98,45.66,74.96,29.18,-22.67,Inf,7.47,34.29,-0.183,0.4948,-0.9534,0.2435,-0.526,0.432,-0.979,0.562,0.357
105,Thompson Valley Reservoir,37.6,0.289,NA,extrapolated,378,2.23,-7.27,Inf,-Inf,92.25,3.6,-2.47,Inf,-Inf,54.73,-0.1515,0.0717,-1.2241,0.6972,0,5.082,-1,0,0
106,Galesville Reservoir,52.1,3.601,NA,extrapolated,114,23.49,-18.78,99.98,45.66,74.96,29.18,-22.67,Inf,7.47,34.29,-0.183,0.4948,-0.9534,0.2435,-0.526,0.432,-0.979,0.562,0.357
107,William L. Jess,616.7,34.323,56.975,full,NA,13.71,-15.01,92.88,60.72,74.43,16.07,-12.91,Inf,47.74,59.19,0.2239,-0.0886,-0.226,0.1132,-0.419,0.697,-0.535,0.672,0.431
108,Four Mile Lake Dam,40.7,0.378,NA,storage_only,113,6.91,-4.27,Inf,-Inf,41.54,9.28,-9.99,Inf,3.85,1.99,0.4351,-0.1408,-1.0466,0.0086,0,2.452,-0.996,0,0
109,Cottonwood Reservoir,14.1,0.142,NA,extrapolated,174,21.98,-11.79,96.47,73.14,95.19,9.04,-23.79,53.52,24.94,28.07,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
110,Link River Diversion,646,54.854,NA,extrapolated,113,12.51,-3.84,99.58,-Inf,94.42,16.02,-14.81,Inf,5.35,18.97,0.4351,-0.1408,-1.0466,0.0086,0,2.452,-0.996,0,0
111,Howard Prairie,74.7,1.173,1.015,full,NA,10.22,-7.63,99.89,-Inf,92.84,9.69,-8.2,Inf,16,25.49,-0.1194,0.1619,-0.2629,0.3411,0,-1,-1,0,0
112,Gerber,116.3,1.341,NA,extrapolated,119,24.88,-3.93,59.25,22.66,43.23,8.53,-7.47,Inf,2.87,11.58,0.4351,-0.1408,-1.0466,0.0086,0,2.452,-0.996,0,0
113,Hyatt Dam,20,0.324,0.258,full,NA,12.51,-3.84,99.58,-Inf,94.42,16.02,-14.81,Inf,5.35,18.97,0.4351,-0.1408,-1.0466,0.0086,0,2.452,-0.996,0,0
114,Emigrant,48.1,1.839,2.279,full,NA,23.49,-18.78,99.98,45.66,74.96,29.18,-22.67,Inf,7.47,34.29,-0.183,0.4948,-0.9534,0.2435,-0.526,0.432,-0.979,0.562,0.357
115,Drews Reservoir,80.2,0.407,NA,extrapolated,174,21.98,-11.79,96.47,73.14,95.19,9.04,-23.79,53.52,24.94,28.07,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
116,Applegate Dam,110.2,11.932,12.397,full,NA,10.2,-38.06,90,25.76,56.5,7.57,-22.48,Inf,11.51,25.1,0.2582,-0.0292,0.131,0.2454,-0.556,1.401,-0.763,0.833,0.542
