reservoir,policy_id,NORhi_mu,NORhi_min,NORhi_max,NORhi_alpha,NORhi_beta,NORlo_mu,NORlo_min,NORlo_max,NORlo_alpha,NORlo_beta,Release_alpha1,Release_alpha2,Release_beta1,Release_beta2,Release_c,Release_p1,Release_p2
beltzvilleCombined,default,49.34916745530109,82.760766772243,100.0,-3.370212832749968,2.8845891272088995,50.16953086671174,62.31666242652374,100.0,4.997588735247572,-32.667438848466944,-0.7908316637516392,0.9673445386230124,-1.2103999984589886,0.4453999999999998,18.730554769743236,89.8710442741192,0.0
blueMarsh,default,27.151847976643914,16.155864843783597,21.577006848782755,30.303164889273912,5.130316419783702,74.17825118866342,10.807182504522054,15.167950750858672,-9.691616279701883,-13.274029033568931,1.7869305566863805,1.0493088533419923,3.1777209706638883,0.44298867947244897,1.1105877571088427,39.98932450911954,0.008730069745712533
fewalter,default,22.513147795450692,15.889430811585814,27.638245173429645,23.62311401507638,5.013950144478841,29.50434780088323,9.231780709020546,15.840443059409122,1.3165295734797948,-34.367390427792394,-1.7645554822585512,13.389776463177547,23.352357558734475,-7.0497790159262825,24.829965569872588,97.54725815542929,0.9086210365392692
prompton,default,67.66596788854858,2.7394804483781643,4.976351411466434,66.63955609285523,-13.257010816288636,76.28852194882145,1.6022964882004278,2.396701023510084,5.669563374445825,-35.838922819585406,68.05967959862927,58.70517911799467,37.838273001032455,-25.860928729237557,21.975496603678884,5.741231148347121,0.2705619429404326
